title,status,url,latitude,longitude,solicitation,subprogram,name,project_lead,funding_awarded,state,start_date,brief_description,principal_investigator,other_partners,topic_area,end_date,project_identifier,solicitation_url
Pilot Demonstration of Displacement Pressing to Increase Sheet Solids and Bulk,Active,,44.16859542,-88.46665565,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2067,Energy- and Emissions-Intensive Industries,Pilot Demonstration of Displacement Pressing to Increase Sheet Solids and Bulk,Beck Displacement Press LLC,2185300, WI,10/1/2024,"Beck Displacement Press LLC and its partners aim to develop a commercially viable Displacement Pressing design and pilot prototype that reduces drying energy consumed during the production of paper and packaging products. Displacement Pressing functions by using pressurized air to displace water from the paper sheet during the manufacturing process. This results in an increase in sheet solids after pressing, thereby lowering drying energy consumption. Alternatively, the technology can be used to increase bulk and thereby decrease the amount of fiber required for paper. Trials have shown potential for as much as a 40% reduction in drying load, which could significantly reduce energy consumption in the paper industry. With 40% of the industry’s energy needs provided by fossil fuels, the project will also have a consequential reduction in non-biogenic carbon emissions. ",,,,,,
"A Comprehensive Approach to Innovative Refining, Paper Forming, and Drying to",Active,,33.77571587,-84.39582366,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2068,Energy- and Emissions-Intensive Industries,"A Comprehensive Approach to Innovative Refining, Paper Forming, and Drying to",Georgia Institute of Technology,3099204, GA,10/1/2024,"The Georgia Institute of Technology aims to strategically combine recent deflocculation breakthroughs in fiber refining with low-water multiphase (MP) paper forming. This will facilitate and accelerate the cost-effective implementation of advanced electrical drying technologies in the paper industry. The project intends to demonstrate, at commercially relevant conditions, that a comprehensive electrified drying strategy results in a cost-effective approach for broad commercial implementation. Electrification will allow the industry to decarbonize by taking advantage of the increasing fraction of non-fossil electricity in the U.S. Electrified drying, if partially (50%) implemented, has the potential to reduce the generation of non-biogenic emissions by over 10 million metric tons of CO2e annually. ",,,,,,
A Novel Approach to Decarbonizing the Pulp and Paper Industry: Kraft Chemical Recovery via Bipolar Membrane Electrodialysis,Active,,35.79243108,-78.6649813,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2069,Energy- and Emissions-Intensive Industries,A Novel Approach to Decarbonizing the Pulp and Paper Industry: Kraft Chemical Recovery via Bipolar Membrane Electrodialysis,North Carolina State University,3000000, NC,10/1/2024,"Led by North Carolina State University, this project plans to develop and optimize a novel membrane technology that will replace the traditional chemical recovery process with a low-pH lignin precipitation process and bipolar membrane electrodialysis technology (BPM-ED). Currently over 65% of the emissions from pulp mills are from the recovery boiler. This project will develop and optimize BPM-ED technology for the effective recovery of Kraft chemicals, lignin purity, and energy consumption. This project could reduce carbon intensity in a pulp and paper facility by 50%. The extracted lignin is also a potential feedstock for phenolic resins and biofuels, further offsetting GHG emissions.",,,,,,
Biocatalysis of Lignocellulosics and Electrostatic Assist Pressing (BioLEAP) for Drier Web ,Active,,35.79243108,-78.6649813,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2070,Energy- and Emissions-Intensive Industries,Biocatalysis of Lignocellulosics and Electrostatic Assist Pressing (BioLEAP) for Drier Web ,North Carolina State University,2218054, NC,10/1/2024,"North Carolina State University aims to address the critical need for decarbonizing forest products through innovations in paper forming and dewatering technologies. The approach in this project utilizes tailored blends of enzymes for mild pretreatments of fibers along with synergistic chemical and mechanical treatments to generate fiber matrices that will dewater more readily during the pressing and drying processes. This approach, coupled with development of a novel electrostatic assist (ESA) system as an alternative non-thermal drying process, will produce significantly drier paper webs after pressing while enhancing strength and other critical paper properties. This project has the potential to reduce energy consumption by 30% in the dryer section of paper machines, reduce the carbon intensity by 50%, and increase product throughput by 15%.",,,,,,
Mild Co-solvent Pulping to Decarbonize the Paper and Forest Products Sector,Active,,33.97403461,-117.3273456,Industrial Efficiency and Decarbonization Multi-Topic FOA Fiscal Year 2071,Energy- and Emissions-Intensive Industries,Mild Co-solvent Pulping to Decarbonize the Paper and Forest Products Sector,"University of California, Riverside",1450000, CA,10/1/2024,"Led by the University of California, Riverside, the goal of this project is to optimize Co-solvent Enhanced Lignocellulosic Fractionation (CELF) technology into a more environmentally sustainable alternative to traditional kraft pulping. CELF is a previously developed low-cost mild-severity solvent-based pretreatment method. Specifically, this project focuses on optimizing the production of dissolving pulp used in the manufacturing of extruded textile fibers. CELF utilizes an aqueous co-solvent that will be combined with an oxygen delignification process for elemental chlorine-free pulp production. The new system will also co-produce a native-like dissolving lignin that can serve directly as a natural resin binder or a renewable ingredient for production of industrial adhesives and binders. This technology has the potential to reduce carbon intensity by 50-75% and operating costs by 10-20%. ",,,,,,
"A Digitalization, Automation, and Optimization Platform for Improved Resiliency and Consistency of Distributed Anaerobic Digestion for Wastewater Resource Recovery",Active,,41.80704,-72.25167,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,"A Digitalization, Automation, and Optimization Platform for Improved Resiliency and Consistency of Distributed Anaerobic Digestion for Wastewater Resource Recovery",University of Connecticut,2000000,CT,10/1/2021,"Dr. McCutcheon has teamed with Dr. Baikun Li, from the Department of Civil and Environmental Engineering, who has led the development of millimeter-sized electrode array sensors for real-time in situ high-resolution profiling of multiple parameters in anaerobic digestion (AD) systems.  The researchers are particularly interested in AD systems that co-digest with food wastes. ",,Quantum Biopower and Northeast Residuals,Advanced Water Resource Recovery Systems ,9/30/2024,,
"Artificial Intelligence (AI) – Assisted Hybrid Renewable Energy, Nutrient, and Water Recovery from Municipal Wastewater",Active,,41.78039,-87.59695,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,"Artificial Intelligence (AI) – Assisted Hybrid Renewable Energy, Nutrient, and Water Recovery from Municipal Wastewater",University of Chicago,2000000,IL,10/1/2021,"Development and AI-based process control testing of a two-stage bioprocess (CANDO+P) for nutrient removal, energy recovery, and P recovery from pre-concentrated wastewater; and 2) techno-economic and life-cycle assessment analyses of integrated technologies. All work will be performed in close collaboration with the University of Chicago and Argonne National Laboratory.",,"Great Lakes Water Authority; Milwaukee Metropolitan Sewerage District; NanoAffix; and two regional water innovation hubs (Current and The Water Council), Argonne National Laboratory; Northwestern University",Advanced Water Resource Recovery Systems ,9/30/2024,,
Combined Nitrogen (N) and Phosphorous (P) Recovery via Electrochemical Technology Integration into Municipal Wastewater Treatment Facilities,Active,,39.3025,-82.07867,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,combined Nitrogen (N) and Phosphorous (P) Recovery via Electrochemical Technology Integration into Municipal Wastewater Treatment Facilities,Ohio University                  ,1970162,OH,10/1/2021,"Commercial and municipal activities involve constant withdrawal of water from natural sources (lakes, rivers, aquifers etc.) accompanied with constant rejection of water to treatment facilities. This effluent water contains various kinds of waste products including chemicals, urine, toxins etc., which at the molecular level are products that can be re-used in other processes after treatment. This lab ",,"Faraday and municipal wastewater treatment facilities in Athens, Ohio and Columbus, Ohio",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Energy Services through INtegrated FLexible Operation of Wastewater Systems (ENERGY-INFLOWS),Active,,37.42399,-122.1676,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Energy Services through INtegrated FLexible Operation of Wastewater Systems (ENERGY-INFLOWS),Stanford University                   ,1000000,CA,10/1/2021,"Wastewater treatment is energy and cost intensive. Demand charges on electricity bills often account for a large share of electricity costs, creating strong incentives for shifting load peaks away from time-of-use periods. ENERGY-INFLOWS is a computational platform for integrated management of the energy flexibility upgrades available to wastewater treatment facilities including 1) biogas storage, 2) water storage, and 3) batteries. The tool uses facility-specific metering data and treatment characteristics to identify cost-optimal energy flexibility upgrades. Its runtime controller uses artificial intelligence and facility-specific load models to operationalize a facility’s existing energy flexibility resources in real-time. Overall, the tool provides a scalable platform for facilities to lower electricity costs and earn revenues from the sale of demand response and other services to electricity grids.",,William & Cloy Codiga Resource Recovery Center and Silicon Valley Clean Water,Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
"Harnessing Microbial Batteries for Efficient, Sustainable Water Treatment and Recycling in Rural Areas",Active,,41.01176,-73.92051,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,"Harnessing Microbial Batteries for Efficient, Sustainable Water Treatment and Recycling in Rural Areas",Columbia University                  ,1867821,NY,10/1/2021,"The proejct objective is to develop and pilot improved and efficient water treatment technologies based upon the oxidation of iron to create media and the modification of contaminant redox state using heterogeneous catalysts. There are three principal objectives intended to (1) create sorption medium, and recover nutrients from the natural water;(2) improved water treatment using the composite photocatalysts to simultaneously oxidize As(III) and reduce U(UI) in contaminated wastewater and groundwater for drinking; and (3) media recycling through reductive dissolution. Research Tasks 1 through 3 (described below) map onto each of these scientific objectives (Task 1 and its subtasks are linked to objective 1 and so forth). These objectives and tasks are applicable to a variety of water contaminants common in rural areas, including, arsenic, uranium, nitrate and phosphate and others. Nitrate removal should be achieved alongside Fe oxidation in the media creation step. Arsenic, phosphate and uranium removal will be achieved by reaction with that media, although As and U removal will benefit from photocatalysts that can convert them to particle reactive forms. In addition to research papers, presentations and reports, we anticipate each objective has a technical goal that is patentable and positioned for product development with local partners. The final objective of this work is the development and completion of a pilot system. That system pilot will be conducted in the field and be the result of modular optimization of each of the prior objectives, modeling of experimental data, and testing of each modular component. Research Tasks 4 (pilot design) describes the modeling work (Task 4.1), system development (4.2) and testing (4.3) of treatment elements. Research Task 5 examines the economic and life cycle assessment of water treatment as technical developments are made under tasks 1-4.",Benjamin Bostick,"Missouri Breaks Industries Research Inc., University of Bristol, and University of Western Australia",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Harvesting Energy from Wastewater by Converting Sewage Sludge to Renewable Natural Gas,Active,,42.28755,-71.83067,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Harvesting Energy from Wastewater by Converting Sewage Sludge to Renewable Natural Gas,Worcester Polytech          ,2000000,MA,10/1/2021,"Municipal treatment plants treat the overwhelming majority of wastewater in the U.S. Yet, wastewater treatment (WWT) remains energy intensive, consuming more than 30 TW-hr (0.1 quads) of electricity annually, and suffers from co-production of sewage sludge and/or biosolids that typically require landfill disposal. However, the energy content of water entering WWTPs is 5-times greater than the energy consumed in treatment. In addition to energy contained in organic compounds, the entering stream is rich in valuable inorganic components, specifically nitrogen and phosphorous, that are incompletely utilized. The overwhelming majority of the energy content along with much of the incoming nutrient content of wastewater is concentrated in the sludge and biosolid byproducts of WWT. This points to a clear opportunity to recover this energy and nutrient content, while simultaneously reducing the costs associated with landfilling the solid byproducts of WWT. The objective of this proposal is to establish a process for on-site recovery of the energy trapped in sewage sludge by rethinking hydrothermal gasification (HTG). For processing sewage sludge, HTG faces three major limitations: 1) it cannot handle high-solids feeds on its own, which limits thermal efficiency for non-soluble feeds such as sewage sludge, 2) the catalysts required for HTG are highly susceptible to sulfur poisoning and expensive and; 3) HTG does not maximize the value of incoming inorganic components, especially nitrogen and phosphorous. Similarly, the process must be made robust to handle changes in feed composition, since the properties of sewage sludge will vary based on location and over time. And, as a new technology, process simulation methods are required to make realistic economic and environmental projections of its performance at scale. Overcoming these limitations is the goal of this work. The project aims to address these limitations by a combination of innovative front-end processing, supercritical salt precipitation to recover nitrates and phosphates and remove sulfates from the process stream, and inexpensive and/or sulfur tolerant gasification catalysts. At the end of this project, the technology will be sufficiently de-risked for pilot-scale testing (2 dry tons per day of sewage sludge) at Genifuel’s demonstration site, located in Vancouver, CA. Data and models will be shared publicly with the National Alliance for Water Innovation (NAWI).",,"Genifuel, Central Contra Costa Sanitary District, Mainstream Engineering, American Institute of Chemical Engineers/RAPID, Syracuse University, and Pacific Northwest National Laboratory (PNNL)",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Integrated Anaerobic Membrane Bioreactor (AnMBR)-electro-assisted fermentation platform for total resource recovery from diverse wastewaters,Active,,39.19603,-96.58136,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Integrated Anaerobic Membrane Bioreactor (AnMBR)-electro-assisted fermentation platform for total resource recovery from diverse wastewaters,Kansas State U              ,1999917,KS,10/1/2021,"The proposed anaerobic membrane bioreactor platform will demonstrate total resource recovery from swine wastewater to produce valuable chemicals, fertilizers and water for reuse. This will be achieved through a combination of anaerobic fermentation with simultaneous separation of the organic acids within the bioreactor and separate sequestration of ammonia-N and phosphate-P through ion exchange and coagulation-flocculation-sedimentation, respectively. The proposed platform is expected to create an entirely new market spectrum within public wastewater utilities, livestock operations and food industries by transforming them into revenue-generating centers or biorefineries. Products generated will range from organic acids for use as food preservatives and bioplastics manufacturing, ammonia-N as feedstock for the fertilizer industry or direct farm use as slow-release fertilizer, tailored phosphorus fertilizers for appropriate soil types, stabilized biosolids for sustainable land application and finally, water for indirect reuse or discharge.",,"Lawrence Berkley National Labs (LBL), University of Kansas (KU), University of Pittsburgh (Pitt) and CDM Smith",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Integration of Data-Driven Process Control for Maximization of Energy and Resource Efficiency in Advanced Water Resource Recovery Facilities,Active,,38.81403,-77.06396,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Integration of Data-Driven Process Control for Maximization of Energy and Resource Efficiency in Advanced Water Resource Recovery Facilities,Water Research Foundation             ,1200825,VA,10/1/2021,The project will develop and demonstrate data-driven process controls in full-scale facilities for five promising process technologies that provide a whole-plant approach and offer substantial energy and resource recovery benefits. The five applications that will be investigated are Carbon diversion: High-rate contact stabilization; Biological nutrient removal: ammonia-based aeration control/ammonia vs. NOx control + mainstream partial denitrification with anammox; Disinfection with peracetic acid; Phosphorus recovery: MagPrex; Holistic biosolids optimization,,"Black & Veatch, Hampton Roads Sanitation District, DC Water, Metro Wastewater Reclamation District, University of Michigan, Northwestern University, and Oak Ridge National Laboratory",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Low-Energy Biomembrane Filtration Process for Advanced Water Resource Recovery Systems,Active,,42.28564,-83.71673,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Low-Energy Biomembrane Filtration Process for Advanced Water Resource Recovery Systems,University of Michigan,1598053,MI,10/1/2021,"The goal of this project is to dramatically reduce the energy and cost required to produce treated wastewater that can be further polished for reuse if desired. The most commonly used treatment technology today at U.S. water resource recovery facilities (WRRFs) is activated sludge (AS). The Modified Ludzack-Ettinger (MLE) configuration is the most common AS process for combined carbon and nitrogen removal. Although the MLE process is costly and energy intensive, it does not produce an effluent suitable for direct use in typical water reuse treatment processes. Consequently, WRRFs that have been upgraded to allow for water reuse often employ membrane bioreactor (MBR) technology. When WRRFs need expanded capacity but without the need for water reuse, upgrades often include moving bed biofilm reactors (MBBR). While MBR/MBBR technologies are being increasingly utilized to update WRRFs, they are expensive and energy intensive. Alternatively, we propose a novel biomembrane filtration process to achieve an effluent suitable for discharge or input to water reuse technologies at reduced cost and energy relative to not only MBR and MBBR, but even relative to AS systems.",Steven Skerlos,"inCTRL Solutions, Suez Water Technologies & Solutions, and the City of Ann Arbor",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Novel Modular Treatment System for Distributed Energy Recovery and Water Reclamation from Industrial Wastewaters,Active,,44.9739,-93.23638,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Novel Modular Treatment System for Distributed Energy Recovery and Water Reclamation from Industrial Wastewaters,U of MN Twin Cities              ,1628356,MN,9/1/2021,"The goal of the Regents of the University of Minnesota is to accelerate the commercialization of a distributed treatment technology that provides energy-positive treatment of high strength food and beverage industry wastewater along with water reuse possibilities. This laboratory-scale technology, the Modular Encapsulated Two-stage Anaerobic Biological (METAB) system, addresses a critical barrier to widespread use of distributed biological technologies: the ability to design a low-maintenance, low-energy, and small-footprint system that treats variable high strength wastewater effectively. This will be accomplished by hypothesis-driven laboratory experiments, process modeling, sustainable design (including techno-economic analysis, TEA, and life cycle assessment, LCA), and a pilot-scale study for performance verification. The University will partner with a water technology company (Evoqua Water Technologies) to advance the commercialization of the technology. Additional partners, a government body with the responsibility to treat high strength industrial wastewaters and the innovative outlook that has led to incentivizing distributed treatment of such flows (Metropolitan Council Environmental Services), and an industrial generator of high strength wastewater, Fulton Brewing, will also provide critical insights for advancing the METAB system. ",Paige Novak,"Evoqua Water Technologies, Fulton Brewing, and Metropolitan Council Environmental Services.",Advanced Water Resource Recovery Systems ,8/31/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Nutrient Recovery from Anaerobic Digestion Dewatering Side Stream using Bipolar Membrane Electrodialysis,Active,,44.6618,-74.99471,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Nutrient Recovery from Anaerobic Digestion Dewatering Side Stream using Bipolar Membrane Electrodialysis,Clarkson University        ,1087661,NY,9/1/2021,"Funding was provided to Clarkson University to design, develop, fabricate, and field test a Bipolar Membrane Electrodialysis (BMED) based approach to recover nutrients from water resource recovery facilities (WRRF). The system would be pilot tested at an existing WRRF. Lab and bench scale development and testing would be conducted to determine key operating parameters necessary to achieve desired energy and resource recovery from WRRFs. Multiple units would be developed, including a BMED, a membrane contactor, and a crystallizer. Strategies to mitigate fouling and scaling would be developed and implemented. The conditions that would result in the most effective separation and recovery of nutrients would be identified and the units would be optimized accordingly. This information would be used to design and validate a scaled-up, skid-mounted pilot system which would be designed and assembled at Clarkson University and installed and tested at the City of Cortland WRRF. Techno-economic analysis and life cycle assessment would be run throughout. After completion of the project, all equipment and piping modifications would be removed from the Cortland Wastewater Treatment Facility and transported to Clarkson University. ",,"City of Cortland WWTF, Wright-Pierce Engineering Consultants, and Koester Associates.",Advanced Water Resource Recovery Systems ,8/31/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Reinventing Wastewater Treatment Plants: Energy Neutral Treatment and Enhanced Fertilizer Production through a Novel Resource Recovery Center,Active,,21.3286,-157.82859,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Reinventing Wastewater Treatment Plants: Energy Neutral Treatment and Enhanced Fertilizer Production through a Novel Resource Recovery Center,Kennedy Jenks Consultants           ,1997596,HI,9/1/2021,"The main objective of this project is to reduce the energy demand for secondary treatment at municipal wastewater treatment plants (WWTP) by at least 50%, increase anaerobic digester (AD) biogas and ammonia production by 100% and 120%, respectively, and recover 90% of ammonia from the AD. Team proposes to use cloth media (CM) filters to replace primary clarifiers (PC) to aggressively divert suspended solids (SS) to the AD and recover the ammonia from the centrate stream with core technology membrane evaporation (ME) process. When combined, CM, AD, and ME work synergistically to achieve energy positive treatment and fertilizer recovery. If implemented at a national scale, it could reduce national electrical energy demand by ~8.6 TWh/yr, increase biogas production by 90 billion ft3/yr, and save $1.2B/yr.",Leila Sermek,"South Platte Renew, Aqua Aerobics Systems,Baylor University and Colorado School of Mines",Advanced Water Resource Recovery Systems ,8/31/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Targeted Extraction of Valuable Intermediate Products and Clean Water from Municipal Wastewater Using Electroactive Anaerobic Membrane Bioreactors,Active,,34.07104,-118.44324,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Targeted Extraction of Valuable Intermediate Products and Clean Water from Municipal Wastewater Using Electroactive Anaerobic Membrane Bioreactors,UCLA                                 ,1999841,CA,10/1/2021,"The overall goal of the University of California, Los Angeles's project is the development of an anaerobic electric membrane bioreactor (AnEMBR)system designed to efficiently treat municipal wastewater, produce fit-for-purpose water, and extract valuable chemicals. The system is based on the integration of three platform technologies (electrofermentation (EF), electroactive gas stripping membranes, and electroactive water treatment membranes), and will treat wastewater with an overall energy consumption of 0.5 kWh/m3, using the sale of the extracted chemicals to offset the treatment costs, and yield a net-positive cash flow. TEA and LCA analyses will be used to establish the relationship between each platform, determine optimal operating conditions, and evaluate the performance of each platform and the integrated process. ",Dr. David Jassby,"Hyperion Water Reclamation, Los Angeles Sanitation District, Shell North America, and Princeton University",Advanced Water Resource Recovery Systems ,9/30/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Transforming Aeration Energy in Water Resource Recovery Facilities through Suboxic Nitrogen Removal (SNR),Active,,39.89261,-105.1492,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Transforming Aeration Energy in Water Resource Recovery Facilities through Suboxic Nitrogen Removal (SNR),"Carollo Engineers, Inc.                     ",1981823,CO,9/1/2021,"This project combines two technology concept papers, both encouraged by the DOE for full proposal submission, into a single technology concept. The funding and success of this project will bring a technology to market long awaited by the U.S. wastewater industry as it holds promise to significantly lower energy costs while improving effluent quality. Aeration has the highest energy reduction potential in WRRFs, yet our industry has moved at a glacial pace towards aeration efficiency. This is primarily due to traditional beliefs that nitrification requires high DO conditions for stable process operation. However, our team members and other researchers have overturned this credo in recent years by independently demonstrating nitrogen removal under suboxic conditions (i.e., dissolved oxygen (DO) concentration less than 0.5 mg/L) at pilot-scale. Nevertheless, this has not moved into industry practice, as field application of suboxic nitrogen removal (SNR) requires a gradual microbial transition from high to low DO in the aeration basins. Reliable SNR hinges on a high degree of process control and stability that existing Proportional Integral Derivative (PID)-based aeration control systems in WRRFs are not designed for. Thus, WRRFs are rightfully worried about possible permit violations when lowering aeration for SNR. Model Predictive Aeration Control (MPAC) can overcome this barrier. This technology improves the accuracy of aeration control through real-time machine learning and predictive algorithms, which are responsive to the highly dynamic treatment conditions WRRFs experience daily. Since its first full-scale pilot implementation at the Chico WRRF in 2018, the DO/Nmaster MPAC technology developed by Ekster & Ass. brings the accuracy and reliability required to make SNR successful.",,"NewHub, Water Research Foundation, APG-Neuro, Ekster and Associates, Hampton Roads Sanitation District, Los Angeles County Sanitation Districts, Columbia University, and University of Wisconsin",Advanced Water Resource Recovery Systems ,8/31/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Tunable Two-Dimensional (2D) Porous Material/Polymer Composite Hollow Fiber Membranes for Advanced Water Resource Recovery,Active,,43.00182,-78.78554,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Tunable Two-Dimensional (2D) Porous Material/Polymer Composite Hollow Fiber Membranes for Advanced Water Resource Recovery,University of NY at Buffalo              ,1350000,NY,9/1/2021,"The proposed project will develop high-performance membranes for low-cost and energy-efficient dye desalination, enabling recovery of valuable dye and reduction of wastewater for treatment. Our core technical activities will combine three key innovations: (1) reduced holey graphene oxide (rHGO) with right-sized nanochannels and low tortuosity exhibiting high water permeance, low salt rejection, and high dye rejection; (2) porous hollow fiber (HF) supports based on functional polymers with high packing density; and (3) cross-linkers to covalently bond the rHGO to the HF support. If successfully developed, our rHGO hollow fiber membranes (HFMs) will improve energy efficiency by 70% and lower the cost by 70%, compared with the state-of-the-art commercial nanofiltration (NF) membrane systems used in textile plants. The specific objectives are: â€¢ Develop rHGO membranes with high water permeance and >99% rejection for dye molecules and ",Haiqing Lin,"Helios-NRG, Trimeric Corporation, and National Energy Technology Laboratory (NETL)",Advanced Water Resource Recovery Systems ,8/31/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Water Management and Reuse System for Crude Oil Desalting Processes via Tunable and Scalable Graphene Oxide-based Nanofiltration Membranes,Active,,33.7759,-84.3927,Advanced Water Resource Recovery Systems,Cross-Sector Technologies,Water Management and Reuse System for Crude Oil Desalting Processes via Tunable and Scalable Graphene Oxide-based Nanofiltration Membranes,Georgia Tech Research Corporation   ,1443540,GA,8/1/2021,"The overall goals of this collaborative Georgia Tech (GT)-Phillips 66 (P66) project are to create a transformative membrane-based technology for treatment and reuse of water (with hydrocarbon resource recovery) from effluent streams generated by crude oil desalting operations, and to quantify the operational, economic, and life cycle characteristics and impacts of this technology. ",Sankar Nair,Phillips 66 Company,Advanced Water Resource Recovery Systems ,7/31/2024,,https://www.energy.gov/articles/doe-awards-275-million-16-teams-working-decarbonize-us-water-infrastructure
Organic Rankine Cycle (ORC) Integration and Optimization for High Efficiency CHP Genset Systems  ,Active,,34.17093,-83.9181,Flexible combined Heat and Power (CHP) FOA,Cross-Sector Technologies,Organic Rankine Cycle (ORC) Integration and Optimization for High Efficiency CHP Genset Systems  ,ElectraTherm,1437534,GA,10/1/2018,"This project seeks to develop an ORC system that operates in higher temperature and pressure ranges, which will allow the waste heat leaving the system to be utilized for a wider range of applications, including space heating and cooling. To achieve this goal, the project team will explore different variants of a high pressure expander and feed pump, heat exchanger alternatives, and new working fluids. The ORC system will be designed to match a reciprocating engine with a 1 MW capacity or more. The project goal is to be able develop a CHP system with electricity generation efficiency of 45% or greater and total system efficiency of 85% or greater at rated electrical capacity, and electricity generation efficiency of 30% or greater and total system efficiency of 85% or greater at 50% of rated electrical capacity.",,,combined Heat and Power & District Energy,6/30/2023,,
Compact Hydrogen Generator,Inactive,https://www.osti.gov/biblio/1692380,41.99862,-87.89859,Determination of Non-competitive Funding Award,Energy- and Emissions-Intensive Industries,Compact Hydrogen Generator,Gas Technology Institute,6479075,IL,9/1/2019,"Gas Technology Institute (GTI) is developing a One-Step Hydrogen Generation through a Sorption Enhanced Reforming (SER) process that provides significant improvements in energy productivity, environmental performance, product yield, and economic benefit as compared to the Steam Methane Reforming process.  ",Jeff Mays,,CHEMICAL MANUFACTURING AND DYNAMIC CATALYST SCIENCE,11/30/2022,,
Carbon-Free Iron for a Sustainable Future,Inactive,https://www.energy.gov/sites/prod/files/2019/07/f65/Carbon%20Free%20Iron%20for%20Sustainable%20Future.pdf,42.48953,-71.15888,Emerging Resource Explorations,Energy- and Emissions-Intensive Industries,Carbon-Free Iron for a Sustainable Future,Boston Metal,2000000,MA,8/1/2018,"The project objective is to mature the molten oxide electrolysis (MOE) technology for iron production. Significant development is needed to successfully run an inert anode in a MOE self-heated cell at a production scale to produce carbon-free iron. The project outcomes address MOE cell design steps: (a) development and design of inert anodes with respect to operational requirements; (b) modification and optimization of the MOE cell design to accommodate anode operation; and (c) pilot-scale demonstration of carbon-free iron ingots. The pilot-scale MOE cells should benchmark the inert anodes’ performance and functional behavior, and validate stable iron and oxygen production with an anode mass reduction of less than 5% over the course of the week-long experiment",Guillaume Lambotte,,Iron and Steelmaking Processes,1/31/2023,,https://www.energy.gov/eere/amo/emerging-research-exploration
