cid,foa,company,shortname,feedstock,detailed_feedstock,conversion_technology,primary_product,biofuel_capacity,latitude,longitude,scale,city,project_start,project_end,status,state,state_code,factsheet,doegrant,osti_final,description,costshare,total_project_cost
EE0008252,FY17 - Integrated Biorefinery Optimization,South Dakota School of Mines and Technology,SDSMT,By-Product,Bio-Crude,Hybrid,Bio-Intermediates,1 ton/day,44.14587,-103.207,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Rapid City,,Active,Active,South Dakota,SD,,2.1,,"The South Dakota School of Mines will demonstrate the cost effective production of biocarbon, carbon nanofibers, polylactic acid, and phenol from the waste streams generated from the biochemical platform technology. The production of these four products will generate revenue for IBRs and will drive down the fuels cost from these facilities.",0.23,2.3
EE0008253,FY17 - Integrated Biorefinery Optimization,NREL,NREL,N/A,N/A,Analysis/Modeling,Non-Fuel Project,N/A,39.71854,-105.246,Modeling/Analysis,Golden,,Active,Active,Colorado,CO,,1.8,,The NREL project will leverage and extend state-of-the-art modeling and simulation tools to develop integrated simulations for feed handling and reactor feeding systems. ,0.45,2.3
EE0008254,FY17 - Integrated Biorefinery Optimization,"Forest Concepts, LLC",Forest Concepts,N/A,N/A,Analysis/Modeling,Non-Fuel Project,N/A,47.3095,-122.264,Modeling/Analysis,Auburn,,Active,Active,Washington,WA,,1.5,,"From characterization datasets generated using Penn State’s laboratory scale Cubical Triaxial Tester (CTT), the project will develop and validate a comprehensive computational model to predict mechanical and rheological behavior of biomass flow to enable systematic and reliable design of biomass  systems.",0.37,1.9
EE0008255,FY17 - Integrated Biorefinery Optimization,Clemson University,Clemson,N/A,N/A,Analysis/Modeling,Non-Fuel Project,N/A,34.68157,-82.8158,Modeling/Analysis,Clemson,,Active,Active,South Carolina,AR,,1.8,,"This project aims to develop analytical tools to identify an optimal IBR process design for the reliable, cost effective, sustainable, robust and continuous feeding of biomass feedstocks into a reactor.",0.2,2
EE0008256,FY17 - Integrated Biorefinery Optimization,Purdue University,Purdue University,N/A,Municipal Solid Waste,Analysis/Modeling,Non-Fuel Project,N/A,40.4673,-86.9281,Modeling/Analysis,West Lafayette,,Active,Active,Indiana,IN,,1.8,,"This project aims to develop strong, innovative computational and empirical models that rigorously represent the multiphase flow of biomass materials. The project will characterize physical, structural, and compositional properties of biomass feedstocks, and compare results of these models with actual flow behavior of biomass materials in a biorefinery.",0.52,2.3
EE0008504,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Technology Holding LLC,Technology Holding,Lignocellulosic Biomass ,Lignocellulosic Materials With Yellow Grease ,Biochemical,Sustainable Aviation Fuel,,40.7561,-111.901,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Salt Lake City,,Active,Active,Utah,UT,,2.5,,The overall objective of the proposed innovation is to demonstrate techno-economic feasibility of an integrated process to produce drop-in jet fuel blend and isoprene as a co-product from biomass hydrolysate.,0.63,3.1
EE0008505,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Washington State University,WSU,Fats; Oils; Greases,Brown Grease,Thermochemical,Sustainable Aviation Fuel,,46.73033,-117.218,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Pullman,,Active,Active,Washington,WA,,2.8,,The project will evaluate the technical and economic feasibility of using hydro-processed esters and fatty acids (HEFA) facilities for co-processing of refined pyrolysis oils or hydrothermal liquefaction (HTL) oils with yellow greases.,0.71,3.5
EE0008506,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Applied Research Associates,ARA,Fats; Oils; Greases,Biogas,Thermochemical,Sustainable Aviation Fuel,200 gal total,30.15974,-85.6609,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Panama City,,Active,Active,Florida,FL,,2.4,,"ARA’s hydrothermal clean-up (HCU) process (patent pending) will remove metals, soaps, phospholipids, and other contaminants to produce a clean free fatty acid feedstock. The single-step HCU process allows for the use of low-cost feedstocks like brown grease, which most biofuel technologies cannot use without multiple cleanup operations that result in loss of yield and production of multiple waste streams.",0.59,3
EE0008507,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Gas Technology Institute,GTI,Biogas,Ethanol,Thermochemical,Sustainable Aviation Fuel,,42.04828,-87.8905,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Des Plaines,,Active,Active,Illinois,IL,,3,,Gas Technology Institute (GTI) proposes to convert biogas directly into jet fuel using the Cool GTL process. This process converts high CO2 and CO containing C1-C3 gases to jet fuel and gasoline. Cool GTL utilizes a unique new catalyst for CO2/steam reforming in the first stage and a unique new catalyst and fluid bed reactor for Fischer Tropsch plus wax cracking and isomerization in the second stage to directly make jet fuel from biogas.,0.85,3.9
EE0008508,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),"LanzaTech, Inc.",Lanzatech,Ethanol,Biogas,Biochemical,Diesel,500 gal total,32.38315,-82.5571,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Soperton,,Active,Active,Georgia,GA,,2.5,,"LanzaTech and PNNL will collaborate to develop and validate a robust, flexible Alcohol-to-Diesel (ATD) process for producing drop-in renewable diesel fuel from biomass-derived ethanol",0.63,3.1
EE0008509,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Research Triangle Institute,RTI,Bio-Crude,Woody Biomass,Thermochemical,Diesel,,35.38944,-81.0371,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Research Triangle Park,,Active,Active,North Carolina,NC,,2.6,,"To optimize the physical and chemical characteristics of biomass feedstock, to maximize bio-crude yields (independent of oxygen content) in catalytic biomass pyrolysis. Another focus of the proposed project is to improve bio-crude upgrading efficiency by fractionating the liquid intermediate and independently hydroprocessing each fraction to maximize biofuel production.",0.64,3.2
EE0008510,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),"West Biofuels Development, LLC",West Biofuels,Woody Biomass,Lignocellulosic Biomass ,Thermochemical,Diesel,,38.73185,-121.808,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Yolo County,,Active,Active,California,CA,,2.2,,West Biofuels—in partnership with the National Renewable Energy Laboratory (NREL) and the University of California San Diego (UCSD) will perform pre-commercial demonstration of a fungible low carbon fuels synthesis process that results in the development of bio-oil as an intermediate fuel with wide-scale adoption potential for renewable diesel fuel production.,0.73,2.9
EE0008511,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Mosaic Materials,Mosaic Materials,Biogas,Municipal Waste,Biochemical,Renewable Natural Gas,,37.77056,-122.265,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Alameda,,Active,Active,California,CA,,1.4,,Mosaic will demonstrate a lower cost process for the critical step in biogas upgrading – CO2 removal.This upgrading process is focused on utilizing a novel class of solid adsorbents composed of diamine-appended metal-organic frameworks (MOFs). ,0.36,1.8
EE0008512,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Municipal Solid Waste,Woody Biomass; Food Waste,Biochemical,Biopower,,40.10789,-88.2443,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Champaign,,Active,Active,Illinois,IL,,1.6,,Novel anaerobic membrane bio reactor with ammonia recovery / electrolysis to produce biogas and H2. Potential to significantly increase energy recovery from municipal waste streams.,0.4,2
EE0008513,FY18 - Process Development for Advanced Biofuels and Biopower (PDABB),Worcester Polytechnic Institute,Worcester Polytechnic Institute,Woody Biomass; Food Waste,Woody Biomass,Thermochemical,Biopower,,42.26528,-71.8794,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Worcester,,Active,Active,Massachusetts,MA,,2,,Solvent assisted fractionation of wood trimmings to remove lignin and feeding extracted carbohydrates along with food waste to a hydrothermal reactor. Catalytic upgrading of the bio oil to fuel. ,0.5,2.5
EE0008916,FY19 - BETO wide FOA,"T2C Energy, LLC",T2C,Landfill Gas,Corn Stover,Catalytic Upgrading,Diesel,"171,550",27.89181,-82.7248,TRL 6: Pilot Scale,Pinellas Park,,Active,Active,Florida,FL,,2.3,,"
T2C-Energy has developed and patented a novel catalytic technolog for the direct conversion of biogas to drop-in transport fuels. This project is focused on optimizing this new TRIFTS® technology at a relevant engineering scale capable of utilizing both the CO2 and CH4 portions of biogas and incorporating them into the hydrocarbon backbone of the final product of the process (renewable drop-in diesel).",0.58,2.9
EE0008917,FY19 - Bioenergy Technologies Office Multi-Topic Funding Opportunity Announcement,"OxEon Energy, LLC",OxEon,Biogas,Bio-Crude,Biochemical,Diesel,,40.7561,-111.901,TRL 4: Engineering Scale,Salt Lake City,,Active,Active,Utah,UT,,2,,"The proposing team of OxEon Energy, LLC (OxEon) and Environmental Products & Technologies Corporation (EPT) will conduct an engineering-scale demonstration, producing liquid hydrocarbon fuels using both the methane and CO2 generated in EPT’s food waste digester.",0.5,2.5
EE0008918,FY19 - Bioenergy Technologies Office Multi-Topic Funding Opportunity Announcement,Research Triangle Institute,RTI,Bio-Crude,Butane Rich Intermediate,Thermochemical,Diesel,,35.38944,-81.0371,TRL 4: Engineering Scale,Research Triangle Park,,Active,Active,North Carolina,NC,,2.4,,"The focus of the proposed project is to design, fabricate, and operate an engineering-scale reactive catalytic fast pyrolysis reactor system that can continuously maintain steady-state HDO activity to produce enough low oxygen content RCFP bio-crude to support extensive upgrading studies. ",0.59,3
EE0008919,FY19 - Bioenergy Technologies Office Multi-Topic Funding Opportunity Announcement,Gas Technology Institute,GTI,Woody Biomass,Biogas,Thermochemical,Renewable Hydrocarbons,,42.04828,-87.8905,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Des Plaines,,Active,Active,Illinois,IL,,1.3,,GTI proposes to incorporate the Integrated Hydropyrolysis and Hydroconversion (IH2®) plot plant with the Cool Reforming pilot plant to show that the IH2 process is hydrogen self sufficient and that the systems can be integrated.,0.32,1.6
EE0008920,FY19 - Bioenergy Technologies Office Multi-Topic Funding Opportunity Announcement,Purdue University,Purdue University,Chemical Intermediate,Cellulosic Sugars,Process Optimization,Sustainable Aviation Fuel,,40.4673,-86.9281,TRL 5: Industrially Relevant Scale/ Pre-Pilot,West Lafayette,,Active,Active,Indiana,IN,,1.8,,"The project will develop a novel process and catalyst system for building cyclic alkanes in the jet fuel range with minimal hydrogen consumption, processing requirements, and carbon intensity. This cycloalkane-rich fuel can be blended with n-alkanes and iso-alkanes from the previously developed LanzaTech/PNNL Alcohol-to-Jet process, to provide a fuel with ideal performance attributes.",0.44,2.2
EE0008921,FY19 - Bioenergy Technologies Office Multi-Topic Funding Opportunity Announcement,The Regents of the University of Colorado,The Regents of the University of Colorado,Cellulosic Sugars,Ethanol,Process Optimization,Sustainable Aviation Fuel,,40.04947,-105.201,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Boulder,,Active,Active,Colorado,CO,,1.8,,"This project will produce a jet fuel from cellulosic-derived sugars using a novel catalytic processing technology. The produced liquid fuel will have high combined content of cyclo-paraffins and dicyclo-paraffins, compounds that have high energy density, thermal stability, and low freeze point, all of which are  desirable and advantage properties for jet fuel.",0.91,2.7
EE0008922,FY19 - Bioenergy Technologies Office Multi-Topic Funding Opportunity Announcement,Vertimass LLC,Vertimass,Ethanol,Lignocellulosic Biomass ,Process Optimization,Sustainable Aviation Fuel,,33.75725,-117.75,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Irvine,,Active,Active,California,CA,,1.4,,"Vertimass seeks to increase cycloalkane content to enhance jet fuel blending by providing 1) fit-for-purpose properties now provided by aromatics in jet fuel (minimum jet fuel aromatics 8% wt, maximum 25%, and average 16-18%), 2) increased fuel energy density, and 3) lower emissions (particularly particulates) by aromatics.",0.36,1.8
EE0009256,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,University of Alabama,UA,Lignocellulosic Biomass ,Lignocellulosic Biomass ,Biochemical,Non-Fuel Project,,33.17024,-87.6162,TRL 4: Engineering Scale,Tuscaloosa,,Active,Active,Alabama,AL,,3.1,,"The project aims to further optimize the NREL developed deacetylation and mechanical refining (DMR) process. The DMR process achieves the final (3rd) mechanical refinement through the use of a roller mill, called a Szego Mill (designed for coal grinding), which is quite effective at refining low solids slurries, however it is lacking in long term mechanical reliability and is not optimized for biomass refining. ",0.76,3.9
EE0009257,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,University of North Dakota,UND,Lignocellulosic Biomass ,Wet Waste,Biochemical,Sustainable Aviation Fuel,,47.86664,-97.1411,TRL 4: Engineering Scale,Grand Forks,,Active,Active,North Dakota,ND,,3.7,,"UND will design, build, and test an engineering scale version of the key reaction step, hydrodeoxygenation, for a process to convert reactive lignin into a cyclohexane-rich kerosene jet fuel.",1.03,4.7
EE0009258,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,"Earth Energy Renewables, LLC",EER,Wet Waste,Algae,Biochemical,Sustainable Aviation Fuel,,30.63929,-96.3625,TRL 4: Engineering Scale,Bryan,,Active,Active,Texas,TX,,4,,This project will we will advance a new SAF route that arrests anaerobic digestion of wet waste to produce C2-C8 volatile fatty acids (VFA) as the key intermediate.,1.58,5.6
EE0009259,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,Global Algae Innovations,Global Algae,Algae,Pyrolysis Oil,Separations,Non-Fuel Project,,21.97583,-159.355,TRL 4: Engineering Scale,Lihue ,,Active,Active,Hawaii,HI,,4,,This project intends to scale-up and de-risk a new route to sustainable aviation fuel from wet waste volatile fatty acids.,1,5
EE0009260,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,North Carolina State University,NCSU,Pyrolysis Oil,Ethanol,Thermochemical,Non-Fuel Project,,35.77363,-78.6345,TRL 4: Engineering Scale,Raleigh,,Active,Active,North Carolina,NC,,4,,"The project will separate pyrolysis oil into two streams, a light and heavy biocrude split.  The more easily converted light stream is preferred for biofuels production.  The heavy biocrude is the focus of the project, which will scale up the key process (“delayed coker”) for converting biocrude pyrolysis oil into high-quality graphite and hard carbon that are economically and environmentally preferred as anode materials in lithium and sodium ion batteries. ",1.49,5.5
EE0009261,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,Oregon State University,OSU,Ethanol,Bio-Crude,Catalytic Upgrading,n-Butane,,44.63993,-123.276,TRL 4: Engineering Scale,Corvallis,,Active,Active,Oregon,OR,,4,,"This project will provide a new route to high performance renewable blendstock fuels with lower processing costs. The project will demonstrate the process, at scale, using a recently discovered new catalyst formulation that efficiently produces butene-rich olefins directly from ethanol.  ",1,5
EE0009262,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,Research Triangle Institute,RTI,Bio-Crude,"2,3-Butanediol ",Thermochemical,Non-Fuel Project,,35.38944,-81.0371,TRL 4: Engineering Scale,Research Triangle Park,,Active,Active,North Carolina,NC,,3.7,,RTI International is developing an advanced biofuels technology that integrates catalytic biomass pyrolysis and hydrotreating to produce advanced hydrocarbon biofuels and high-value chemicals.,0.92,4.6
EE0009263,FY20 - Bioenergy Technologies Office Fiscal Year 2020 Multi-Topic Funding Opportunity Announcement,Georgia Institute of Technology,GIT,Chemical Intermediate,Chemical Intermediate,Catalytic Upgrading,Sustainable Aviation Fuel,,33.84437,-84.4741,TRL 4: Engineering Scale,Atlanta,,Active,Active,Georgia,GA,,3,,"This project targets key process scale-up, modeling, and TEA LCA issues in the conversion of 2,3-butanediol (BDO) to kerosenic biojet fuel blendstocks for commercial aviation",0.75,3.8
EE0009753,FY21  - Scale-up and Conversion FOA ,Alder Energy,Alder Energy,Energy Crops,Waste CO2,Thermochemical,Sustainable Aviation Fuel,"15,330",32.78033,-79.9408,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Charleston,10/1/2021,Active,Active,South Carolina,SC,,4,,This project will scale Alder Energy’s proprietary advanced pyrolysis oil (APOTM) technology to convert 0.5 tonnes of biomass per day and produce sustainable aviation fuel (SAF) at <$2.75 per gallon with negative carbon intensity from regen-ag Miscanthus. ,1.92,5.9
EE0009759,FY21  - Scale-up and Conversion FOA ,"LanzaTech, Inc.",Lanzatech,Waste CO2,Corn Cobs,Biochemical,Sustainable Aviation Fuel; Diesel,"12,775",32.38315,-82.5571,TRL 5: Industrially Relevant Scale/ Pre-Pilot,Soperton,10/1/2021,Active,Active,Georgia,GA,,4,,"LanzaTech, Inc. (LT) proposes to build and operate a pre-pilot implementation of an innovative highly energy efficient and nearly 100% carbon efficient pathway to produce Sustainable Aviation Fuel (SAF) from biogenic waste carbon dioxide (CO2) and hydrogen (H2), using renewable electricity.",1.33,5.3
EE0009760,FY21  - Scale-up and Conversion FOA ,"D3MAX, LLC",D3MAX,Corn Stover,Landfill Gas,Biochemical,Sustainable Aviation Fuel,"60,000",47.86664,-97.1411,TRL 6: Pilot Scale,Grand Forks,10/1/2021,Active,Active,North Dakota,ND,,0.5,,"This project, called SAFFiRE, will demonstrate reliable, low-GHG production of sustainable aviation fuels (SAF) from corn stover in a fully integrated, 10 tonne per day pilot-scale facility.",0.5,1
EE0009761,FY21  - Scale-up and Conversion FOA ,T2C-Energy,T2C,Landfill Gas,Landfill Gas,Catalytic Upgrading,Diesel,"1,000,000",27.89181,-82.7248,TRL 7: Demonstration Scale,Pinellas Park,10/1/2021,Active,Active,Florida,FL,,0.5,,"T2C-Energy developed and patented a proprietary process, we have trademarked TRIFTS®, by which to convert biogas (or landfill gas) to liquid transportation fuels. This project seeks to scale the TRIFTS technology to enable the design and construction of a demonstration plant achieving a TRL of 7 by the end of the project.",0.53,1
EE0009762,FY21  - Scale-up and Conversion FOA ,"SkyNRG Americas, Inc",SkyNRG ,Landfill Gas,Miscanthus,Biochemical,Sustainable Aviation Fuel,"5,000,000",44.08204,-121.227,TRL 7: Demonstration Scale,Bend,10/1/2021,Active,Active,Oregon,OR,,1,,"SkyNRG Americas, and partner, LanzaTech, will design, engineer, build, and operate a unique demonstration-scale facility that will convert raw landfill gas (LFG) into sustainable aviation fuel (SAF).",1,2
