Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise_Description,Funding Type,Status
Commercial Buildings Integration,Technology & Systems Validation,Oak Ridge National Laboratory,New Air and Water Resistive Barrier Technologies for Commercial Buildings (CBI/ET Open Lab Call),Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/new-air-and-water-resistive-barrier-technologies-commercial-buildings,"The Oak Ridge National Laboratory will use test buildings to quantify the energy savings and reductions in air leakage rates due to the implementation of three newly-developed air and water-resistive barrier technologies. Compliance with minimum airtightness levels and the development of cost-effective air barrier materials could enable the reduction of energy used in commercial buildings due to infiltration, which amounts to about 1.29 quads per year.",ET/CBI Lab Call,Inactive
Emerging Technologies,Technology & Systems Validation,Oak Ridge National Laboratory,New Air and Water Resistive Barrier Technologies for Commercial Buildings (CBI/ET Open Lab Call),Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/new-air-and-water-resistive-barrier-technologies-commercial-buildings,"The Oak Ridge National Laboratory will use test buildings to quantify the energy savings and reductions in air leakage rates due to the implementation of three newly-developed air and water-resistive barrier technologies. Compliance with minimum airtightness levels and the development of cost-effective air barrier materials could enable the reduction of energy used in commercial buildings due to infiltration, which amounts to about 1.29 quads per year.",ET/CBI Lab Call,Inactive
Emerging Technologies,R&D - Advanced Lighting,Los Alamos National Laboratory,"Next-Generation ""Giant"" Quantum Dots:  Performance-Engineered for Lighting",Los Alamos,NM,35.880036,-106.303114,http://energy.gov/eere/buildings/downloads/next-generation-giant-quantum-dots-performance-engineered-lighting,Los Alamos National Laboratory will develop quantum-dot down-converters to be used in LED lighting. Advancements made in this project could drive further efficiency improvements in LED lighting.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Momentive,Next-Generation LED Package Architectures Enabled by Thermally Conductive Transparent Encapsulants,Strongsville,OH,41.314497,-81.83569,http://energy.gov/eere/buildings/downloads/next-generation-led-package-architectures-enabled-thermally-conductive,Momentive will develop next-generation LED package architectures enabled by thermally conductive composite encapsulant materials. These LED package architectures could provide more-efficient lighting options for use in U.S. buildings.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"UbiQD, LLC",Non-radiative Recombination Pathways in Non-carcinogenic Quantum Dot Composites,Los Alamos,NM,35.880036,-106.303114,http://www.energy.gov/eere/buildings/downloads/nonradiative-recombination-pathways-noncarcinogenic-quantum-dot-composites,"UbiQD, LLC (Los Alamos, NM) will investigate extremely low-cost, efficient phosphors for solid-state lighting using low-toxicity quantum dots. Quantum dots are a promising solid-state lighting phosphor to create white light from blue LEDs.",Small Business Innovation Research,Inactive
Building Energy Codes,,Appalachian State University,North Carolina Residential Energy Code Field Study,Boone,NC,36.216795,-81.674552,http://energy.gov/eere/buildings/downloads/nceeas-strategies-increase-residential-energy-code-compliance-rates,"Applaichan State University will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Novel Energy-Efficient Ventless Thermoelectric Clothes Dryer,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/novel-energy-efficient-thermoelectric-clothes-dryer,"Oak Ridge National Laboratory will develop and demonstrate a cost-effective, energy-efficient clothes dryer that is based on thermoelectric technology. This transformative dryer technology has the potential to save 356 TBtu/year.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Novel Ground-Level Integrated Diverse Energy Storage (GLIDES) Coupled with Building Air Conditioning,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/novel-ground-level-integrated-diverse-energy-storage-glides-coupled#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D29,"Oak Ridge National Laboratory, in partnership with Georgia Tech and IntelliChoice Energy, will integrate its Ground-Level Integrated Diverse Energy Storage (GLIDES) system with HVAC systems to provide efficient building-integrated electrical and thermal energy storage. This system enables smarter building-grid integration, as well as the use of low-grade heat, which would otherwise be lost in traditional HVAC systems.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Iowa State University,Novel Infiltration Diagnostics based on Laser-line Scanning and Infrared Temperature Field Imaging,Ames,IA,42.030781,-93.631913,http://www.energy.gov/eere/buildings/downloads/novel-infiltration-diagnostics-based-laser-line-scanning-and-infrared#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D30,"Iowa State University will develop an infiltration diagnostics system that uses a laser to locally heat a portion of the building envelope, and then uses an infrared camera to pinpoint air leaks. This system is able to measure and locate leaks within a building envelope, producing an energy saving potential of about 566 TBtu by 2030.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Alcoa,Novel Thermal-Break with Simplified Manufacturing for R7 Commercial Windows,Pittsburgh,PA,40.440625,-79.995886,http://energy.gov/eere/buildings/downloads/novel-thermal-break-simplified-manufacturing-r7-commercial-windows,Alcoa will develop advanced aluminum window frame technology as well as a manufacturing process for energy-saving commercial window systems that use the technology. Use of these windows in new and existing commercial buildings would drive progress toward national energy savings goals.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Intelligent Optical Systems Inc.,Optical Humidity Sensors for Building Energy Performance and Air Quality Control,Torrance,CA,33.835849,-118.340629,https://energy.gov/eere/buildings/downloads/optical-humidity-sensors-building-energy-performance-and-air-quality,Intelligent Optical Systems Inc. will develop optical sensors for relative humidity that have unprecedented long-term stability at costs comparable to those of existing sensors.,Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,OLEDWorks,Outdoor OLED Luminaire Using Solar Energy for Lighting Pedestrian Areas,Rochester,NY,43.16103,-77.610922,http://energy.gov/eere/buildings/downloads/outdoor-oled-luminaire-using-solar-energy-lighting-pedestrian-areas,"OLEDWorks will design an outdoor OLED luminaire using solar energy for lighting pedestrian areas that would be especially well suited for remote installations. By relying on solar power, this technology would decrease the amount of grid energy needed to light pedestrian areas.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,PARC,Passively-Powered Adaptively-Located Flexible Hybrid Sensors,Palo Alto,CA,37.441883,-122.143019,https://energy.gov/eere/buildings/downloads/passively-powered-adaptively-located-flexible-hybrid-sensors,"PARC, A Xerox Company, in partnership with Energy ETC Inc., will develop a wireless system of peel-and-stick sensor nodes that are powered by radio frequency hubs, relaying data to building management systems that can significantly reduce energy use. The wireless sensors and radio frequency hubs provide an opportunity to increase building energy efficiency by gathering and compiling data needed for building management.",Funding Opportunity,Inactive
Building Energy Codes,,Performance Systems Development,Pennsylvania Residential Energy Code Field Study,Philadelphia,PA,39.952584,-75.165222,http://energy.gov/eere/buildings/downloads/market-based-approaches-increase-energy-code-compliance-pennsylvania,"Performance Systems Development will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,Southface Energy Institute,Performance-Based IAQ and Optimized Venilation,Atlanta,GA,33.748995,-84.387982,http://www.energy.gov/eere/buildings/downloads/performance-based-iaq-and-optimized-ventilation#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D33,"Southface Energy Institute and partners will develop and validate a performance-based indoor air quality  assessment protocol for homes. The assessment protocol and smart ERV solution will achieve annual HVAC energy cost savings of approximately $100 compared to central fan integrated supply system, as well as a 50% reduction in ventilation-related latent loads compared to supply or exhaust ventilation strategies.",Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Fraunhofer USA, Inc.",Physics-based Interval Data Models to Automate and Scale Home Energy Performance Evaluations,Boston,MA,42.360083,-71.05888,http://www.energy.gov/eere/buildings/downloads/physics-based-interval-data-models-automate-and-scale-home-energy#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D34,"Fraunhofer USA and partners will develop models that use communicating thermostat data and interval electricity and gas data to remotely identify homes with significant energy savings opportunities. The tool will identify the top 20% of homes with the greatest potential for energy savings from insulation, air sealing, and/or heating system upgrades, reducing the number of unnecessary energy audits.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,PhosphorTech Corporation,Plasmonic-Enhanced High Light Extraction Phosphor Sheets for Solid-State Lighting,Kennesaw,GA,34.023434,-84.61549,http://www.energy.gov/eere/buildings/downloads/plasmonic-enhanced-high-light-extraction-phosphor-sheets-solid-state,"PhosphorTech Corporation aims to maximize the luminous efficacy of a phosphor down-converting LED system using a combination of high-quantum-yield red phosphors, surface plasmon resonance, and enhanced light-extraction efficiency. This could result in a  more than a 42% improvement in efficacy while also reducing material costs.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Eaton Corporation,"Print-Based Manufacturing of Integrated, Low Cost, High Performance SSL Luminaires",Menomonee Falls,WI,43.178897,-88.117313,http://energy.gov/eere/buildings/downloads/print-based-manufacturing-integrated-low-cost-high-performance-ssl,"Eaton Corporation will develop a new low-cost, high-efficiency LED architecture made possible by advanced manufacturing techniques which will enable both high efficiency and high color quality. Reduced material costs and optimized manufacturing could reduce the integrated light engine price from $50/klm at the project's inception to less than $4/klm.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Data & Design/Decision Tools,Institute for Market Transformation,Putting Data to Work,Washington,DC,38.907192,-77.036871,http://energy.gov/eere/buildings/downloads/institute-market-transformation-putting-data-work,The Institute for Market Transformation will develop an innovative toolkit and other resources to enable cities and energy efficiency program administrators to better analyze building energy data and subsequently deliver energy savings more successfully. This project could lead to substantial energy savings gains in U.S. cities.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Oak Ridge National Laboratory,R25 Polyisocyanurate Composite Insulation Material,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/r25-polyisocyanurate-composite-insulation-material,"Oak Ridge National Laboratory will develop a thin insulation material that demonstrates comparable performance to existing insulation technology. ORNL estimates the energy savings potential of this insulation to be 1,319 TBtu for retrofit-only commercial roof and residential wall applications.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"MicroContinuum, Inc.",R2R Production of Low-Cost Integrated OLED Substrate with Improved Transparent Conductor and Enhanced Light Outcoupling,Cambridge,MA,42.373616,-71.109733,http://energy.gov/eere/buildings/downloads/r2r-production-low-cost-integrated-oled-substrate-improved-transparent,"MicroContinuum, Inc. will continue to develop the enhancement film begun in Phase I and work to develop a modular rolle-to-roll (R2R) processing line. The R2R line will be capable of supplying large quantities of customizable substrate, enabling more cost-effective manufacturing of OLEDs.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,SC Solutions Inc.,Real-Time Learning Temperature Control for Increased Throughput in LED Manufacturing,Sunnyvale,CA,37.36883,-122.03635,http://www.energy.gov/eere/buildings/downloads/real-time-learning-temperature-control-increased-throughput-led,"SC Solutions Inc. (Sunnyvale, CA) will develop an innovative temperature controller for the LED manufacturing process that has the potential to reduce manufacturing costs by as much as 20%.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Sensors & Controls,Columbia University,"Reducing Plug-Load Electricity Footprint of Residential Buildings through Low-Cost, Non-Intrusive Sub-Metering and Personalized Feedback Technology",New York,NY,40.712784,-74.005941,https://energy.gov/eere/buildings/downloads/reducing-plug-load-electricity-footprint-residential-buildings-through-low,"Columbia University, with partners Lucid, Siemens, and Microsoft, has developed a technology that encourages occupants to change their electricity use by reducing their load or shifting usage to non-peak hours. By utilizing a human-in-the-loop approach and occupant feedback strategies, this sub-metering and feedback technology can reduce residential energy use by at least 30%.",Funding Opportunity,Inactive
Residential Buildings Integration,Energy Data & Design/Decision Tools,National Renewable Energy Laboratory,Residential Building Analysis Tools & Support,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/residential-building-analysis-tools-support,"The National Renewable Energy Laboratory will work to significantly increase the capability, cost effectiveness, openness, and reach of the Residential Buildings Integration (RBI) program’s tools and analysis methods to accelerate the adoption of zero energy ready homes.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Unico,Residential Cold Climate Heat Pump with Variable Speed Technology,St. Louis,MO,38.627003,-90.199404,http://energy.gov/eere/buildings/downloads/residential-cold-climate-heat-pump-variable-speed-technology,"Unico Systems will develop a highly efficient, cost-effective residential cold climate heat pump that maintains efficiency and reliability at very low temperatures. The technology could lead to annual energy savings of 0.1 quads, equal to a reduction of 5.9 million tons of carbon dioxide emissions.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Residential Gas-fired Cost-effective Triple-state Sorption Heat Pump,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/residential-gas-fired-cost-effective-triple-state-sorption-heat-pump#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D36,"Oak Ridge National Laboratory (ORNL), in partnership with ClimateWell and Rheem, will develop a residential, gas-fired split heat pump that will use an ammonia refrigerant, which is not a greenhouse gas and can convert chemical energy to heating and cooling without using any moving seals.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Pacific Northwest National Laboratory,Retro-Commissioning Sensor Suitcase Commercialization Pilot Project,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/retro-commissioning-sensor-suitcase-commercialization-pilot-project,"The Sensor Suitcase is a hardware and software solution that non-experts can use to generate low or no-cost recommendations automatically on how to improve a building's operating costs, comfort and energy performance. It could help unlock the vast potential for realizing low- and no-cost energy savings in the nation’s small commercial buildings.",ET/CBI Lab Call,Inactive
Emerging Technologies,Technology & Systems Validation,Oak Ridge National Laboratory,Retro-Commissioning Sensor Suitcase Commercialization Pilot Project,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/retro-commissioning-sensor-suitcase-commercialization-pilot-project,"The Sensor Suitcase is a hardware and software solution that non-experts can use to generate low or no-cost recommendations automatically on how to improve a building's operating costs, comfort and energy performance. It could help unlock the vast potential for realizing low- and no-cost energy savings in the nation’s small commercial buildings.",ET/CBI Lab Call,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Lawrence Berkeley National Laboratory,Robust Super Insulation at a Competitive Price,Berkeley,CA,37.871593,-122.272747,http://www.energy.gov/eere/buildings/downloads/robust-super-insulation-competitive-price#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D37,"Lawrence Berkeley National Laboratory, in partnership with Oak Ridge National Laboratory will develop insulation that is 2 to 4 times more efficient than conventional materials and at a comparable installed cost. This insulation technology has the potential of reaching an installed cost of $2.00 per square foot for R-12/inch and targets a technical potential of 1.7 quads.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Rotating Heat Exchanger Technology for Residential HVAC,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/advanced-rotating-heat-exchangers,"Oak Ridge National Laboratory will develop a high-impact heating, ventilation, air conditioning, and refrigeration (HVAC&R) technology that can be used in many applications. This technology could lead to 0.7 - 1.1 quads of energy savings.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Sandia National Laboratory,"RVCC Technology: A Pathway to Ultra-Efficient Air Conditioning, Heating, and Refrigeration",Albuquerque,NM,35.085334,-106.605553,http://energy.gov/eere/buildings/downloads/rotary-vapor-compression-cycle-technology-pathway-ultra-efficient-air,Sandia National Laboratories will develop a vapor compression cycle architecture. This technology can lead to an estimated 20% decrease in energy consumption in air conditioners and even greater savings when used as a heat pump in cold climates.,Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Association of Bay Area Governments,San Francisco BayREN: Integrated Commercial Retrofits,Oakland,CA,37.804364,-122.271114,http://www.energy.gov/eere/buildings/downloads/san-francisco-bayren-integrated-commercial-retrofits,The Association of Bay Area Governments will perform modeling analysis in nine Bay Area counties to help small and medium businesses achieve the cost effective energy efficiency improvements. The BayREN Integrated Commercial Retrofits project will modify and enhance existing open source tools to perform large-scale building energy modeling analysis on commercial buildings throughout the San Francisco Bay Area.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Cree, Inc.","Scalable Light Module for Low-Cost, High Efficiency LED Luminaires",Durham,NC,35.994033,-78.898619,http://energy.gov/eere/buildings/downloads/scalable-light-module-low-cost-high-efficiency-led-luminaires,"Cree will develop a versatile, low-cost, low profile LED light-module architecture that facilitates the assembly of a variety of high-efficacy, broad-area LED luminaires. This lightweight architecture will be applicable to numerous high-efficiency, broad-area LED luminaires and will ultimately reduce the cost per lumen of LED lighting.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Cree, Inc.","Scalable, Economical Fabrication Processes for Ultra-compact Warm-White LEDs",Durham,NC,35.994033,-78.898619,http://energy.gov/eere/buildings/downloads/scalable-economical-fabrication-processes-ultra-compact-warm-white-leds,"Cree, Inc. will develop a low-cost, high-efficiency LED architecture through modification to the conventional LED fabrication process flow. These new processes can be deployed in a variety of LED production lines, leading to reduced lighting energy use.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,International Center for Appropriate and Sustainable Technology,Scaling Energy Efficiency Retrofits for Small Commercial Apartment Buildings,Lakewood,CO,39.70471,-105.081373,http://www.energy.gov/eere/buildings/downloads/scaling-energy-efficiency-retrofits-small-commercial-apartment-buildings,"International Center for Appropriate and Sustainable Technology will expand its one-stop-shop model to address the Small Commercial Apartment Property market with deeper retrofit. Using the model is expected to cut energy use by 20-30% in small commercial apartment properties, reduce individual building utility bills by $3,100 annually, and create 200 jobs.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Pacific Northwest National Laboratory,"Sensors, Controls, and Transactive Energy Research",Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/downloads/sensors-controls-and-transactive-energy-research-0,"The major project objectives are to increase the operational efficiency and thereby reduce the operational cost of commercial buildings with very little or no capital investment, provide tools that can lead to decreased energy and peak electric power demand by commercial buildings, and ensure persistence of savings from re-tuning. These objectives support BTO corporate goals of cost-effectively reducing energy use in a typical commercial building by 20% by 2020 and 50% by 2050.",Lab Award,Inactive
Commercial Buildings Integration,Technology & Systems Validation,enVerid Systems,"Significant HVAC Energy Savings enabled by Practical, Low-Cost Air Treatment Technology",Houston,TX,29.760427,-95.369803,http://energy.gov/eere/buildings/downloads/enverid-systems-hvac-load-reduction,"enVerid Systems will demonstrate modular air treatment systems that use less energy to remove indoor air pollutants, such as carbon dioxide, in order to drive widespread adoption of this technology. This approach could reduce the energy consumption in commercial and public buildings by up to 50%.",Funding Opportunity,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Ecology Action of Santa Cruz,Small Market Advanced Retrofit Transformation Program (SMART Scale),Santa Cruz,CA,36.974117,-122.030796,http://energy.gov/eere/buildings/downloads/ecology-action-small-market-advanced-retrofit-transformation-program-2015,"Ecology Action of Santa Cruz will develop a platform for energy efficiency program administrators that offers a comprehensive set of energy-saving measures, integrated financing tools, and expedited project measurement and verification via a contractor-driven delivery model. The platform seeks to average at least 20% energy savings per building.",Funding Opportunity,Inactive
Commercial Buildings Integration,Technology & Systems Validation,Los Angeles Cleantech Incubator,SoCal Edge,Los Angeles,CA,34.052234,-118.243685,http://energy.gov/eere/buildings/downloads/los-angeles-cleantech-incubator-socal-edge,"The Los Angeles Cleantech Incubator will  accelerate the market adoption of super-efficient building technologies by creating a replicable transparent process for taking technologies from pilot to portfolio. The project will measure, document, and publicize the results of highly energy-efficient technology pilot demonstration projects, as well as help property owners define clear metrics to scale up projects.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,National Renewable Energy Laboratory,Solid-State Lighting Clean Energy Manufacturing Analysis Center Technology Analysis,Golden,CO,39.755543,-105.2211,http://www.energy.gov/eere/buildings/downloads/ssl-cemac-technology-analysis,"The National Renewable Energy Laboratory aims to understand manufacturing costs and value-add along the supply chain, U.S.-specific competitive advantages, and potential market impacts of the manufacture of the components in LED luminaires for commercial applications. These analyses will give decision-makers the data and insights needed to inform investment strategies, policy, and other decisions to promote economic growth and manufacturing in the transition to the clean energy economy.",Lab Award,Inactive
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Lime Energy,Solutions for Energy Efficiency among Small Businesses in Low-Income Communities,Newark,NJ,40.735657,-74.172367,http://www.energy.gov/eere/buildings/downloads/solutions-improve-energy-efficiency-us-small-and-medium-commercial,"Lime Energy  and partners will implement an energy efficiency service delivery model for small and medium size businesses in low-income communities, aiming to complete more than 1,000 retrofits featuring a performance guarantee and meter-validated savings. The results will create 60 jobs and generate $30 million in economic activity.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Arizona State University,Stable and Efficient White OLEDs Based on a Single Emissive Material,Tempe,AZ,33.42551,-111.940005,http://energy.gov/eere/buildings/downloads/stable-and-efficient-white-oleds-based-single-emissive-material,Arizona State University will develop efficient and stable white OLEDs that employ a single emissive material. This advancement in OLED technology could lead to building energy use reductions.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of Michigan - Ann Arbor,"Stable, High-Efficiency White Electrophosphorescent Organic Light Emitting Devices by Reduced Molecular Dissociation",Ann Arbor,MI,42.280826,-83.743038,http://energy.gov/eere/buildings/downloads/stable-high-efficiency-white-electrophosphorescent-organic-light-emitting,"The University of Michigan, Ann Arbor, will develop new strategies for increasing the lifetime of blue phosphorescent OLEDs (PHOLEDs). Longer-life PHOLEDs could provide notable energy and cost savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Glint Photonics,Stationary Concentrator Daylighting System,Burlingame,CA,37.57787,-122.34809,http://www.energy.gov/eere/buildings/downloads/stationary-concentrator-daylighting-system#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D41,"Glint Photonics will develop a stationary, roof-mounted concentrator daylighting system that uses internal optics to track the sun without external movement. This daylighting system will offset 40%-70% of the building’s electricity used for lighting and could potentially generate a total impact of 0.93 quads by 2030.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Lawrence Berkeley National Laboratory,Stay-Clean and Durable White Elastomeric Roof Coatings,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/stay-clean-and-durable-white-elastomeric-roof-coatings,Lawrence Berkeley National Laboratory is developing stay-clean white elastomeric roof coatings (ERCs) with a three-year aged solar reflectance (SR) of at least 0.75 and a service life of 15 years or more. These roof coatings could result in annual net energy cost savings of $0.63B and annual net primary energy savings of 0.083 quad in climate zones 3 and 4.,Lab Award,Inactive
Residential Buildings Integration,Technology & Systems Validation,"Home Innovation Research Labs, Inc.",Structural Support of Windows in Walls with Continuous Insulation,Upper Marlboro,MD,38.815947,-76.749691,http://www.energy.gov/eere/buildings/downloads/structural-support-windows-walls-continuous-insulation#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D42,"Home Innovation Research Labs will establish performance criteria and conduct comprehensive testing to evaluate the structural performance of continuous insulation walls with windows of varying shapes and sizes, insulation thicknesses, and installation methods.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,RTI International,System Reliability Model for Solid-State Lighting Luminaires,Research Triangle Park,NC,35.899168,-78.86364,http://energy.gov/eere/buildings/downloads/system-reliability-model-solid-state-lighting-luminaires-0,"RTI International will develop and validate a reliability model and accelerated life testing methodologies to predict the lifetime of integrated solid-state lighting luminaires. By improving testing methods, this project will give additional product information to manufacturers and SSL users who seek to justify higher first cost for SSL products over less efficient lighting technologies.",Funding Opportunity,Inactive
Building Energy Codes,,South-Central Partnership for Energy Efficiency as a Resource (SPEER),Technical Assistance for Code Implementation,Austin,TX,30.267153,-97.743061,http://www.energy.gov/eere/buildings/downloads/technical-assistance-code-implementation,"A variety of national, regional, and state-level stakeholders play critical roles in model code implementation.  The U.S. Department of Energy (DOE) partners with several organizations who provide technical assistance for state & local code implementation, which helps to improve model code adoption and increase compliance rates.",Direct Funded,Inactive
Emerging Technologies,Energy Data & Design/Decision Tools,National Renewable Energy Laboratory,Test Procedures for Building Energy Simulation Tools,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/test-procedures-building-energy-simulation-tools,"The National Renewable Energy Laboratory will develop test procedures for validating, diagnosing, and improving Building Energy Simulation tools. This will increase confidence in the use of building energy simulation programs by creating standardized and citable test suites for validating, diagnosing, and improving the current generation of software.",Lab Award,Inactive
Building Energy Codes,,National Association of State Energy Officials,Texas Residential Energy Code Field Study,Austin,TX,30.267153,-97.743061,http://energy.gov/eere/buildings/downloads/measuring-and-increasing-residential-energy-code-compliance-texas,"The National Association of State Energy Officials will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of California - Los Angeles,The Approach to Low-Cost High-Efficiency OLED Lighting,Los Angeles,CA,34.052234,-118.243685,http://energy.gov/eere/buildings/downloads/approach-low-cost-high-efficiency-oled-lighting,"The University of California, Los Angeles, will develop components for the fabrication of OLEDs with improved energy efficiency and reduced manufacturing cost. This improved OLED technology could lead to lower-cost, more-efficient lighting options being available on the market.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Sensors & Controls,Case Western University,"Transforming Ordinary Buildings into Smart Buildings via Low-Cost, Self-Powering Wireless Sensors and Sensor Networks",Cleveland,OH,41.49932,-81.694361,http://energy.gov/eere/buildings/downloads/transforming-ordinary-buildings-smart-buildings-low-cost-self-powering,"Case Western Reserve University will design and demonstrate low-cost, compact, easy-to-deploy, maintenance-free sensors that will transform buildings into ""smart"" buildings. This technology has the potential to reduce building energy use, lower buildings' environmental impact, and increase building occupant comfort, all at a low cost.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Lucent Optics Inc.,Ultra-Thin Flexible LED Lighting Panel,Sacramento,CA,38.581572,-121.4944,http://www.energy.gov/eere/buildings/downloads/ultra-thin-flexible-led-lighting-panels,"Lucent Optics Inc. (Sacramento, CA) will develop and demonstrate an ultra-thin flexible LED lighting panel.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,Pennsylvania State University,"Understanding, Predicting, and Mitigating Catastrophic Shorts for Improved OLED Lighting Panel Reliability",State College,PA,40.793395,-77.860001,http://energy.gov/eere/buildings/downloads/understanding-predicting-and-mitigating-catastrophic-shorts-improved-oled,"Pennsylvania State University will develop a way to better understand and predict the occurrence of short circuits in OLED lighting panels, in order to reduce failure rates by means of new, more-informative panel diagnostics, a modeling capability to predict mean time to failure, and new anti-shorting strategies that address the root cause of the problem.",Funding Opportunity,Inactive
