Program,Activity,ProjectLead,ProjectTitle,City,State,Latitude,Longitude,DOE Project Web Page,Concise Description,Funding Type,Status
Residential Buildings Integration,Technology & Systems Validation,Gas Technology Institute,Energy Savings with Acceptable Indoor Air Quality Through Improved Air Flow Control,Des Plaines,IL,42.033362,-87.883399,http://energy.gov/eere/buildings/downloads/energy-savings-acceptable-indoor-air-quality-through-improved-air-flow,"The Gas Technology Institute will develop a systems approach for managing air sealing, ventilation, and air distribution to improve a retrofitted home's energy use while maintaining indoor air quality. Ventilation energy savings of up to 30% are possible.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",GE Global Research,Energy-Efficient Clothes Dryer with IR Heating and Electrostatic Precipitator,Niskayuna,NY,42.800005,-73.891441,http://energy.gov/eere/buildings/downloads/energy-efficient-clothes-dryer-ir-heating-and-electrostatic-precipitator,"GE Global Research will design, build, and demonstrate a highly efficient residential electric clothes dryer. This technology could lead to more than 20 billion kWh of energy savings per year.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,"Energy-harvesting, Self-calibrating Wireless Sensors for Improving EE in Buildings",Oak Ridge,TN,36.010356,-84.269645,https://energy.gov/eere/buildings/downloads/energy-harvesting-self-calibrating-wireless-sensors-improving-energy-0,"Oak Ridge National Laboratory will develop system-level architecture for a plug-and-play multi-sensor platform, which can utilize peel-and-stick sensors less than a quarter of an inch thick and powered by indoor, high-performance, flexible photovoltaics. By developing sensors that are multi-functional and self-powered, this innovative platform can be adopted and deployed for wider spread energy efficiency of buildings.",Funding Opportunity,Active
Emerging Technologies,R&D - Building Energy Modeling,Lawrence Berkeley National Laboratory,EnergyPlus,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/energyplus-0,"EnergyPlus is BTO?s industry-leading open-source building energy modeling engine. EnergyPlus? advanced capabilities support the development of efficiency standards like ASHRAE 90.1 as well as the development of public and commercial applications for design, code-compliance, asset rating, building auditing, and dynamic building control. Oak Ridge National Laboratory works on EnergyPlus? testing framework and on re-engineering the code for greater execution speed.",Lab Award,Active
Emerging Technologies,R&D - Building Energy Modeling,National Renewable Energy Laboratory,EnergyPlus,Golden,CO,39.755543,-105.2211,http://energy.gov/eere/buildings/downloads/energyplus-0,"EnergyPlus is BTO?s industry-leading open-source building energy modeling engine. EnergyPlus? advanced capabilities support the development of efficiency standards like ASHRAE 90.1 as well as the development of public and commercial applications for design, code-compliance, asset rating, building auditing, and dynamic building control. Oak Ridge National Laboratory works on EnergyPlus? testing framework and on re-engineering the code for greater execution speed.",Lab Award,Active
Emerging Technologies,R&D - Building Energy Modeling,Oak Ridge National Laboratory,EnergyPlus,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/energyplus-0,"EnergyPlus is BTO?s industry-leading open-source building energy modeling engine. EnergyPlus? advanced capabilities support the development of efficiency standards like ASHRAE 90.1 as well as the development of public and commercial applications for design, code-compliance, asset rating, building auditing, and dynamic building control. Oak Ridge National Laboratory works on EnergyPlus? testing framework and on re-engineering the code for greater execution speed.",Lab Award,Active
Emerging Technologies,R&D - Sensors & Controls,Pacific Northwest National Laboratory,Enhanced Cloud-Based Control System for Small Commercial Buildings,Richland,WA,46.285691,-119.284462,http://energy.gov/eere/buildings/downloads/enhanced-cloud-based-control-system-small-commercial-buildings,"NorthWrite Inc. delivers services to owners of small commercial buildings, using a cloud-based service to monitor, control and optimize building operations. This saves money and reduces operating costs for owners while ensuring that occupant comfort needs are consistently met.",Small Business Vouchers Pilot,Active
Emerging Technologies,R&D - Advanced Lighting,Iowa State University,Enhanced Light Extraction from Low Cost White OLEDs (WOLEDs) Fabricated on Novel Patterned Substrates,Ames,IA,42.030781,-93.631913,http://energy.gov/eere/buildings/downloads/enhanced-light-extraction-low-cost-white-oleds-woleds-fabricated-novel,"Iowa State University will demonstrate a way to increase the outcoupling of simple white OLEDs while maintaining a high color rendering index, by disrupting the internal waveguiding, using a unique and innovative corrugation pattern.",Funding Opportunity,Active
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Envision Charlotte,Envision Charlotte Project,Charlotte,NC,35.227087,-80.843127,http://www.energy.gov/eere/buildings/downloads/envision-charlotte-project,"Envision Charlotte will expand its energy management approaches to more than triple the number of participating buildings. By adding additional participants, Envision Charlotte will continue to foster innovation in conserving energy and reducing operating costs.",Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,Oak Ridge National Laboratory,Equipment Health Monitoring with Virtual Intelligent Sensing,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/university-industry-national-laboratory-partnership-improve-building,Oak Ridge National Laboratory will develop a monitoring system capable of identifying opportunities for energy efficiency improvements in buildings. The technology could improve the energy efficiency of buildings by 15% - 25%.,Funding Opportunity,Inactive
Building Energy Codes,,New Buildings Institute,Exploration of Life-Cycle Energy Code Impacts,Portland,OR,45.523062,-122.676482,http://www.energy.gov/eere/buildings/downloads/exploration-life-cycle-energy-code-impacts,"The New Buildings Institute will work in a variety cities around the country to systematically identify how energy codes and other policy measures influence energy consumption patterns in municipal buildings. The New Buildings Institute will develop a methodology to measure the impact of codes on municipal building portfolios, and provide local governments with tools to identify which buildings are ripe for energy efficiency-related investments.",Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,"PPG Industries, Inc.",Fabricate On-Demand Vacuum Insulating Glazings,Cheswick,PA,40.541734,-79.799215,http://energy.gov/eere/buildings/downloads/fabricate-demand-vacuum-insulating-glazings,"PPG Industries, Inc. will develop a process to produce cheaper, stronger vacuum insulating glazings (VIGs), which are used to make windows more energy efficient. This process could lead to increased adoption of VIGs in windows, which would lead to significant energy savings.",Funding Opportunity,Active
Emerging Technologies,R&D - Window & Building Envelope,Lawrence Berkeley National Laboratory,Fenestration Software Tools,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/fenestration-software-tools,The Lawrence Berkeley National Laboratory develops and improves models for energy savings of window attachments to enable AERC to base its ratings and certification program. LBNL estimates their fenestration software tools have the technical potential for energy savings of 2 quads from windows (commercial and residential) by 2030 and an additional 0.17 quad from daylighting.,Lab Award,Active
Commercial Buildings Integration,Energy Efficiency Guides & Program Models,Retail Industry Leaders Association,Financial Management for Retail Energy Efficiency,Arlington,VA,38.87997,-77.10677,http://www.energy.gov/eere/buildings/downloads/financial-management-retail-energy-efficiency,The Retail Industry Leaders Association will improve energy savings in the retail sector by helping energy managers secure financing for efficiency projects&mdash;a key barrier to energy efficiency investment in this sector. This project will result in at least five new replicable energy financial management strategies.,Funding Opportunity,Active
Emerging Technologies,R&D - Sensors & Controls,University of California-Berkeley,"Hamilton: Flexible, Open Source $10 Wireless Sensor System for EE Building Operation",Berkeley,CA,37.871593,-122.272747,https://energy.gov/eere/buildings/downloads/hamilton-flexible-open-source-10-wireless-sensor-system-energy-efficiency,"The University of California-Berkeley and its partner, Building Robotics, will create, evaluate and establish the technical foundations for secure and easy to deploy building energy efficiency applications utilizing pervasive, low-cost wireless sensors integrated with traditional Building Management Systems (BMS), consumer-sector building components, personalized smartphone devices, and powerful data analytics.",Funding Opportunity,Active
Emerging Technologies,Technology & Systems Validation,Lawrence Berkeley National Laboratory,FLEXLAB,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/flexlab,"The Lawrence Berkeley National Laboratory FLEXLAB provides testing capabilities to allow for true comparison studies of systems technologies, with an infrastructure of highly granular and high accuracy sensors unparalleled in their ability to facilitate detailed assessments, including model validation and advanced model calibration using embedded test bed sensors.",Lab Award,Active
Emerging Technologies,R&D - Window & Building Envelope,"PPG Industries, Inc.",Fluorescent Pigments for High Performance Cool Roofing and Facades,Cheswick,PA,40.541734,-79.799215,http://energy.gov/eere/buildings/downloads/fluorescent-pigments-high-performance-cool-roofing-and-facades,"PPG Industries, Inc. will develop high-performing dark-colored pigments for use in cool roof coatings. These pigments would satisfy customers' demand for dark-colored cool roofs and lead to 0.17 quads of energy savings annually.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,"Fuel Cell Combined Cooling, Heating, and Power",Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/fuel-cell-combined-cooling-heating-and-power,"Oak Ridge National Laboratory will develope a novel technology called the Combined Air Conditioner and Power (CACP) System, which will have higher air-conditioning efficiency, low-cost thermal energy storage, no net water requirement, zero toxic emissions, shift the air conditioning load away from the grid, and decrease building energy costs. The project scope will design and test the CACP for better integration between buildings and the electrical grid.",Small Business Vouchers Pilot,Active
Building Energy Codes,,Southeast Energy Efficiency Alliance,Georgia and Arkansas Residential Energy Code Field Studies,Atlanta,GA,33.748995,-84.387982,http://energy.gov/eere/buildings/downloads/residential-energy-code-compliance-southeast-georgia-and-arkansas,"Southeast Energy Efficiency Alliance  will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,University of Michigan - Ann Arbor,Eliminating Plasmon Losses in High Efficiency White Organic Light Emitting Devices for Lighting Applications,Ann Arbor,MI,42.280826,-83.743038,http://energy.gov/eere/buildings/downloads/eliminating-plasmon-losses-high-efficiency-white-organic-light-emitting,"University of Michigan - Ann Arbor will develop innovative methods to outcouple the light within OLED devices in order to increase external quantum efficiency. This will be accomplished through nanoscale texturing beneath the anode outside the active region, fabricating sub-anode gratings along with microlens arrays, and top emitting structures with a sub-anode grid coupled with a reflective mirror at the base.",Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Lawrence Berkeley National Laboratory,Getting Beyond Widgets: Utility Incentive Programs for Commercial Building Systems,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/getting-beyond-widgets-utility-incentive-programs-commercial-building,Lawrence Berkeley National Laboratory is working with uility company partners to collect energy use data from the commercial sector. This data will be used for market segmentation analysis on the impact potential and applicability of this project to each utility partner.,Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,Columbia University,Graded Alloy Quantum Dots for Energy-Efficient Solid-State Lighting,New York,NY,40.712784,-74.005941,https://www.energy.gov/eere/buildings/downloads/graded-alloy-quantum-dots-energy-efficient-solid-state-lighting,"Columbia University will use an inexpensive and widely tunable library of quantum dot (QD) synthesis reagents along with automated high-throughput synthesis and analysis tools to grade the alloy composition of QD heterostructures, in order to provide stable and efficient narrow-band red down-converters for LEDs.",Funding Opportunity,Inactive
Residential Buildings Integration,Energy Efficiency Guides & Program Models,Lawrence Berkeley National Laboratory,Green Appraisals,Berkeley,CA,37.871593,-122.272747,http://www.energy.gov/eere/buildings/downloads/green-appraisals,The Appraisal Foundation (TAF) and the Building Technologies Office (BTO) will work together to enable practicing real estate appraisers to better characterize the value of energy efficient and other ?green? attributes of buildings. TAF will produce documentation that provides voluntary guidance on recognized valuation methods and techniques for valuation professionals.,Lab Award,Inactive
Residential Buildings Integration,Technology & Systems Validation,Lawrence Berkeley National Laboratory,Healthy Efficient Homes Research & Standards,Berkeley,CA,37.871593,-122.272747,http://www.energy.gov/eere/buildings/downloads/healthy-efficient-homes-research-standards,"Lawrence Berkeley National Laboratory will work with project partners to address several indoor air quality challenges for high performance homes through experimental, analytical and modeling efforts. The long term goal of this project is to significantly reduce the indoor air quality risks that are a barrier to industry adoption of high performance homes.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Sheetak,Heat Pump Water Heater using Solid-State Energy Converters,Austin,TX,30.267153,-97.743061,http://energy.gov/eere/buildings/downloads/heat-pump-water-heater-using-solid-state-energy-converters,"Sheetak will develop a next-generation water heater that can also be used in a variety of other appliances and HVAC systems. This quiet, reliable water heater will use less energy and cost less than currently available options.",Small Business Innovation Research,Active
Emerging Technologies,R&D - Advanced Lighting,"Cree, Inc.","High Efficacy, Multi-Functional SSL Platform",Durham,NC,35.994033,-78.898619,http://energy.gov/eere/buildings/downloads/high-efficacy-multifunctional-ssl-platform,"Cree, Inc. will incorporate a high-efficacy LED light engine into a demonstration luminaire, with concurrent advancements in LED light engines, optics, and sensors integrated to result in high efficacy as well as additional features such as spectral tuning.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Arizona State University,High Efficiency and Stable White OLED Using a Single Emitter,Tempe,AZ,33.42551,-111.940005,http://energy.gov/eere/buildings/downloads/high-efficiency-and-stable-white-organic-light-emitting-diode-using-single,"Arizona State University is demonstrating an efficient and stable white organic light diode (WOLED) using a single emitter on a planar glass substrate. By simplifying the device fabrication process, increasing the robustness of materials, and providing cost-effective emitter materials, Arizona State University will help reduce the overall manufacturering costs of WOLEDs.",Funding Opportunity,Inactive
Commercial Buildings Integration,Technology & Systems Validation,QM Power,High Efficiency Motors for Refrigerated Open Display Cases,Lee's Summit,MO,38.910841,-94.382172,http://energy.gov/eere/buildings/downloads/qm-power-inc-commercial-refrigeration-fan-applications,"QM Power will install and demonstrate approximately 12,000 high-efficiency fans in more than 50 U.S. grocery stores, focusing on open display case retrofits. This technology has additional applications and could achieve more than 0.6 quads and more than $1 billion in energy savings.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High Efficiency Solid-State Heat Pump Module,East Hartford,CT,41.763422,-72.612834,http://energy.gov/eere/buildings/downloads/high-efficiency-solid-state-heat-pump-module,United Technologies Research Center will demonstrate a compressor design that will enable high-efficiency small commercial rooftop air conditioning systems. This technology could provide 30% annual energy savings and reduce energy use by 2.5 quads by 2030.,Funding Opportunity,Active
Commercial Buildings Integration,Technology & Systems Validation,Lawrence Berkeley National Laboratory,High Impact Technology Catalyst,Berkeley,CA,37.871593,-122.272747,http://www.energy.gov/eere/buildings/downloads/high-impact-technology-catalyst,"The National Renewable Energy Laboratory is providing ongoing technical support for the High Impact Technology (HIT) Catalyst program, which identifies and prioritizes cost-effective, underutilized, energy-efficienct technologies, and then accelerates them into the market through pre-defined pathways.",Lab Award,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High Performance Commercial Cold Climate Heat Pump (CCCHP),East Hartford,CT,41.763422,-72.612834,http://energy.gov/eere/buildings/downloads/high-performance-commercial-cold-climate-heat-pump,United Technologies Research Center will develop a high-performance commercial cold climate heat pump system. The system could enable annual electricity use for building space heating in cold climates to decrease by at least 25%.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Window & Building Envelope,Lawrence Berkeley National Laboratory,High R Smart Window,Berkeley,CA,37.871593,-122.272747,http://energy.gov/eere/buildings/downloads/highly-insulating-residential-windows-using-smart-automated-shading,Lawrence Berkeley National Laboratory will design cost-effective windows that automatically adjust shading to maximize energy savings and provide desired heating or cooling effects. These windows could lead to significant reductions in energy use in residential heating and cooling.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Lumileds, LLC",High-Efficacy High-Power LED for Directional Applications,San Jose,CA,37.338208,-121.886329,http://energy.gov/eere/buildings/downloads/high-efficacy-high-power-led-directional-applications,"Lumileds, LLC will develop a high-efficacy, high-power LED emitter enabled by patterned sapphire substrate flip-chip architecture, die development to include novel contact design, phosphors with reduced bandwidth, and new optical materials for light extraction from the die.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",United Technologies Research Center,High-efficiency Low Global-Warming Potential (GWP) Compressor,East Hartford,CT,41.763422,-72.612834,http://energy.gov/eere/buildings/downloads/high-efficiency-low-global-warming-potential-gwp-compressor,"United Technologies Research Center will demonstrate a heat pump that is smaller, quieter, and cheaper to maintain than current models. The heat pump could result in annual energy savings of more than 1.5 quads and reduce greenhouse gas emissions by 60 million metric tons.",Funding Opportunity,Active
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",QM Power,Higher Efficiency HVAC Motors,Lee's Summit,MO,38.910841,-94.382172,http://energy.gov/eere/buildings/downloads/higher-efficiency-hvac-motors,"QM Power, Inc. will develop advanced HVAC motors that are significantly more efficient and cheaper than current solutions for almost all electric motor compressor and fan applications. The technology will have the potential to save more than 0.62 quads of energy.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,GE Global Research,Highly Integrated Modular LED Luminaire,Niskayuna,NY,42.800005,-73.891441,http://energy.gov/eere/buildings/downloads/highly-integrated-modular-led-luminaire,"GE Global Research will build a scalable, efficient, modular luminaire to address the integration of driver, optics, and package in a flexible integration platform that allows for simplified manufacturing to customized performance specifications.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,OLEDWorks,High-Performance OLED Panel and Luminaire,Rochester,NY,43.16103,-77.610922,http://energy.gov/eere/buildings/downloads/high-performance-oled-panel-and-luminaire,"OLEDWorks will develop the cost-effective and scalable manufacturing methods needed to produce a high-performance, large-area OLED lighting panel and luminaire system. This work will help develop and integrate the cost effective manufacturing technologies necessary to achieve the DOE performance and cost targets.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,High-Performance Refrigerator Using Novel Rotating Heat Exchanger,Oak Ridge,TN,36.010356,-84.269645,http://energy.gov/eere/buildings/downloads/high-performance-refrigerator-using-novel-rotating-heat-exchanger,"Oak Ridge National Laboratory will demonstrate a high-efficiency refrigerator that uses novel rotating heat exchanger technology to reduce energy use. The technology could produce energy savings of approximately 13%, or 407 TBtu/year.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,KLA-Tencor,"High-Throughput, High-Precision Hot Testing Tool for High-Brightness Light-Emitting Diode Testing",Milpitas,CA,37.432334,-121.899574,http://energy.gov/eere/buildings/downloads/high-throughput-high-precision-hot-testing-tool-high-brightness-light,"KLA-Tencor will develop, characterize, and verify a high-throughput, precision hot test tool for high-brightness light-emitting diodes (HBLEDs). The hot test tool will have an impact on the HBLED manufacturing process such that 2 quads of energy savings could be achieved at full market penetration.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,"Lumileds, LLC",High-Voltage LED Light Engine with Integrated Driver,San Jose,CA,37.338208,-121.886329,http://energy.gov/eere/buildings/downloads/high-voltage-led-light-engine-integrated-driver,"Lumileds, LLC will develop an LED light engine that integrates a new low-cost, high-power chip and optimized drivers. This light engine will enable comprehensive luminaire system cost reduction.",Funding Opportunity,Inactive
Residential Buildings Integration,,U.S. Department of Energy,Home Energy Information Accelerator,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/home-energy-information-accelerator,"The Home Energy Information Accelerator will demonstrate innovative policies and approaches to spur investment in energy efficiency across our homes, buildings, and industrial facilities.",Direct Funded,Inactive
Residential Buildings Integration,Technology & Systems Validation,U.S. Department of Energy,Home Improvement Catalyst,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/home-improvement-catalyst,The Home Improvement Catalyst (HI Cat) is a new DOE initiative focused on high impact opportunities to achieve energy savings in home improvements already planned or being undertaken by homeowners.  The Home Improvement Catalyst is designed to identify the multiple pathways to achieving an energy efficient home through energy upgrades and speed the adoption of market-ready energy improvements; resulting in greater energy savings over time.,Direct Funded,Active
Residential Buildings Integration,,U.S. Department of Energy,Home Performance with ENERGY STAR,Washington,DC,38.907192,-77.036871,http://www.energy.gov/eere/buildings/downloads/home-performance-energy-star-0,"The Home Performance with Energy Star program supplies information to consumers and the home energy improvement industry to produce quality energy-efficient upgrades. Currently, there are over 2,000 contractors across 24 states offering comprehensive, whole-home approaches to improving the energy efficiency and comfort to consumers.",Direct Funded,Active
Emerging Technologies,R&D - Sensors & Controls,Carnegie Mellon University,Human-in-the-loop Sensing/Control for Commercial Bldg. EE and Occupant Comfort,Pittsburgh,PA,40.440625,-79.995886,https://energy.gov/eere/buildings/downloads/human-loop-sensingcontrol-commercial-building-energy-efficiency-and,"Carnegie Mellon University will design, implement, and evaluate a human-in-the-loop sensing and control system for energy efficiency of heating, ventilation, air conditioning (HVAC), and lighting systems based on a novel occupancy sensor. Through occupant sensing and real-time data collection, this project will reduce energy waste, targeting a 20% energy savings, while increasing occupant comfort by accurately estimating occupants in an area to overcome current HVAC system operations.",Funding Opportunity,Active
Building Energy Codes,,Oak Ridge National Laboratory,HVAC Sizing Research,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/hvac-sizing-research,Oak Ridge National Laboratory  will analyze the impact of oversizing HVAC equipment to determine environmental performance and operational efficiency. This research will help improve understanding of the energy savings possible from properly sized HVAC equipment.,Lab Award,Inactive
Emerging Technologies,R&D - Advanced Lighting,PhosphorTech Corporation,Hybrid Down-Converting Structures for Solid State Lighting,Kennesaw,GA,34.023434,-84.61549,http://www.energy.gov/eere/buildings/downloads/hybrid-down-converting-structures-solid-state-lighting,"PhosphorTech Corporation (Kennesaw, GA)ÿwill research hybrid down-converting structures for solid-state lighting. These materials can enable a new generation of SSL devices with high luminous efficacies, high color and thermal stability, and very high spectral efficiency.",Small Business Innovation Research,Inactive
Emerging Technologies,R&D - Advanced Lighting,University of California - Santa Barbara,Identification and Mitigation of Droop Mechanism in GaN-Based LEDs,Santa Barbara,CA,34.420831,-119.69819,http://energy.gov/eere/buildings/downloads/identification-and-mitigation-droop-mechanism-gan-based-leds,"The University of California, Santa Barbara, will identify the fundamental causes of current droop in state-of-the-art commercial LEDs. These findings will lead to development of higher-performing LED lighting technologies.",Funding Opportunity,Inactive
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Ingersoll Rand,Improved Braze Joint Quality Through use of Enhanced Surface Technologies,La Crosse,WI,43.801356,-91.239581,http://www.energy.gov/eere/buildings/downloads/improved-braze-joint-quality-through-use-enhanced-surface-technologies#\\vse-endc-file02\home\AIsaacson\BTO Comms\Projects Map\Phase 3 Update 1\FY16FOAProjectPages.xlsx#Sheet1!D22,"Trane, in partnership with the University of Illinois, will develop engineered microstructure surfaces that will reduce refrigerant leaks and enhance HVAC&R systems? efficiency by improving the strength and quality of brazed joints.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,"Lumileds, LLC",Improved InGaN LED System Efficacy and Cost via Droop Reduction,San Jose,CA,37.338208,-121.886329,http://energy.gov/eere/buildings/downloads/improved-ingan-led-system-efficacy-and-cost-droop-reduction,"Lumileds, LLC will develop structures that will dramatically improve efficiency droop. The improvement in droop will be utilized to achieve higher performing LEDs.",Funding Opportunity,Inactive
Emerging Technologies,Energy Data & Design/Decision Tools,University of Miami,Improving Data Center Efficiency via End-to-End Cooling Modeling & Optimization,Coral Gables,FL,25.72149,-80.268384,http://www.energy.gov/eere/buildings/downloads/improving-data-center-efficiency-end-end-cooling-modeling-and-optimization,"the University of Miami, in partnership with Schneider Electric and Lawrence Berkeley National Laboratory, will create a tool for dynamic cooling and airflow optimization that is customized for the design and operational requirements of data centers and computer rooms by integrating several open-source modeling packages: the Modeling Buildings Library/Spawn-of-EnergyPlus for flexible IT equipment and cooling system modeling; LBNL?s GenOpt for optimization; and the University of Miami?s Fast Fluid Dynamics package for airflow modeling.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,OLEDWorks,Innovative High-Performance Deposition Technology for Low-Cost Manufacturing of OLED Lighting,Rochester,NY,43.16103,-77.610922,http://energy.gov/eere/buildings/downloads/innovative-high-performance-deposition-technology-low-cost-manufacturing,"OLEDWorks will reduce OLED manufacturing costs by developing innovative high-performance deposition technology. If OLD costs can be reduced to enable OLED lighting to make up 5% as large a market as LEDs by 2025, OLED lighting will save approximately 10 TWh/year.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Philips Research North America,Innovative Office Lighting System with Integrated Spectrally Adaptive Control,Briarcliff Manor,NY,41.140232,-73.840231,http://energy.gov/eere/buildings/downloads/innovative-office-lighting-system-integrated-spectrally-adaptive-control,"Philips Research North America will develop an innovative LED office lighting system that integrates light delivery, optics, and controls. The office portfolio developed in this project will maximize energy efficiency and occupant health and well-being.",Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Philips Research North America,Innovative Patient Room Lighting System with Integrated Spectrally Adaptive Control,Briarcliff Manor,NY,41.140232,-73.840231,http://energy.gov/eere/buildings/downloads/innovative-patient-room-lighting-system-integrated-spectrally-adaptive,"Philips Research North America will develop an innovative LED lighting system for patient rooms. This solution will be energy efficient and will meet all the needs of patients, caregivers, and visitors.",Funding Opportunity,Inactive
Residential Buildings Integration,Technology & Systems Validation,"The Levy Partnership, Inc",Integrated Design: A High Performance Solution for Affordable Housing,New York,NY,40.712784,-74.005941,http://energy.gov/eere/buildings/downloads/integrated-design-high-performance-solution-affordable-housing,"The Levy Partnership, Inc. will develop low-cost, highly efficient comfort system designs to enable affordably built homes to use heat pumps with superior air distribution systems. This demonstration could result in 50% energy savings over 2009 code requirements.",Funding Opportunity,Active
Emerging Technologies,R&D - Advanced Lighting,Sinovia Technologies,Integrated Plastic Substrates for OLED Lighting,Foster City,CA,37.558547,-122.271079,http://energy.gov/eere/buildings/downloads/integrated-plastic-substrates-oled-lighting,Sinovia Technologies will combine a barrier film technology with a nanowire transparent conduction film to make a single substrate product for OLED lighting. This technology will improve the efficiency and lower the cost of OLEDs.,Funding Opportunity,Inactive
Emerging Technologies,R&D - Advanced Lighting,Princeton University,ITO-free White OLEDs on Flexible Substrates with Enhanced Light Outcoupling,Princeton,NJ,40.357298,-74.667223,http://energy.gov/eere/buildings/downloads/ito-free-white-oleds-flexible-substrates-enhanced-light-outcoupling,Princeton University will integrate multiple aspects of outcoupling enhancement within one OLED structure to achieve greater than 60% outcoupling efficiency. This development will lead to higher-efficiency OLEDs.,Funding Opportunity,Inactive
Emerging Technologies,,Oak Ridge National Laboratory,JUMP,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/jump,"The Oak Ridge National Laboratory will work to enable increased technology to market of advanced building energy technologies by working with national lab inventors, stakeholders, and the public. These will reduce the time necessary for innovative ideas to reach the market, enabling the greater spread of building-related energy-saving technologies.",Lab Award,Active
Building Energy Codes,,Midwest Energy Efficiency Alliance,Kentucky Residential Energy Code Field Study,Frankfort,KY,38.200906,-84.873284,http://energy.gov/eere/buildings/downloads/kentucky-codes-compliance-improvement-study,"The Midwest Energy Efficiency Alliance will investigate whether investing in statewide building energy code education, training, and outreach programs can produce a significant change in residential building code compliance rates. The results of these activities provide the necessary business case to influence non-government entities, particularly utilities, to make investments in similar programs, which could lead to substantial national energy savings.",Funding Opportunity,Active
Emerging Technologies,,Oak Ridge National Laboratory,Lab-Corps,Oak Ridge,TN,36.010356,-84.269645,http://www.energy.gov/eere/buildings/downloads/lab-corps,"The Oak Ridge National Laboratory will work to enable increased technology to market of advanced building energy technologies by working with national lab inventors, stakeholders, and the public. These will reduce the time necessary for innovative ideas to reach the market, enabling the greater spread of building-related energy-saving technologies.",Lab Award,Active
Emerging Technologies,R&D - Advanced Lighting,"Lumisyn, LLC",LED Down-Converter Phosphor Chips Containing Nanocrystals,Rochester,NY,43.16103,-77.610922,http://www.energy.gov/eere/buildings/downloads/led-down-converter-phosphor-chips-containing-nanocrystals,"Lumisyn LLC (Rochester, NY)ÿwill improve the lifetime of its next-generation materials so that they can be used in LED products, resulting in an increase in LED efficiency by a factor of up to 1.3.",Small Business Innovation Research,Inactive
