CID,Award_Type,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Project_Title,Awardee,Recipient_Type,Program_Area,Subprogram_Node,MHK_Strategy_Challenge,MHK_Resource_Type,State,Region,Division,DOE_Funding_Amount,Project_Description,Status,Principal_Investigator,Technology_Area,Congressional_District,Project_Page
,Annual Operating Plan,,,2010,Basin-Scale Opportunity Assessment Methodology Workshop,Oak Ridge National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$68,540 ","Funding for this effort supported a workshop of key stakeholders, industry, environment, and scientific experts to develop methodologies and agree on approach to carrying out opportunity assessments in selected pilot basins. The multi-day workshop allowed participants to walk through a hypothetical, integrated basin-scale opportunity assessment process to explore potential opportunities, challenges, and outcomes. ",,,Hydropower,,/node/3029487
1.9.1.3,Annual Operating Plan,,,2010,Basin-Scale Opportunity Assessment,Oak Ridge National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$1,189,608 ","As called for in the March 2010 Memorandum of Understanding (MOU) for Hydropower among the Department of Energy, the Department of the Interior, and the Army Corps of Engineers, this effort identified opportunities for concomitant improvements in electricity generation and environmental conditions in selected case study basins, with the goal of developing, documenting, and demonstrating methodologies and tools that can be used by energy-water stakeholders in river basins throughout the U.S. to achieve similar improvements.",,,Hydropower,,/node/3029487
DE-EE0002658,Competitive Funding Opportunity Announcement,FY 2009 Advanced Water Power FOA,,2009,Benchmark Modeling of the Near-Field and Far-Field Wave Effects of Wave Energy Arrays,"Columbia Power Technologies, Inc. ",Industry,MHK Environmental Monitoring Instrumentation Research and Development,/node/778181,Barriers to Testing,Wave,VA;OR,Multi-regional,Multi-regional,"$598,154 ","Columbia Power Technologies and Oregon State University (OSU), through an industry-led partnership, performed benchmarking experiments and numerical modeling on arrays of wave energy converters. The experimental observations helped fill a knowledge gap in the near-field effects of multiple floating wave energy converters and are critical for estimating the potential far-field environmental effects of wave energy arrays. The experiments have been performed at the Hinsdale Wave Research laboratory at OSU by subjecting an array of newly developed Smart Buoys (National Laboratory-scale floating power converters) to conditions expected off the central Oregon coast. The resulting data are an important resource for testing models for wave/buoy interactions, buoy performance, and far-field effects on wave and current patterns due to the presence of arrays.

",Completed,,MHK,,/node/3459632
02.02.05.,Annual Operating Plan,,,2013,Biologically-Based Design and Evaluation of Hydropower Turbines,Oak Ridge National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$2,160,967 ","Hydropower regulatory requirements frequently call for industry to meet targets regarding fish injury and mortality rates, but meeting these requirements can add costs for project owners and operators. This project provides biologically based design and evaluation tools and fundamental information that industry, regulators, and natural resource managers can routinely apply to reduce design and regulatory review time and aid the development of sustainable hydropower. ",Active,"Bevelhimer, Mark",Hydropower,TN-5,/node/2746957
02.02.05.,Annual Operating Plan,,,2012,Biologically-Based Design and Evaluation of  Hydropower Turbines,Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$4,605,495 ","Hydropower regulatory requirements frequently call for industry to meet targets regarding fish injury and mortality rates, but meeting these requirements can add costs for project owners and operators. The Biological Design project provides biologically based design and evaluation tools and fundamental information that industry, regulators, and natural resource managers can routinely apply to reduce design and regulatory review time and aid the development of sustainable hydropower. ",Active,"Johnson , Gary",Hydropower,WA-5,/node/2603273
02.01.06.,Annual Operating Plan,FY 2015 AOP,,2015,Evaluating Potential for Impacts from Seal Collisions with Tidal Turbines,Pacific Northwest National Laboratory,Laboratory,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Current,WA,Pacific,West,"$492,058 ","While no collisions between marine mammals and tidal turbines have been observed, regulators continue to have concerns about potential impacts. Addressing these concerns can improve project permitting timeframes and reduce costs to developers. This project investigated the risk to marine mammals, including the consequences to the animal of a collision and the likelihood of a collision happening. Specifically, project researchers estimated the biomechanical properties of the skin and underlying tissues (in addition to the morphology and mass) of harbor seals; modeled the mechanics and forces associated with collision and assessed the consequences to tissues and the general physiological state of the harbor seal struck by a tidal turbine blade; and utilized information on the behavior of harbor seals in tidal waters and around tidal turbines to determine the risk of collision with a turbine blade.",Completed,"Copping, Andrea",MHK,,/node/3039620
02.01.06.,Annual Operating Plan,FY 2016 AOP,,2016,Evaluating Potential for Impacts from Seal Collisions with Tidal Turbines,Sandia National Laboratories,Laboratory,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Current,NM,Mountain,West,"$492,058 ","While no collisions between marine mammals and tidal turbines have been observed, regulators continue to have concerns about potential impacts. Addressing these concerns can improve project permitting timeframes and reduce costs to developers. This project investigated the risk to marine mammals, including the consequences to the animal of a collision and the likelihood of a collision happening. Specifically, project researchers estimated the biomechanical properties of the skin and underlying tissues (in addition to the morphology and mass) of harbor seals; modeled the mechanics and forces associated with collision and assessed the consequences to tissues and the general physiological state of the harbor seal struck by a tidal turbine blade; and utilized information on the behavior of harbor seals in tidal waters and around tidal turbines to determine the risk of collision with a turbine blade.",Completed,"Jepsen, Rich",MHK,,/node/3039872
DE-EE0003261,Congressionally Directed Project,FY 2010 CDP,,2010,Bridge Hydro-Turbine Study,"Multnomah County, Oregon",State/Local/Tribal Government,MHK System Design and Validation,/node/778186,"Difficult Engineering, Market Maturity",Current,OR,Pacific,West,"$150,000 ","Multnomah County in Oregon conducted a feasibility study on attaching miniturbines to the face of bridge piers on the Willamette River in order to generate renewable and economically stable electricity. Since Multnomah County has limited geothermal, solar, and wind renewable energy, hydrokinetic resources on the Willamette River may be the most viable option for providing renewable and reliable electricity generation. Attaching miniturbines to seven county-owned piers could provide hydrokinetic electricity generation to the county or local grid without building a dam or diversion, while also providing some protection from shipping, fish, and wildlife. The feasibility study has determined whether generating electricity via these miniturbines attached to bridge piers is economically and logistically feasible; the optimal size, number, and placement of turbines and resultant electrical power generated; the compliance issues associated with the project; and whether the county, local utility, or third-party developer would be the best entity to undertake such a hydrokinetic energy production project.",Completed,,MHK,,/node/3473294
DE-EE0006399,Competitive Funding Opportunity Announcement,FY 2013 MHK System Performance Advancement,,2013,"Build and Test of a Novel, Commercial-Scale Wave Energy Direct-Drive Rotary Power Take-Off Under Realistic Open-Ocean Conditions","Columbia Power Technologies, Inc. ",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,VA,South Atlantic,South,"$3,000,297 ","Columbia Power Technologies will demonstrate a novel, high-performance power take-off (PTO) module—the drivetrain and generator assembly that converts mechanical energy into electricity—for its StingRAY wave energy converter. The new PTO system will use a generator and other unique equipment to provide high-efficiency, low-maintenance energy conversion and storage. The project seeks to not only improve cost competitiveness, but also reduce maintenance costs in deployed wave energy devices.",Active,,MHK,,/node/2602937
2.1.2.0.704,Annual Operating Plan,FY 2017 AOP,,2017,CalWAVE Power Take-Off (Small Busines Voucher 2017),Sandia National Laboratories,Laboratory,MHK System Design and Validation,,Difficult Engineering,Wave,NM,Mountain,West,"$150,000 ","Sandia National Laboratories is partnering with California Wave Power Technologies, LLC (CalWave) to advance its wave energy converter (WEC) technology by broadening device controls beyond the power take-off system. The U.S. Department of Energy's (DOE's) Small Business Vouchers(SBV) Pilot program funded this project. CalWave was the first runner-up in the Wave Energy Prize, an 18-month design-build-test competition that produced a technology leap in WEC devices. Through this project, Sandia will collaborate with Calwave to improve the device capability in efficiently absorbing energy from ocean waves and to potentially integrate PTO control approaches into existing schemes of overall device control.",Active,,MHK,,/node/3711157
DE-EE0006517,Competitive Funding Opportunity Announcement,FY 2013 MHK (Wave) Testing Infrastructure Development,,2013,California Wave Energy Test Center (CalWave),California Polytechnic State University,University,MHK Testing Infrastructure,/node/778176,Barriers to Testing,Wave,CA,Pacific,West,"$2,370,500 ","CalWave investigated and characterized an ocean site in California for the potential development of a wave energy test facility. The site met expected requirements for full-scale wave energy devices, with an annual average wave power density requirement of greater than 30 kilowatts per meter and a depth of at least 50 meters. The long stretch of coastline also provided a wide range of testing climates. ",Active,,MHK,,/node/2631668
DE-EE0008097,Competitive Funding Opportunity Announcement,FY 2017 Marine and Hydrokinetic Technology Development and Advancement,,2017,California Wave Power Technologies Open Water Demonstration,California Wave Power Technologies,Industry,MHK System Design and Validation,,,,CA,Pacific,West,"$4,349,917 ","California Wave Power Technologies (CalWave) will upscale its wave energy converter (WEC) technology for open-ocean testing. As a runner-up in the 2016 Wave Energy Prize, CalWave's device demonstrated more than a three-fold improvement in energy capture per unit structural cost. Through testing, CalWave will validate and update estimated costs for a full-scale version of its technology. The company will advance the technology readiness level (TRL) of the device through advanced numerical simulations, dynamic hardware tests, and a 1:4-scale open water demonstration, while continuing to exceed the U.S. Department of Energy's (DOE's) target Average Climate Capture Width per Characteristic Capital expenditure (ACE) threshold&mdash;a method for calculating the levelized cost of electricity&mdash;of 3 meters per million dollars (3m/$M).",Active,,MHK,,/node/3791937
2.1.0.602,Annual Operating Plan,,,2017,"Canyon Industries, Inc.'s Archimedes Screw Turbine FOA Project",Pacific Northwest National Laboratory,Laboratory,New Hydro Development,,,,WA,Pacific,West,"$19,281 ",This funding supports the Optimization of Archimedes Screw for Use in Hydroelectric Projects project.,Active,,Hydropower,,/node/3840301
DE-EE0007245,Competitive Funding Opportunity Announcement,Research and Development of Innovative Technologies for Low Impact Hydropower Development,,2015,Cellular Cofferdams for Hydropower Use,Colorado School of Mines,University,New Hydro Development,,,,CO,Mountain,West,"$202,854 ","The Colorado School of Mines is conducting a study to develop engineering designs that will extend the capabilities of cellular cofferdam construction to more permanent implementation as hydropower dams. Cellular cofferdams are structures that help retain water and soil, and are essential for the construction of bridges, dams, and other marine structures. Using engineering analysis, modeling, and design practices, the Colorado School of Mines will propose and investigate different designs to mitigate the shortcomings of cellular cofferdams and make them more suitable to be used as permanent hydropower dams. In each of the proposed designs, the full dam will be constructed using a cellular cofferdam as the core structure. This approach will maintain the ability to rapidly construct the dam in-water with less environmental impacts. Further, this approach will allow for adaptability to local conditions, while maintaining low construction costs, as well as ease of dismantling after its intended use. In addition to developing enhanced configurations, project performers will develop a manual for the design and construction of more permanent cellular cofferdams for hydropower use. Lastly, researchers will study the environmental and economic impacts of the proposed scheme in relation to traditional hydropower dams.",Active,,Hydropower,,/node/3711298
DE-EE0007246,Competitive Funding Opportunity Announcement,Research and Development of Innovative Technologies for Low Impact Hydropower Development,,2015,Cement Changes and Solutions to the Industry,North Dakota State University,University,New Hydro Development,,,,ND,,,"$200,000 ","In this project, North Dakota State University (NDSU) is developing a more durable, crack-free concrete alternative for hydropower facilities. The proposed matrix, which will be a combination of different materials, will be capable of reducing shrinkage in concrete. Moreover, basalt fiber reinforcements will be included in the selected sample to reduce a wide range of crack sizes, resulting in increased water tightness in structures. NDSU will also look at how sustainable the mix will be in terms of reducing the carbon footprint. The final goal of the project is to make the product as cost effective as possible.",Active,,Hydropower,ND-1,/node/3711310
DE-EE0003263,Congressionally Directed Project,FY 2010 CDP,,2010,Center for Ocean Renewable Energy Infrastructure Enhancements,University of New Hampshire,University,MHK System Design and Validation,/node/778176,"Difficult Engineering, Harsh Environment, Barriers to Testing",Crosscutting,NH,New England,Northeast,"$750,000 ","The University of New Hampshire is enhancing three principal components of its Center for Ocean Renewable Energy (CORE) research, development, and evaluation infrastructure to serve the needs of ocean renewable developers: (1) the Chase Ocean Engineering Laboratory, (2) the General Sullivan Bridge tidal energy site, and (3) the Offshore Wave and Wind energy site. The significant infrastructure upgrades to CORE’s three sites are providing significant benefits to the ocean energy industry’s research, development, and evaluation capabilities.",Active,,MHK,,/node/2714389
,Annual Operating Plan,,,2010,Climate Change Report Development,Oak Ridge National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$500,000 ",This funding supports the SECURE Water Act Section 9505 Assessment project.,Active,,Hydropower,,/node/3746727
1.2.90.403,Annual Operating Plan,FY 2016 AOP,,2016,Columbia Power Technologies Full-Size Float Structural Testing (System Performance Advancement FOA),National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,Difficult Engineering,Wave,CO,Mountain,West,"$277,573 ",This funding supports the Wave Energy Converter Structural Optimization through Engineering and Experimental Analysis project.,Active,,MHK,,/node/2679942
02.01.02.,Annual Operating Plan,FY 2016 AOP,,2016,Columbia Power Technologies Power Take-Off Dyno Testing (System Performance Advancement FOA),National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,Difficult Engineering,Wave,CO,Mountain,West,"$476,755 ","This funding supports the Build and Test of a Novel, Commercial-Scale Wave Energy Direct-Drive Rotary Power Take-Off Under Realistic Open-Ocean Conditions project.",Active,"McDade, Mark",MHK,,/node/2602937
DE-EE0007821,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2017,Commercial-Scale 1MW Power Take Off Unit Utilized for Ocean Wave Energy Converters,"Siemens Government Technologies, Inc. d/b/a SGT Dresser-Rand",Industry,MHK System Design and Validation,,Difficult Engineering,Wave,NY,Middle Atlantic,Northeast,"$3,369,410 ","In this project, Dresser-Rand Company will design and construct a grid valve, as well as optimize the control strategy and aerodynamic characteristics of their HydroAir Power Take-Off (HAT PTO) system designed for use on oscillating water column (OWC) wave energy devices. The company will upgrade the 500-kW HAT PTO by implementing several system innovations. This will increase its operational capacity to 1 MW, advancing the device's technology readiness level--a method of estimating technology maturity on a scale of 1 to 10, 10 being the most mature--from 7 to 8.",Active,,MHK,,/node/3711325
2.5.0.604,Annual Operating Plan,,,2017,Commercialization of Sensor Fish Technology to Support Hydropower Development,Pacific Northwest National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,WA,Pacific,West,"$150,000 ","To help develop technologies, tools, and strategies to evaluate and address environmental impacts, Pacific Northwest National Laboratory (PNNL) developed and patented the Sensor Fish instrument and associated copyrighted support software (Hydropower Biological Evaluation Tools). The Sensor Fish is an advanced sensor technology that collects data to characterize the environment of installed turbines. The Sensor Fish provides fisheries managers, dam owners, and researchers with accurate measurements of the physical conditions that fish endure as they pass through dams or other complex flow fields. The use of pre-commercial Sensor Fish instrument has already led to better physical and biological evaluations of turbines, including retrofit designs at large dams, such as Ice Harbor Dam in Washington State, where a Sensor Fish evaluation confirmed that the impacts to migratory salmon were reduced by the new turbine design. A fully commercial Sensor Fish could be used to evaluate existing, refurbished, or newly installed hydro-turbines, auxiliary dam structures that fish interact with, and other water pathways fish utilize, and the resulting data can be used to improve conditions for fish. A non-provisional patent application for the Sensor Fish design was filed in 2015. This project focuses on commercialization and technology transfer of the Sensor Fish technology to support hydropower development. In addition, a new and smaller version of the Sensor Fish technology, the Sensor Fish Mini, is being developed to characterize the growing need for sustainable small hydro and scale-turbine model testing. ",Active,,Hydropower,,/node/3746826
2.2.0.701,Annual Operating Plan,,,2017,"Composite Technology Development, Inc. The Design and Development of a Composite Hydropower Turbine Runner",Sandia National Laboratories,Laboratory,New Hydro Development,,,,NM,Mountain,West,"$50,300 ",This funding supports the The Design and Development of a Composite Hydropower Turbine Runner project.,Active,,Hydropower,,/node/3928235
DE-EE0007173,Competitive Funding Opportunity Announcement,FY 2015 Marine and Hydrokinetic Systems Performance Advancement II (SPA II): Component Metric Validation,/node/1004541,2015,Controls Optimization of Three Different Wave Energy Converters ,Re Vision Consulting LLC,Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Crosscutting,CA,Pacific,West,"$2,499,237 ","Re Vision Consulting will develop a control system that predicts ocean conditions and adjusts device settings accordingly to optimize power production for three different wave energy converter (WEC) devices—the OE Buoy developed by Ocean Energy USA, the Surge WEC device developed by Resolute Marine Energy, and the Wave Carpet developed at University of California, Berkeley. The device developers will validate these device performance improvements through wave tank testing and one final full-scale test. The deliverable will be a validated, full-scale, feed-forward controller for one WEC device and three 1:15 sub-scale, feed-forward controller tests.",Active,,MHK,,/node/2631272
,Annual Operating Plan,,,2009,An Assessment of Energy Potential at Non-Powered Dams in the United States,Oak Ridge National Laboratory,Laboratory,New Hydro Development,,,,TN,East South Central,South,"$1,214,458 ","Oak Ridge National Laboratory and Idaho National Laboratory conducted an assessment on the energy potential at non-powered dams (NPDs) throughout the United States. The laboratories studied 54,391 of the 80,000+ NPDs in the nation to quantify the potential capacity and generation available from adding power production capabilities. The remaining dams were eliminated from the study because of erroneous geographic information, erroneous flow or drainage area attributes, or their height was less than five feet. Quality control and review processes were conducted to ensure that all dams in the study were analyzed as accurately as possible.",Completed,,Hydropower,,/node/3794358
DE-EE0008014,Competitive Funding Opportunity Announcement,HydroNext: Innovative Technologies to Advance Non-Powered Dam and Pumped-Storage Hydropower Development,/node/1923016,2016,"Cost-Effective, Small-Scale Pumped-Storage Configuration","Obermeyer Hydro, Inc.",Industry,PSH and Grid Reliability,,,,CO,Mountain,West,"$1,180,665 ","Obermeyer Hydro, Inc. is designing a cost-effective, small-scale, adjustable speed pumped-storage hydro (PSH) system optimized for the energy storage requirements in the United States. The company will install reversible pump turbines with submersible permanent magnet motor generators&mdash;a more cost-effective solution than underground power houses. Innovative pressure relief and hoisting systems will eliminate the need for surge tanks and large cranes. The scalability and versatility of the design will facilitate the storage of renewable energy throughout the United States.",Active,,Hydropower,,/node/3794412
DE-EE0006927,Competitive Funding Opportunity Announcement,Water Power Manufacturing,,2014,Cost-Optimized Modular Helical Rotors Turbine-Generator System for Small-Hydro Power Plants ,Eaton Corporation,Industry,New Hydro Development,,,,MI,,,"$2,199,801 ","New technologies need to be more efficient, flexible, and environmentally friendly to maximize water use, energy, and the environment. Eaton Corporation will develop an innovative small hydropower turbine and generator system that uses lightweight advanced materials and advanced manufacturing techniques, such as laser-assisted welding, surface treatments, and processing. The turbine will be designed to operate constantly at high efficiencies across a wide range of ""heads,"" or changes in elevation, and varying water flow rates. Eaton Corporation will design, fabricate, and test its turbine at 1/10th scale. ",Active,,Hydropower,OH-11,/node/2647320
02.02.02.,Annual Operating Plan,,,2014,Cost Data Collection and Modeling for Hydropower,Oak Ridge National Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,TN,East South Central,South,"$2,298,625 ","This project encompasses the data collection, modeling, and analysis of the costs and performance of hydropower plants in U.S. markets. Enabling the evaluation of hydropower projects’ cost and performance will inform hydropower research and development (R&D) priorities. Specifically, this work will enable researchers to analyze hydropower alongside conventional and other renewable energy technologies at a national scale and provide industry with core knowledge and tools to advance hydropower market analysis.",Active,"O'Connor, Patrick",Hydropower,TN-5,/node/3039305
02.02.02.,Annual Operating Plan,,,2016,Cost Modeling of the Eaton Modular Helical Rotors Turbine-Generator System,Oak Ridge National Laboratory,Laboratory,New Hydro Development,,,,TN,East South Central,South,"$200,000 ","Oak Ridge National Laboratory shall conduct hydropower system cost modeling of the Modular Helical Rotors Turbine-Generator System targeting the levelized cost of electricity (LCOE), installed capital cost (ICC) and other economic indices using Oak Ridge National Laboratory's Hydropower Cost Model (HCM).   Oak Ridge National Laboratory is a sub-awardee for the Eaton proposal to DE-FOA-0001006 and receives funding for this effort within the FY2016 Oak Ridge National Laboratory Water Power Annual Operating Plan to compliment Eaton efforts funded under contract DE-EE0006927.   At the insistence of Eaton, Oak Ridge National Laboratory will prepare and submit for DOE approval a Cooperative Research and Development Agreement for all work associated with this award and contract.   ",Active,"O'Connor, Patrick",Hydropower,TN-5,/node/2647320
,Competitive Funding Opportunity Announcement,,,2014,Current Energy Harnessing using Synergistic Kinematics of Schools of Fish-Shaped Bodies,"Vortex Hydro Energy, LLC",Industry,MHK Research and Development,,,,MI,,,"$998,574 ","Vortex Hydro Energy, LLC (VHE) has designed, model-tested, built, deployed, and field-tested Oscylator-4a commercial-scale converter of hydrokinetic energy to useable electricity. The Oscylator 4 converter, nick-named VIVACE (Vortex Induced Vibration for Aquatic Clean Energy), extracts energy from flow induced motions of cylinders generated from the hydrokinetic energy in flowing water.  The Oscylator-4 has been designed for operation in river currents, though other variants of the technology can operate in ocean tides and currents.  Under this project, synergistic kinematics are used to optimize the configuration of up to 4 cylinders, similar to fish swimming in a school, for maximum energy extraction.",Completed,,MHK,MI-12,/node/3499379
DE-EE0003635,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,Cycloidal Wave Energy Converter,Atargis Energy Corporation ,Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Current,CO,Mountain,West,"$400,000 ","Atargis Energy has designed, constructed, and tested a 1:10 scale model of its Cycloidal Wave Energy Converter (CyCWEC) at the Texas A&M Offshore Technology Research Center. The CycWEC is designed to address storm survival and energy costs two issues that hamper many wave energy converters currently under development. The DOE-supported work demonstrates on a kilowatt scale the world's first fully submerged wave energy converter system capable of cancelling deep ocean waves using hydrofoil lift. laboratory tests and simulations have achieved 99% wave cancellation. System modeling indicates greater than 70% overall wave-to-electric power conversion efficiency and levelized cost of energy below $0.14 per kilowatt hour are attainable.",Completed,,MHK,,/node/3499166
DE-EE0007823,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,DAISY: A Rapid Approach to Evaluating Marine Energy Converter Sound,University of Washington,University,MHK Environmental Monitoring Instrumentation Research and Development,,Barriers to Testing,Crosscutting,WA,Pacific,West,"$750,000 ","The project objective is to improve the quality of acoustic information collected from groups of drifting hydrophones, while reducing the costs of deployment analysis. This will be achieved through four focus areas: (1) minimization of flow-noise and self-noise, (2) integrating the existing autonomous sensors, (3) enabling objective identification of Marine and Hydrokinetic (MHK) converter sound against a backdrop of ambient noise through directional processing, and (4) automating post-processing routines, including machine learning algorithms to identify and isolate flow-noise and self-noise. The outcome will be a field-tested system ready for commercial adoption.",Active,,MHK,,/node/3563900
02.01.04.,Annual Operating Plan,FY 2015 AOP,,2015,Data Gathering Campaign,National Renewable Energy Laboratory,Laboratory,MHK Resource Characterization,,"Difficult Engineering, Harsh Environment, Market Maturity",Crosscutting,CO,Mountain,West,"$350,000 ","The goal of this project is to help accelerate deployment of MHK technology by establishing data usage guidelines for MHK projects, and by identifying competing-use areas associated with undersea power and telecoms cables. This will improve the quality and pace of project siting, approvals and certifications through all development phases and help establish a common methodology leading to more efficient and more probable successful project execution.",Active,"Sirnivas, Senu",MHK,,/node/3460577
02.01.02.,Annual Operating Plan,FY 2016 AOP,,2016,Dehlsen (FOA 1182),National Renewable Energy Laboratory,Laboratory,MHK System Design and Validation,,Difficult Engineering,Current,CO,Mountain,West,"$67,662 ",This funding supports the System-Agnostic Switched Reluctance Linear Generator for Wave Energy Converters project.,Active,"Muljadi, Ed",MHK,,/node/2663482
DE-EE0004572,Competitive Funding Opportunity Announcement,FY 2010 MHK Technology Readiness Advancement Initiative FOA,,2010,"Delos-Reyes Morrow Pressure Device (DMP): Simple, Scalable, and Submerged","M3 Wave Energy Systems, LLC",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,OR,Pacific,West,"$240,000 ","M3 Wave Energy Systems conducted a 12-month project to explore the commercial viability of the submerged Delos-Reyes Morrow Pressure Device , a new method of converting ocean wave energy into electricity. The key result was a detailed levelized cost of energy model for a full-scale system. This project advanced the technology from concept definition/feasibility through analytical proof of concept and small-scale experimental testing. The Northwest National Marine Renewable Energy Center at Oregon State University provided M3 with an analysis of nearshore wave conditions and a detailed system response model. Pacific Energy Ventures and M3 worked with industry experts to estimate full-scale system and operating costs. This project created new tools and techniques for modeling and testing submerged nearshore devices.",Completed,,MHK,,/node/3563450
DE-EE0007819,Competitive Funding Opportunity Announcement,FY 2016 Marine and Hydrokinetic Energy Conversion and Environmental Monitoring Technology Advancement,,2016,Demonstration of an Advanced Multi-Mode Point Absorber for Wave Energy Conversion,"Oscilla Power, Inc.",Industry,MHK System Design and Validation,,"Difficult Engineering, Harsh Environment",Wave,WA,Pacific,West,"$5,349,873 ","Oscilla Power, Inc. is incorporating hydrodynamic, drivetrain, and controls improvements to their Triton-C wave energy converter (WEC) device, which is a two-body, multi-mode point absorber. The full-scale Triton-C prototype features several innovations designed to: (1) improve mechanical energy capture from waves; (2) improve mechanical to electrical energy conversion efficiency; (3) improve system reliability and survivability; and (4) reduce capital expense. Oscilla Power, Inc. will test the device for one year at the U.S. Navy&rsquo;s Wave Energy Test Site (WETS), a 30 meter test berth in Hawaii. The project aims to quantify the value of installation, operations, and maintenance strategies on reducing the levelized cost of energy (LCOE).",Active,,MHK,,/node/4022352
DE-EE0005429,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,"Demonstration of Variable Speed Permanent Magnet Generator at Small, Low-Head Hydro Site",Weisenberger Mills,Industry,Hydro Optimization/Environmental Research and Analysis,/node/778156,,,KY,,,"$56,000 ","Weisenberger Mills evaluated variable-speed, permanent magnet generators for small low-head hydropower. The new technology increased efficiency by allowing the generator to respond to variations in water flow. While this new technology is significant for new small hydropower generating sites, it may also be important in increasing the energy generation output of equipment at existing sites.",Completed,,Hydropower,KY-5,/node/3564023
2.1.0.503,Annual Operating Plan,,,2017,Developing New Hydropower Using Existing Non-Powered Dams (Small Business Voucher 2017),Oak Ridge National Laboratory,Laboratory,New Hydro Development,,,,TN,East South Central,South,"$75,000 ","Oak Ridge National Laboratory (ORNL) is collaborating with Telluride Energy, LLC to identify small hydropower project sites (under 5 megawatts) on existing non-powered dams (NPDs) that provide water to a treatment plant. The ideal sites will have a conduit connected to a water treatment plant that could be retrofitted with hydropower to take advantage of opportunities created by the Hydropower Regulatory Efficiency Act of 2013, in which qualified projects can utilize the 60-day federal permitting process to speed up the project development timeline. The U.S. Department of Energy&rsquo;s (DOE&rsquo;s) Small Business Vouchers program, which provides clean energy small businesses access to select national laboratories, helped fund this project.",Active,,Hydropower,,/node/3928147
DE-FG36-08GO18171 ,Competitive Funding Opportunity Announcement,FY 2008 Advanced Water Power Projects FOA,/node/315649,2008,Development and Demonstration of a Wave Energy Converter System,"Concepts ETI, Inc. ",Industry,MHK System Design and Validation,/node/778176,Difficult Engineering,Wave,VT;HI,Multi-regional,Multi-regional,"$1,195,456 ","Concepts ETI and Oceanlinx developed a robust, maintainable, and commercially viable nominal 600-kilowatt wave energy converter (WEC) system to be deployed as part of a $10-million program being undertaken by Oceanlinx. The project focused on the design and manufacture of a second-generation variable pitch turbine with improved efficiency and reliability to be deployed offshore for testing and grid-connection evaluation in Maui, Hawaii. The project aimed to improve overall power recovery efficiency by as much as 50% using also a pneumatic energy-storage technique compared to the current state-of-the-art WEC systems. The full-scale demonstration will serve to validate the technology design approach, energy recovery efficiency, reliability, and system economics. The successful operation of the system will serve as an important milestone in the commercialization pathway of ocean wave power recovery systems.",Completed,,MHK,,/node/3447587
DE-EE0005412,Competitive Funding Opportunity Announcement,Advanced Hydropower Technology Development FOA,,2011,Development and Endurance Testing of SLH Timing Belt Powertrain in Hydraulic laboratory Environment,Natel Energy,Industry,New Hydro Development,/node/778156,,,CA,Pacific,West,"$300,000 ","Natel Energy, in consultation with Alden Research laboratory, designed, built, and commissioned a reliable powertrain for the Schneider Linear hydroEngine „¢. This powertrain enables the development of new low-head hydropower capacity by reducing capital and maintenance costs, achieving levelized-cost-of-energy savings of around $2 per megawatt hour.",Completed,,Hydropower,CA-5,/node/3446292
02.02.04.,Annual Operating Plan,,,2015,Development of Regulatory and Permitting Toolkit (RAPID) for Hydropower and Pumped-Storage Hydropower,National Renewable Energy Laboratory,Laboratory,Hydro Optimization/Environmental Research and Analysis,,,,CO,Mountain,West,"$2,308,333 ","One challenge for hydropower development is the complicated and lengthy licensing and permitting process, which adds to project risks, delays, and cost. To help mitigate this challenge, this project focuses on developing an interactive hydropower regulatory roadmap toolkit and related tools for conventional hydro and pumped storage development projects, which describes both federal and state permitting and regulatory processes. Related tools include a document (reference) library and a best practices section. ",Active,"Levine, Aaron",Hydropower,CO-5,/node/2631060
