Subject,Event Type,Title,Location,Event Date,AMO Pillar,Description,Attachment
Roll to Roll,Workshop,High Value Roll to Roll (HV R2R) Manufacturing Innovation,"Alexandria, VA",12/3/2015,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop. This 2 day workshop focused on the advanced manufacturing technology topic of HV R2R. Discussion topics included Advanced Deposition Processing and Printing, Unique Metrology and Quality Systems, and Continuous Processing/Process Development Needs.",https://www.energy.gov/eere/amo/downloads/workshop-high-value-roll-roll-hv-r2r-manufacturing-innovation-december-2-3-2015
Misc.,Workshop,Sustainability In Manufacturing,"Portland, OR",1/6/2016,R&D Projects ,"The topic of this 2-day workshop was Sustainable Manufacturing. This workshop included discussions featuring topics such as Developing and Using Alternative Feedstocks; Reduction of Waste in Manufacturing Processes; End of Life Product Management; Materials, Energy and Water Management; and Design and Analysis Needs for Sustainability.",https://www.energy.gov/eere/amo/downloads/workshop-sustainability-manufacturing-january-6-7
Electric Grid,Workshop,Dispatch able Distributed Generation: Manufacturing&apos;s Role in Support of Grid Modernization,"Austin, TX",2/10/2016,R&D Projects ,The topic of this 2 day workshop was the Role of the Manufacturing Sector in Grid Modernization. This workshop included discussions on the technological barriers of grid modernization in the industrial sector. ,https://www.energy.gov/eere/downloads/dispatchable-distributed-generation-manufacturing-s-role-support-grid-modernization
Clean Water,Workshop,Workshop on Clean Water Processing Technology Research and Development ,"Dallas, TX",7/10/2017,R&D Projects ,This workshop brought together leading scientific and technical experts across a range of clean water technologies to discuss opportunities for major advancements in science and technology for processing of clean water by exploring early-stage R&D in a broader array of clean water processing technologies.,https://www.energy.gov/eere/amo/downloads/workshop-clean-water-processing-technology-research-and-development-july-10-11
Artificial Intelligence,Workshop,Workshop on Artificial Intelligence Applied to Materials Discovery and Design,"Pittsburgh, PA",8/9/2017,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop on Artificial Intelligence Applied to Materials Discovery and Design. DOE invited experts from academia, national labs, federal agencies, and industry across several critical scientific disciplines. The workshop was designed to gather information on future capabilities, challenges, and barriers to advancing AI applied to materials discovery and design; barriers to more widespread adoption of the technology by industry; and the role the federal government should play in advancing the technology.",https://www.energy.gov/eere/amo/downloads/workshop-artificial-intelligence-applied-materials-discovery-and-design
Clean Water,Workshop,Workshop on Clean Water Processing Technology Research and Development ,"Cleveland, OH",8/23/2017,R&D Projects ,"The Advanced Manufacturing Office (AMO) hosted a workshop on Artificial Intelligence Applied to Materials Discovery and Design. DOE invited experts from academia, national labs, federal agencies, and industry across several critical scientific disciplines. The workshop was designed to gather information on future capabilities, challenges, and barriers to advancing AI applied to materials discovery and design; barriers to more widespread adoption of the technology by industry; and the role the federal government should play in advancing the technology.",https://www.energy.gov/eere/amo/downloads/workshop-clean-water-processing-technology-research-and-development-august-23-24
Technologist in Residence Program,Webinar,Technologist in Residence Program,,6/6/2018,Technical Partnerships,,https://www.energy.gov/eere/amo/downloads/technologist-residence-program-powerpoint
Process Intensification,Webinar,RAPID Process Intensification Webinar Series,,2/28/2018,Consortia,,https://www.energy.gov/eere/amo/events/rapid-manufacturing-institute-process-intensification-webinar-series
Advanced Energy Materials,Workshop,"A Multi-Agency, Multi-Year Program Plan in Advanced Energy Materials Discovery, Development, and Process Design","Gaithersburg, MD",7/12/2018,R&D Projects,,https://www.energy.gov/eere/amo/events/workshop-multi-agency-multi-year-program-plan-advanced-energy-materials-discovery
Energy Assessment Tool,Webinar,Introduction to the DOE's New Energy Assessment Tool Suite: MEASUR,,8/15/2018,Technical Partnerships,,https://www.energy.gov/eere/amo/events/webinar-introduction-does-new-energy-assessment-tool-suite-measur
Energy Management,Webinar,Preview of Superior Energy Performance 50001 (SEP 50001) &mdash; 2019 Program Version,,1/29/2019,Technical Partnerships,"The U.S. Department of Energy hosted a webinar on January 29, 2019 to offer a preview of anticipated updates for the Superior Energy Performance program and name change to Superior Energy Performance 50001&trade;(SEP 50001?). Updates include changes to the Scorecard, DOE recognition for higher recognition levels at the Silver, Gold, and Platinum levels, and more.",https://www.energy.gov/eere/amo/events/webinar-preview-superior-energy-performance-50001-sep-50001-2019-program-version
Energy Management,Webinar,50001 Ready Utility Network Series: Partner Program Overview,,5/15/2019,Technical Partnerships,,https://www.energy.gov/eere/amo/events/us-doe-50001-ready-network-series-webinar-may-15
Energy Management,Webinar,Superior Energy Performance 50001&trade; 2019 Program ,,6/6/2019,,"The U.S. Department of Energy hosted a webinar on June 6, 2019 to present the newly launched update of the Superior Energy Performance 50001&trade; (SEP 50001&trade;) program and guidance on transitioning to the 2019 program. ",https://www.energy.gov/eere/amo/events/webinar-superior-energy-performance-50001-2019-program
Energy Management,Webinar,50001 Ready Utility Network Series: Implementer Successes,,10/9/2019,Technical Partnerships,"The U.S. Department of Energy hosted the webinar, 50001 Ready Implementer Successes, in October 2019. Two utility implementers describe how 50001 Ready has benefited their programs and their customers",https://www.energy.gov/eere/amo/events/50001-ready-utility-network-series-implementer-successes
Small Business Innovation Research,Webinar,AMO Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Information Webinar,,12/12/2019,R&D Projects,,https://www.energy.gov/eere/amo/events/amo-community-small-business-innovation-research-sbir-and-small-business-0
Energy Management,Webinar,50001 Ready Utility Network Series: Navigator Tool Update,,2/19/2020,Technical Partnerships,,https://www.energy.gov/eere/amo/events/50001-ready-utility-network-series-navigator-tool-update
Energy Storage,Webinar,Energy Storage Grand Challenge Manufacturing Workshop,,3/16/2020,AMO,"This workshop was held to address the challenges and the opportunities for U.S. manufacturing of a broad approach to energy storage opportunities (thermal, electrochemical, industrial processes, devices, and systems) with the aim of informing the DOE on the latest trends, the R&D needs, and the role DOE can play in developing solutions.",https://www.energy.gov/eere/amo/events/energy-storage-grand-challenge-manufacturing-workshop
Catalysis,Workshop,Dynamic Catalyst Science Roundtable,"Houston, TX",2/26/2020,R&D Projects,"Representatives from the chemical industry, DOE National Laboratories, and academia gathered at the University of Houston campus to listen to expert speakers and participate in facilitated discussions regarding needs and opportunities for dynamic catalyst science.",https://www.energy.gov/eere/amo/events/dynamic-catalyst-science-roundtable
