Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
Airport Analyses Informing New Mobility Shifts: Opportunities to Adapt Energy-Efficient Mobility Services and Infrastructure,"Airports in cities are experiencing a massive increase in passengers and ride-hailing travel demands, while air travel from cities now represents over 9% of total U.S. transportation energy use (EIA, 2016); In 2016, $3.5 billion in parking and ground transportation fees represented 41% of the $8.5 billion in U.S. airport revenue not related to airlines. TNCs now account for 5 to 15% of air travel passengers; with parking demand at airports having he potential to be cut in half in about 14 years if current annual trends were to continue (with parking revenues per passenger peaking approximately 12 to 24 months after introduction of TNCs).",National Renewable Energy Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4010214
Analysis of Fast Charging Station Network for Electrified Ride-Hailing Services,"Exploring charging needs of TNC (transportation network companies) electric vehicles, we generate pseudo-synthetic trip data of TNC electric automobiles movements through a heuristic algorithm, estimate public charging infrastructure needs via EVI-Pro charging infrastructure planning tool, and evaluate the operational and capital costs for the fast charging station sites suggested through the EVI-Pro analysis.",National Renewable Energy Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4010220
Trip Energy Estimation Methodology and Model Based on Real-World Driving Data for Green Routing Applications,The paper outlines a real-world data informed methodology for estimating trip energy consumption before a trip is driven. The methodology is intended to be used in green-routing algorithms to optimize trip energy consumption.,National Renewable Energy Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4010514
Connected and Automated Vehicle Concept Dimensions and Examples,"This report defines the dimensions by which CAV systems should be characterized and then describes a set of representative CAV use cases to serve as the basis for SMART Mobility analyses.  Early, middle and late time frames for market adoption of these use cases are defined  to provide a common basis for future SMART Mobility studies.",Lawrence Berkeley National Laboratory,2018,Energy Efficient Mobility Systems,Report,4038897
Control of Networked Traffic Flow Distribution - A Stochastic Distribution System Perspective   ," We performed a preliminary investigation on the modelling and control framework in context of urban network of signalized intersections. . Further, we proposed a preliminary B-Spline stochastic model for a one-way single-lane corridor traffic system based on theory of stochastic distribution control.. It has been shown that the developed stochastic model would provide the optimal probability density function (PDF) of the traffic queueing length as a dynamic function of the traffic signal setting ",Pacific Northwest National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4010523
Correlations of Platooning Track Test and Wind Tunnel Data,"The National Renewable Energy Laboratory (NREL) analyzed results from several independent truck platooning projects to compare and contrast reported results under similar test conditions to wind tunnel test results conducted by Lawrence Livermore National Laboratory (LLNL). By combining track tests, wind tunnel, and computational fluid dynamics (CFD) results from several organizations, we show where there is broad consensus on results, and highlight areas where additional testing, research, and development is needed.",National Renewable Energy Laboratory,2018,Energy Efficient Mobility Systems,Report,4038903
Optimal Control of Connected and Automated Vehicles at Roundabouts,This paper investigates the implications of optimally coordinating vehicles that are wirelessly connected to each other and to an infrastructure in roundabouts to achieve a smooth traffic flow without stop-and-go driving. We apply an optimization framework and an analytical solution that allows optimal coordination of vehicles for merging in such traffic scenario. The effectiveness of the proposed approach is validated through simulation and it is shown that coordination of vehicles can reduce total travel time by 3~49% and fuel consumption by 2~27% on a roundabout scenario with respect to different traffic levels,Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4010532
Will Vehicle Automation Accelerate or Decelerate Electrification: Modeling Demand For Automated Electric Vehicles,"A consumer choice model called MA3T-MC is developed by expanding the existing MA3T model that focuses only on fuel type choices. Key findings include: 1) automation may increase sales shares of gasoline conventional vehicles and decrease shares of efficient vehicles including HEVs and PHEVs. 2) automation can increase market shares of BEVs, due to the “free” range extension from the efficiency improvement by automation. 3) consumer heterogeneity is important to quantify the national impact of automation on sales shares by fuel types and the total energy use.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Journal Article,4010541
"Quantifying the Mobility and Energy Benefits of Automated Mobility Districts Using Microscopic Traffic Simulation
",This research effort provides a modeling architecture for AMDs along with a preliminary analysis to quantify the mobility and energy benefits of such districts,National Renewable Energy Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4038912
A Time-Dependent Intermodal A* Algorithm: Methodology and Implementation on a Large-Scale Network,"This paper proposes a Time-Dependent Intermodal A* (TDIMA*) algorithm. The algorithm works on a multi-modal network with transit, walking, and vehicular network links, and finds paths for the three major modes (transit, walking, driving) and any feasible combination thereof (e.g. park- and-ride). Turn penalties on the vehicular network and progressive transfer penalties on the transit network are considered for improved realism. Moreover, thresholds to prevent excessive waiting and walking are introduced, as well as a threshold on driving for the park-and-ride mode.",Argonne National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4038918
Grid Impact Studies from Dynamic Wireless Charging in Smart Automated Highways,"Autonomous and electrified mobility are two key developments expected in the next decade to improve the efficiency and reduce carbon footprint of transportation. As electric vehicles (EVs) increase on the roads, one of the issues that needs to be addressed is range anxiety. To mitigate this problem and for seamless integration of EVs, dynamic wireless charging is an attractive solution. In this paper, a few case studies are considered in a smart autonomous highway to understand the impact of dynamic wireless charging on grid dynamics.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4045617
Sizing Dynamic Wireless Charging for Light-Duty Electric Vehicles in Roadway Applications,"Dynamic wireless charging is a possible cure for the range limitations seen in electric vehicles (EVs) once implemented in highways or city streets. The contribution of this paper is the use of experimental data to show that the expected energy gain from a dynamic wireless power transfer (WPT) system is largely a function of average speed, which allows the power level and number of coils per mile of a dynamic WPT system to be sized for the sustained operation of an EV.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4045620
Optimal Sizing of a Dynamic Wireless Power Transfer System for Highway Applications,"Inductive power transfer has been proposed as a solution to power future automated and electrified highways. In this study, an interoperable wireless charging system is sized so that a light and a heavy-duty vehicle can travel at or near charge-sustaining mode at high speeds using an optimization approach. The conflicting objectives of minimizing the power ratings and the number of inverters, coupler materials, and overall system coverages result in a Pareto Front that is presented in this paper.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4045623
A Review of High-Power Wireless Power Transfer,"High-power wireless power transfer (HPWPT) is a key enabling technology for the adoption of battery electric vehicles (BEVs). As the technology has matured from year to year, discussions of standardization and many commercial partners have come to the area. Much research has been done in this area, and the realization of high-power charging has been furthered by the introduction of new techniques and devices. Here, current high-power WPT systems are reviewed and the passive elements, devices, subsystems, and techniques that have been developed to reach high-power levels are briefly detailed.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,4045626
 US DRIVE 2016 Technical Accomplishments Report,This report is a compilation of one-page summaries of technical accomplishments that U.S. DRIVE partners consider to be major steps forward in the development of technologies across the Partnership portfolio. Contributors include VTO and other U.S. DRIVE partners.,U.S. DRIVE Partnership,2017,Office-wide,Report,2457326
Vehicle Technologies 2016 Market Report,"This is the seventh edition of this report, which details the major trends in U.S. light-duty vehicle and medium/heavy truck markets. This report is supported by the U.S. Department of Energy s (DOE) Vehicle Technologies Office (VTO), and, in accord with its mission, pays special attention to the progress of high-efficiency and alternative-fuel technologies. After opening with a discussion of energy and economics, this report features a section each on the light-duty vehicle and heavy/medium truck markets, and concluding with a section each on technology and policy. The first section on Energy and Economics discusses the role of transportation energy and vehicle markets on a national (and even international) scale. For example, Figures 12 through 14 discuss the connections between global oil prices and U.S. GDP, and Figures 21 and 22 show U.S. employment in the automotive sector. The following section examines Light-Duty Vehicle use, markets, manufacture, and supply chains. Figures 27 through 69 offer snapshots of major light-duty vehicle brands in the United States and Figures 73 through 85 examine the performance and efficiency characteristics of vehicles sold. The discussion of Medium and Heavy Trucks offers information on truck sales (Figures 94 through 98) and fuel use (Figures 101through 104). The Technology section offers information on alternative fuel vehicles and infrastructure (Figures 109 through 123), and the Policy section concludes with information on recent, current, and near-future Federal policies like the Corporate Average Fuel Economy standard (Figures 135 through 142). In total, the information contained in this report is intended to communicate a fairly complete understanding of U.S. highway transportation energy through a series of easily digestible nuggets. Suggestions for future expansion, additional information, or other improvements are most welcome.",Oak Ridge National Laboratory,2017,Analysis,Report,3434574
2017 Annual Merit Review Report,"This report contains the results of the 2017 U.S. Department of Energy (DOE) Fuel Cell Technologies Office (FCTO) and Vehicle Technologies Office (VTO) Annual Merit Review and Peer Evaluation Meeting (AMR), held June 5-9, 2017, in Washington, DC. The review encompassed all of the work done by the FCTO and the VTO: 263 activities were reviewed for VTO, by a total of 191 reviewers. A total of 1,241 individual review responses were received for the VTO technical reviews. The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE on the Office with a structured and formal methodology. The meeting also provided attendees with a forum for interaction and technology information transfer.",Vehicle Technologies Office,2017,Office-wide,Report,2945351
An Evaluation of the Potential for Shifting of Freight from Truck to Rail and Its Impacts on Energy Use and GHG Emissions,"This report summarizes our evaluation of the potential energy-use and GHG-emissions reduction achieved by shifting freight from truck to rail under a most-likely scenario. A sensitivity analysis is also included. The sensitivity analysis shows changes in energy use and GHG emissions when key parameters are varied. The major contribution and distinction from previous studies is that this study considers the rail level of service (LOS) and commodity movements at the origin-destination (O-D) level. In addition, this study considers the fragility and time sensitivity of each commodity type.",Argonne National Laboratory,2017,Analysis,Report,3434577
Analysis of hydrogen as a Transportation Fuel FY17 Report,"This report summarizes the results of literature reviews, surveys and analyses performed to evaluate the potential of hydrogen-fueled vehicles to be an economically viable transportation alternative. Five existing and important drivers of expanding hydrogen-fueled transportation adoption are multi-billion dollar sales reservations of Nikola Class 8 trucks, CALSTART viability analysis of hybrid-hydrogen drayage trucks in the shipyard cargo application, analysis showing economic advantages of Fuel Cell Electric Vehicles (FCEV)s over Battery Electric Vehicles (BEV)s beginning at 150-mile ranges, the announcement of a commercial 5kg electrolyzer, and commercial plans or vehicle availability by nine vehicle manufacturers of FCEV passenger vehicles. But hydrogen infrastructure availability needed to support broad adoption of hydrogen-fueled vehicles is limited to less than 50 publicly-available refueling stations, primarily in California. The demand side (consumer) economics associated with FCEV adoption showed strong economic sensitivity to the original vehicle's fuel economy (mpg), distance traveled, and hydrogen (H2) generation costs. Seven use cases were used to evaluate the broad range of potential FCEV purchasers, including autonomous vehicle applications.",Pacific Northwest National Laboratory,2017,Energy Efficient Mobility Systems,Report,3282987
Challenges and Opportunities of Grid Modernization and Electric Transportation,Grid investments that support electric vehicle deployments as a part of planned modernization efforts can enable a more efficient and cost-effective transition to electric transportation and allow investor-owned electric companies and public power companies to realize new revenue resources in times of flat or declining loads. This paper discusses the challenges and opportunities associated with an increase in plug-in electric vehicle (PEV) adoption and how working together both sectors stand to benefit from closer integration.,Vehicle Technologies Office,2017,Batteries and Electrification,Report,2586049
Comparison of Vehicle Choice Models,"Five consumer vehicle choice models that give projections of future sales shares of light-duty vehicles were compared by running each model using the same inputs, where possible, for two scenarios. The five models compared — LVCFlex, MA3T, LAVE-Trans, ParaChoice, and ADOPT — have been used in support of the Energy Efficiency and Renewable Energy (EERE) Vehicle Technologies Office in analyses of future light-duty vehicle markets under different assumptions about future vehicle technologies and market conditions. The models give projections of sales shares by powertrain technology. Projections made using common, but not identical, inputs showed qualitative agreement, with the exception of ADOPT. ADOPT estimated somewhat lower advanced vehicle shares, mostly composed of hybrid electric vehicles. Other models projected large shares of multiple advanced vehicle powertrains. Projections of models differed in significant ways, including how different technologies penetrated cars and light trucks. Since the models are constructed differently and take different inputs, not all inputs were identical, but were the same or very similar where possible. Projections by all models were in close agreement only in the first few years. Although the projections from LVCFlex, MA3T, LAVE-Trans, and ParaChoice were in qualitative agreement, there were significant differences in sales shares given by the different models for individual powertrain types, particularly in later years (2030 and later). For example, projected sales shares of conventional spark-ignition vehicles in 2030 for a given scenario ranged from 35% to 74%. Reasons for such differences are discussed, recognizing that these models were not developed to give quantitatively accurate predictions of future sales shares, but to represent vehicles markets realistically and capture the connections between sales and important influences. Model features were also compared at a high level, and suggestions for further comparison of models are given to enable better understanding of how different features and algorithms used in these models may give different projections.","Argonne National Laboratory, Sandia National Laboratory, National Renewable Energy Laboratory, Oak Ridge National Laboratory",2017,Analysis,Report,3434592
Considerations for Corridor and Community DC Fast Charging Complex System Design,"As auto manufacturers bring vehicles to market with large batteries that provide over 200 miles of driving range, interest in faster charging options for plug-in electric vehicles (PEVs) is intensifying. This report focuses on direct current fast charger (DCFC) systems and how they can be deployed to provide convenient charging for PEV drivers. First, lessons learned from previous DCFC deployment and data collection activities are shared to describe consumer experience with DCFC systems to date. Second, considerations and criteria are established for designing and upgrading DCFC complexes that provide fast-charging opportunities for PEV drivers in urban communities and on rural corridors. Third, cost
estimates are shared for hypothetical high-power DCFC complexes that meet simplified design requirements. Finally, results for a business case analysis are presented that shed light on the financial challenges associated with DCFCs.",Idaho National Laboratory,2017,Batteries and Electrification,Report,2571033
Enabling Extreme Fast Charging: A Technology Gap Assessment,"Decreasing energy consumption across the U.S. transportation sector, especially in commercial light-duty vehicles, is essential for the United States to gain energy independence. Recently, powertrain electrification with plug-in electric vehicles (PEVs) have gained traction as an alternative due to their inherent efficiency advantages compared to the traditional internal combustion engine vehicle (ICEV). Even though there are many different classes of PEVs, the intent of this study is to focus on non-hybrid powertrains, or battery electric vehicles (BEVs).",Vehicle Technologies Office,2017,Batteries and Electrification,Report,2916852
Advanced Batteries 2016 Annual Progress Report,"The Advanced Batteries research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for projects focusing on batteries for plug-in electric vehicles. Program targets focus on overcoming technical barriers to enable market success including: (1) significantly reducing battery cost, (2) increasing battery performance (power, energy, durability), (3) reducing battery weight & volume, and (4) increasing battery tolerance to abusive conditions such as short circuit, overcharge, and crush. This report describes the progress made on the research and development projects funded by the Battery subprogram in 2016. This section covers the Vehicle Technologies Office overview; the Battery subprogram R&D overview; Advanced Battery Development project summaries; and Battery Testing, Analysis, and Design project summaries. It also includes the cover and table of contents.",Vehicle Technologies Office,2017,Batteries and Electrification,Report,2747741
Advanced Combustion Engine 2016 Annual Progress Report,"The Advanced Combustion Engine research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for many cutting-edge automotive technologies under development. Research focuses on addressing critical barriers to commercializing higher efficiency, very low emissions advanced internal combustion engines for passenger and commercial vehicles.",Vehicle Technologies Office,2017,Advanced Combustion Systems and Fuels,Report,2747269
Electric Drive Technologies 2016 Annual Progress Report,"The Electric Drive Technologies research and development (R&D) subprogram within the DOE Vehicle Technologies Office (VTO) provides support and guidance for many cutting-edge automotive technologies under development. Research is focused on developing power electronics (PE), electric motor, and traction drive system (TDS) technologies that will reduce system cost and improve their efficiency in transforming battery energy to useful work. The R&D is also aimed at better understanding and improving how various components of tomorrow's automobiles will function as a unified system to improve fuel efficiency.",Vehicle Technologies Office,2017,Batteries and Electrification,Report,2747273
Fuel and Lubricant Technologies 2016 Annual Progress Report,This report describes the progress made on the research and development projects funded by the Fuel and Lubricant subprogram in the Vehicle Technologies Office in 2016.,Vehicle Technologies Office,2017,Advanced Combustion Systems and Fuels,Report,2868277
Lightweight Materials 2016 Annual Progress Report,The Lightweight Materials research and development (R&D) area within the DOE Vehicle Technologies Office (VTO) provides support and guidance for many cutting-edge automotive technologies under development. Research focuses on addressing critical barriers to commercializing lightweight materials for passenger and commercial vehicles. This report describes the progress made on the research and development projects funded by the Lightweight Materials area.,Vehicle Technologies Office,2017,Materials,Report,2944751
Propulsion Materials 2016 Annual Progress Report,"The Propulsion Materials Program actively supports the energy security and reduction of greenhouse emissions goals of VTO by investigating and identifying the materials properties that are most essential for continued development of cost-effective, highly efficient, and environmentally friendly next-generation heavy and light-duty powertrains. The technical approaches available to enhance propulsion systems focus on improvements in both vehicle efficiency and fuel substitution, both of which must overcome the performance limitations of the materials currently in use. Propulsion Materials Program activities work with national laboratories, industry experts, and VTO powertrain systems (e.g., Advanced Combustion Engines and Fuels) teams to develop strategies that overcome materials limitations in future powertrain performance. The technical maturity of the portfolio of funded projects ranges from basic science to subsystem prototype validation. Projects within a Propulsion Materials Program activity address materials concerns that directly impact critical technology barriers within each of the above programs, including barriers that impact fuel efficiency, thermal management, emissions reduction, improved reliability, and reduced manufacturing costs. The program engages only the barriers that result from material property limitations and represent fundamental, high-risk materials issues.",Vehicle Technologies Office,2017,Materials,Report,2747277
Fuel Economy Guide: Model year 2018,"The Fuel Economy Guide is published by the U.S. Department of Energy as an aid to consumers considering the purchase of a new vehicle. The Guide lists estimates of miles per gallon (mpg) for each vehicle available for the new model year. These estimates are provided by the U.S. Environmental Protection Agency in compliance with Federal Law. By using this Guide, consumers can estimate the average yearly fuel cost for any vehicle. The Guide is intended to help consumers compare the fuel economy of similarly sized cars, light duty trucks and special purpose vehicles.",Vehicle Technologies Office,2017,Technology Integration,Report,3434601
"Historical Analysis of the Transportation Energy Fact of the Week , 1996 - 2017","The Vehicle Technologies Office in the United States Department of Energy hosts a transportation analysis fact of the week on its webpage. As of October 2017, one thousand facts have been published since 1996. Examining the themes of published facts allows one to trace analytical trends determined to be of interest to the public over this time. The most popular themes addressed in the Fact of the Week were vehicle fuel economy, petroleum use and production, vehicle sales, and traveler behavior. Facts on vehicle electrification and advanced combustion technologies have been more popular in the last few years, showing their relevance to the Department of Energy mission.","Oak Ridge National Laboratory, Argonne National Laboratory",2017,Analysis,Report,3434589
Implementing Workplace Charging within Federal Agencies,"The number of Americans that chose to purchase plug-in electric vehicles (PEVs), which include plug-in hybrid electric vehicles(PHEVs) and all-electric vehicles (EVs), has steadily increased since 2011. Many of these drivers commute to federal worksites in communities across the country. The opportunity to charge a personal vehicle while at work is valuable to PEV drivers. Employees who have access to workplace charging are six times more likely to own a PEV than those who lack such access.",Vehicle Technologies Office,2017,Technology Integration,Report,3434568
Modeling plug-in electric vehicle charging demand with BEAM:  the framework for behavior energy autonomy mobility  ,"This report summarizes the BEAM modeling framework (Behavior, Energy, Mobility, and Autonomy) and its application to simulating plug-in electric vehicle (PEV) mobility, energy consumption, and spatiotemporal charging demand. BEAM is an agent-based model of PEV mobility and charging behavior designed as an extension to MATSim (the Multi-Agent Transportation Simulation model). We apply BEAM to the San Francisco Bay Area and conduct a preliminary calibration and validation of its prediction of charging load based on observed charging infrastructure utilization for the region in 2016. We then explore the impact of a variety of common modeling assumptions in the literature regarding charging infrastructure availability and driver behavior. We find that accurately reproducing observed charging patterns requires an explicit representation of spatially disaggregated charging infrastructure as well as a more nuanced model of the decision to charge that balances tradeoffs people make with regards to time, cost, convenience, and range anxiety.",Lawrence Berkeley National Laboratory,2017,Analysis,Report,3434571
National Plug-In Electric Vehicle Infrastructure Analysis,This report addresses the fundamental question of how much plug-in electric vehicle (PEV) charging infrastructure—also known as electric vehicle supply equipment (EVSE)—is needed in the United States to support both plug-in hybrid electric vehicles (PHEVs) and battery electric vehicles (BEVs).,National Renewable Energy Laboratory,2017,Analysis,Report,2788305
Synthesis Study on Transitions in Signal Infrastructure and Control Algorithms for Connected and Automated Transportation,"This synthesis study explores the current state of signal control algorithms and infrastructure, reports the completed and newly proposed CV/CAV deployment studies regarding signal control schemes, reviews the deployment costs for CAV/AV signal infrastructure, and concludes with a discussion on the opportunities such as detector free signal control schemes and dynamic performance management for intersections, and challenges such as dependency on market adaptation and the need to build a fault-tolerant signal system deployment in a CAV/CV environment.",Oak Ridge National Laboratory,2017,Energy Efficient Mobility Systems,Report,2840941
The Barriers to Acceptance of Plug-in Electric Vehicles: 2017 Update,"Vehicle manufacturers, government agencies, universities, private researchers, and organizations worldwide are pursuing advanced vehicle technologies that aim to reduce the consumption of petroleum in the forms of gasoline and diesel. Plug-in electric vehicles (PEVs) are one such technology. This report, an update to the previous version published in December 2016, details findings from a study in February 2017 of broad American public sentiments toward issues that surround PEVs. This report is supported by the U.S. Department of Energy's Vehicle Technologies Office in alignment with its mission to develop and deploy these technologies to improve energy security, enhance mobility flexibility, reduce transportation costs, and increase environmental sustainability.",National Renewable Energy Laboratory,2017,Analysis,Report,3434598
The Transforming Mobility Ecosystem: Enabling in Energy-Efficient Future,"Over the next decade, the transportation sector is poised for rapid change, propelled toward a new mobility future by strong technology currents and the confluence of prevailing megatrends. These major forces hold the promise of shaping a new mobility future – one that unlocks tremendous economic value, provides unprecedented gains in safety, offers affordable and equal accessibility, and enables the transition to energy-efficient transport of people and goods. They come, however, with cautionary viewpoints on energy consumption of the entire sector, necessitating the need to carefully guide the emergent future. This report examines four possible mobility futures that could exist in 2050 and the positive and negative impacts of these futures on energy consumption and the broader economy.",Vehicle Technologies Office,2017,Energy Efficient Mobility Systems,Report,2154139
Transportation Electrification Beyond Light Duty: Technology and Market Assessment,"Commercial fleets form the backbone of the nation's economy, getting people and the things they need to the places they need to go and performing services necessary to keep public and private physical infrastructure in working order. Commercial fleets include a wide range of vehicle and equipment types, typical uses, and sizes, and involve millions of on-road and offroad vehicles. This diversity means there is no single solution to the challenges these vehicles pose for reducing petroleum dependence, impact on air quality, and emission of greenhouse gases. This document focuses on electrification of government, commercial, and industrial fleets. These fleets have been divided into three market segments based on equipment use: service fleets, goods movement, and people movement. In particular, it addresses highway vehicles not used for personal transport; non-highway modes, including air, rail, and water; and non-road equipment used directly or in support of these uses.",Oak Ridge National Laboratory,2017,Analysis,Report,3434583
Transportation Energy Data Book (TEDB) Edition 36,"The Transportation Energy Data Book: Edition 36 is a statistical compendium prepared and published by Oak Ridge National Laboratory (ORNL) under contract with the U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy, Vehicle Technologies Office. Designed for use as a desk-top reference, the Data Book represents an assembly and display of statistics and information that characterize transportation activity, and presents data on other factors that influence transportation energy use. The purpose of this document is to present relevant statistical data in the form of tables and graphs. The latest edition of the Data Book is available via the Internet (cta.ornl.gov/data).",Oak Ridge National Laboratory,2017,Analysis,Report,2552789
US DRIVE Hydrogen Codes & Standards Technical Team Roadmap,"The CSTT Roadmap was first published in 2004 to serve as a guide to R&D activities that provide data to standard development organizations (SDOs) to develop performance-based codes and standards for commercialization of hydrogen in the transportation sector. The Roadmap was last updated in 2013, reflecting progress and additional R&D needs identified by the CSTT and other stakeholders. This Roadmap update will provide information on the following supporting elements, including specific R&D, testing, and analysis: Hydrogen R&D, Hydrogen Behavior and Effects, Risk Assessment, Materials Compatibility, Fuel Quality, R&D to Enable Accelerated Deployment of Hydrogen Refueling Stations, R&D Activities to Enable Long-Term Commercialization.
",U.S. DRIVE Partnership,2017,Office-wide,Report,805356
US DRIVE Hydrogen Delivery Technical Team Roadmap,"Hydrogen delivery pathways are typically developed based on the various physical states in which hydrogen can be delivered. The three primary hydrogen delivery pathways are: gaseous hydrogen, liquid hydrogen, and a spectrum of possible solid or liquid hydrogen carriers. Pathways that combine these approaches are also possible. Delivery pathways contain numerous components such as compressors, pipelines, liquefiers, gaseous tube trailers, cryogenic liquid trucks, storage vessels, terminals, and dispensers. The HDTT of the U.S. DRIVE Partnership has developed this Hydrogen Delivery Roadmap to address the technical goals and milestones for hydrogen delivery systems, to assess technologies and early stage R&D that could help meet these goals, and to identify the barriers to achieving these goals. Research priorities and strategies are suggested for both the near term (transition period) and the longer term (fully developed hydrogen fuel cell technology and infrastructure).",U.S. DRIVE Partnership,2017,Office-wide,Report,805386
US DRIVE Hydrogen Production Technical Team Roadmap,"This Roadmap discusses the current status of hydrogen production pathways and assesses the status and R&D needs of commercial and emerging technologies for hydrogen production from fossil, biomass, and water resources. As these technologies are developed it will be critical to evaluate simultaneously their potential to meet the cost goal, diversify the domestic energy
portfolio (positively impacting energy security and the economy), while also ensuring sustainability and environmental benefits, in order to understand the full potential of each hydrogen production pathway. ",U.S. DRIVE Partnership,2017,Office-wide,Report,805391
US DRIVE Onboard Hydrogen Storage Technical Team Roadmap,"The scope of the Onboard Hydrogen Storage Technical Team is to review and evaluate the potential, and limitations, of novel approaches, materials, earlystage research and development (R&D), and systems for hydrogen storage onboard light-duty
fuel cell vehicles, and provide feedback to the U.S. Department of Energy (DOE) and Partnership stakeholders. Generate system goals and performance targets, and establish test methods for hydrogen storage systems onboard vehicles. Collaborate with other technical teams and assist the Partnership in matters relating to hydrogen storage.",U.S. DRIVE Partnership,2017,Office-wide,Report,805396
US DRIVE Electrical and Electronics Technical Team Roadmap,"Electric traction drive systems (ETDS) have experienced significant changes over the past 20 years. Battery electric vehicles with a range of 200 to 300 miles are available today with equivalent or better performance than comparable internal combustion engine (ICE) vehicles. Electric vehicle charging (refueling) at home has become a feature highly valued by consumers, and fast-charging capability brings the promise of refueling times comparable to ICE vehicles. In the last 2 years this drastic improvement in vehicle electrification has coincided with a radical transformation of society's understanding of mobility. Historically, personal ehicles have opened the door to freedom-of-movement and self-expression, but now transportation is available as a service  oftentimes called mobility-as-a-service, or MaaS). This document describes the research and development necessary to achieve the future vision of energyefficient transportation which is vital for both increased personal mobility and continued U.S. economic growth. ",U.S. DRIVE Partnership,2017,Batteries and Electrification,Report,805366
US DRIVE Electrochemical Energy Storage Technical Team Roadmap,"This U.S. DRIVE electrochemical energy storage roadmap describes ongoing and planned efforts to develop electrochemical energy storage technologies for electric drive vehicles, primarily plug-in electric vehicles (PEVs) and 12V start/stop (S/S) micro-hybrid batteries. Note that PEVs include both pure electric vehicles (EV) and plug-in hybrid electric vehicles (PHEV) that contain an internal combustion engine to extend range. The energy storage activity comprises a number of research areas (e.g., advanced battery material R&D and advanced battery cell R&D) with the goal of developing energy storage devices for more fuel-efficient light duty vehicles that can reduce U.S. dependence on petroleum without sacrificing performance.",U.S. DRIVE Partnership,2017,Batteries and Electrification,Report,805361
US DRIVE Fuel Cell Technical Team Roadmap,"The mission of the Fuel Cell Technical Team is to perform research and development to enable fuel cell power systems for automotive powertrains that meet the United States Driving Research and Innovation for Vehicle efficiency and Energy sustainability (U.S. DRIVE) Partnership goals. The Fuel Cell Technical Team (FCTT) conducts the following activities:Reviews and evaluates materials and systems research regarding fuel cells for light-duty vehicles and provides feedback to the U.S. Department of Energy (DOE) and Partnership stakeholders, Generates goals and performance targets for fuel cells for automotive applications, and Collaborates with other technical teams and assists the Partnership with transportation fuel cell
technologies. ",U.S. DRIVE Partnership,2017,Office-wide,Report,805371
US DRIVE Fuel Pathways Integration Technical Team Roadmap," The Fuel Pathway Integration Tech Team (FPITT) supports the U.S. DRIVE Partnership (the Partnership) in the identification and evaluation of implementation scenarios for hydrogen and fuel cell electric vehicles (FCEVs) in the transportation sector, both during a transition period and in the long term. This roadmap outlines an approach for achieving this mission. ",U.S. DRIVE Partnership,2017,Advanced Combustion Systems and Fuels,Report,805376
US DRIVE Materials Technical Team Roadmap,"Materials play a major role in the U.S. DRIVE Partnership by enabling vehicle lightweighting of structures and systems, thereby improving fuel economy and reducing demands on the vehicle powertrain and ancillary systems (e.g., braking). The Materials Technical Team (MTT) focuses primarily on reducing the mass of structural systems such as the body and chassis in light-duty vehicles (including passenger cars and light trucks). Mass reduction also enables improved vehicle efficiency regardless of the vehicle size or propulsion system employed. ",U.S. DRIVE Partnership,2017,Materials,Report,805401
Vehicle Technologies and Fuel Cell Technologies Program: Prospective Benefits Assessment Report for Fiscal Year 2018,"Under a diverse set of programs, the Vehicle Technologies and Fuel Cell Technologies Offices of the U.S. Department of Energy's Office of Energy Efficiency and Renewable Energy invest in early-stage research of advanced batteries and electrification, engines and fuels, materials, and energy-efficient mobility systems; hydrogen production, delivery, and storage; and fuel cell technologies. This report documents the estimated benefits of successful development and implementation of advanced vehicle technologies. It presents a comparison of a scenario with completely successful implementation of Vehicle Technologies Office (VTO) and Fuel Cell Technologies Office (FCTO) technologies (the Program Success case) to a future in which there is no contribution after Fiscal Year 2017 by the VTO or FCTO to these technologies (the No Program case).",Argonne National Laboratory,2017,Analysis,Report,3066710
