Publication Title,Summary,Published By,Publication Year,Technology Area,Publication Type,CMS node
An Automated Vehicle Fuel Economy Benefits Evaluation Framework Using Real-World Travel and Traffic Data,"Increasing automation is a consistent development trend in the automobile industry. However, real-world evaluation of the operational and energy consumption differences between automated vehicles and comparable manually driven vehicles has been limited. This study helps fill the information gap by comparing the operation and fuel economy of vehicles in adaptive cruise control (ACC) and non-ACC modes based on large-scale field test data collected by Volvo Car Corporation (Volvo Cars) from vehicles traveling on the designated ""Drive Me"" project road network in Gothenburg, Sweden. The test vehicles' travel data are classified by driving mode (ACC vs. non-ACC) and driving conditions, which refer to traffic speed and road grade in this study. The results from the data logging fleet are used to estimate the aggregate fuel consumption differences at the Drive Me road-network level for vehicles traveling in ACC vs. non-ACC mode based on appropriately weighting the total amount of travel that took place on the network under different driving conditions. At the ACC penetration levels observed in the field test data, vehicles tended to drive more smoothly in ACC mode than in non-ACC mode. The corresponding travel-weighted fuel consumption rate for vehicles in ACC mode was about 5%-7% lower than for vehicles in non-ACC mode when traveling at similar conditions. Sensitivity analyses impart confidence in this result, and in the future, the established evaluation framework could be used to objectively quantify potential on-road fuel consumption impacts from vehicles with even higher levels of automated driving capability.",National Renewable Energy Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://ieeexplore.ieee.org/document/8744229
Minimizing Energy Consumption from Connected Signalized Intersections by Reinforcement Learning,"Explicit energy minimization objectives are often discouraged in signal optimization algorithms due to its negative impact on mobility performance. One potential direction to solve this problem is to provide a balanced objective function to achieve desired mobility with minimized energy consumption. This research developed a reinforcement learning (RL) based control with reward functions considering energy and mobility in a joint manner-a penalty function is introduced for number of stops. Further, we proposed a clustering-based technique to make the state-space finite which is critical for a tractable implementation of the RL algorithm. We implemented the algorithm in a calibrated NG-SIM network within a traffic micro-simulator-PTV VISSIM. With sole focus on energy, we report 47% reduction in energy consumption when compared with existing signal control schemes, however causing a 65.6% increase in system travel time. In contrast, the control strategy focusing on energy minimization with penalty for stops yields 6.7% reduction in energy consumption with 27% increase in system travel time. The developed RL algorithm with a flexible penalty function in the reward will achieve desired energy goals for a network of signalized intersections without compromising on the mobility performance. Disclaimer: This manuscript has been authored by UT-Battelle, LLC under Contract No. DE-AC05-00OR22725 with the U.S. Department of Energy. The United States Government retains and the publisher, by accepting the article for publication, acknowledges that the United States Government retains a non-exclusive, paid-up, irrevocable, world-wide license to publish or reproduce the published form of this manuscript, or allow others to do so, for United States Government purposes. The Department of Energy will provide public access to these results of federally sponsored research in accordance with the DOE Public Access Plan (http://energy.gov/downloads/doe-public-access-plan.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,https://ieeexplore.ieee.org/document/8569891
Simulation of Heavy-Duty Vehicles in Platooning Scenarios,"Connectivity and automation provide the potential to use information about the environment and future driving to minimize energy consumption. In order to achieve this goal, the designers of control strategies need to simulate a wide range of driving situations that can interact with other vehicles and the infrastructure to account for the specific powertrain characteristics of each automated vehicle. We present here a simulation framework called RoadRunner, which aims to facilitate the design of powertrain-aware eco-driving algorithms and a better understanding of the interactions between automation and powertrain technology. RoadRunner allows users to simulate both powertrain and longitudinal dynamics within a simulated environment. The user defines the scenario to be simulated by providing a route profile, intersection control types, number of vehicles, vehicle class, powertrain technology, connectivity, and automation level. RoadRunner then builds a Simulink diagram of the scenario, including the information flows between vehicles, and between vehicles and the road. After the simulation, the user can analyze the driving, component operations, and detailed energy consumption rates for each simulated vehicle. We present a case study on heavy-duty vehicles platooning. Using RoadRunner and detailed road data from digital maps, we quantify the impact of gap setting on fuel consumption, for a real-world route.",Argonne National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,https://ieeexplore.ieee.org/document/8569275
Automated and Cooperative Vehicle Merging at Highway On-Ramps,"Recognition of necessities of connected and automated vehicles (CAVs) is gaining momentum. CAVs can improve both transportation network efficiency and safety through control algorithms that can harmonically use all existing information to coordinate the vehicles. This paper addresses the problem of optimally coordinating CAVs at merging roadways to achieve smooth traffic flow without stop-and-go driving. We present an optimization framework and an analytical closed-form solution that allows online coordination of vehicles at merging zones. The effectiveness of the efficiency of the proposed solution is validated through a simulation, and it is shown that coordination of vehicles can significantly reduce both fuel consumption and travel time.",Oak Ridge National Laboratory,2016,Energy Efficient Mobility Systems,Journal Publication,https://ieeexplore.ieee.org/document/7534837
Energy Prediction of the Chicago Metropolitan Area Using Distributed Transportation MBSE Framework,"Energy consumption impact of vehicle powertrain is traditionally assessed using standard and regulatory drive cycles. In this paper, energy consumption is determined by studying all the trips occurring in the Chicago Metropolitan Area in a 24 hour period. The data is generated by combining Polaris, an agent based traffic flow model with SVTrip, a stochastic model that generates 1 Hz vehicle speed profiles and Autonomie, a detailed vehicle level modeling tool used to predict fuel consumption. Different scenarios are constructed to define trips for different timeframes and assumptions. Vehicle fleet distribution, vehicle technologies and automation levels are applied to represent an appropriate vehicle fleet for each scenario. Analysis of energy consumption is then discussed with a particular emphasis on the impact of powertrain technology and vehicle types.",Argonne National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://ieeexplore.ieee.org/abstract/document/8952377
Citywide Impacts of E-Commerce: Does Parcel Delivery Travel Outweigh Household Shopping Reductions?,"E-commerce has facilitated online ordering of goods by households in recent years. The technological advancement has disrupted shopping related transportation. While the National Household Transportation Survey (NHTS) finds that household shopping frequency has declined in the last 10-20 years, deliveries by parcel delivery trucks and vans have increase. However, the net effect of these phenomena on overall trip making, vehicle-miles traveled (VMT) and fuel consumption has not been quantified. From a regional planning perspective, understanding the net effect is important for informing city policies- for example, in regards to land use and transportation planning. The objective of this research is to address this gap. In this study, the net regional impact of e-commerce on transportation and fuel consumption is evaluated. ",Argonne National Laboratory,2019,Energy Efficient Mobility Systems,Conference Paper,https://dl.acm.org/doi/10.1145/3357492.3358633
Evaluating the Effects of Missing Values and Mixed Data Types on Social Sequence Clustering Using t-SNE Visualization,"The goal of this work is to investigate the impact of missing values in clustering joint categorical social sequences. Identifying patterns in sociodemographic longitudinal data is important in a number of social science settings. However, performing analytical operations, such as clustering on life course trajectories, is challenging due to the categorical and multidimensional nature of the data, their mixed data types, and corruption by missing and inconsistent values. Data quality issues were investigated previously on single variable sequences. To understand their effects on multivariate sequence analysis, we employ a dataset of mixed data types and missing values, a dissimilarity measure designed for joint categorical sequence data, together with dimensionality reduction methodologies in a systematic design of sequence clustering experiments. Given the categorical nature of our data, we employ an ""edit"" distance using optimal matching. Because each data record has multiple variables of different types, we investigate the impact of mixing these variables in a single dissimilarity measure. Between variables with binary values and those with multiple nominal values, we find that the ability to overcome missing data problems is more difficult in the nominal domain than in the binary domain. Additionally, alignment of leading missing values can result in systematic biases in dissimilarity matrices and subsequently introduce both artificial clusters and unrealistic interpretations of associated data domains. We demonstrate the usage of t-distributed stochastic neighborhood embedding to visually guide mitigation of such biases by tuning the missing value substitution cost parameter or determining an optimal sequence span.",Lawrence Berkeley National Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,https://dl.acm.org/doi/10.1145/3301294
State-Constrainted Optimal Solutions for Safe Eco-Approach and Departure at Signalized Intersections,"This paper provides fundamentals of how to energy-efficiently pass through signalized intersections while avoiding any rear-end collisions with leading vehicles. In our previous works [1, 2], analytical solutions with and without second-order pure state constraints imposed by the preceding vehicle were presented; these showed significant energy saving potential for connected and automated vehicles (CAVs) compared to human-driven vehicles. However, these solutions were derived assuming that the desired distance headway policy does not include a speed change over a predictive horizon, and that the preceding vehicle has constant acceleration. We use the desired time headway policy that includes the speed change to define the first-order pure state constraint. We then derive analytical solutions using the direct adjoining method based on Pontryagin's minimum principle. We also present a novel solver to compute energy-optimal and collision-free state trajectories by accounting for a piecewise constant acceleration of the preceding vehicle without using any numerical optimization methods that require initial guesses. For simple scenarios with one intersection, we analyze how the novel solver allows CAVs to smoothly pass through the signalized intersection and then reach a desired cruising speed. We also use a simulation framework based on high-fidelity powertrain models to validate its effectiveness based on energy savings when driving on real-world urban routes.",Argonne National Laboratory,2020,Energy Efficient Mobility Systems,Journal Publication,https://asmedigitalcollection.asme.org/DSCC/proceedings-abstract/DSCC2020/V001T10A001/1096436
"A Convergence of Public-Private Benefits in Denver: Surveys and Analyses to Inform Urban Mobility, Energy, Infrastructure, and Behavior-Related Data ","Cities, public transit agencies, and new private ride hailing services seek to understand emerging traveler dynamics, the shifting demographics of urban travelers,and new energy-efficient mobility opportunities. This includes exploring how new infrastructure investments, public and private mobility services, and smart-phone mobility apps are reshaping behaviors, demands (e.g. mobility-on-demand services), travel experiences and energy-efficient urban travel preferences. Currently, cities and metropolitan regions are providing and experimenting with many new mobility options, technologies, and personalized information services at the intersection of urban mobility, energy, and infrastructure systems (e.g., new commuter rail). To date, technology alone has not been able to crack the nut of ""creating faster trip times, less congestion, safer streets, and cleaner air for its citizens through fewer cars on the road"". This paper focuses on this gap by offering new concepts and potential for integrated approaches. Accommodating more vehicles miles traveled in cities, without increases in person miles traveled (PMT), could be costly, generating: 1) tremendous demands for new infrastructure, land, road space, materials, and energy; 2) higher traffic fatality risks; and 3) worsening air quality. Therefore, this study focuses on reducing single occupancy vehicle use by enhancing integrated mobility, helping transit and ridehailing increase occupancy in ways that also reduce energy use, and improve quality of life for urban travelers and communities. This study focuses on a survey of urban travelers in Denver, as a representative case study for metropolitan regions experiencing rapid growth, ageing populations, increased urban sprawl, traffic-related delays, and inefficient energy use per PMT.",National Renewable Energy Laboratory,2017,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4793457
"Exploring Energy-Efficiency and Sustainable Urban Mobility Strategies: An Initial Framework to Curate Data/Models, Measure Performance, and Diffuse Innovation","Many cities across the United States seek to understand the maturity of data and models that are available to help manage challenges, opportunities, and uncertainties associated with the shifts in technologies, human behaviors and sustainable urban mobility strategies. One key question identified for smart city action planning includes how to best shape continuous improvements for urban populations at the intersection of mobility, energy, and quality of life? With the emerging megatrends of urbanization (more than 70% of world population in cities by 2050), on-demand shared mobility, vehicle electrification, and automated vehicles, initial ""urban science"" studies to date have demonstrated the potential and need for maturing the related data and model ecosystems and on-going performance measurement across multiple urban system goals: e.g., from more mobility, clean and efficient energy use, accessibility and safety to less air pollution, traffic, and resource-intensive urban sprawl. To build on emerging literature and understand city responses to disruptive change, this initial study engages researchers and practitioners across four smart city finalists (Columbus, Denver, Austin and Portland) that competed in the U.S. Department of Transportation (DOT) Smart City Challenge. The initial results emphasize the need for a suite of datasets and diverse analytical approaches that support U.S. Department of Energy (DOE)-relevant research with cities. Considering desirable energy and mobility outcomes as a first step to advancing smart city solutions strategies, we systematically review approaches of and shortcomings in four U.S. cities, and suggest improvements in three areas: me",National Renewable Energy Laboratory,2017,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4793455
Transportation Energy Data Book (TEDB) Edition 39,"The Transportation Energy Data Book: Edition 39 is a statistical compendium prepared and published by Oak Ridge National Laboratory (ORNL) under contract with the U.S. Department of Energy, Office of Energy Efficiency and Renewable Energy, Vehicle Technologies Office. Designed for use as a desk-top reference, the Data Book represents an assembly and display of statistics and information that characterize transportation activity and presents data on other factors that influence transportation energy use. The purpose of this document is to present relevant statistical data in the form of tables and graphs. The latest edition of the Data Book is available via the Internet (tedb.ornl.gov).",Oak Ridge National Laboratory,2021,Analysis,Report,http://www.energy.gov/node/4793454
Novel and Practical Method to Quantify the Quality of Mobility: Mobility Energy Productivity Metric,"Recent technology innovations are enabling fundamental improvements in mobility systems, including options for new travel modes, methods, and opportunities to connect people with goods, services, and employment. A desire to quantify and compare both existing and emerging transportation options motivated development of the mobility energy productivity (MEP) metric described here. The MEP metric fundamentally measures the potential of a city's transportation system to connect a person to a variety of services and activities that define a high quality of life, relative to the convenience, cost, and energy needed to provide these connections. Fundamentally derived from accessibility theory, the MEP advances practice by using readily available travel time data (either from web-based application programming interfaces or outputs from an urban transportation model) combined with established parameters that reflect the energy intensity and cost of various travel modes, and relative frequency of activity engagement. The construction of the MEP metric allows for aggregation and disaggregation to the appropriate spatial, modal, and trip purpose resolution, as analysis needs dictate. As a result, the MEP could be used to compare alternative futures related to technology, infrastructure investment, or policy, providing a much-needed tool for planners, researchers, and analysts.",National Renewable Energy Laboratory,2019,Energy Efficient Mobility Systems,Journal Publication,http://www.energy.gov/node/4772520
Will Advanced Public Charging Infrastructure Speed up Electrification of Future Transportation?,"This study focuses on evaluating impacts of advanced, urban public charging infrastructure on the battery electric vehicle (BEV) adoption in the U.S market. Under various infrastructure scenarios (e.g., current and developed conditions), we investigate the infrastructure impacts on the near-term BEV adoption using a consumer-choice based market simulation approach. Our results suggest that current public charging infrastructure has continuous and significant impacts on the near-term BEV adoption. Additional infrastructure investment could further stimulate the public acceptance of BEVs. We also find that the actual infrastructure impact may vary depending on the assumption of how charging deployment could affect consumers' access of chargers and consumers' daily available charging time. However, this impact variability could be reduced when infrastructure is getting mature.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772519
Impact of Model Simplification on Optimal Control of Combustion Engine and Electric Vehicles Considering Control Input Constraints ,"This paper analyzes the impact of model simplification on optimal control for electric and conventional engine-powered vehicles. An optimal control problem is formulated to minimize energy/fuel consumption subject to control input constraints and solved analytically using the Pontryagin's Minimum Principle. We found that simplified solutions without nonlinear aerodynamic drag are sub-optimal, and their loss of optimality increases with average travel speed. The energy/fuel savings of each control approach are evaluated using the intelligent driver model to capture driving behavior of a driver. Simulation case studies are presented for illustration.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772518
On the Traffic Impacts of Optimally Controlled Connected and Automated Vehicles,"The implementation of connected and automated vehicle (CAV) technologies enables a novel computational framework for real-time control actions aimed at optimizing energy consumption and associated benefits. Several research efforts reported in the literature to date have proposed decentralized control algorithms to coordinate CAVs in various traffic scenarios, e.g., highway on-ramps, intersections, and roundabouts. However, the impact of optimally coordinating CAVs on the performance of a transportation network has not been thoroughly analyzed yet. In this paper, we apply a decentralized optimal control framework in a transportation network and compare its performance to a baseline scenario consisting of human-driven vehicles. We show that introducing of CAVs yields radically improved roadway capacity and network performance.",Oak Ridge National Laboratory,2019,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772517
A Comprehensive Approach to Measure the Efficiency of Freight Transport: Freight Mobility Energy Productivity (F-MEP) Metric,"Freight travel accounts for a major share of the energy consumed in the transportation sector in any country, and the United States is no exception. Understanding and modeling freight movement is critical, particularly in the context of capturing the impact of emerging technologies on freight travel and its externalities. The domain of freight modeling and forecasting is gaining pace in the recent years, but advancement in comprehensive freight performance metrics is still lagging. Conventional freight performance metrics such as truck-miles, ton-miles, or value-miles are unidimensional and aggregated in nature, making them unsuitable to accurately capture the impact of emerging transportation trends on the performance of freight systems. Addressing this research need, this paper presents the 'Freight Mobility Energy Productivity' metric to quantify freight performance of current as well as future freight systems, accounting for various costs associated with freight transport. The proposed metric was implemented using data from the Freight Analysis Framework along with other published sources, which shows intuitive results in quantifying freight performance. Further, a scenario analysis exercise was conducted to test the capability of the metric in tracking improvements in system-level freight efficiency as a result of vehicle powertrain technology improvement. Results of the scenario analysis reinforcemore >> confidence that the proposed metric can be used as a decision support tool in assessing the efficiency of existing as well as future freight trends and technologies.",National Renewable Energy Laboratory,2020,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772516
Mesoscopic Traffic Flow Model for Agent-Based Simulation,"Traffic simulation is a key element of agent based models as the various agents decisions impact and are impacted by the realized travel times and delays in the traffic network. Here we present the mesoscopic traffic flow model implemented in POLARIS transportation systems simulator. The model is mesoscopic in an attempt to obtain enough for applications that requires microscopic data while still inheriting the computational efficiency of macroscopic traffic flow models. The model is macroscopic at the link-level with dynamics based on the Newells Model and microscopic at the node level. We present link-level and network-level results for one mid-sized traffic network. The results show that the model can combine accuracy, level of details and computational efficiency.",Argonne National Laboratory,2019,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772515
Impact of Connected and Automated Vehicles on Traffic Flow,"In this paper, we investigate the impact of connected and automated vehicles (CAVs) on traffic flow at merging roadways and develop a microscopic simulation framework to explore the implications on fuel consumption and travel time. In this framework, we use optimal control to simulate the behavior of CAVs and the Gipps car following model to capture the behavior of human-driven vehicles. The simulation results show that CAVs can contribute to significant fuel consumption and travel time reduction for diverse traffic conditions under average and high congestion scenarios. Furthermore, we show that CAVs allow for more stable traffic patterns even for high density traffic.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772514
Cooperative and Integrated Vehicle and Intersection Control for Energy Efficiency ,"We propose a two-level approach that jointly optimizes the traffic signal timing and vehicles' approach speed, with the objective being to minimize total energy consumption for all vehicles passing through an isolated intersection. More specifically, at the intersection level, a dynamic programming algorithm is designed to find the optimal signal timing by explicitly considering the arrival time and energy profile of each vehicle. At the vehicle level, a model predictive control strategy is adopted to ensure that vehicles pass through the intersection in a timely fashion. Our simulation study has shown that the proposed CIVIC-E 2 system can significantly improve intersection performance under various traffic conditions. Furthermore, compared with conventional fixed-time and actuated signal control strategies, the proposed algorithm can reduce energy consumption and queue length by up to 31% and 95%, respectively.",National Renewable Energy Laboratory,2018,Energy Efficient Mobility Systems,Journal Publication,http://www.energy.gov/node/4772512
Impact of Partial Penetrations of Connected and Automated Vehicles on Fuel Consumption and Traffic Flow,"This paper addresses the problem of analyzing the effects of partial penetrations of optimally coordinated connected and automated vehicles (CAVs) on fuel consumption and travel time under low, medium, and heavy traffic volumes. We develop a microscopic simulation framework to enhance our understanding of the interactions between human-driven vehicles and CAVs in a merging on-ramp scenario. We show that fuel consumption is adversely affected for medium and high traffic while benefits are realized for travel time under the same traffic conditions. As a result, we also show that higher penetrations of CAVs contribute to more stable traffic patterns.",Oak Ridge National Laboratory,2018,Energy Efficient Mobility Systems,Journal Publicaton,http://www.energy.gov/node/4772510
Optimizing Fleet Operations in Automated Mobility Districts: Serving On-demand Mobility with Automated Electric Shuttles,"On-demand transportation services have seen a dramatic rise in the past decade, thanks to technology. Connected and automated vehicle (CAV) technology holds potential for a major transformation in the on-demand mobility services landscape.The timeline for fully automated vehicles (AVs) to reach the critical market share is still uncertain. In the short term, many cities in the United States and abroad are testing low-speed automated electric shuttles (AES) as a shared on-demand mobility service in geo-fenced regions. An automated mobility district (AMD) is a campus-sized implementation of connected/automated vehicle technology to realize the full benefits of a fully electric automated mobility service within a confined region or district. Building on this concept, an AMD toolkit is under development at the National Renewable Energy Laboratory (NREL) to inform a campus-or district-sized implementation in which automated electric shuttles (AES). This research extends the functionality of the AMD toolkit by developing a mathematical program to optimize the operations of an AES fleet in an on-demand service configuration.",National Renewable Energy Laboratory,2019,Energy Efficient Mobility Systems,Conference Paper,http://www.energy.gov/node/4772509
Impact of Privately-owned Level 4 CAV Technologies on Travel Demand and Energy,"This study analyzes the mobility and energy impact of CAV technologies. Under different VOT, WTP and market penetration scenarios, changes in mobility in terms of VMT and average travel time, as well as changes in energy consumption are estimated. The state-of-the-art integrated activity-based modeling (ABM) and traffic simulation software POLARIS is used to model the mobility impact. Moreover, POLARIS is coupled with AUTONOMIE to analyze the resulting fuel consumption.",Argonne National Laboratory,2018,Energy Efficient Mobility Systems,Journal Publication,http://www.energy.gov/node/4772508
Energy Impact Evaluation for Eco-Routing and Charging of Autonomous Electric Vehicle Fleet: Ambient Temperature Consideration,"This paper studies the heterogeneous energy cost and charging demand impact of autonomous electric vehicle(EV) fleet under different ambient temperature. A data-driven method is introduced to formulate a two-dimensional grid stochastic energy consumption model for electric vehicles. This model aids in analyzing EV energy cost and describing uncertainties under variable traffic and ambient temperature conditions. According to this energy consumption model, an optimal eco-routing and charging decision making framework is designed for autonomous EV fleet. This optimization framework can improve the capability of autonomous EV's energy management and help to find their minimum energy cost routes with consideration of charging demand and travel time requirements. Based on these promising models and technologies, comprehensive case studies are performed on a data-driven simulated transportation network in New York City. Detailed results show us the heterogeneous energy impact and charging demand under different ambient temperature. By giving the same travel demand and charging station information, there may be more than 20% difference of overall energy cost and 60% difference of charging demand in a specific charging station between low and high ambient temperature of a month. All these studies will help to construct sustainable infrastructure for autonomous electric vehicle fleet management.",Idaho National Laboratory,2018,Energy Efficient Mobility Systems,Journal Publication,http://www.energy.gov/node/4772507
Activity Start Time and Duration- Incorporating Regret Theory Into Joint Discrete-Continuous Models,"Activity start time and duration decisions are two key elements of activity-travel behaviour. As an effort toward a more realistic representation of individuals' decision behaviour, this paper presents a new copula-based joint model of activity start time and duration. We incorporate the regret theory into the joint modelling framework, which assumes that individuals tend to avoid the situation where non-chosen alternatives outperform the chosen one in one or more attributes. The proposed joint model comprises a hybrid utility-regret model as the discrete component to estimate activity start time and a hazard duration model as the continuous component to estimate activity duration. Since the activity type has a non-trivial impact on its start time and duration, we limit our focus to discretionary activities in this study. The comparative analysis of estimation results reveals that the proposed structure is statistically superior to the utility-based joint model and independent models. We also found that applying the regret-based decision rule for variables of travel time and travel time variability significantly improves the model. Furthermore, the significance of the estimated copula parameters confirms the existence of unobserved shared factors between the two considered activity attributes, which entails the use of joint modelling scheme.",Argonne National Laboratory,2018,Energy Efficient Mobility Systems,Journal Publication,http://www.energy.gov/node/4772503
Effect of Hyperloop Technologies on the Electric Grid and Transportation Energy,"In 2018, motivated in part by growing interest in advanced and novel approaches to intercity transportation modes, the U.S. Department of Energy undertook a study of the energy-related aspects of ""hyperloop transportation systems"". Such systems are seen as having the potential to increase the energy efficiency of the Nation's transportation system. The study was framed to: (a) model the demands on the electric grid, and the overall energy consumption of the transportation sector, of varying levels of network penetration of an interconnected hyperloop system; (b) include information about how these systems could be integrated into the electric grid; and (c) identify any technological constraints of the grid that must be addressed to allow the broad adoption of hyperloop technologies. This report lays out the assumptions, methodologies and quantitative results of the research, modeling and analysis and summarizes the study's major findings.",Vehicle Technologies Office,2021,Office-wide,Report,http://www.energy.gov/node/4764569
2020 Annual Merit Review Report,"The 2020 U.S. Department of Energy (DOE), Office of Energy Efficiency and Renewable Energy's (EERE) Vehicle Technologies Office (VTO) Annual Merit Review (AMR) was held June 1-4, 2020, virtually, due to extenuating circumstances resulting from the global Coronavirus (COVID-19) pandemic. The review encompassed work done by VTO:  292 individual activities were reviewed by 334 reviewers. Exactly 1,133 individual review responses were received for the VTO technical reviews. The objective of the meeting was to review the accomplishments and plans for VTO over the previous 12 months, and provide an opportunity for industry, government, and academia to give inputs to DOE with a structured and formal methodology. The meeting also provided attendees with a virtual forum for interaction and technology information transfer.",Vehicle Technologies Office,2020,Office-wide,Report,http://www.energy.gov/node/4642089
"SMART Mobility Modeling Workflow Development, Implementation, and Results Capstone Report","The U.S. Department of Energy's Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the SMART Mobility Modeling Workflow effort. The SMART Mobility
Modeling Workflow was developed to evaluate new transportation technologies such as connectivity,
automation, sharing, and electrification through multi-level systems analysis that captures the dynamic
interactions between technologies. By integrating multiple models across different levels of fidelity and scale,
the Workflow yields insights about the influence of new mobility and vehicle technologies at the system level.",Vehicle Technologies Office,2020,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4539512
SMART Mobility Urban Science Capstone Report,"The U.S. Department of Energy's Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Urban Science Pillar. The Urban Science Pillar focuses on maximum mobility and minimum-energy opportunities associated with emerging transportation and transportationrelated technologies specifically within the urban context. Such technologies, often referred to as automated,
connected, efficient (or electrified), and shared (ACES), have the potential to greatly improve mobility and
related quality of life in urban areas.",Vehicle Technologies Office,2020,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4539511
SMART Mobility Multi-Modal Freight Capstone Report,"The U.S. Department of Energy's Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Multi-Modal Freight Pillar. The Multi Modal Freight Pillar's
objective is to assess the effectiveness of emerging freight movement technologies and understand the impacts
of the growing trends in consumer spending and e-commerce on parcel movement considering mobility,
energy, and productivity.",Vehicle Technologies Office,2020,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4539507
SMART Mobility Decision Science Report,"The U.S. Department of Energy's Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019, and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Mobility Decision Science Pillar. The Mobility Decision Science Pillar
sought to fill gaps in existing knowledge about the human role in the mobility system including travel
decision-making and technology adoption in the context of future mobility. The objective was to study how
underlying preferences, needs, and contextual factors might constrain or hasten future transportation system
scenarios.",Vehicle Technologies Office,2020,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4539506
SMART Mobility Connected and Automated Vehicles Capstone Report,"The U.S. Department of Energy's Systems and Modeling for Accelerated Research in Transportation
(SMART) Mobility Consortium is a multiyear, multi-laboratory collaborative, managed by the Energy
Efficient Mobility Systems Program of the Office of Energy Efficiency and Renewable Energy, Vehicle
Technologies Office, dedicated to further understanding the energy implications and opportunities of advanced
mobility technologies and services. The first three-year research phase of SMART Mobility occurred from
2017 through 2019 and included five research pillars: Connected and Automated Vehicles, Mobility Decision
Science, Multi-Modal Freight, Urban Science, and Advanced Fueling Infrastructure. A sixth research thrust
integrated aspects of all five pillars to develop a SMART Mobility Modeling Workflow to evaluate new
transportation technologies and services at scale.
This report summarizes the work of the Connected and Automated Vehicles (CAVs) Pillar. This Pillar
investigated the energy, technology,  and usage implications of vehicle connectivity and automation and
identified efficient CAV solutions.",Vehicle Technologies Office,2020,Energy Efficient Mobility Systems,Report,http://www.energy.gov/node/4539505
