Title,Summary,Publishing_Organization,Subject,Presenter,Filename
"Amorphous and Nanocomposite Magnets for High Efficiency, High Speed Motor Designs",This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,"Carnegie Mellon
N. Caarolina State",PROCESS INTENSIFICATION AND CHEM. MFG.,Rebecca Fushimi,https://www.energy.gov/sites/prod/files/2020/05/f75/DIAdEM%20-%20Peer%20Review%2020.pdf
High Speed Medium Voltage CHP System with Advanced Grid Support,This presentation provides an overview of the High Speed Medium Voltage CHP System with Advanced Grid Support led by Clemson University.,Clemson University,PROCESS INTENSIFICATION AND CHEM. MFG.,Ted Aulich,https://www.energy.gov/sites/prod/files/2020/05/f75/EERC%20AMO%20Peer%20Review%202020--LPEA%20Project--11May020%20.pptx
SiC Based Modular Transformer-less MW-Scale Power Conditioning System and Control for Flexible CHP System,"This presentation provides a summary of the SiC Based Modular Transformer-less MW-Scale Power Conditioning System and Control for Flexible CHP System project led by the University of Tennessee, Knoxville.",University of Tennessee - Knoxville,PROCESS INTENSIFICATION AND CHEM. MFG.,Dong Ding,https://www.energy.gov/sites/prod/files/2020/05/f75/Low%20Temperature%20ElectroChem%20Activation%20Ethane_INL.pptx
High-Efficiency Modular SiC-based Power-Converter for Flexible-CHP Systems with Stability-Enhanced Grid-Support Functions,This presentation provides a summary of the High-Efficiency Modular SiC-based Power-Converter for Flexible Combined Heat and Power (CHP) Systems with Stability-Enhanced Grid-Support Functions project led the Center for Power Electronics Systems (CPES) at Virginia Tech.,Virginia Tech,PROCESS INTENSIFICATION AND CHEM. MFG.,Zili Wu,https://www.energy.gov/sites/prod/files/2020/05/f75/ORNL%20Wu%20OxE%20project%20peer%20review-ORNL-Wu-2020.pptx
"Converter-Interfaced CHP Plant for Improved Grid-Integration, Flexibility, and Resiliency","This presentation provides a summary of the Converter-Interfaced CHP Plant for Improved Grid-Integration, Flexibility, and Resiliency project led by GE Research and GE Renewable.",GE Global & GE Renewable Research,PROCESS INTENSIFICATION AND CHEM. MFG.,"Alberto Passalacqua, Iowa State University",https://www.energy.gov/sites/prod/files/2020/05/f75/Passalacqua_DE-EE0008326.pdf
"Modifications to Solar Titan 130 Combustion System for Efficient, High Turndown Operation","This presentation provides an overview of about a modifications to solar Titan 130 combustion system for efficient, high turndown operation.","Southwest Research Institute
Solar Turbines
Electric Power Research Institute",PROCESS INTENSIFICATION AND CHEM. MFG.,Christopher Marshall,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20RD%20%20Marshall.pptx
Organic Rankine Cycle Integration and Optimization for High Efficiency CHP Genset Systems  ,This presentation provides a summary of the Organic Rankine Cycle Integration and Optimization for High Efficiency CHP Genset Systems  project led by ElectraTherm.,ElectraTherm,PROCESS INTENSIFICATION AND CHEM. MFG.,Elena Chung,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20RD%20Presentation%20EcoCatalytic%2005112020.pptx
Development of Improved Combined Heat and Power (CHP) Systems utilizing Thermodynamic Modeling and Additive Manufacturing (AM) Components,This presentation provides a summary of a demonstration of improved Combined Heat and Power (CHP) systems utilizing improved gas turbine and sCO2 cycles using  additive manufacturing.,"Siemens Corp
ORNL",PROCESS INTENSIFICATION AND CHEM. MFG.,Bill Grieco,https://www.energy.gov/sites/prod/files/2020/05/f75/RAPID%202020%20AMO%20Program%20Review%20Presentation%20Final.pptx
Advanced Turbine Airfoils for Efficient CHP Systems,This presentation provides a summary of the Advanced Turbine Airfoils for Efficient CHP Systems project led by the National Energy Technology Laboratory (NETL) and Oak Ridge National Laboratory (ORNL).,NETL,PROCESS INTENSIFICATION AND CHEM. MFG.,Juergen Biener,https://www.energy.gov/sites/prod/files/2020/05/f75/RD%20Presentation%20%20Juergen%20Biener%20DE-EE-0008327.pptx
"High Performance, High Temperature Materials to Enable High Efficiency Power Generation","This presentation provides a summary of the High Performance, High Temperature Materials for High Efficiency Power co-led by Oak Ridge National Laboratory, Argonne National Laboratories and Siemens Corp.","ORNL
ANL",PROCESS INTENSIFICATION AND CHEM. MFG.,Stanley Chou,https://www.energy.gov/sites/prod/files/2020/05/f75/SNL_AMO_Program_Review_RD_Presentation_20200510.pdf
Combined Heat and Power (CHP) Deployment,,EERE AMO,PROCESS INTENSIFICATION AND CHEM. MFG.,Theodore Krause,https://www.energy.gov/sites/prod/files/2020/05/f75/WBS%202.1.0.44_Argonne_Annual%20Merit%20Program%20Review.pptx
CHP Technical Assistance Partnerships (TAPs),This presentation provides an overview of the AMO Combined Heat and Power Technical Assistance Partnerships (CHP TAPs) program.,EERE AMO,ROLL TO ROLL PROCESSING,Jeff Peet,https://www.energy.gov/sites/prod/files/2020/05/f75/Multilayer%20R2R%20Peer%20Review%20%28Award%20DEEE0008323%29.pptx
Combined Heat and Power (CHP)Modeling in the REopt Lite Web Tool,This presentation provides a summary of the Combined Heat and Power (CHP) Modeling in the REopt Lite Web Tool project led by the National Renewable Energy Laboratory.,NREL,ROLL TO ROLL PROCESSING,Claus Daniel,https://www.energy.gov/sites/prod/files/2020/05/f75/ORNL%20Wood%20R2R-AMM-Collaboration_AMO%20Peer%20Review_R2R-Manufacturing_v8-Final.pptx
Turbo-Compression Cooling System for Ultra Low Temperature Waste Heat Recovery,,Colorado State University,ROLL TO ROLL PROCESSING,Sanjiv Sinha,https://www.energy.gov/sites/prod/files/2020/05/f75/Sinha_UIUC_DE-EE0008312_2020.pptx
High Efficiency Waste Heat Harvesting Using Novel Thermal Oscillators,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,"University of Pennsylvania
Rutgers University",SMART MANUFACTURING,"John Dyck
Haresh Malkani",https://www.energy.gov/sites/prod/files/2020/05/f75/AMO%20Peer%20Review%20CESMII%20for%20Review%2005182020.pptx
Simulation Based Design and Optimization of Waste Heat Recovery Systems,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,ORNL,SMART MANUFACTURING,Arman Shehabi,
Clean Energy Smart Manufacturing Innovation Institute (CESMII),This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,,SUSTAINABLE MANUFACTURING,Birdie Carpenter,https://www.energy.gov/sites/prod/files/2020/05/f75/FY20%20AMO%20Peer%20Review%20-%20Sustainable%20Manufacturing%20Project%20Slides_Final_0.pptx
Connected Economy Big Impactful Report,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,LBNL,SUSTAINABLE MANUFACTURING,Nabil Nasr,https://www.energy.gov/sites/prod/files/2020/05/f75/REMADE%20-%202020%20AMO%20Peer%20Review%20-%20V2.pptx
Traineeship: Enhanced Preparation for Intelligent Cybermanufacturing Systems,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,Georgia Tech,TECHNICAL PARTNERSHIPS,Eli Levine,https://www.energy.gov/sites/prod/files/2020/05/f75/Better%20Plants%20-%20Levine%20Peer%20Review%20-%202020.pdf
High Performance Computing for Manufacturing (HPC4Mfg),This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,LLNL,TECHNICAL PARTNERSHIPS,Pete Langlois,https://www.energy.gov/sites/prod/files/2020/05/f75/ISO%2050001%20Portfolio%20-%20AMO%20Program%20Review%202020.pdf
ISO 50001 Portfolio,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,EERE AMO,TECHNICAL PARTNERSHIPS,Tom Wenning,https://www.energy.gov/sites/prod/files/2020/05/f75/Program%20Review%20TP%20Presentation%20-%20AMO%20Tools%20and%20Training_2020.pptx
Better Plants,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,EERE AMO,TECHNICAL PARTNERSHIPS,John Smegal,
Industrial Assessment Centers,This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. This is a Summary. ,EERE AMO,TECHNICAL PARTNERSHIPS,Paul Sheaffer,
Energy System Tools Modernization,,"ORNL
ANL",TECHNICAL PARTNERSHIPS,Eli Levine,
Motor System Market Assessment,,LBNL,WASTE HEAT RECOVERY,Todd Bandhauer,https://www.energy.gov/sites/prod/files/2020/05/f75/20200601_AMO_REVIEW_CSU%20FINAL.pdf
Field Validation Pilot Program,,EERE AMO,WASTE HEAT RECOVERY,Chinedum Osuji,https://www.energy.gov/sites/prod/files/2020/05/f75/Heat%20Harvesting%20with%20Thermal%20Oscillators_UPenn_AMO_Jun2020.pptx
Traineeship: Advanced Manufacturing for Energy Systems,,University of Connecticut,WASTE HEAT RECOVERY,"Kyle Benne
Michael Wetter",https://www.energy.gov/sites/prod/files/2020/05/f75/Simulation-Based%20Design%20and%20Optimization%20of%20WH%20Recovery%20Systems%20FINAL.pptx
AMO Internship Programs,,EERE AMO,WORKFORCE DEVELOPMENT,Dan Miller,https://www.energy.gov/sites/prod/files/2020/05/f75/Advanced%20Manufacturing%20Office%20Peer%20Review%20Presentation_V1%20LEEP.pdf
Technologist in Residence,,EERE AMO,WORKFORCE DEVELOPMENT,Ilan Gur,https://www.energy.gov/sites/prod/files/2020/05/f75/FY2020%20Cyclotron%20Road%20Overview%20%20-%20AMO%20Peer%20Review.pptx
Lab Embedded Entrepreneurship Program: Introduction,,EERE AMO,WORKFORCE DEVELOPMENT,Ugur Pasagullari,https://www.energy.gov/sites/prod/files/2020/05/f75/UConn_AMES_2020.pptx
Lab Embedded Entrepreneurship Program: Cyclotron Road,,LBNL,WORKFORCE DEVELOPMENT,Steve Shooter,
Lab Embedded Entrepreneurship Program: Chain Reaction Innovation,,ANL,WORKFORCE DEVELOPMENT,Eli Levine,
Lab Embedded Entrepreneurship Program: Innovation Crossroads,,"ORNL
ANL",WORKFORCE DEVELOPMENT,Joe Cresko,
Wear-resistant Surface Technologies for Low-leakage NG Compressors,,ANL,WORKFORCE DEVELOPMENT,John Carlisle,
