ID,Specification_Title,Specification_Description,Specification_Template_Language,Specification_Background,Requirements,Solicitation_Section,Array_Type,System_Component,Specification_Topic,Images,Specialized_Topic
82,Data Monitoring - Schedule-Based Equipment Calibration,<p>This section describes the calibration requirements of the PV system monitoring equipment.</p>,"<p>The Contractor shall test and calibrate the System Monitoring Equipment (meters) on a schedule, based on the PV system size, as determined in Table 1 below. The Government shall witness the test at its discretion. The Government may request field testing and calibration if it suspects meter malfunction. Meter testing shall be conducted at the Government's expense. If the accuracy is out of ANSI C12.20 standards, the Contractor shall install a replacement calibrated meter. The Contractor may reinstall the old meter once it is calibrated. </p>",,Advanced,Specifications,All,Meter/Monitoring,O&M; Cybersecurity,Table 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID82_83_Table_1_Data_Monitoring_Schedule-Based_Equipment_Calibration.jpg,All
84,Response Time to Agency Notification,<p>This section describes the response times Contractors must adhere to in regards to Operations and Maintenance services of the PV system.</p>,"<p>The Contractor shall adhere to a response time for alerts and/or Corrective and Additional Services based on Table 1 below.</p><table><thead><tr><th>Priority Level</th><th>Definition</th><th>Upon-Detection-Notice To Government Not Longer than:</th><th>Site Visit Scheduling</th></tr></thead><tbody><tr><td><b>High</b></td><td>Any issue that appears to be reducing PV System production by 25% or more.</td><td>< x > hours of detection</td><td>Site visit scheduled within hours of detection</td></tr><tr><td><b>Medium</b></td><td>Any issue that appears to be reducing PV System production by at least 5% to and up to 24.9%</td><td>< x > hours of detection</td><td>Site visit scheduled within , < x > business hours</td></tr><tr><td><b>Low</b></td><td>Any issue that appears to be reducing the PV System production by less than 5%</td><td>< x > hours of detection</td><td>Site visit scheduled within < x > business hours</td></tr></tbody></table>",,Advanced,Specifications,All,Meter/Monitoring,O&M,Table 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID84_Table_1_Response_Time_to_Agency_Notification.png,All
85,Review of Performance Reports,<p>This section describes the requirements for the agency and Contractor point of contacts to meet at specified intervals to review PV system performance reports.</p>,"<p>The designated Contractor Point of Contact and Government Point of Contact shall meet to review Performance Reports (the ""Performance Reports""). The Parties shall follow the schedule, based on PV system size, to determine the meeting frequency to review Performance Reports. See Table 1 below.</p>",,Advanced,Specifications,All,Meter/Monitoring,O&M,Table 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID85_Table_1_Review_of_Performance_Reports.jpg,All
86,Total System Output Warranty,<p>This section describes the performance requirements the PV system must meet during the contract period.</p>,"<p>The Contractor shall maintain the system to achieve a Weather Corrected Performance Ratio of at least 0.9 over any monitoring period. Calculation of the performance ratio shall take into account expected degradation due to age, snow cover, severe wind events, and or other conditions deemed beyond the Contractor's control by the Contracting Officer.
</p><p>
Determinations of system performance during the life of the contract shall use the ""NREL Performance Ratio"" methodology as detailed in Attachment A of NREL's ""PV Operations and Maintenance (PV O&M) Best Practices Guide"" (<a href=""https://www.nrel.gov/docs/fy19osti/73822.pdf"">https://www.nrel.gov/docs/fy19osti/73822.pdf</a>).
</p><p>
This performance warranty shall apply for the 20-year performance period but excludes the construction and startup period.</p> <p>For third-party owned systems: If a Fair Market Value (FMV) purchase is contemplated between Government and Contractor, the Weather Corrected Performance Ratio shall establish the baseline to be used in any price negotiations if professional appraiser retained requests system performance data. 
</p><p>
If the performance falls below the minimum required by the contract, the Contractor or Subcontractor, at the Contractor or Subcontractor's expense, shall replace or repair the defective equipment and or adverse condition. 
</p>",,Advanced,Specifications,All,Meter/Monitoring,O&M,,All
87,Minimum Dashboard Requirements,<p>This section describes the minimum features that a PV system monitoring dashboard must have for Contractor operation and agency use.</p>,"<p>The Contractor shall have the capabilities to provide and operate an internet-based data monitoring platform and onsite sensor technology with the following characteristics:</p>

<ul><li>Home Page
     <ul></li><li>On or off
     </li><li>Communication status
          <ul></li><li>Reporting
          </li><li>Not Reporting</ul>
     </li><li>Direct Current (DC) - Kilowatt - Photovoltaic Test Conditions
     </li><li>Kilowatt (kW) generation
     </li><li>Kilowatt-hour (kWh) generation
     </li><li>Weather Corrected Performance Ratio (WCPR), or at a minimum, a general Performance Ratio (PR)
     </li><li>Soiling level (if applicable)</ul></ul>
<ul></li><li>Subpages
     <ul></li><li>System Information
          </li><li>Direct Current (DC) - Kilowatt - Photovoltaic Test Conditions
          </li><li>Array type
          </li><li>Date brought online
          </li><li>Tilt
          </li><li>Azimuth
          </li><li>Module manufacturer
          </li><li>Inverter manufacturer
          </li><li>Make and model
          </li><li>Installer contact info
          </li><li>O&M Provider contact info</ul>
      </li><li>15-minute interval data available for download</ul>
<ul></li><li>Alarming Functionality
     <ul></li><li>Text or email
     </li><li>Inverter(s) offline
     </li><li>Inverter fault
     </li><li>Weather Corrected Performance Ratio (WCPR) or Performance Ratio (PR) under limits</li></ul></ul>

<p>The dashboard should allow the Government to view more than one site and system if the Government has more than one PV system on the same internet-based monitoring platform.</p>",,Advanced,Specifications,All,Meter/Monitoring,O&M,,All
88,"Data Collection Frequency, Storage, and Retrieval",<p>This section describes the requirements of data collection the Contractor must follow.</p>,<p>The Contractor shall have the capabilities of providing the production data if requested by the Government and archiving data for the lengths specified in Table 1 below.</p>,,Advanced,Specifications,All,Meter/Monitoring,O&M,"Table 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID88_Table_1_Data_Collection_Frequency,_Storage,_and_Retrieval.jpg",All
89,Billing Metering at the Point of Common Coupling,<p>This section describes the characteristics that the meters must encompass for billing and performance monitoring purposes.</p>,"<p>For third-party owned systems: For billing and performance monitoring purposes, the Contractor shall place meter(s) at the point of common coupling to the agency's electrical distribution system. The Contractor shall install a revenue-grade meter (RGM) that meets the American National Standards Institute (ANSI) Standard C12.1-2008, at 0.5% accuracy</p>

<p>The billing utility-grade metering equipment is to be furnished, installed, maintained, repaired, calibrated, read, and reported by the Contractor at its expense. When more than a single meter is installed at a service location, the readings thereof may be billed conjunctively, if appropriate. The meter shall be located on the output side of the inverter (measured in AC) and support interval metering for real energy delivery, registering entries every 15 minutes. Identification and location of equipment being monitored must correspond with the submitted and approved drawings. If the inverter is configured to source reactive power, the metering system shall meter power factor as well as real power, although external monitoring of power factor or power quality may not be allowed at all sites.</p>

<p>The meter shall be a solid-state advanced meter with non-volatile memory capable of storing measured data. If connected, the electrical metering shall be compatible with the software currently used by each facility. However, due to the security considerations and different IT management in each building, the Contractor shall assume that access to the agency's network services will not be available, and that it may have to employ other communications means to collect data from metering systems. No meter shall be placed in service or allowed to remain in service that does not meet the accuracy standards of ANSI C12.20. Meters shall be tested for accuracy and certified in accordance with ANSI C12.20 at the Contractor's expense, with the following schedule based on system size:</p>

<ul><li>For large PV systems greater than 2 MW, meters must be field tested annually for accuracy.  The Government shall witness the test at its discretion. 
     <ul></li><li>If accuracy is out of ANSI C12.20 standards, the Contractor shall install a replacement calibrated meter. 
     </li><li>The Contractor may reinstall the old meter once it is calibrated. </ul>
</li><li>For medium-sized PV systems of 500 kW to 2 MW, the Contractor shall use the same procedure as is used for large arrays, but biannually. 
</li><li>For small PV systems less than 500 kW, the Government may request field testing and calibration if it suspects meter malfunction. Meter testing shall be at the Government's expense. </li></ul>",,Advanced,Specifications,All,Meter/Monitoring,O&M,,All
90,Optional Weather Station,<p>This section describes the minimum features that a weather station must have for use in conjunction with the PV monitoring system.</p>,"<p>The DMS collects and logs data from the weather station. These weather stations, at a minimum, often provide wind speed, array temperature, and solar radiation information. Since most DMSs provide a non-weather corrected performance ratio of the PV system(s), emphasis shall be placed on acquiring DMSs that provide performance ratio data that are corrected for weather. It is the responsibility of the Contractor to ensure that the agency is provided with this type of DMS.</p>",,Advanced,Specifications,All,Meter/Monitoring,O&M,,All
91,For Systems Greater than 2 MW,<p>This section describes the additional meter requirements for systems greater than 2 MW.</p>,<p>Each PV system shall have an agency-specified meter installed in parallel to the Contractor's meter with the manufacturer's prescribed current transducers (CTs) and in a separate and appropriately NEMA-rated cabinet (if needed).</p>,,Advanced,Specifications,All,Meter/Monitoring,O&M,,All
92,Linear Module Warranty,<p>This section describes the minimum PV module warranty required by the agency for the life of the contract.</p>,"<p>Modules used shall have a minimum of a 25-year performance warranty as measured using the linear module warranty methodology.
  </p><p>
No module will be warranted to or in actuality generate less than 97% of its Standard Testing Conditions (STC) rated output in year one.  No module shall depreciate more than 0.9% for each year of the required minimum 25-year module warranty period.
</p><p>
For third-party owned systems: If and when Government exercises an Fair Market Value (FMV) buyout of the PV systems(s), any remaining component-level warranties shall be transferred to the Government.  Any equipment warranty registries or certificates shall be renamed showing the Government as owner and provided to the Contracting Officer. Contractor shall provide a list of existing warranties, dates effective/expiring, and contacts for warranty service to the Contracting Officer at the time of FMV purchase. 
</p><p>
Contractor shall ensure replacement modules meet both the physical dimensions and address electrical mismatch issues.
</p>",,Advanced,Specifications,All,Meter/Monitoring,O&M,,All
93,Roof Friendly Specifications: Annual Roof Inspections and Repairs,<p>This section describes how the PV array must allow for roof inspections and maintenance and not cause damage to the roof.</p>,"<p>All roof mounted array systems shall allow normal routine annual roof inspections and maintenance to continue unimpeded and shall allow for visual inspections and physical access to the underlying roof system to perform needed roof inspections and repairs. Access to visually inspect and clean all roof drains shall be maintained. 
</p><p>
No component of the array shall abrade the underlying roof membrane. 
</p><p>
The array shall not trap moisture, dirt, and debris leading to algal and or weed growth. 
</p><p>
No component of the array shall be entrapped, inhibiting inspection, testing, tightening, and repair. 
</p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; O&M; Safety,,All
95,Roof Friendly Specifications: Walkways and Access to Equipment for O&M,<p>This section describes requirements that enable conduit access to existing equipment to be maintained and not obstructed by the PV system.</p>,"<ul><li>Walkways In and Around Arrays: No part of the array shall block access to other building equipment (HVAC, telecommunications, rigging).  No part of the array shall be ""stranded"" so that it prohibits full access to inspection, testing, and repairing of all components.  All walkways shall comply with International Fire Code (IFC) 2018 and National Fire Prevention Act 2018. </li>

<li>Conduit Transecting Walkways: Where the array conduit transects existing equipment access walkways, steps, ramps, or a bridging assembly meeting ASCE 7-16 and OSHA requirements must be provided. Such systems shall protect conduit, pipe, and/or duct runs passing underfoot from damage and allow for movement of personnel, tools, and replacement parts.</li></ul>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; O&M; Safety,,All
97,Structural Engineering: Roof Structural Analysis,<p>This section describes the structural analysis requirements that must be met for roof mounted PV systems.</p>,"<p>The Contractor must conduct a structural analysis study of each roof and design the PV system to ensure the structural integrity of the PV installation. The Contractor must determine that the structure of the building is not compromised. The structural analysis study shall include, but not be limited to, the weight of the PV system itself, seismic loads, and water, snow, and ice ponding. If the roof has existing water ponding issues, the addition of arrays shall not substantially worsen ponding conditions. Existing ponding conditions shall be considered a possible indication of an underlying structural issue needing special attention by structural engineer. 
</p><p>
The structural analysis study shall include considerations of concentrated loads as equipment is staged prior to or during the installation of the PV system.  It is ultimately the Contractor's responsibility to perform its own field investigations and determination of system design. 
</p><p>
If the structural analysis shows that the roof requires major repairs, either the Government shall pay for the repairs, or the building can be eliminated from the project upon agreement between the Government and the Contractor. 
</p><p>
For systems on flat or low-slope roofs (7-degree slope or less), the Contractor shall augment ASCE-7.16  with all relevant complimenting guidance in ""Wind Design for Solar Arrays"" published by Structural Engineering Society of California (SEAOC)- SEAOC Report #PV2-2017 July 2017.
</p><p>
Each chapter of the report includes a section titled ""Recommended additional requirements (not included in ASCE 7-16) which must be utilized. The submittal must include responses and calculations from each of these ""recommended additions.""
</p><p>
The SEAOC guidance document PV2-2017 July 2017 is designed to work as a companion guidance document to ASCE-7.16.   In addition to use of ASCE-7.16 and SEAOC guidance, project engineers must address the three key topics of 1. Pure uplift 2. Uplift and Sliding and 3. Overturning in the Design Submittal process and as described in Appendix A of RMI Solar Under the Storm 2 (https://rmi.org/insight/solar-under-storm/). 
</p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
99,Fully Anchored When Necessary,<p>This section describes when a fully anchored roof mounted PV system is allowed.</p>,"<p>When an anchored system is proven to be the only viable option, this type of system shall be allowed.</p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
101,Ballasted Arrays,<p>This section describes limitations on the use of self-ballasted arrays.</p>,"<p>Self-ballasted or partially self-ballasted arrays are permissible:</p>
<ul><li>On buildings structurally capable of carrying loads.
</li><li>In cases where maximum annual winds are less than 70 MPH. Fully ballasted systems are not permissible in any region experiencing high winds in excess of 70 MPH.
</li><li>In cases with moderate wind loading less than 70 MPH, some mechanical attachments shall be engineered and deployed to prevent loss; see the hybrid approach. </li></ul>","<p>TAKE NOTE!  There have been high wind incidents causing self-ballasted roof arrays to dislodge from mounting locations, scattering debris.  Due to the severe life-safety hazards of array debris striking pedestrians below a roof,  it is recommended that engineers closely track this facet of array engineering. 
</p><p>
There are several reasons why self-ballasted roof arrays are desirable; however, there are often building conditions which can limit the use of ballasting. Self-ballasted systems obviously keep penetrations through roofing systems to a minimum, which in turn reduces potential leak points and maintenance costs. Also very important with ballasted systems is minimizing anchoring through roofing and insulation materials to the building frame. Connecting to a building frame can cause serious thermal bridging, which in turn reduces the building's performance.
</p><p>
Due to structural limitations, the full amount of ballasting may need to be reduced for a given facility. There are strategies and hardware that can be used to reduce the need for ballasting, such as use of cabling strung through an array that is anchored at the perimeter. Some vendors offer interlocking systems that make arrays strong as a whole, which reduces the need for ballasting and roof penetrations.</p>",Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
103,Hybrid Approach,<p>This section describes when a hybrid approach of using both anchored and ballasted methods is applicable.</p>,"<p>If the building structure cannot support the full amount of an array ballast, the Contractor shall propose a partially ballasted system that uses minimum roof penetrations. If the building structure cannot support any array ballast, and where high wind speeds warrant, fully anchored systems are preferable. For roofs where hybrid solutions can be accommodated (partially ballasted/anchored), array systems may, in these cases, incorporate a tie-down system that penetrates roofing in order to attach it to underlying roof frame members. </p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
110,Structural Engineering: Weatherproofing Roof Penetrations,<p>This section provides guidance on how the Contractor shall design and construct roof penetrations to anchor the PV system and other component into the roof.</p>,<p>All roof penetrations shall be designed and constructed in collaboration with the roofing professional or manufacturer responsible for the roof and roofing material warranty. The number and size of the penetrations necessary to extend the power and control cable into the building must be kept to a minimum and grouped in a single location when practicable. All weatherproofing of penetrations shall be compatible with the roof warranty. Describe the materials and methods to be undertaken to create watertight seals in the roofing systems for anchor points and conduit.</p>,,Minimum,Specifications,Array Type: Roof Mount,,Engineering,,All
112,Structural Engineering: Rooftop Rigging Systems,<p>This section requires that the roof mounted PV system not interfere with any existing building rigging and powered platforms.</p>,"<p>For instances where rigging systems are in place, the arrays shall not interfere with the normal function of building rigging and powered platforms.</p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering; Safety,,All
114,Roof Warranties,<p>This section provides guidance on how to include roof warranties into the contract.</p>,"<p>If it is determined that the existing roof system is under a manufacturer's warranty, the Contractor shall engage the manufacturer representative and any other companies involved with service contracts or warranties regarding the PV system design, applied stresses, materials compatibility (chemical or physical), installation details and methods, and repairs to any damage to the roof during installation of the solar arrays.
</p>",,Minimum,Specifications,Array Type: Roof Mount,,Engineering,,All
115,Roof Warranties (Advanced),<p>This section provides guidance on how to include roof warranties into the contract</p>,"<p>Prior to the installation of the PV systems, the Contractor shall determine if a manufacturer and/or installer's warranty cover the existing roof system. If it is determined that the existing roof system is under a manufacturer's warranty, the Contractor shall engage the manufacturer representative and any other companies involved with service contracts or warranties regarding the PV system design, applied stresses, materials compatibility (chemical or physical), installation details and methods, and repairs to any damage to the roof during installation of the solar arrays. The Contractor shall provide manufacturer's shop drawings indicating the approved methods of installation in order to ensure the warranty remains in effect. The manufacturer's representative shall be allowed to provide oversight during the installation to ensure work is performed in accordance with approved methods. The Contractor shall provide documentation to the Contracting Officer (CO) demonstrating that the roof warranty has not been violated. The Contractor is to take no action leading to a voided roof warranty. 
</p><p>
Roofing companies often require an ""overburden waiver"" to ensure that the solar system will be removed if warranty repairs are required. This will ensure a watertight and structurally sound installation and ensure that the PV system does not void the manufacturer's warranty. 
</p><p>
The Contractor shall provide documentation to the Contracting Officer of the roofing manufacturer's recommendation, with resolutions obtained for the continuation of the roof warranties. It is preferable for the original roofing manufacturer and warranty holder(s) to provide this oversight; however, if not feasible, other roofing companies of similar qualifications and familiarity with the specific roof type and products may be engaged instead, with Governmental approval.
</p>",,Advanced,Specifications,Array Type: Roof Mount,,Engineering,,All
116,Roof Replacement,<p>This section provides guidance on roof replacement during the contract period.</p>,"<p>The Contractor shall assume that one roof replacement will occur during the life of the contract. The Government shall pay costs to temporarily remove the arrays and balance-of-system components that interfere with roof replacement. Once the roof replacement work is completed, the Contractor will restore the system to normal operation according to the output warranty schedule.
</p><p>
As part of the bid response, the Contractor shall provide the total cost of temporarily removing and restoring solar PV systems. The price provided by the Contractor in the bid response shall be for Year One (1).
</p><p>
For the year in which the roof replacement occurs, the Year One (1) bid price shall be inflated (compounded) using Consumer Price Index (CPI) numbers to determine the current cost of the temporary removal and restoration.
</p><p>
The determination of the amount of energy that would have been produced during the relocation shall be based, during the first Contract Year, on the estimated levels of production and, after the first Contract Year, based on actual operation of the system in the same period in the previous Contract Year, unless Seller and Purchaser mutually agree to an alternative methodology. ""Contract Year"" means the 12-month period beginning at 12:00 AM on the Commercial Operation Date or on any anniversary of the Commercial Operation Date and ending at 11:59 PM on the day immediately preceding the next anniversary of the Commercial Operation Date, provided that the first Contract Year shall begin on the Commercial Operation Date.
</p><p>
The Contractor will have thirty (30) days from the written or verbal notice to restore the system to normal operation. If the system is not restored within one (1) month of roof replacement completion, the Government shall retain the services of a qualified solar PV firm, at Contractor expense.
</p><p>For third-party owned systems: If the Contractor fails to restore the system within the thirty (30)-day period, the Contractor shall not receive payment for lost electricity sales.</p><p>
The Contractor may be provided a staging area to store components on-site only if the room is available, as determined in coordination with Government site managers.
</p>","<p>Given that contracts terms range from 20 to 25 years, it is likely that either major repair or replacement will occur, requiring part or all of an array to be moved aside temporarily and then placed back into position.
</p><p>
Adding re-roofing provisions in the original contract has three advantages:</p>

<ol>
<li>They provide a means to competitively set costs in advance, so that agencies are not exposed to price gouging if and when a roof repair/replacement event occurs.

</li><li>They include provisions for any re-roofing or major repairs that would require the Contractor to temporarily move part or all of an array as a component of the competitive bidding process.

</li><li>They identify in advance who the responsible agent will be when moving arrays for roofing work.</li>
<ol>
</p>",Advanced,Specifications,Array Type: Roof Mount,,Engineering; O&M,,All
117,Snow and Ice Shedding on Steep Sloped Roofs,<p>This section provides guidance on snow and ice shedding on steep sloped roofs.</p>,"<p>In regions prone to sliding snow and ice, consider using a mechanical loading rating according to IEC 61215. Snow/ice guards shall be used to protect the module and building occupants. Examples of sensitive areas for hazards of sliding snow and ice include roofs over building entries, driveways, and walkways.</p>",,Advanced,Specifications,Array Type: Roof Mount,Module,Engineering; Severe Weather; Safety,,All
118,Rooftop Locations for Inverters,<p>This section provides guidance on keeping inverters (string and module level power electronics [MLPE]) shielded from weather conditions when installing them on roofs.</p>,"<p>Under no circumstances shall roof array inverters that are string or central type be mounted in locations exposed to direct sunlight and weather. Inverters shall be minimally placed under open-sided shed roof structures designed to shield from direct exposure. Ideally, inverters are to be located in code-compliant ventilated machine rooms or penthouses. Module level power electronics (MLPE) mounted underneath solar modules shall be considered adequately protected from direct sun and weathering exposure.</p>",,Minimum,Specifications,Array Type: Roof Mount,Inverter; MLPE,Engineering; Severe Weather,,All
120,Rapid Shutdown Requirements,<p>This section details rapid shutdown requirements in NEC 690.12.</p>,"<p>The Contractor shall design and install the PV system in accordance with NEC 2017 690.12 for all rooftop arrays. Although not all states have adopted NEC 2017 690.12, the Government requires the Contractor to follow the requirements listed in the code in order to ensure life safety benefits and protection of Government property. The Contractor shall ensure that the rapid shutdown initiation methods are labeled in accordance with NEC 2017 690.56. The Contractor shall ensure that upon submittal to the Government that all rapid shutdown equipment is listed and labeled. The Contractor shall include module level power electronics (MLPE) that are rapid shutdown listed and labeled in all roof mounted arrays.</p>",,Minimum,Specifications,Array Type: Roof Mount,Inverter; MLPE,Engineering; Codes and Standards; Safety,,All
122,Fire Safety - Prevention and Protection: Wildlands & Urban Interfaces,<p>This section describes best practices for installing roof mounted PV systems in high fire prone areas and wildland urban interfaces.</p>,"<p>The Contractor must design the PV system to be tested, listed, and identified with the highest fire classification in accordance with UL 1703 if the site is located within a wildland urban interface (WUI) or high fire prone area (HFPA). For sites located outside of California, it is highly recommended that the Contractor design the system to meet CBC 1505.9.</p>

<p>If the PV system is to be installed in a WUI or HFPA, leading edge deflectors can be used to help slow the spread of flame (reducing chimney effect) and achieve a better fire rating. If the deflectors were used in the testing to achieve the fire rating, then they must be installed in order to maintain that rating.</p>

<p>It is highly recommended that the U.S. Forest Service's publication ""The 2010 Wildland-Urban Interface of the Conterminous United States"" be used to identify if the site is located in a WUI. If the site is not in a WUI, the Contractor can utilize the Forest Service's publication ""Wildland Fire Potential: A Tool for Assessing Wildfire Risks and Fuel Management Needs"" to identify if the site is located within a ""high"" to ""very-high"" fire prone area.</p>

<p>In lieu of requirements from states other than California, the Contractor must provide documentation to the Government during the design phase submittal confirming the PV system's fire rating. Additional submittal requirements for WUIs and high fire prone areas shall include:</p>
<ul>
     <li>A module specification sheet identifying the module type.
     </li><li>A racking specification sheet identifying the fire rating class when installed with the module type.
     </li><li>Existing or future roof specification sheets indicating its fire rating class.</li></ul>",,Minimum,Specifications,Array Type: Roof Mount,Module; Racking,Engineering; Safety,,All
124,Equipment Location,<p>This section describes best practices for installing electrical equipment on ground mounted PV systems.</p>,<p>The Contractor shall use a minimum of a 100-year flood level as set by the United States Geological Services (USGS) when choosing the equipment pad elevations.</p>,,Minimum,Specifications,Array Type: Ground Mount,Inverter,Engineering,,All
125,Equipment Location (Advanced),<p>This section describes best practices for installing electrical equipment on ground mounted PV systems.</p>,"<p>All ground mounted electrical supporting equipment (i.e., inverters, transformers,  switchgear) shall be installed on concrete slab(s) with appropriately sized and spaced rebar. The size and strength of the pad and rebar shall be adequately calculated and designed by the Contractor. The inverter and other electrical equipment must be kept out of direct sunlight and away from downspouts, gutters, and overhangs.
</p><p>
The Contractor shall use a minimum of a 100-year flood level as set by the United States Geological Services (USGS) when choosing the equipment pad elevations.</p>",,Advanced,Specifications,Array Type: Ground Mount,Inverter,Engineering,,All
126,Site Management,"<p>This section provides guidance on how to manage vegetation growth, ground cover, and security required to keep unauthorized personnel out of the site.</p>","<p>The Contractor shall provide for vegetation growth control in the PV parcel and shall be responsible for a fire control and weed control program. The Contractor shall procure a construction activity storm water permit and then install a storm water runoff collection system at the down gradient of the PV field to collect and safely channel collected rainwater to natural runoff channels to minimize erosion.
</p><p>
The Agency shall approve the gravel, fire control program, weed control program, and storm water runoff collection system.
</p><p>
The Contractor shall provide and maintain site protection to keep children, vandals, wildlife, and unauthorized personnel out of the ground sites. At a minimum, the Contractor shall provide either a wildlife friendly-style, or chain link fence a minimum of six (6) feet high with a lockable gate. The key is to be provided to the Government. 
</p>",,Advanced,Specifications,Array Type: Ground Mount,,O&M; Safety,,All
127,Pollinator Friendly Ground Cover Plantings ,<p>Describes use of flowering plants and native grasses specifies for ground cover. </p>,"<p>Contractor shall instruct the civil engineer to specify ""Pollinator Friendly Ground Cover"" as the principal ground cover in and around an array field.  Array service roads shall be exempt.  Contractor shall provide the Solar PV Pollinator Planting Scorecard as part of the formal submittal process (https://2lwej44565rn2mmjlk31pmwq-wpengine.netdna-ssl.com/wp-content/uploads/2019/08/Pollinator-scorecard.pdf).  Contractor shall achieve a scorecard minimum of 70 points.  Pollinator Friendly Ground Cover, herein shall mean, a diverse mix of nectar bearing plants and native grasses that provide meaningful nutritional benefit to pollinator species within the context of the managed landscape of a solar PV facility.  To promote plant growth under module row, the lower edge shall not be less than 36"" from the ground. </p>","<p>Requiring ""Pollinator Friendly Ground Cover"" provides the following five main potential benefits:  1) provides very valuable habitat for pollinator insects, 2) increases water absorption and reduces water runoff due to extensive root systems, 3) reduces ambient temperature of air around array which in turn increases solar PV output, 4) reduces O&M costs from reduced mowing, 5) increase public acceptance and reduced litigation risk.  </p>",Advanced,Specifications,Specialized Topic: Pollinator Friendly Ground Cover Plantings,,Codes and Standards; Cybersecurity; Engineering; O&M; Resiliency; Safety; Severe Weather,,Pollinator Friendly Ground Cover Plantings
128,Preventing Vandalism and Theft,<p>This section describes the security measures that must be taken to prevent vandalism and theft </p>,"<p>If there is any concern that a solar PV system could be subjected to theft, vandalism, or intrusion by unauthorized personnel or children, the agency will establish criteria to the solicitation and final contract addressing these issues. In this event, the Contractor can install any of the following, but not limited to, security features at the site:</p>
<ul>
<li>An appropriate fencing system with locked gates
</li><li>Motion activated alarms and lighting
</li><li>Security cameras and patrols
</li><li>Security padlocks on inverters, combiner boxes, and main electrical switches
</li><li>Anti-theft devices for copper cabling</li></ul>

<p>If a fence is to be installed, it shall include a lockable gate, and a key is to be provided to the Government for site access.</p>",,Advanced,Specifications,Array Type: Ground Mount; Specialized Topic: Preventing Vandalism and Theft,,O&M; Safety,,Preventing Vandalism and Theft
129,Wildlife-Friendly Fencing,<p>This section provides guidance on the type of fencing that is compatible with wildlife.</p>,"<p>Fencing shall be wildlife friendly, with provisions to prevent animals from becoming entangled or injured, and capped with plastic fence guards. Barbed wire is not allowed. Fence color will be selected by the Government from the manufacturer's standard colors, including brown, black, green, white, and natural metallic.  The Contractor shall submit four (4) of each color sample to the Contracting Officer for selection.</p>",,Advanced,Specifications,Array Type: Ground Mount; Specialized Topic: Wildlife Friendly Fencing,,Safety,,Wildlife Friendly Fencing
130,Underground Utilities,<p>This section describes the requirements that the Contractor must meet in regards to locating and identifying underground utilities in order to prevent damage to facility systems.</p>,"<p>The Contractor is responsible for locating all existing underground utilities prior to excavation and for utilizing the ""Call Before You Dig"" hotline to confirm with any potentially affected public utility company. Any damage done to existing underground utility systems are the sole responsibility of the Contractor.
</p><p>
Any site utility drawings provided by the Government, utility companies, municipal and county agencies, and prior Government contractors are for informational purposes only and are to be considered incomplete and inaccurate. The Contractor is responsible for confirming the exact location, depth, and type of underground utilities present.
</p><p>
Underground utilities that may be found traversing the proposed array areas might include but are not limited to: telecommunications trunks; cable TV lines; electrical distribution conductors; water mains; oil, steam, propane, and natural gas lines; access and security camera systems; waste water and/or storm water drain pipes; traffic and/or street light power; and communications cabling.
</p>",,Minimum,Specifications,Array Type: Ground Mount; Array Type: Carport; Array Type: Utility Structure,,Engineering; Safety,,All
132,Fixed Ground Arrays: Front and Back Piles - High Wind Zones,<p>This section describes illustrations on the required design for ground mounted PV system support structures.</p>,"<p>For sites that experience winds equal to or greater than 70 MPH, Contractor shall design and install fixed ground arrays utilizing a front and back pile (Figure 1) which are preferred over ground arrays utilizing a single center pile (Figure 2).

The fixed ground array shall utilize stiffening cross braces to ensure the structural integrity against side and back wind forces (Figure 3).</p>",,Minimum,Specifications,Array Type: Ground Mount,Racking,Engineering; Severe Weather; Safety,Figure 1|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID132_133_Figure_1_Fixed_Ground_Arrays_Front_and_Back_Piles.jpg; Figure 2|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID132_133_Figure_2_Fixed_Ground_Arrays_Front_and_Back_Piles.jpg; Figure 3|https://www1.eere.energy.gov/apps/femp/datatables/pv_tech_specs/images/ID132_133_Figure_3_Fixed_Ground_Arrays_Front_and_Back_Piles.jpg,All
