Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Improving Economics of Gen3 CSP System Components through Fabrication and Application of High-Temperature Nickel-Based Alloys,Electric Power Research Institute,EE0008367,Concentrating Solar Power,node/790241,Funding Opportunity,Generation 3 Concentrating Solar Power,Gen3 CSP,Active,10/1/2018,9/30/2022,"$1,499,901 ","$222,229 ",Charlotte,NC,28262,node/3486419,35.32616,-80.74605,John Shingledecker,"In order to reduce high-temperature concentrating solar thermal power plant costs, this team will investigate manufacturing methods for alloys that had previously been designed for high-temperature power service in advanced ultra-supercritical steam. They will examine the cost and performance advantages of manufacturing pipes and tubes from flat sheets after further processing, which can lower capital costs. If these alternate manufacturing routes of alloys can produce pipes that are able to maintain operating lifetimes similar to piping produced from other nickel-based alloys, they have the potential to reduce the cost of these components by about thirty percent."
"Direct Current Arc-Flash Safety for 1,500 Volts: Methodology, Verification, and Codifying",Electric Power Research Institute ,EE0008156,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,10/1/2017,3/31/2021,"$1,010,726 ","$112,303 ",Charlotte,NC,94304-9703,node/3341402,37.381344,-122.180281,Michael Bolen,"The rapid release of thermal energy, pressure waves, and electromagnetic interference from an arc-flash all pose risks to people and equipment in a photovoltaic plant. However, there is a lack of understanding regarding how to calculate incident energy from direct current arc-flashes. This project is increasing the fundamental understanding of arc-flash mechanics in photovoltaic systems and providing the quantitative foundation and recommendations for adoption by the industry. This is being done by physically testing arc-flashes in a laboratory; developing a detailed physics-based model to confirm underlying methodology and key input variables; and documenting and disseminating results through guidelines submitted to code bodies, journal and conference publications, and an easy-to-use incident energy calculator."
Integrated Simulation Development and Decision Support Tool Set For Utility Market and Distributed Solar Power Generation,Electricore,EE0006332,Systems Integration,node/791071,Funding Opportunity,Solar Utility Networks: Replicable Innovations in Solar Energy,SUNRISE,Inactive,9/30/2013,9/30/2015,"$420,155 ","$560,000 ",Valencia,CA,91354-0700,node/1074231,34.462717,-118.562289,Tony Daye,"The goal of this project is to develop a simulation and decision support toolset that simulates the utility grid in real time and contains a decision support system for effective integration of centralized and distributed solar power generation. This toolset, designed for real-time operations personnel, will be integrated within existing utility procedures. The Distribution Management System will enable real-time simulation of distributed solar PV generation in the San Diego Gas & Electric territory. The methodology and enabling software will be available to utilities across the U.S. for wide-spread adoption and cost benefits for utilities and their ratepayers. This project will further result in improved day-ahead generation commitments and real time operations, and increased reliability and system balancing from improved visibility, enabling more efficient and innovative management of utility assets."
Southwest United States of America - Distributed Technology Training Consortia,Electricore,EE0006339,Soft Costs,node/791371,Funding Opportunity,Grid Engineering for Accelerated Renewable Energy Deployment,GEARED,Inactive,9/30/2013,9/30/2014,"$2,299,690 ","$1,573,076 ",Valencia,CA,91355,node/791036,34.42092,-118.60635,John Holmes,"The Southwest United States of America Distributed TRaining Consortia will create power and energy systems training, curricula, and workforce preparedness through the inclusion of data collection and analysis, power systems expertise, and application-specific training activities which build on fundamental principles, modeling and simulation tools, field-immersed training and methods of performance validation. The outcome of the program will result in better prepared and greater numbers of graduates ready to contribute to the field of power systems which depend upon the safe, reliable and efficient generation sources which make up an increasingly diverse mix of renewable power. Additionally, the program will deliver critical training modules which are intended to support mid-career professionals and be woven into utility training programs used all over the country."
Training Real Estate Professionals to Find the Value Of Solar,Elevate Energy,EE0007322,Soft Costs,node/791371,Funding Opportunity,Solar Training and Education for Professionals,STEP,Active,3/1/2016,2/28/2019,"$445,027 ","$23,422 ",Chicago,IL,60607-3544,node/1712856,41.878114,-87.629798,Pamela Brookstein,"Elevate Energy educates residential real estate agents, appraisers, and appraiser regulatory officials about solar energy systems through web-based, continuing education classes. The lack of current solar information for these professionals is slowing demand for residential solar by decreasing its contribution to resale value and often presenting challenges to home sellers with solar installations. The project also works to add an expanded solar component to the Multiple Listing Service, or MLS, a suite of services used by real estate professionals to establish contractual offers on properties, facilitate cooperation with other brokers, and distribute listing information."
PACE Solar Accelerator,ENACT Systems,EE0007196,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,10/1/2015,3/31/2017,"$498,965 ","$498,964 ",Pleasanton,CA,94588-3705,node/1382356,44.052069,-123.086754,Deep Chakraborty,"ENACT is developing PACE Solar Accelerator, or PSA, an end-to-end platform for automation of sales, operations, design, and financing of projects that leverage Property Assessed Clean Energy (PACE) financing. The PSA platform accelerates sales and financing volumes and reduces the risks and costs associated with origination, underwriting, and overall administration of PACE-backed solar projects. PSA enables developers and PACE program lenders to access the platform and benefit from increased workflow automation, improved operating margins, and more rapid scale-up."
OpACT Solar Business Operations Analytics,ENACT Systems,EE0007198,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,10/1/2015,10/31/2016,"$449,671 ","$185,889 ",Pleasanton,CA,94588-3705,node/1382346,37.831316,-122.285247,Deep Chakraborty,"ENACT is developing an end-to-end, operational workflow analytics platform to further expedite sales and installation of solar PV projects. Adding workflow analytics enables solar developers and installers to gain 'live' functional guidance during project sales and delivery, leveraging data analytics that reduce human error and adding insights that help decision-making. The end result will be to provide business process automation and benchmarking for all critical workflow steps for both residential and commercial solar installations."
The Democratization of Solar: Expanding the Commercial and Industrial Solar Market to Small and Medium Businesses through Financial Risk Mitigation,Energetic Insurance,EE0008127,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,10/1/2017,10/31/2019,"$800,000 ","$265,992 ",Boston,MA,02111-2623,node/3028985,42.351465,-71.060177,Jeff McAulay,"Energetic Insurance will research novel, data-driven, actuarial models that will allow for substantial expansion of the commercial solar market by mitigating off taker credit risk through the deployment of a unique new insurance product. Funding will be used to develop the advanced underwriting models and enable collaboration with lenders, project developers, and insurance companies. The project will result in a new insurance policy being issued on commercial and industrial solar projects across the country."
"Low Cap-Ex, High Speed Roll-to-Roll Perovskite Solar Module Development",Energy Materials Corporation,EE0008128,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,10/1/2017,1/31/2020,"$2,000,000 ","$2,378,892 ",Norcross,GA,30071-1653,node/3029001,33.939752,-84.21734,Stephan DeLuca,"Energy Materials Corporation is developing a process to manufacture perovskite photovoltaic modules at unprecedentedly low cost and capital expense using high speed roll-to-roll printers. Unlike other thin-film technologies, perovskites combine the advantages of low-cost production with efficiencies on par with the dominant crystalline silicon technology. At this stage, the company is developing pilot production tools that will generate prototype modules demonstrating the module efficiency, stability, and cost structure needed to move into full production. Using existing production printers at Kodak, the company expects to produce modules at $0.30 per watt while utilizing U.S. manufacturing."
Developing aggregated data sets to standardize the collateral valuation process utilizing an economic pricing model,Energy Sense Finance,SC0012038,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Inactive,7/28/2016, 7/27/2017,"$1,499,716 ",,Punta Gorda,FL,33980,node/790986,26.98009,-82.05226,Mark Handschy,"Energy Sense Finance is developing solar valuation data sets to assist real estate appraisers, along with other professionals involved in the solar transaction process, in determining the asset value of both existing and proposed solar PV systems. The new approach recognizes that the lack of verifiable data is a current barrier to developing credible opinions of value for solar as an asset class. The solution utilizes data sets to better align current solar valuation methodologies with those used in traditional, low cost of capital lending markets. By removing barriers to credible valuation of solar systems, the &ldquo;Ei Value&trade;&rdquo; web application can establish a verifiable solar asset value even before financing is issued and a system is installed. This will benefit homeowners, real estate appraisers, realtors, lenders, insurance companies, green raters, credit rating agencies and third party owners among others by streamlining the solar valuation process and effectively opening up access to a lower cost of capital."
Creation of an Online B2B Platform Specifically Designed for the U.S. Solar Marketplace,EnergyBin,EE0007587,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,10/1/2016,3/31/2018,"$700,000 ","$754,577 ",Rochester,MN,55906-4632,node/2039890,44.012122,-92.480199,Keith Bluford,"EnergyBin is creating an online marketplace for overstock and hard-to-find components in the solar industry, reducing project construction and maintenance costs while providing a means by which decommissioned materials can be reused. This members-only platform will provide a place for engineering, procurement, construction, manufacturers, distributors, and other firms to sell overstock that would otherwise sit in storage facilities, and to provide these companies with discounted, warrantied solar project components from vetted, reputable sources. In addition, the platform will also have the ability to supply operating projects with replacement parts that are otherwise unavailable or have extended delivery times."
Reverse Auction Platform for Installation Bids,EnergySage,EE0005841,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,6/12/2012,6/30/2013,"$500,000 ","$142,529 ",Boston,MA,2109,node/791011,42.36324,-71.05377,Vikram Aggarwal,"EnergySage is streamlining the solar photovoltaic purchase process for installers while creating a novel reverse auction platform to ensure consumers receive the best prices available while lowering sales costs for installers through its website EnergySage.com. At EnergySage.com a consumer can solicit multiple quotes from pre-screened installers. The quotes are displayed in a standardized format that allows consumers to easily evaluate and compare them to select the best option, fostering price transparency and competition."
Consumer Destination Site For PV Featuring A Reverse Auction Online Marketplace,EnergySage,EE0006464,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,10/1/2013,9/30/2015,"$1,250,000 ","$1,250,000 ",Boston,MA,2109,node/791011,42.36324,-71.05377,Vikram Aggarwal,"The EnergySage Marketplace transforms the complex solar PV shopping process into a simple, online comparison-shopping experience. The unique, innovative platform provides unprecedented levels of choice, transparency, and information at no cost to consumers, who can compare quotes from multiple pre-screened installers in an apples-to-apples matrix format across all financing options. EnergySage slashes time and effort for both consumers and installers, significantly reducing customer acquisition costs, boosting consumer confidence, and accelerating mass market solar adoption."
"An Online Marketplace that Allows Consumers to Comparison Shop for Solar Equipment, Financing, and Labor, Independently",EnergySage,EE0008129,Technology to Market,node/928446,Funding Opportunity,Technology to Market Technology to Market 3,T2M3,Active,10/1/2017,10/31/2019,"$1,544,839 ","$1,600,000 ",Boston,MA,02109-4251,node/3029009,42.36324,-71.05377,Jamie Biggar,"This project will apply best practices from online shopping in other industries to the solar shopping process to lower customer acquisition costs and the installed price of solar photovoltaic systems. The approach focuses on scalable online tools that facilitate consumer decision making, while streamlining the sales process for suppliers. By adopting best practices from other industries, this project aims to better align the consumer experience with consumer expectations, reduce customer acquisition costs, and increase solar deployment."
Improving PV Module Efficiency and Durability ,Enfocus Engineering,,Technology to Market,node/928446,Funding Opportunity,Incubator 1,Incubator 1,Inactive,2007,,"$1,179,340 ",,Sunnyvale,CA,94087,node/791011,37.34921,-122.032602,,"Enfocus developed a lightweight, low-profile, high-concentration PV module which is fully encapsulated and protected from wind, hail, dust, and moisture, using high-efficiency multi-junction cells to generate higher power outputs in area-constrained applications such as rooftops."
"Anti-Reflective, Anti-Soiling Low Temperature Solar Glass Coating",Enki Technology,EE0006040,Technology to Market,node/928446,Funding Opportunity,Incubator 7,Incubator 7,Inactive,10/1/2012,9/30/2014,"$1,500,000 ","$1,811,723 ",San Jose,CA,95131-2013,node/791011,37.390296,-121.896105,Brenor Brophy,Enki Technology worked to improve PV module efficiencies and reduce the levelized cost of energy (LCOE) through development of low-cost anti-reflective and anti-soiling coatings. 
Integrated Glass Coating Manufacturing Line,Enki Technology,EE0006810,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology 2,SolarMat 2,Inactive,10/1/2014,9/30/2015,"$2,000,000 ","$2,006,005 ",San Jose,CA,95131,node/973806,37.390296,-121.896105,Brenor Brophy,"The goal of this project is to improve PV module efficiencies and reduce the levelized cost of energy (LCOE) through development of low-cost high-performance functionalized anti-reflective coatings for PV cover glass. Enki's unique platform of products offer high-durability coatings for desert environments, anti-soiling coatings for arid and dusty environments and coatings optimized for world class optical performance. Enki offers coating processes on industry standard equipment with products that can be cured at low or high temperatures for compatibility with existing infrastructure. Enki is continuing to expand its product offerings to provide tailored anti-reflection coatings that solve customer problems."
Modular and Scalable Baseload Molten Salt Plant Conceptual Design and Feasibility,eSolar,EE0003595,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,9/1/2010,6/30/2012,"$4,697,367 ","$1,729,344 ",Pasadena,CA,91103-3628,node/790536,34.16424,-118.083005,Craig Tyner,"eSolar, under the Baseload CSP FOA, is designing a 100-MW, 75% capacity factor, molten salt power tower plant, based around a molten salt receiver and heliostat field module with a nominal thermal rating of 50 MWth. They are taking a modular approach, which can be scaled through replication of the receiver/field module to meet output and capacity factor requirements."
High-Value Integrated Community Solar (HVICS),Extensible Energy,EE0006905,Soft Costs,node/791371,Funding Opportunity,Solar Market Pathways,Solar Market Pathways,Inactive,1/1/2015,9/30/2017,"$800,000 ","$200,000 ",Lafayette,CA,94549,node/1429101,35.457867,-105.758591,Jill Cliburn,"The goal of this project is to increase the scale, reach, and value of utility-based community solar programs by using strategic solar technologies and design, by systematically prioritizing local sites, and by integrating companion measures, such as demand-response and thermal or battery storage. Such measures can directly address solar variability, so that costly distribution-engineering solutions and regional-level ancillary services can be minimized. The core business model will be flexible enough to work in different market and regulatory situations, to offer both residential and commercial customers a compelling new solar option."
"Solar Load Balancing Simulator (Topic 13, Subtopic a)",Extensible Energy,SC0015792,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Active,6/13/2016,7/31/2019,"$1,150,000 ",,Lafayette,CA,94549,node/790986,35.457867,-105.758591,John Powers,This project will develop modern software tools to assist designers of building controls and energy storage systems to maximize the use of distributed solar within the facility where the solar is installed.
Faraday Customer Acquisition Software,Faraday,EE0006683,"Technology to Market, Soft Costs","node/928446, node/791371",Funding Opportunity,Incubator 9,Incubator 9,Inactive,9/30/2014,3/31/2016,"$1,000,000 ","$1,006,073 ",Middlebury,VT,5753,node/791016,43.99903,-73.17614,Robert Adler,"The goal of this project is to develop a data management platform that uncovers superior customer acquisition strategies to order to improve lead conversion rates. The map-driven tool includes nearly a terabyte of data on 100 million U.S. households and leverages advanced machine-learning algorithms to pinpoint households most likely to invest in solar. Solar installers, financers, and original equipment manufacturers will use Faraday to explore markets, construct audiences, launch outreach campaigns, and track and compare results for measurable improvements in return on investment. "
"Low-Cost, Plug-and-Play Data Diodes for Solar Equipment Cybersecurity",Fend,SC0018780,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Active,7/2/2018,4/1/2019,"$150,000 ",,Falls Church,VA,22041,node/790986,38.85121,-77.14477,Colin Dunn,"Solar energy equipment is made by a small number of manufacturers, increasing the risk of economic disruption from a widespread, distributed cyberattack on industrial photovoltaic control systems. This project will develop the &ldquo;Data Valve,&rdquo; a low-cost, plug-and-play information transfer device that provides unhackable, physically enforced security with real-time equipment monitoring. This could prevent the large economic disruption a distributed cyberattack on industrial control systems would potentially cause."
Solar Power Electronics Modular Integrated Node Platform,Flex Power Control,EE0008352,Systems Integration,node/791071,Funding Opportunity,Advanced Power Electronics Design for Solar Applications,Power Electronics,Active,9/1/2018,8/31/2021,"$2,496,150 ","$704,558 ",Encino,CA,91436,node/3446814,34.15365,-118.49774,Robert Dawsey,"This innovative power electronics platform combines solar power with stationary energy storage and electric vehicles to minimize installation costs and to optimize the use of solar energy. The project will develop advanced controls built on system awareness and communications, coupled with cloud-based analytics for optimized energy utilization. The platform leverages silicon carbide-based power electronics to provide high efficiency inverters, in addition to having controllable power flow between the distributed energy resources and the load."
Sunshine State Solar Grid Initiative (SUNGRIN),Florida State University,EE0004682,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,11/1/2012,2/28/2015,"$2,643,146 ","$755,990 ",Tallahassee,FL,32306-4166,node/1074206,30.440785,-84.288352,Rick Meeker,"Florida State University's Center for Advanced Power Systems and partners in the Sunshine State Solar Grid Initiative (SUNGRIN) have completed a five-year effort aimed at enabling effective integration of high penetration levels of grid-connected solar PV generation. SUNGRIN has made significant contributions in the development of simulation-assisted techniques, tools, insight and understanding associated with solar PV effects on electric power system (EPS) operation and the evaluation of mitigation options for maintaining reliable operation. An important element of the project was the partnership and participation of six major Florida utilities and the Florida Reliability Coordinating Council (FRCC). Utilities provided details and data associated with actual distribution circuits having high-penetration PV to use as case studies. The project also conducted some foundational work supporting future investigations of effects at the transmission / bulk power system level. In the final phase of the project, four open-use models with built-in case studies were developed and released, along with synthetic solar PV data sets, and tools and techniques for model reduction and indepth parametric studies of solar PV impact on distribution circuits. Along with models and data, at least 70 supporting MATLAB functions have been developed and made available, with complete documentation"
Automatic Design Optimization Software,Folsom Labs,EE0006376,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,1/1/2014,3/31/2015,"$350,000 ","$100,000 ",San Francisco,CA,94103-3888,node/791011,37.789018,-122.391506,Paul Grana,"Folsom Labs makes software that helps PV system engineers quickly and efficiently design high-performance solar arrays by combining advanced performance modeling with cloud-based design tools. Under the SunShot award, Folsom Labs will extend its core HelioScope product to provide automatic evaluation of various system designs and component choices to quickly find the lowest LCOE approach for a given site."
Solar Permit Generator,Folsom Labs,EE0007193,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,10/1/2015,9/30/2016,"$296,000 ","$301,925 ",San Francisco,CA,94110-3200,node/1382361,40.570291,-105.084423,Paul Grana,"Folsom Labs will develop a software-based Solar Permit Generator &#150; a software engine that automatically generates many of the standard documents that inspectors and AHJs require for solar arrays in their jurisdiction. This software will leverage much of the system design information already included in HelioScope, a design and engineering software platform offered by Folsom Labs. HelioScope is already used by hundreds of installers for preliminary engineering and proposal stages of projects, and the natural next step is to take the designs generated in HelioScope and extend them to permit documents. By doing so, this project will help all U.S. solar installers work more effectively, while also bringing down the installed cost of solar. Each solar array will require fewer man-hours, and will have fewer opportunities for human errors. This will also reduce the turnaround time to deploy solar arrays, helping solar developers increase their throughput and improve their profitability."
Automatic Reference for Empirical Soiling,Fracsun,SC0017882,Technology to Market,node/928446,Funding Opportunity,Small Business Innovation Research,SBIR,Active,6/12/2017,8/27/2020,"$1,150,000 ",,Atascadero,CA,93422,node/790986,35.45764,-120.68025,Catlin Mattheis,The accumulation of dirt on solar panels has drastic and measurable effects on the performance of solar arrays. This project is focused on developing and manufacturing a device that addresses soiling by measuring the dirt accumulation and calculating the best day to wash the solar array.
Solar-Driven Desalination by Membrane Distillation using Ceramic Membranes,Fraunhofer Center for Energy Innovation,EE0008400,Concentrating Solar Power,node/790241,Funding Opportunity,Solar Desalination,,Active,10/1/2018,9/30/2021,"$873,648 ","$218,926 ",Storrs ,CT,06269-3222,node/3539654,41.80704,-72.25167,Jeffery McCutcheon,"This project will develop and test ceramic membranes for solar-driven membrane distillation (MD) systems for desalination. The challenges that ceramic membranes face for MD applications are mass and heat transfer, wetting, scaling, and fouling. These challenges will be addressed by designing and optimizing membranes at a small scale, and later applying the lessons learned to larger-scale elements that can be used with a solar-thermal test bed."
Plug & Play Solar PV for American Homes,"Fraunhofer USA, Center for Sustainable Energy Systems",EE0006035,Systems Integration,node/791071,Funding Opportunity,Plug-and-Play Photovoltaics,Plug and Play,Inactive,2/1/2013,5/31/2016,"$11,781,488 ","$2,945,372 ",Cambridge,MA,02138-0004,node/1069086,42.380327,-71.13891,Christian Hoepfner,"The goal of this project is to develop a new plug-and-play PV system that self-checks for proper installation and safety and communicates with the local utility and local jurisdiction to request permission to feed power into its smart meter. The utility and locality will remotely grant permission to the system to connect, and the PV system will immediately start to produce power to either consume in-house or feed into the distribution grid. In addition, the team will work with the national codes and standards community to identify hurdles for such a system, propose code changes, and develop technologies that will enable the system to be UL   listed and therefore not subject to local building inspections. Progress of the technology development will be demonstrated yearly with partnering utilities and localities."
Sundial - An Integrated System to Enable High-Penetration Feeder-Level Photovoltaics,"Fraunhofer USA, Center for Sustainable Energy Systems",EE0007164,Systems Integration,node/791071,Funding Opportunity,Sustainable and Holistic Integration of Energy Storage and Solar PV,SHINES,Active,1/1/2016,6/30/2019,"$3,493,921 ","$3,560,744 ",Boston,MA,02210-3400,node/1540826,42.351727,-71.040862,Kurt Roth,"This project is developing a highly scalable, integrated photovoltaics, storage, and facility load management solution. Through the SunDial Global Scheduler, the system tightly integrates photovoltaics, energy storage, and aggregated facility load management to actively manage net system power flows to and from the feeder, regardless of whether these individual components are co-located at the same site, or distributed at different sites."
Adhesive Mounting of Conventional Photovoltaic Modules for Residential Solar,"Fraunhofer USA, Center for Sustainable Energy Systems",EE0008173,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,10/1/2018,3/31/2020,"$833,607 ","$220,086 ",Boston,MA,02210-3400,node/3341409,42.351727,-71.040862,Christian Honeker,"This project aims to reduce the installation cost of photovoltaic systems by researching a non-penetrating adhesive mounting interface for securing conventionally framed and glass-glass modules to asphalt shingles. Key areas of investigation include characterizing and understanding the direction and balance of forces between the proposed adhesive chemistry and the target surface, and the physical changes that take place in the mounting materials over time. Eliminating penetrating adhesives has the potential to mitigate the risk of expensive roof leaks, speed module mounting, and reduce the training requirements of the installer."
Verified Solar Savings,Genability,EE0005843,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,6/12/2012,6/11/2013,"$500,000 ","$382,050 ",San Francisco,CA,94105-1913,node/791011,37.789018,-122.391506,Eric Danziger,"The goal of this project is to implement an independent analysis of projected and actual solar savings and a monthly savings statement that will automatically track actual savings, compares actual with projected savings and determines the optimum rate plan for customers. The ""Verified by Genability"" mark will help to lower bid preparation and increase conversions."
Verified Solar Savings,Genability,EE0006529,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,2/28/2014,8/27/2015,"$1,000,000 ","$1,120,000 ",San Francisco,CA,94105-1913,node/791011,37.504227,-122.391506,Eric Danziger,"Genability is creating a suite of automation, optimization, and collaboration software tools for the solar industry. These will allow solar providers, installers, and financiers to optimize the economics and value of solar PV systems. From prospecting and initial estimates, precise avoided costs, system sizing and tariff optimization, to fully modeled power purchase agreement rates and escalators, Genability is streamlining the solar sales process."
Achieving Ubiquitous Solar through Market Transformation and Grid Integration,Genbright,EE0007589,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",Incubator 11,Inactive,9/15/2016,3/31/2018,"$799,287 ","$984,487 ",Hingham,MA,02043-1670,node/2039906,42.241817,-70.889759,Aram Sogomonian,"This project creates a commercial platform to integrate distributed energy resources (DERs), including solar, into markets as a means to increase the potential penetration rate and decrease soft costs. The software platform will facilitate this market access through a combination of open source data repositories and enhancements to existing DER asset management software. Finally, through this project, Genbright will demonstrate both the technical capability of the platform on a small scale of diverse DERs and the commercial potential to expand to a much larger portfolio of DERs."
Baseload CSP Generation Integrated with Sulfur-Based Thermochemical Heat Storage,General Atomics,EE0003588,Concentrating Solar Power,node/790241,Funding Opportunity,Baseload Concentrating Solar Power,CSP Baseload,Inactive,8/1/2010,10/31/2014,"$2,036,881 ","$847,399 ",San Diego,CA,92186-5608,node/790541,32.810253,-117.132358,Bunsen Wong,"General Atomics, under the Baseload CSP FOA, is demonstrating the engineering feasibility of using a sulfur-based thermochemical cycle to store heat from a CSP plant and support baseload power generation."
Thermochemical Heat Storage for CSP Based on Multivalent Metal Oxides,General Atomics,GO18145/FG36-08GO18145,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,9/30/2008,10/31/2011,"$1,499,953 ","$933,591 ",San Diego,CA,92186-5608,node/790426,32.810253,-117.132358,Bunsen Wong,"General Atomics (GA), under the Thermal Storage FOA, is developing a high-density thermochemical heat storage system based on solid metal oxides."
Module Embedded Microinverter Smart Grid Ready Residential Solar Electric System,General Electric,EE0005344,Systems Integration,node/791071,Funding Opportunity,Solar Electric Grid Integration &ndash; Advanced Concepts,SEGIS-AC,Inactive,9/1/2011,4/15/2015,"$2,077,916 ","$863,726 ",Niskayuna,NY,12309-1027,node/1069066,42.800005,-73.891441,Mohammd Agamy,"This project is developing and demonstrating a cost-reduction approach for an alternating-current (AC) photovoltaic (PV) module that is driven by innovations in microinverter design, module integration and packaging, and integration with a new intelligent circuit breaker. GE Global Research will develop and demonstrate a new microinverter that is functionally integrated with the AC module to reduce packaging and materials cost for both the microinverter and the module laminate, and a new intelligent circuit breaker that reduces microinverter cost by offloading duplicate safety and protection functions in an AC module system to a dedicated branch circuit."
Physics-Based Reliability Models for Supercritical-CO<sub>2</sub> Turbomachinery Components,General Electric,EE0006345,"Photovoltaics, Concentrating Solar Power","node/79088, node/790241",Funding Opportunity,Physics of Reliability: Evaluating Design Insights for Component Technologies in Solar,PREDICTS,Inactive,9/30/2013,9/30/2016,"$1,933,139 ","$483,284 ",Schenectady,NY,12301-0001,node/790816,42.82,-73.94,Azam Thatte,The goal of this project is to develop a physics-based life prediction and reliability model for hybrid gas bearing (HGB) and dry gas seal (DGS) components. Coupled multi-physics models for performance prediction of these components during a typical supercritical CO<sub>2</sub> (s-CO<sub>2</sub>) cycle will be developed in order to generate a loading history that serves as an input to the physics-based lifing model. The coupon level fatigue and corrosion experiments under a controlled CO<sub>2</sub> environment will be carried out and will provide critical validation of the performance prediction models and provide data that serves as input to the life prediction model. DGS test in a 1 MWe s-CO<sub>2</sub> loop will validate the performance prediction models and provide key data that serves as input to the life prediction model. A probabilistic framework will be developed to quantify statistical uncertainty and to calibrate and validate the physics-based life model.
Deployable Commercial Rooftop Solar Electric System,General Electric ,EE0005437,Systems Integration,node/791071,Funding Opportunity,Extreme Balance of System Hardware Cost Reduction,Bos-X,Inactive,9/1/2011,5/30/2014,"$1,575,985 ","$1,381,646 ",Niskayuna,NY,12309-1027,node/1074216,42.800005,-73.891441,Charlie Korman,"GE has been developing a novel approach (see Figure 1) for a commercial rooftop balance of system that a) with a highly flexible configuration provides the highest rooftop power density, b) does not require heavy ballasting to meet wind loading requirements significantly reducing total system weight and c) offers a true plug and play interface that that allows most of the installation to be completed by standard roofing contractor trades with substantially reduced level of effort. "
Compression System Design and Testing for sCO<sub>2</sub> CSP Operation,General Electric ,EE0007109,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,10/1/2015,9/30/2019,"$3,800,000 ","$1,841,054 ",Niskayuna,NY,12309-1027,node/1332561,42.805614,-73.87719,Bugra Ertas,"This project is developing an optimal compression system for a modular supercritical carbon dioxide power block operation in highly transient CSP tower applications. The compressor train under development will provide high-pressure carbon dioxide compression at state-of-the-art efficiency, required for the operation of a tower-mounted, modular, recompression-type supercritical carbon dioxide power cycle with a wide operating range to be coupled with the turbo-expander being developed for CSP power tower applications."
Smart Power Maps,GeoCF,EE0007178,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,10/1/2015,3/31/2017,"$773,500 ","$773,500 ",Austin,TX,78701-1149,node/1382211,37.567768,-82.371937,Clay Butler,"GeoCF's Smart Power Maps solution is a comprehensive software platform for utility-scale solar project evaluation and development. Smart Power Maps gives solar developers, utilities, and investors the ability to bring large-scale solar projects to market faster with lower cost of capital. Users can comprehensively evaluate tens of thousands of potential projects simultaneously and manage project development for the best sites through all stages of development. By streamlining and combining the financial modeling and geographic constraints analysis steps of the due-diligence process, the tool cuts weeks from project timelines for initial screening and can reduce project development costs significantly."
