Program,Activity,Presenting_Organization,Project_Title,Year,URL,Text
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","Mechanical Solutions, Inc.",Low-GWP HVAC System with Ultra-Small Centrifugal Compression,2016,http://energy.gov/eere/buildings/downloads/low-global-warming-potential-hvac-system-ultra-small-centrifugal,"<p>Weighted Average: 3.08   # of Reviewers: 4</p>   
<p>Relevance: 3.00    Approach: 3.00   Accomplishments: 3.00  Project Collaboration: 3.25  Future Work: 3.25</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed that an efficient compressor capable of handling low-global warming potential (GWP) refrigerants is a key concern of BTO’s, though one reviewer cautioned that previous work using centrifugal compressors for ultra-small scale has faced serious challenges that the presentation did not address. One reviewer noted that the experience of the project team and their resources should enable them to “give it a good shot.”</p> 
<p>The project team noted the key issues were efficiency, system integration, and cost with compressor efficiency greater than 78% needed. Reviewers were unable to evaluate the exact refrigerant GWP value or name, although the presenter noted in the question and answer (Q&A) session that they would be able to do so once the producer gave them the permission. The presenter specified the refrigerant was non-flammable with approximately 50% improved GWP, as that characteristic was a requirement of project partner Lennox. Overall, reviewers agreed that the project had a competent team with thorough knowledge required to develop this new technology – though one reviewer questioned how much work was shared between groups. Most, however, felt the team was equipped to handle the design challenges posed by the technology. Several reviewers questioned the 50% improved GWP figure, with some recommending DOE verify the findings and others wondering why the goal was set so low (instead of a higher figure such as 80% improved).</p>
<p>Reviewers were divided when evaluating project accomplishments to date, with some noting the project is on track with stated goals, others arguing some tasks are behind schedule, one saying it was too early in the process for meaningful results, and another fearing the task was not well defined and the lack of data reduced confidence that this project was a good investment.</p> 
<p>Reviewers agreed that future work looked promising and could lead to a mature product, but several reviewers expressed concern over the lack of presented milestones and Go/No-Go decision points and worried the scope might exceed the schedule presented. One reviewer recommended the project team better explain why and how this technology will be superior to existing compressors with another noting that Lennox was involved in a similar project in the 1980s, pointing out the problems that team encountered with motor drive and gear box designs as a warning to the project team.</p> 
<p>Program Response:</p> 
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Dais Analytic Corporation,Membrane Based Air Conditioning,2016,http://energy.gov/eere/buildings/downloads/membrane-based-air-conditioning,"<p>Weighted Average: 2.79   # of Reviewers: 4</p>   
<p>Relevance: 3.50    Approach: 2.63   Accomplishments: 2.75  Project Collaboration: 3.25  Future Work: 2.50</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed this project is highly relevant and well aligned with BTO’s energy efficiency improvement goals, with one adding the technology looked to be the most promising competitor to conventional vapor compression systems in the near term. Reviewers noted the solid approach to packaging roof-top air conditioning technologies and increasing the technology readiness level, but some were confused if the project was truly a non-vapor compression project given the inclusion of electrochemical compression and mechanical vapor compression components.</p> 
<p>Reviewers generally agreed that a major strength of the work is the game-changing use of membrane technology in AC applications in various climates, though some expressed concern over technical and performance issues with membrane-based systems, including fouling, reliability, performance, and cost-effectiveness. One reviewer said the system had too many energy-consuming components and another was concerned that any air leaks introduced into the system could seriously degrade performance.</p> 
<p>The project presented at the Peer Review less than six months into the performance period, which led many reviewers to remark there had been few accomplishments to date aside from partner identification, high-level system design, and membrane dehumidification modeling. One reviewer warned that the high uncertainty in vapor compressor component may be the critical item preventing the project from achieving its stated objectives. Several reviewers were concerned cost might be a serious barrier to entry, with one reviewer noting that relatively little cost analysis data had been presented. Reviewers agreed the project team had a good mix of industrial and academic partners, subcontractors, and collaborators, though one recommended the inclusion of a large manufacturing partner of air-conditioning systems.</p> 
<p>Reviewers emphasized that this project is very early stage technology research and development (R&D) and generally agreed that developing prototypes, undergoing laboratory demonstrations and testing, and evaluating markets were logical future plans. One reviewer proposed market evaluation and target selection be conducted prior to engineering, design, and fabrication and another one urged the project team to identify scaled-up prototype performance targets soon, and then focus on testing and providing experimental results to provide confidence in the performance and reliability levels. Another recommended the team demonstrate how particle contamination effects the long-term performance of the membrane.</p> 
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",University of Maryland,Miniaturized Air to Refrigerant Heat Exchangers,2016,http://energy.gov/eere/buildings/downloads/miniaturized-air-refrigerant-heat-exchangers,"<p>Weighted Average: 3.33   # of Reviewers: 6</p>   
<p>Relevance: 3.67    Approach: 3.25   Accomplishments: 3.25  Project Collaboration: 3.67  Future Work: 3.17</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers characterized the development of miniaturized heat exchangers (HXs) as critical to BTO’s program goals and fundamental in supporting performance improvements across a wide range of energy-consuming devices such as heat pumps, air conditioners, refrigerators, and water heaters. As a fundamental research project, reviewers noted it was difficult to rate them on market barriers as the focus was on optimizing design to enable new manufacturing and overcoming fundamental knowledge barriers.</p> 
<p>Reviewers were impressed by the project’s progress to date, including the fact the project team had analyzed over 15 HX geometries, developed multi-scale modeling and optimization methodologies, developed a system-test facility, and fabricated both 1-kilowatt (kW) and 10-kW prototypes. One reviewer was concerned that the configurations were mechanically sound or could sufficiently address air or hydronic contamination issues, though reviewers were otherwise generally optimistic about the tube’s shapes and flow patterns findings might be applied to practical products. One reviewer was confused if additive manufacturing had been abandoned in place of assembling individual tubes. Some reviewers noted it was unclear if there has been sufficient dialogue across the project team to actually enable viable products and applications. Despite these misgivings, reviewers generally praised the project’s teamwork and collaboration, especially with industry partners, whom reviewers felt had a solid understanding of the problem and how to best approach it within the budget. Reviewers also praised the project team’s publications in open literature.</p> 
<p>Reviewers recommended that the project consider the volume of physical materials used for this type of HX, citing the sensitivity of manufacturers to the price of copper. Another recommended DOE and stakeholders develop minimum mechanical and fluid constraints for the test modules. Other reviewers recommended that the project team should consider durability issues more, focusing on physical environmental and contamination potential of miniaturized HXs and ensuring miniaturized designs would be able to tolerate the abuse that conventional HXs undergo and would not be more susceptible to environmental contaminants.</p> 
<p>Program Response:</p> 
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","ThermoLift, Inc.",Natural Gas Fired Air Conditioner and Heat Pump,2016,http://energy.gov/eere/buildings/downloads/natural-gas-heat-pump-and-air-conditioner,"<p>Weighted Average: 2.96   # of Reviewers: 6</p>   
<p>Relevance: 3.17    Approach: 2.92   Accomplishments: 2.67  Project Collaboration: 3.33  Future Work: 3.50</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers differed in their assessments of the project’s relevance to BTO goals. Although some reviewers felt that the project aligned well with BTO’s goals, others expressed concern with the project’s chances of success, with one reviewer citing specifically the competition the product would receive from developed or more mature heat pump technologies. In response to the principal investigator’s (PI’s) reply during the question and answer (Q&A) session that the heating-to-cooling output (ratio) can be “adjusted a little,” one reviewer remarked that the flexibility between heating and cooling appears limited – meaning there will have to be potentially extensive periods of the sinking of heating and cooling to obtain the needed ratio.</p> 
<p>Because the system is so significantly different from traditional heat pump technologies, reviewers expressed concern with how such a new technology would be marketed to and introduced into the residential market (including both installers and end users). “It is not likely to be an easy sell,” remarked one reviewer. Another reviewer commented that this is a highly complex type of heat pump and it remains to be seen whether it can be manufactured at an acceptable cost, but felt the project team was moving in the right direction. An additional reviewer felt that the number of utilities or other organizations who expressed interest in this project was impressive.</p>
<p>Reviewers remarked favorably on the technical accomplishments and progress of the project including building and testing a second-generation prototype, making necessary redesigns of components, and developing baseline simulations for tuning and validation. However, reviewers expressed concern that it wasn’t clear how this project would translate to meeting market goals, with one reviewer commenting that the anticipated first and second year unit sales goal was too ambitious. This reviewer warned that unexpected issues, troubleshooting, and replacing failed units over a wide geographic area could be very costly to the company.</p>
<p>While some reviewers praised the participation of so many stakeholders, they pointed out those who would manufacture, install, and maintain the units were so far missing. One reviewer questioned the nature of the contributions of the many advisors to the project, specifically requesting additional information on the guidance and advice they were providing. Another reviewer, however, saw all this participation as evidence of the significant interest by many stakeholders as an indication of the project’s value.</p> 
<p>While reviewers praised the strong technical capabilities and dedication to success of the project team, as well as its success to date, they warned that this is a complicated and expensive new technology. They cautioned that there is a long way to go in many areas of design, analysis, integration and modulating, reducing cost while improving durability, and carrying out demonstrations and pilot testing. One reviewer expressed concern over marketing such a novel technology in the residential heat pump, while another recommended a more cautious approach to market introduction, whereby the first 100 units in the field are carefully monitored, especially as controls and sensors have been problematic features for many HVAC and water heating products.</p>
<p>Program Response:</p> 
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances","S-RAM Dynamics, LLC",Natural Refrigerant High Performance Heat Pump for Commercial Applications,2016,http://energy.gov/eere/buildings/downloads/natural-refrigerant-high-performance-heat-pump-commercial-applications,"<p>Weighted Average: 2.90   # of Reviewers: 6</p>   
<p>Relevance: 3.67    Approach: 2.84   Accomplishments: 2.92  Project Collaboration: 2.92  Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers viewed this project as relevant and aligned with BTO goals. Reviewers were intrigued by the potential of the S-RAM compressor technology that uses air (ASHRAE number R-729) as a refrigerant and is capable of achieving 50% energy savings with a payback period under four years. They viewed this as a unique project with an excellent team involved in very innovative work, with an air refrigerant system that looks very promising for improving efficiency and reducing energy usage.</p> 
<p>However, noting that the project is still in an early stage and running behind schedule (valve development has been underway for 8 years), reviewers expressed concern that the technology (including the regenerator) has not yet been successfully tested with efficiency predictions yet to be verified. Instead, they noted the focus still on overcoming the market barrier of developing a suitable compressor, the test stand for which is still being built at Purdue University.</p> 
<p>Reviewers remarked that even with this market barrier being addressed, it is still very hard to see the path toward commercial application of this technology and wondered if it would be configured with carbon dioxide (CO2) or air cycles in real-world applications. Another reviewer said that the approach had not been described in enough detail during the presentation to assess, but that overall the project team seems to have things under control.</p> 
<p>Reviewers also expressed concern that the project was heavy on institutions helping develop the technology and short on industry partners that will be needed to move ahead with commercialization. One reviewer said that the technology is still not ready to be shared with manufacturers. Another wondered how “manufacturable” is the compressor/expander system since that would influence its cost-effectiveness.</p> 
<p>Looking ahead, reviewers said compressor and cycle testing is the critical next step and will help determine the best applications for this system. Reviewers expressed hope that the focus would be on component testing and heat pump system testing to ensure reliability and manufacturability. One reviewer said that DOE should consider this a high-risk technology that does not presently have a widespread effective application and that the listed applications should undergo vetting to settle on initial ones. The reviewer suggested an application in heat recovery chillers.</p>
<p>Program Response:</p> 
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Novel Energy-Efficient Ventless Thermoelectric Clothes Dryer,2016,http://energy.gov/eere/buildings/downloads/novel-energy-efficient-thermoelectric-clothes-dryer,"<p>Weighted Average: 3.30   # of Reviewers: 3</p>   
<p>Relevance: 3.67    Approach: 3.33   Accomplishments: 3.50  Project Collaboration: 3.00  Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p>
<p>Reviewers strongly agreed this project was highly relevant to BTO’s goals of reducing energy consumption from clothes dryers as stated in BTO’s 2016 - 2020 Multi-Year Program Plan (MYPP). Reviewers pointed to the performance targets of this new technology matching the goals set out in the MYPP with a target of an energy factor (EF) of at least 6 and energy savings of 40%, which represents significant savings over conventional electric resistance dryers. Multiple reviewers commented that the project appeared promising in offering improved efficiency at a reasonable cost point that could encourage pickup in the market.</p> 
<p>Reviewers agreed the project approach was “solid,” in the words of one reviewer, with the project team recognizing technical and market barriers and utilizing an approach to mitigate those factors. One reviewer specifically praised the project team’s effort to encompass thermoelectric technology into the current dryer footprint in a way that is not a “radical departure” from current technology. Reviewers favorably rated the project on its prototype and associated experimental data, as well as the project team’s modeling work.</p> 
<p>Reviewers pointed to improvements, independent of this project, in thermoelectric technology gained from moving to a polymer substrate (away from a ceramic substrate) that would help this project achieve its desired goals. One reviewer did caution that the incremental first cost impact from the thermoelectric technology remains to be seen, which could have a major impact on meeting its cost goals.</p>
<p>Reviewers praised the partnership between Oak Ridge National Laboratory (ORNL) and Sheetak, though one reviewer worried that with Sheetak participating in multiple DOE projects and being a small business, their resources may be stretched such that attention to each project may be limited. Other reviewer comments focused on the need to involve appliance manufacturers in this work.</p> 
<p>Reviewers remarked that controls, performance, and design improvement work plans were in place for future work, with one reviewer saying “the next phase of work is warranted.” However, without a manufacturer on board, reviewers worried that future commercialization opportunities for this technology are limited.</p> 
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,R&D - Windows & Building Envelope,Alcoa,Novel Thermal-Break with Simplified Manufacturing for R7 Commercial Windows,2016,http://energy.gov/eere/buildings/downloads/novel-thermal-break-simplified-manufacturing-r7-commercial-windows,"<p>Weighted Average: 3.23   # of Reviewers: 6</p>   
<p>Relevance: 3.50    Approach: 3.34   Accomplishments: 3.25  Project Collaboration: 3.17  Future Work: 3.00</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed that this project was highly relevant to BTO’s program goals, based on its aspirations to both improve window performance and reduce manufacturing costs. If successful, one reviewer believed this project could have a large impact on the market for high performance windows.</p>
<p>Reviewers also generally agreed on the project’s approach, with one reviewer commenting that the approach comprehensively addressed technical and market challenges, including developing test specifications and protocols and carrying out a series of performance tests at levels. Reviewers did identify certain issues, however including the following:</p> 
<p>1) the project focused exclusively on the thermal bridge issue while underestimating other barriers to R7 windows (e.g. glazing, spacer); 
2) certain assumptions in its simulation models could lead to inaccurate predictions for the heat flow and temperature patterns in the system; 
3) the proposed approach to foam materials introduced the foam properties without defining the direction;  and;
4) no initial cost prediction was provided.</p> 
<p>One reviewer also recommended that the project team add an overall description, analysis, and justification of its envisioned R7 commercial window, specifically identifying how its novel thermal bridge technology played a critical role in the final product. Reviewers felt that the project was making good progress, that it was on track to achieving its original research objectives, and that its potential market impact was evident. Despite this overall assessment, however, reviewers did note that several critical properties had not yet been tested, and that the simulation model had not yet been validated, so there was work left to do.</p>
<p>Reviewers observed good collaboration between the project team and its partners, notably Kawneer and certain key material partners, and also that the project team had built strong communications with key stakeholders to accelerate movement of its proposed technology. One reviewer also noted that further partnerships with a manufacturing line integrator were being initiated, which the reviewer felt was a reasonable step.</p>
<p>Reviewers described the project’s future plans as comprehensive, meaningful, and built on past progress with a focus on market development and assessment, which would help advance commercialization and deployment of the product. Moving forward, one reviewer encouraged the project team to consider the thermal cycling effect and the interface between the foam and window frame, while another observed that additional and thorough testing may be needed around structural and thermal condition at different window sizes.</p>
<p>Program Response:</p>
<p>The assessment of the reviewers is consistent with the perspective of the program that, on the whole, the project is progressing well and has addressed many of the major technical risks with respect to the frame design under investigation. It is anticipated that many of the concerns raised by reviewers with respect to foam properties, cost, and overall performance, are being addressed by the performer and other project partners. Validation of the simulation models is an issue that can be investigated further by the principal investigator (PI), as is thermal cycling, though the latter is likely outside the schedule and budget of the current award.</p>"
Emerging Technologies,R&D - Advanced Lighting,Carnegie Mellon University,Novel Transparent Phosphor Conversion Matrix with High Thermal Conductivity for Next-Generation Phosphor-Converted LED-based Solid State Lighting,2016,http://energy.gov/eere/buildings/downloads/novel-transparent-phosphor-conversion-matrix-high-thermal-conductivity-next,"<p>Weighted Average: 3.37   # of Reviewers: 3</p>   
<p>Relevance: 3.33    Approach: 3.33   Accomplishments: 3.17  Project Collaboration: 3.84  Future Work: 3.33</p>
<p>Brief Summary of Reviewer Comments</p>
<p>This project received generally good marks across the various categories evaluated by the reviewers. With its goal of developing thermally conductive siloxane encapsulant materials that could replace standard silicone in light-emitting diode (LED) packages, reviewers generally saw this project as relevant to BTO’s goals, with one reviewer noting that if the 20 to 30% of energy absorbed by phosphors lost to heat could be reduced, it would provide for cooler and longer life LED systems, which in turn would help with the marketing of mid-power phosphor-converted LEDs.</p>
<p>Reviewers were a bit uncertain of the accomplishments to date for this project, noting that they have been limited thus far and that the 1 watt per meter kelvin (W/m-K) thermal conductivity goal is an aggressive one in which the best results to date are only about 0.6 W/m-K and it is unclear if that gap can be closed – and whether that result is itself sufficient enough to provide the desired benefits. Echoing that sentiment, another reviewer noted that the first five tasks had been achieved, resulting in the synthesis of hybrid siloxanes with improved dispersion and reduced scattering but a thermal conductivity still below the 1 W/m-K goal.</p> 
<p>Reviewers responded positively to the project’s integration and collaboration, noting the project team had worked closely and effectively with Osram Sylvania Inc., and that partners were providing proper input and perspective. One reviewer suggested that it would be helpful to clarify the roles of the various parties including financial ones (i.e., who receives and who contributes funding?) and to know Osram’s view on project progress and the likelihood of whether the approach is likely to be adapted for manufacturing and production. 
Looking ahead, one reviewer said it was not clear what needed to be done to close the performance gap between the target and what has so far been achieved. Another reviewer said that the key parameters that need to be measured are LED package performance and reliability in order to provide an initial approximation of LED package reliability – and thus negate the need for significant testing by the LED manufacturer. Reviewers expressed some concern on technical issues involving the effect of scattering on transmissibility, the ability to produce particles of precise size, and the thermal stability of polymethyl methacrylate (PMMA) treated particles.</p> 
<p>Reviewer recommendations included thermal modeling at the nano-and-microscale in addition to the molecular level, and addressing the effects of the ligands, surfactants, and particle loading on the curing rate and degree of cure of silicone (since these effects represent a potential reliability and manufacturability issue). Another reviewer cited an article by one of the collaborators, noting that it puts this project in a broader context, and the reviewer asked if this project has any bearing on other conversion layer architecture.</p>
<p>Program Response:</p>
<p>Carnegie Mellon University will continue this project on thermally conductive siloxane materials with embedded phosphors (i.e. encapsulent) to enhance the heat transfer of LED packages. Test results have produced 0.6 W/m-K heat transfer towards a goal of 1.0 W/m-K. The project will conclude at the end of 2016. DOE’s Acquisition and Project Management (APM) guidance will be used to wrap up.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Novel Ulta-Low Energy Consumption Ultrasonic Clothes Dryer,2016,http://energy.gov/eere/buildings/downloads/novel-ultra-low-energy-consumption-ultrasonic-clothes-dryer,"<p>Weighted Average: 3.27   # of Reviewers: 3</p>   
<p>Relevance: 3.34    Approach: 3.33   Accomplishments: 3.33  Project Collaboration: 3.33  Future Work: 2.67</p>
<p>Brief Summary of Reviewer Comments</p>
<p>Reviewers generally agreed that the concept of the ultrasonic clothes dryer was a great idea that “could be a disruptive technology” and “can radically advance clothes dryer technology and energy savings,” which has so far been well-developed and executed. Reviewers noted that the project fit well within BTO’s goals of reducing energy use and, if successful, could result in an appliance more efficient than any currently on the market. Reviewers noted that the barriers encountered by the research team, such as amplification and synchronizing the nested piezoelectric units, were to be expected of cutting edge technologies. One reviewer noted the new technology offered an opportunity to radically reconfigure dryer design given it does not need to rely on conventional drum design.</p> 
<p>Reviewers agreed the team was working well with its academic and industry partners, though one reviewer questioned if the impact on the industry partners’ conventional appliance sales had been considered.</p> 
<p>Reviewers disagreed on project accomplishments and impacts to date. While some reviewers praised the research strategy and demonstration results to date, others were doubtful that the results indicated the technology could be successfully scaled up. In particular, one reviewer noted the discrepancy in results reporting, citing that the presentation reported- a drying time of a 14-square inch piece of fabric alternatively as 14 seconds or 7.5 minutes in the course of the presentation. Given the 7.5 minute drying time for such a small fabric sample, there was doubt the technology could be scaled up to handle large clothing loads. Another reviewer questioned the capability of the technology to handle complex, multi-layer fabrics – a requirement this reviewer said was key to convincing skeptics of the technology.</p>
<p>Similarly, reviewers noted that while the original project plan called for full-scale prototype testing to begin in December 2015, it appeared the project team was still working on fundamental concept development issues. It was unclear to reviewers when a full-scale working prototype would be developed. Reviewers generally thought the research team needed to demonstrate the technology’s ability to work across larger clothes loads and fabric types to give the community a better idea of its full-scale applications.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Oak Ridge National Laboratory,Magnetocaloric Air Conditioner,2016,http://energy.gov/eere/buildings/downloads/novel-solid-state-magnetocaloric-air-conditioner,"<p>Weighted Average: 2.96   # of Reviewers: 4</p>   
<p>Relevance: 3.75    Approach: 3.13   Accomplishments: 2.88  Project Collaboration: 3.00  Future Work: 2.75</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers gave the project uniformly high marks for relevance to BTO’s goals, describing the project as timely and relevant. They were also generally positive in their remarks on project approach, noting that it is still in its early stages with much yet to be developed. With such an early stage project, reviewers approved of the project team’s progress in reaching out to commercial partners, with one reviewer recommending engaging with a material supplier sooner to help overcome risk from magnet cost, form factor, and availability.</p> 
<p>Reviewers noted the project had only been working for six months and that initial steps such as establishing partnerships with materials manufacturers, developing a one-dimensional (1-D) discrete model, and formulating the concept design were in support of project objectives. One reviewer said that the project team had identified as many critical barriers with these issues having been presented – such as magnet design and accuracy of machining along with the need to mitigate the effect of increased frequency on system balance. Another reviewer said that the team had designed a project to overcome the barrier of system cost, complicity, and achieving theoretical efficiency by exploring a new magnetocaloric material (MCM) architecture using solids to transfer heat.</p> 
<p>Reviewers noted a few technical weaknesses, the cost-effectiveness and availability of the MCM and its design; refinement and validation of the thermodynamic model; and addressing technical risk from increasing frequency of system, managing friction between the rods; and the strength of the magnetic field and the losses associated with producing such a field that could offset potential increased coefficient of performance (COP) benefits of the device itself. Reviewers recommended the team provide additional experimental data to validate the modeling or provided suggested improvements to its fidelity.</p> 
<p>For future work, one reviewer said that there are many technical risks that could prevent this project from achieving its goals and another urged the team to move forward to advance this “potentially very useful technology.” Another reviewer noted that the lack of a negative effect on magnetic fields on human health should be “emphasized and strongly justified.” A second reviewer suggested taking into account heat exchanger effectiveness to system performance.</p>
<p>Program Response:</p>
<p>No Program Response Provided.</p>"
Emerging Technologies,R&D - Windows & Building Envelope,Oak Ridge National Laboratory,R25 Polyisocyanurate Composite Insulation Material,2016,http://energy.gov/eere/buildings/downloads/r25-polyisocyanurate-composite-insulation-material,"<p>Weighted Average: 3.31   # of Reviewers: 6</p>   
<p>Relevance: 3.67    Approach: 3.25   Accomplishments: 3.25  Project Collaboration: 3.42  Future Work: 3.50</p>
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers strongly agreed on the relevance of this project to BTO’s goals. One reviewer commented that the development of a low-cost, R25 composite foam insulation board for high performance building envelopes was well aligned with BTO's goals to improve buildings' energy efficiency. Another reviewer echoed this sentiment, noting that the advanced insulation product that would result from this project was directly supportive of the goals of the Windows and Building Envelope Research and Development (R&D) Roadmap.</p>
<p>Reviewers similarly agreed on the appropriateness of the project’s approach. One reviewer described the approach – which at this stage was about prototype fabrication and testing – as clear and convincing, while another noted that critical barriers had been identified and were being addressed comprehensively. From a technical perspective, one reviewer noted that the project’s approach was reasonable, but another warned that the void-to-solid ratio – a key parameter of encapsulated foam – had not been considered. Finally, one reviewer flagged that while both R-value and cost were performance targets, efforts appeared focused on R-value whereas there was much less discussion of the targeted cost goal.</p>
<p>Reviewers commented that the project was progressing well, having already carried out lab-scale and thermal testing and modeling of a first-phase assembly-line product, and were pleased that lessons learned from the initial test were being integrated into the second phase. One reviewer noted that the research’s achievements can be found in the favorable performance of test products, though they cautioned that quality control might still be an issue. One reviewer suggested that more samples should be tested to produce more conclusive results, while another identified several specific flaws in the project’s approach, including that simulation models considered heat flow in only one dimension and that the project team did not validate the simulation models.</p>
<p>Reviewers agreed that the project demonstrated good collaboration between Oak Ridge National Laboratory (ORNL), Firestone Building Products Company, and NanoPore, Inc., and that the project team showed a strong understanding of the key stakeholders needed to accelerate movement of the new composite insulation into the market. Reviewers concurred that proposed future work appeared appropriate to address identified issues, and that proposed next steps were necessary and suitable for reaching project goals.</p> 
<p>Reviewers noted that there appeared to be a lot of work to do to make the composite insulation a cost-effective, commercially-available product with satisfactory long-term durability, but highlighted that the project was already looking at code compliance, which reviewers identified as a positive step. Reviewers’ main concerns around future work were that the project team provided no timeline for additional tasks, and that the presentation did not clearly highlight potential risks or mitigation strategies.</p>
<p>Program Response:</p> 
<p>This research program has involved extensive collaboration between all of the major parties participating on the project, which is reflected in the quality of the work and the generally favorable responses from the reviewers. The concerns that were raised by the reviewers will, in general, be addressed during the balance of the project performance period, or were omitted from the presentation in the interest of time. In particular, work will continue to examine uniformity of foam filling with the composite boards and the effect of various modified atmosphere insulation (MAI) panel configurations on foam filling and void formation, and a techno-economic analysis to examine market conditions and production costs is ongoing and will help define the required price point for the composite boards to be cost-effective and priced appropriately for the target market(s). Reviewers raised some specific concerns regarding a lack of characterization of the polyisocyanurate (PIC) foam, but it should be noted that this project does not focus on changing the PIC chemistry or deposition method, but rather on the engineering challenges associated with fabricating PIC boards with encapsulated MAI panels.</p>"
Emerging Technologies,"R&D - HVAC, Water Heating, and Appliances",Sandia National Laboratory,"RVCC Technology: A Pathway to Ultra-Efficient Air Conditioning, Heating, and Refrigeration",2016,http://energy.gov/eere/buildings/downloads/rotary-vapor-compression-cycle-technology-pathway-ultra-efficient-air,"<p>Weighted Average: 3.09   # of Reviewers: 4</p>   
<p>Relevance: 3.25    Approach: 2.88   Accomplishments: 3.13  Project Collaboration: 3.25  Future Work: 3.25</p> 
<p>Brief Summary of Reviewer Comments</p> 
<p>Reviewers agreed that air conditioning is a major energy user in the U.S. and this project represents an opportunity for significant energy savings relevant to BTO’s goals. Reviewers were generally dubious to potential energy savings from this technology due to its early stage in the development cycle, while feasibility and potential still remain theoretical.</p> 
<p>Reviewers noted that the rotary vapor compression cycle (RVCC) technology being developed is not a new concept, but has been around “for several decades,” although one reviewer described this effort as one of the larger efforts so far. One reviewer described the project as fundamental research, with the project team attempting to establish feasibility. Reviewers noted good initial investigation results with identification of a research area, namely, the effect of centrifugal and Coriolis forces on refrigerants in a rotating heat exchanger. One reviewer said it “might be warranted” to explore using very low global warming potential (GWP) refrigerants.</p>
<p>Another reviewer offered the technical criticism that the project team has only looked at the “easy parts so far [air side heat transfer]” while not yet addressing the compressor side and expressed little confidence that a working prototype could be developed by the September 2016 time frame described in the presentation. One reviewer recommended the project team bring in a vapor-compressing cooling systems manufacturing partner for the prototype design phase of the work, especially given outstanding questions of economical manufacturing. Overall, the project received generally good marks for integration and collaboration with good research organizations involved and appropriate partners at this stage of development.</p>
<p>For future work, while one reviewer believed the team has a well-developed plan for the next six years of research, another feared the team has “seriously underestimate[d] the difficulties they will face in addressing the refrigerant side of the problem” and expressed skepticism that this will be done within the budget or current timeframe.</p>
<p>Program Response:</p> 
<p>No Program Response Provided.</p>"
