Title,Program_Links,Workforce_Training,Training_Links,City,State
Judd Reentry Transitional Housing,http://www.nekcavt.org/index.php/community-and-justice-programs,,,,VT
Coming Home Directory,http://www.cominghomedirectory.org,Mass Hire State Workforce Board,https://www.mass.gov/,,MA
Dismas House,http://dismashouse.org/programs/dismashouse,Mass Hire Central,https://masshirecentral.com/,,MA
Moving Ahead Program - St. Francis House,http://www.stfrancishouse.org,St.Francis House Workforce Development,https://stfrancishouse.org/programs/workforce-development/,,MA
STRIVE Boston Employment Service Program for Ex-Offenders,http://www.bostonstrive.org/index.htm,,,,MA
Franklin Hampshire Career Center - Ex-Offender Services,http://fhcc-onestop.com/index.php/job-seekers/ex-offender-services,,,,MA
Civic Works,http://sustainablecareers.civicworks.com/,Maryland Workforce Exchange,https://mwejobs.maryland.gov/vosnet/Default.aspx,Baltimore,MD
MD Department of Public Safety and Correctional Services,http://www.dpscs.state.md.us/rehabservs/patx/reentry.shtml,,,,MD
Jericho Reentry Program,http://www.ecsm.org,,,,MD
The Men's Center Re-Entry Program,http://www.menandfamiliescenter.org/,,,,MD
Druid Heights Community Development Corporation (DHCDC) Reentry Program,http://www.bgadd.org,,,,MD
Druid Heights Community Development Corporation,http://druidheights.com/,,,Baltimore,MD
Brothers In Blue Re-Entry Inc.,http://brothersinbluereentry.org,Workforce Job Kansas City,https://www.itsmycareer.com/jobs,Lansing,KS
Shawnee County Reentry Program (SCRP),http://www.snco.us/doc/programs_work_release.asp,Kansas works,https://www.kansasworks.com/ada/r/,Topeka,KS
Kansas Offender Risk Reduction and Re-entry Plan (KOR3P),http://www.doc.ks.gov/reentry/sitemap,Workforce Partnership,http://www.workforcepartnership.com/,Topeka,KS
Mojobs,  www.jobs.mo.gov,Mojobs Training and Edcation,https://jobs.mo.gov/jobseeker/training-and-education,Kansas City,KS
Bluegrass Area Development District, http://www.bgadd.org,,,Lexington,KS
