Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Award_End_Date,Total_Government_Share,Cost_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Leveraging Industry Research to Educate A Future Electric Grid Workforce,Electric Power Research Institute,DE-EE0006338,Soft Costs,node/791371,Funding Opportunity,Grid Engineering for Accelerated Renewable Energy Deployment,GEARED,Inactive,9/30/2013,2/28/2019,"$4,200,001 ","$2,266,989 ",Palo Alto,CA,94301-1000,node/1712861,37.445797,-122.157575,Thomas Reddoch,"In 2013, the Electric Power Research Institute collaborated with four universities and 17 utilities and system operators to establish the GridEd Distributed Technology Training Consortium in the eastern United States. This consortium aims to effectively combine utility and industry research with educational expertise in power engineering. The project team is empowering new and continuing education students to become not only competent and well informed engineers, but also influence major technological, social, and policy decisions that address critical global energy challenges. This project received additional funding under the Solar Training and Education for Professionals program in 2016, which allowed it to establish a new consortia in the western United States. The Center for Grid Engineering Education in the West leverages the existing structure,"
National Network Administrator of GEARED,Interstate Renewable Energy Council,DE-EE0006342,Soft Costs,node/791371,Funding Opportunity,Grid Engineering for Accelerated Renewable Energy Deployment,GEARED,Inactive,9/30/2013,3/31/2019,"$1,100,000 ",$0.00,Albany,NY,12201-0001,node/791036,42.65,-73.76,Joseph Sarubbi,"The Interstate Renewable Energy Council and the Smart Electric Power Alliance, operating as the national network administrator of Grid Engineering for Accelerated Renewable Energy Deployment (GEARED), facilitate efforts to build a national framework for power systems training and curriculum that will accelerate the growth of"
Southwest United States of America - Distributed Technology Training Consortia,Electricore,DE-EE0006339,Soft Costs,node/791371,Funding Opportunity,Grid Engineering for Accelerated Renewable Energy Deployment,GEARED,Inactive,9/30/2013,9/30/2014,"$396,283.74","$1,068,901.60",Valencia,CA,91355,node/791036,34.42092,-118.60635,Percy Haralson,"The Southwest United States of America Distributed TRaining Consortia will create power and energy systems training, curricula, and workforce preparedness through the inclusion of data collection and analysis, power systems expertise, and application-specific training activities which build on fundamental principles, modeling and simulation tools, field-immersed training and methods of performance validation. The outcome of the program will result in better prepared and greater numbers of graduates ready to contribute to the field of power systems which depend upon the safe, reliable and efficient generation sources which make up an increasingly diverse mix of renewable power. Additionally, the program will deliver critical training modules which are intended to support mid-career professionals and be woven into utility training programs used all over the country."
The Mid-America Regional Microgrid Education and Training Consortium,University of Missouri System,DE-EE0006341,Soft Costs,node/791371,Funding Opportunity,Grid Engineering for Accelerated Renewable Energy Deployment,GEARED,Inactive,9/30/2013,9/30/2018,"$4,294,909.65","$1,980,048 ",Rolla,MO,65401-0100,node/791036,37.838794,-91.714958,Suzanna Long,"This consortia is integrating cutting-edge research and advanced instructional methods to create a flexible, evolving approach to microgrid training for all levels of students. This effort aims to impact more than 500 technical employees by offering certificates, professional development hours, continuing education credits, and engineering degrees through a variety of workshops, short courses, and semester courses."
Advanced Sensor Development ,Oak Ridge National Laboratory,OR22725/Lab29798,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$850,000 ",$0.00,Oak Ridge,TN,37831,node/3192214,36.024181,-84.237633,Tom King,"This project increases visibility throughout the energy system including transmission, distribution, and end-use by developing low-cost, accurate sensors. Additionally, next-generation asset-monitoring devices help determine state of grid components prior to failure."
"Development of Integrated Transmission, Distribution, and Communication Models ",Pacific Northwest National Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$450,000 ",$0.00,Richland,WA,99352,node/3192214,46.26031,-119.27932,Henry Huang,"This project is building on best-in-class lab capabilities to develop an integrated, flexible, open source framework for coupling transmission, distribution, and communication models and simulations. It will also validate framework and models on hardware testbed. Real-world testing with partners will include distributed and wide area controls with distributed energy resources."
Distribution System Decision Support Tools,National Renewable Energy Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$330,000 ",$0.00,Golden,CO,80401,node/3192214,39.715877,-105.231183,Michael Ingram,"This project is developing tools, identifying gaps, and providing technical assistance and training for state regulators and small to medium utilities on advanced distribution system planning for a modernized grid that incorporates high levels of distributed energy resources."
Foundational Analysis for GMLC Establishment/Framework ,Pacific Northwest National Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$200,000 ",$0.00,Richland,WA,99352,node/3192214,46.26031,-119.27932,Michael Kintner-Meyer,"This project is developing an integrated suite of grid modernization metrics that leverage current industry practices and emerging industry additions, while developing new metrics that reflect evolving grid attributes and architectures. Researchers will conduct baseline modernization assessments and provide ongoing dashboard for policy makers, regulators, and industry stakeholders."
Future Electric Utility Regulation ,Lawrence Berkeley National Laboratory,CH11231/Lab29793,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$250,000 ",$0.00,Livermore,CA,94720,node/3192214,37.870151,-122.259461,Lisa Schwartz,This project provides analysis to state public utility commissions that are considering incremental and fundamental changes to electric utility regulation. It also enhances utility financial analysis modeling tools focused on ratemaking and regulatory issues that arise with increased penetration of distributed energy resources.
Grid Architecture ,Pacific Northwest National Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$700,000 ",$0.00,Richland,WA,99352,node/3192214,46.26031,-119.27932,Jeffrey Taft,"This project is building a new stakeholder-driven architecture for grid modernization, provide it to the industry with the tools they need to adapt it to their needs, and use it to inform program managers."
Grid Frequency Support From Distributed Inverter-Based Resources In Hawaii ,National Renewable Energy Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,9/30/2018,"$310,000 ",$0.00,Golden,CO,80401,node/3192214,39.715877,-105.231183,Andy Hoke,"This project is developing, simulating, and validating practical solutions in Hawaii that enable distributed energy resources to help mitigate bulk system frequency contingency events on a time-scale ranging from milliseconds to seconds. It is also validating the ability of real hardware inverters to support grid frequency in an environment that emulates the dynamics of a Hawaiian Electric Company power system."
Southeast Regional Consortium: Improving Distribution Resiliency Through Reconfiguration In The Presence Of Renewable Energy And High Impact Low Frequency Events,Savannah River National Laboratory,SR18500/Lab31005,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$250,000.00",$0.00,Aiken,SC,29808,node/3192214,33.25,-81.63,Joe Cordaro,"This project is identifying measurement requirements and data management and communication systems to enable full visibility of the grid system. This methodology includes defining the grid state, developing a roadmap, and creating a framework to determine sensor allocation for optimal results."
Standards and Test Procedures for Interconnection and Interoperability ,National Renewable Energy Laboratory, ,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,3/31/2019,"$1,200,000 ",$0.00,Golden,CO,80401,node/3192214,39.715877,-105.231183,David Narang,"This project builds on prior efforts to develop interconnection and interoperability standards and test procedures. It leverages existing activities spanning multiple DOE programs to harmonize requirements across jurisdictions, eliminate conflicting requirements across technology domains, and streamline conformance test procedures to the fullest extent possible."
Vermont Regional Partnership Enabling the Use of Distributed Energy Resources,Sandia National Laboratories,AL85000/Lab29794,Systems Integration,node/791071,Lab Award,Grid Modernization Initiative Lab Call,GMLC-GM,Inactive,4/1/2016,9/30/2018,"$850,000 ",$0.00,Albuquerque,NM,87123,node/3192214,34.98,-106.52,Robert Broderick,"This project is analyzing distributed energy resource integration, control, validation of wind and solar prediction, and a techno-economic analysis of energy storage in Vermont to inform utilities seeking to meet the state's renewable energy goal."
Field Verification of High-Penetration Levels of PV into the Distribution Grid with Advanced Power Conditioning Systems,Virginia Polytechnic Institute and State University,DE-EE0004681,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,4/1/2011,2/28/2015,"$2,600,849.38","$701,178.87",Blackburg,VA,24060-3325,node/1069036,37.470797,-79.917723,Jason Lai,Virginia Polytechnic Institute and State University (VT) is evaluating the impacts of high photovoltaic (PV) penetration and methods to manage any impacts with improved power conditioning equipment.
High Penetration of Photovoltaic Generation Study Flagstaff Community Power,Arizona Public Service Company,DE-EE0004679,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2011,2/28/2015,"$2,121,651.15","$665,271.17",Phoenix,AZ,85072-3999,node/1068351,33.45,-111.97,David Narang,"The project team, led by Arizona Public Service, will evaluate the impacts of high penetrations of distributed PV and energy storage on a dedicated feeder to identify the technical and operational modifications that could be deployed in future feeder designs."
Improved Modeling Tools Development for High Penetration Solar,"University of California, San Diego",DE-EE0004680,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2011,12/31/2013,"$1,428,992.06","$432,695 ",La Jolla,CA,92093-0934,node/1074206,32.832811,-117.271272,Byron Washom,"The University of California, San Diego aims to develop a high penetration modeling tool using power analytics software. They will incorporate micro-climate monitoring systems and demonstrate the tool's effectiveness."
Sunshine State Solar Grid Initiative (SUNGRIN),Florida State University,DE-EE0004682,Systems Integration,node/791071,Funding Opportunity,High Penetration Solar Deployment,High Pen,Inactive,1/1/2012,2/28/2015,"$1,993,362.66","$557,523.13",Tallahassee,FL,32306-4166,node/1074206,30.440785,-84.288352,Rick Meeker,"Florida State University's Center for Advanced Power Systems and partners in the Sunshine State Solar Grid Initiative (SUNGRIN) have completed a five-year effort aimed at enabling effective integration of high penetration levels of grid-connected solar PV generation. SUNGRIN has made significant contributions in the development of simulation-assisted techniques, tools, insight and understanding associated with solar PV effects on electric power system (EPS) operation and the evaluation of mitigation options for maintaining reliable operation. An important element of the project was the partnership and participation of six major Florida utilities and the Florida Reliability Coordinating Council (FRCC). Utilities provided details and data associated with actual distribution circuits having high-penetration PV to use as case studies. The project also conducted some foundational work supporting future investigations of effects at the transmission / bulk power system level. In the final phase of the project, four open-use models with built-in case studies were developed and released, along with synthetic solar PV data sets, and tools and techniques for model reduction and indepth parametric studies of solar PV impact on distribution circuits. Along with models and data, at least 70 supporting MATLAB functions have been developed and made available, with complete documentation"
"A Multi-Scale, Multi-Model, Machine-Learning Solar forecasting Technology",International Business Machines Corporation,DE-EE0006017,Systems Integration,node/791071,Funding Opportunity,Improving the Accuracy of Solar Forecasting,Solar Forecasting,Inactive,2/1/2013,2/28/2017,"$2,426,065.58","$1,497,848.22",Yorktown Heights,NY,10598-0001,node/1068986,41.286868,-73.783086,Hendrik Hamann,"As part of this project, new solar forecasting technology will be developed that leverages big data processing, deep machine learning, and cloud modeling integrated in a universal platform with an open architecture. Similar to the Watson computer system, this proposed technology will leverage deep machine learning and self-adjusting voting algorithms to decide between various forecasting models and expert systems. This approach will yield the best forecasts and more importantly, continuously improve and adjust as the system is operating and evolving."
A Public-Private-Academic Partnership To Advance Solar Power forecasting,University Corporation for Atmospheric Research,DE-EE0006016,Systems Integration,node/791071,Funding Opportunity,Improving the Accuracy of Solar Forecasting,Solar Forecasting,Inactive,2/1/2013,7/31/2016,"$3,195,821.67","$1,454,055.98",Boulder,CO,80301-0001,node/1074221,40.040651,-105.20778,Sue Haupt,"The goal of this project is to configure a solar powered forecasting system to forecast across a range of temporal and spatial scales. The system technologies will employ solar radiation and cloud measurements, including images from total sky imagers; satellite observations; local meteorological observations; publicly-available numerical weather prediction (NWP) modeling results, including the high-resolution rapid refresh (HRRR); weather research and forecasting (WRF)-Solar model tuned for cloud prediction and radiative transfer modeling; statistical blending of forecast technologies tuned to prediction times from 15 minutes to 36 hours; irradiance to power conversion models; displays tuned to the needs of the end user; and built-in assessment metrics. These technologies will be incorporated into a prototype solar power forecasting system that will be tested in collaboration with utilities and independent system operators (ISOs) in geographically diverse areas, including Long Island, Colorado, coastal California, and Hawaii. Each component will be verified and validated using specially designed evaluation techniques. The system will be deployed in operational environments of utility and ISO partners with engagement of commercial forecast providers, who will tailor the methods to the needs of the deployment. This iterative process will incorporate user feedback and assess the economic value of the forecasts. The results will be widely disseminated through publications, workshops, and software. The impact of this effort will be enhanced solar power forecasting that is integrated into utility operations, advancing the penetration of renewable energy."
Solar Forecast Improvement Project,National Oceanic and Atmospheric Administration,DE-EE0006458,Systems Integration,node/791071,Funding Opportunity,Improving the Accuracy of Solar Forecasting,Solar Forecasting,Inactive,2/17/2014,2/17/2015,"$988,507.77",$0.00,Silver Spring,MD,20910,node/1068991,39.00415,-77.039175,Melinda Marquis,"For the Solar Forecast Improvement Project, the Earth System Research Laboratory is partnering with the National Center for Atmospheric Research and IBM to develop more accurate methods for solar forecasts using their state-of-the-art weather models."
501vc: A New Model for Investing in Energy Innovation,Clean Energy Trust,DE-EE0008240,Manufacturing and Competitiveness,node/928446,Funding Opportunity,Innovative Pathways,Innovative Pathways,Inactive,11/1/2017,8/31/2020,"$875,462.00","$218,865.00",Chicago,IL,60606,node/2680078,41.88293,-87.63684,Ian Adams,"This project is creating a new fund structure that uses philanthropic support for operational expenses, allowing investment dollars to have greater impact. The new structure intends to make early-stage energy investing more attractive for traditional funders."
First-Look Fund - An Early-Stage Intermediary to Enhance the Flow of Private Capital into Energy Companies,Activation Energy,DE-EE0008239,Manufacturing and Competitiveness,node/928446,Funding Opportunity,Innovative Pathways,Innovative Pathways,Inactive,11/1/2017,8/31/2020,"$875,462.00","$218,865.00",San Francisco,CA,94131,node/2680078,37.74363,-122.443182,Matthew Price,"This project is building a fund that provides early investors with technology testing data rather than company equity. By using shared lab resources to reduce technical risk efficiently, the new fund seeks to provide valuable insight to early funders without overly constraining the commercialization pathway of nascent companies."
Partnerships for Intelligent Energy,Powerhouse,DE-EE0008238,Manufacturing and Competitiveness,node/928446,Funding Opportunity,Innovative Pathways,Innovative Pathways,Inactive,11/1/2017,2/28/2020,"$654,391.00","$163,598.00",Oakland,CA,94612,node/2680078,37.80551,-122.26894,Emily Kirsch,"This project is developing a repeatable workshop-based method to forge partnerships between early-stage innovators and end users, minimizing the burden of identifying product-market fit for all parties."
"The Pecan Street Leveraged Assets for Technology Feasibility Review, Optimization, and Market Validation Platform for Product Launch",Pecan Street,DE-EE0008237,Manufacturing and Competitiveness,node/928446,Funding Opportunity,Innovative Pathways,Innovative Pathways,Inactive,11/1/2017,4/30/2020,"$1,000,000 ","$250,000 ",Austin,TX,78723,node/2680078,30.31026,-97.68787,Suzanne Russo,This project is developing a program that links third-party validation of emerging technologies with subsequent investment decisions. This model will streamline the process of obtaining investment based on technology validation and provide potential funders with concrete data on which to base investment decisions.
Halide and Oxy-Halide Eutectic Systems For High  Performance High Temperaature Heat Transfer Fluids,University of Arizona,DE-EE0005942,Concentrating Solar Power,node/790241,Funding Opportunity,Multidisciplinary University Research Initiative: High Operating Temperature Fluids,MURI,Inactive,10/1/2012,6/30/2018,"$5,506,005 ","$665,611 ",Tuczon,AZ,85701-1000,node/790726,32.214791,-110.971527,Perry Li,"The goal of this project is to develop technology to improve the optical accuracy and reflectivity of the self-supporting glass mirrors used in CSP collectors. The research team is working to optimize and validate a novel glass-molding technique that creates very precise mirrors in a variety of shapes. The focus is on developing a novel hot-glass molding process that could be used for high-speed production at low cost and be easily integrated into a production line. In parallel, the research team is developing a novel way to boost second-surface silver reflectivity and inhibit soiling. The goals of the project are to develop new methods for rapidly shaping glass mirrors and coating them for higher reflectivity and soil resistance, include both point-focus and line-focus mirror designs, improve mirror optical accuracy, and reduce the cost of the solar trough mirrors made in very high volume by about 40%."
High-Operating Temperature Liquid Metal Heat Transfer Fluids,"University of California, Los Angeles",DE-EE0005941,Concentrating Solar Power,node/790241,Funding Opportunity,Multidisciplinary University Research Initiative: High Operating Temperature Fluids,MURI,Inactive,10/1/2012,12/31/2019,"$4,998,834 ","$624,005.00",Los Angeles,CA,90001-0001,node/790716,33.96979,-118.246815,Yongho Sungtaek Ju,"This project is investigating the use of metal alloys as a heat transfer fluid in CSP systems operating at temperatures up to 800&deg; Celsius. By allowing higher temperature operation, CSP systems can achieve greater efficiencies and thereby reduce the overall cost of electricity production."
Beyond The Lambertian Limit -- Novel Low-Symmetry Gratings for Ultimate Light Trapping Enhancement,University of Delaware,DE-EE0005327,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,5/31/2016,"$1,278,110 ",$0.00,Newark,DE,19702-1000,node/790976,39.620378,-75.748778,Robert Birkmire,"The goal of this project is to find the pathways through which sodium (Na) improves the performance of CIGS-based PV devices. The researchers, together with the University of Illinois at Urbana-Champaign, are growing CIGS films with different amounts of Na for full characterization. They are also fabricating devices to highlight correlations of operation, Na dosage, and the method of incorporation. This investigation helps provide a basic scientific and engineering understanding of the role of Na in CIGS PV that is needed for advancement toward the $0.50/W module manufacturing goal."
Combinatorial Platform for Discovery of Nanocrystal-Ink Based Earth Abundant Element PV with Efficiency Greater than 20%,University of Washington,DE-EE0005321,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,1/31/2016,"$541,865.00",$0.00,Seattle,WA,98101-1000,node/790976,47.608492,-122.336407,Hugh Hillhouse,"The University of Washington research team is employing the solution-phase chemistry methods used for CZTSSe device fabrication to conduct high-throughput experiments with a novel combinatorial deposition platform. This approach allows for the discovery of alloying and doping strategies that produce a back surface field and defect passivation strategies that can dramatically decrease recombination and increase the minority carrier lifetime. By using photoluminescence, current-voltage, capacitance-voltage, and external quantum efficiency analysis, the researchers hope to rapidly converge on practical routes to high-efficiency CZTSSe-based solar cells. "
Developing of Low-Cost Technology for the Next Generation of High Efficiency Solar Cells Composed of Earth Abundant Elements,Purdue University,DE-EE0005328,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,6/30/2014,"$749,568.31",$0.00,West Lafayette,IN,30332-0420,node/790976,40.403336,-86.899953,Rakesh Agrawal,"This project combines earth-abundant copper zinc tin sulfide (CZTS) semiconductor technology with the low-cost and scalable nanocrystal ink technique. This approach has several inherent benefits that contribute to lower module cost, including the ability to uniformly coat large area substrates, automate manufacturing, and reduce labor with faster throughput. The resulting thin-film solar cells are expected to offer high optical absorption coefficients with significantly reduced material and processing costs."
Development of III-Sb Quantum Dot System for High Efficiency intermediate Band Solar Cells,"University of California, Los Angeles",DE-EE0005325,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,7/31/2015,"$757,446.39",$0.00,Los Angeles,CA,90001-0001,node/790976,33.96979,-118.246815,Diana Huffaker,"The goal of this project is to identify and develop a III-Sb quantum dot absorbing medium for intermediate band solar cells (IBSC) via thorough experimental analysis supported by sophisticated band structure modeling. This is of interest because the theoretical efficiency limit of IBSCs is on par with triple junction solar cells. The team is working on band structure calculations, quantum dot solar cell device design, materials development, and in-depth experimental analysis of the quantum dot superlattice properties using TEM, QE and 2 photon absorption experiments. The team will be targeting the demonstration of a 20% IBSC with no open circuit voltage loss."
Earth-abundant novel material system for thin-film photovoltaic (PV) applications,National Renewable Energy Laboratory,Lab25782,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,10/1/2012,9/30/2015,"$6,900,000.00",$0.00,Golden,CO,80401,node/790976,39.755543,-105.2211,Ingrid Repins,"NREL, together with MIT, is developing a novel class of earth-abundant materials for single-junction, tandem-junction, or multijunction thin-film PV applications that can be synthesized with low-cost, scalable methods. A team of NREL researchers has completed proof-of-concept synthesis and characterization of these novel materials. Preliminary results have demonstrated facile synthesis of materials with independent tunability of key material properties, which has the potential to reduce costs. The team is performing exploratory research on these promising materials with a goal to fabricate baseline PV devices by the end of the project."
Enabling Earth-Abundant Pyrite (Fes2) Semiconductor Nanostructures for High Performance Photovoltaic,University of Wisconsin,DE-EE0005330,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,1/31/2014,"$461,833.71",$0.00,Madison,WI,53715-1218,node/790976,43.059206,-89.400896,Song Jin,"In this project, the research team is developing nanostructures of pyrite (FeS2) semiconductor to overcome material bottlenecks and allow for application in high-performance solar PV devices. This effort is aimed at developing effective doping methods and improved surface passivation strategies, as well as suitable nanoscale heterostructures of pyrite with other semiconductors. This exploratory research is demonstrating the proof-of-concept of a novel earth-abundant solar material while developing the understanding, materials, and processes needed for its deployment."
Hole-Blocking Layers for Silicon/Organic Heterojunctions: A New Class of High-Efficiency Low-Cost PV,Princeton University,DE-EE0005315,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,8/31/2016,"$1,476,609 ",$0.00,Princeton,NJ,08544,node/790976,40.34427,-74.65502,James Sturm,"The goal of this project is to develop silicon/organic and silicon/metal oxide heterojunctions as a new class of high-efficiency, low-cost photovoltaic technology. Instead of a conventional p-n junction, a silicon/organic heterojunction is used to separate carriers, and a silicon/metal oxide interface provides a hole-blocking layer. These devices are fabricated by spin-coating or spraying a thin layer of an organic semiconductor on silicon. This low-cost, room-temperature process eliminates the need for the high-temperature diffusion steps typically used to fabricate p-n junctions."
Hot Carrier Collection in Thin Film Silicon With Tailored Nanocrystalline/Amorphous Structure,Colorado School of Mines,DE-EE0005326,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,6/30/2016,"$1,412,364.00",$0.00,Golden,CO,80401,node/790976,39.715877,-105.231183,Reuben Collins,"The goal of this project is to develop a new approach to the synthesis of hydrogenated nanocrystalline silicon (nc-Si:H), which exploits hot-carrier collection as a way of boosting conversion. By using a novel gas-phase plasma process, the research team is creating engineered films that incorporate quantum-confined Si nanocrystals with tailored surface termination. These engineered composites of amorphous and nanocrystalline Si have the potential to dramatically increase the efficiency of single junction and multijunction thin-film Si solar cells by mitigating photo-induced degradation, increasing absorption, and offering the possibility of hot-carrier devices."
Intermediate Bandgap Solar Cells from Nanostructured Silicon,Bandgap Engineering,DE-EE0005323,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,11/30/2014,"$750,000 ","$196,320.00",Woburn,MA,01801-1721,node/790976,42.479262,-71.152276,Marcie Black,"In this project, silicon (Si) nanowire arrays are being used to engineer an intermediate band solar cell (IBSC). The IBSC has a theoretical efficiency of up to 60%; however, the goal is to engineer a 36% efficient solar cell made only with Si. Bandgap Engineering is seeking the early phase demonstration of an IBSC material produced by growing the Si nanowires epitaxially on the surface of an oriented Si wafer to achieve accurate control over crystallographic orientation and faceting of the nanowires, which will selectively increase coupling between specific electronic states."
"Low Cost, Epitaxial Growth of II-VI Materials for Multijunction Photovoltaic Cells",PLANT PV,DE-EE0005332,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,1/31/2014,"$375,000.00","$95,000.00",Mountain View,CA,94040-1671,node/790976,37.386812,-122.075155,Brian Hardin,"This project is inactive. PLANT PV is studying the feasibility of using cadmium selenide (CdSe) as the wide band-gap top cell and Si as the bottom cell in a monolithically integrated tandem architecture. The greatest challenge in developing efficient tandem solar cells is achieving a high open circuit voltage (Voc) with the top cell. To achieve tandem power conversion efficiencies greater than 25%, the CdSe top cell must have a Voc greater than 1.1 V. Through this project, PLANT PV seeks to determine whether it is possible to epitaxially grow CdSe films with sufficient minority carrier lifetimes and with p-type doping levels necessary to produce an open-circuit voltage greater than 1.1 V using close-space sublimation."
New Materials for Implementing Tandem CIGS,University of Minnesota,DE-EE0005319,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,10/31/2016,"$1,500,000 ",$0.00,Minneapolis,MN,55401-0001,node/790976,44.983654,-93.269357,Steven Campbell,The objective of this program is to develop new methods to integrate photovoltaic (PV) cells within a building integrated photovoltaic (BIPV) application that will result in a breakthrough low installed cost and increased power supply to the residential consumer.
Next Generation Sulfide Materials: Optimizing CZTS and Developing SNS by Systematic Defect Engineering,Massachusetts Institute of Technology,DE-EE0005329,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,11/30/2015,"$1,500,000 ",$0.00,Cambridge,MA,02139-4307,node/790976,42.364756,-71.103259,Tonio Buonassisi,"The goal of this project is to investigate a wide range of hypotheses for describing the technology evolution process to form an overarching theory that can be applied to accelerate cost reductions in solar. For half of a century, photovoltaics have experienced a 20% cost reduction every time cumulative production doubles. This rate of technological improvement is unmatched by other competing energy technologies. Yet, there exists no practical explanation for this empirically observed trend."
Pyrite Iron Sulfide Solar Cells Made From Solution,"University of California, Irvine",DE-EE0005324,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,11/30/2016,"$1,210,094.99",$0.00,Irvine,CA,92602-0100,node/790976,33.751486,-117.754929,Matt Law,"The goal of this project is to build a prototype solar cell made from nontoxic, inexpensive, and earth-abundant iron pyrite (FeS2), also known as Fool's Gold, with an efficiency of 10% or greater. The research team is developing a stable p-n heterojunction using innovative solution-phase pyrite growth and defect passivation techniques. A pyrite-based device offers a pathway to meeting SunShot cost targets, 20% module efficiency, and terawatt scalability using a proven, manufacturable geometry that is suitable for rapid scale-up by a U.S. thin-film photovoltaic industrial partner."
Scalable High-Efficiency Thin-Crystalline Si Cells Enabled By Light Trapping Nanostructures,Massachusetts Institute of Technology,DE-EE0005320,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,6/30/2014,"$749,870.38",$0.00,Cambridge,MA,02139-4307,node/790976,42.380327,-71.13891,Gang Chen,"In this project, MIT researchers are developing c-Si thin-film solar cells with a thickness of less than 10 microns at efficiencies greater than 20%. Typical c-Si wafers are about 180&ndash;250 micrometers thick and account for approximately 30%&ndash;40% of the total module cost. By dramatically reducing the size through nanostructuring surfaces, developing high-performance transparent conductors, and identifying low-cost manufacturing processes, this research effort aims to open a new pathway for meeting cost targets."
Single-Crystalline InGaAs/InP Dense Micro-Pillar Forest on Poly-Silicon Substrates for Low-Cost High-Efficiency Solar Cells,"University of California, Berkeley",DE-EE0005316,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,6/30/2016,"$1,499,981.87",$0.00,Berkeley,CA,94720,node/790976,37.870151,-122.259461,Constance Chang-Hasnain,"Researchers on this project are developing a unique method to grow defect-free, III-V compound micro-pillar structures on single- and poly-crystalline silicon substrates. This approach combines the high conversion efficiencies of compound semiconductor materials with the low costs and scalability of silicon-based materials. The dense forest of micron-sized indium gallium arsenide/ indium phosphide (InGaAs/InP) pillars is excellent for omnidirectional, broadband light trapping and for reducing the amount of rare-earth materials required."
Solar upconversion with metal-enhanced bimolecular complexes,Stanford University,DE-EE0005331,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,9/1/2011,5/31/2015,"$1,157,570.00","$104,400.00",Stanford,CA,94305-1000,node/790976,37.424106,-122.166076,Jennifer Dionne,"This project is inactive. This effort aims to develop an efficient upconverting medium capable of converting low-energy transmitted photons to higher-energy photons, which can then be absorbed by any type of commercial solar cell. The research team is using electrodynamic simulations and ab-initio quantum computations to optimize existing upconversion processes and design new molecular complexes for high-efficiency photovoltaic upconversion. This technology promises broadband upconversion at low incident power in a solution-processable, scalable platform."
