Project_Title,Awardees,CID,SUBPROGRAM,SUBPROGRAM_NODE,Award_Type,FOA_NAME,FOA_Acronym,Status,Award_Start_Date,Total_Government_Share,City,State,Zip_Code,Node,Latitude,Longitude,Principal_Investigator,Project_Description
Texas Collaboration to Streamline and Enable An Increase In Photovoltaic Capacity,City of San Antonio,EE0005702,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$303,677 ",San Antonio,TX,78283-3966,node/791726,29.414406,-98.503546,,The City of San Antonio will work with policy stakeholders and utilities to advance net metering standards and interconnection provisions. This project will also enable multiple financing options for community solar programs.
A Novel Storage Method for CSP Plants Allowing Operation at High Temperature,City University of New York,GO18151/FG36-08GO18151,Concentrating Solar Power,node/790241,Funding Opportunity,Advanced Heat Transfer Fluids and Novel Thermal Storage Concepts for Concentrating Solar Power,Thermal Storage,Inactive,2008,"$1,327,950 ",New York,NY,10036-7296,node/790421,40.760262,-73.993287,Jeff Morris,"City College of New York (CCNY), under the Thermal Storage FOA, is developing and testing a novel thermal storage method that allows operation at very high temperatures."
NYSOLAR Smart,City University of New York,EE0006306,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge 2,Rooftop Solar Challenge 2,Inactive,2013,"$1,400,000 ",New York,NY,10036-7296,node/791651,40.753685,-73.999164,Tria Case,"The goal of this project is to create a toolkit of policies, programs, and resources to enable jurisdictions, utilities, industry, and end users to reduce the time and cost of installing solar PV. These include Web-accessible permitting, virtual net-metering guidelines for master-metered buildings, group purchasing programs, and updated model zoning ordinances. NYSolar Smart's IT tools will include a customizable customer acquisition portal, solar maps, market analytics, and a one-stop PV market portal."
NYSolar Smart Distributed Generation Hub,City University of New York,EE0006913,Soft Costs,node/791371,Funding Opportunity,Solar Market Pathways,Solar Market Pathways,Active,2014,"$859,720 ",New York,NY,10036-7296,node/1398576,40.760262,-73.993287,Tria Case,"This project is creating a roadmap for the integration and tracking of resilient solar systems, which can supply emergency power and provide energy storage, as well as conducting analysis for deploying resilient solar energy systems on designated critical infrastructure facilities. Additionally, the project is developing a calculator that will help capture the full spectrum of value streams for solar systems with battery storage, such as supplying emergency power, peak shaving, and load shifting capabilities, consequently providing decision makers with the necessary tools to make educated investments."
"Solar Market Analytics, Roadmapping, and Tracking Ny (Smart Ny)",City University of New York,EE0005684,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$724,086 ",New York,NY,10036-7296,node/791726,40.760262,-73.993287,Tria Case,This university-led team will shorten the city's approval process from one year to 100 days by creating an online multi-agency portal. The team will also create an Intelligence Operations Center to effectively measure the impact of process improvements and policies.
National Community Solar Platform,Clean Energy Collective,EE0006681,"Technology to Market, Soft Costs","node/928446; node/791371",Funding Opportunity,Incubator 9,Incubator 9,Inactive,2014,"$699,999 ",Carbondale,CO,81623-6201,node/791016,39.216565,-107.242998,Tom Hunt,"Clean Energy Experts is creating a cloud-based software toolkit to reduce customer acquisition costs for U.S. solar companies. The industry-specific software toolkit enables companies&mdash;from small installers to large manufacturers&mdash;to improve their marketing effectiveness, close more sales, improve customer service, and ultimately reduce costs."
Project Solarcat: Solar Customer Acquisition Toolkit,Clean Energy Experts,EE0005845,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,2012,"$495,040 ",Manhattan Beach,CA,90266-5111,node/791021,33.890837,-118.398784,Eren Atesmen,"Clean Energy Experts is creating a cloud-based software toolkit to reduce customer acquisition costs for U.S. solar companies. The industry-specific software toolkit enables companies&mdash;from small installers to large manufacturers&mdash;to improve their marketing effectiveness, close more sales, improve customer service, and ultimately reduce costs."
New England Solar Cost-Reduction Partnership,Clean Energy States Alliance,EE0006305,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge 2,Rooftop Solar Challenge 2,Inactive,2013,"$1,500,000 ",Montpelier,VT,05602-2957,node/791651,44.26064,-72.5778,Warren Leon,"The goal of this project is build a thriving regional solar market by: increasing coordination across Connecticut, Massachusetts, New Hampshire, Rhode Island, and Vermont; refining and deploying innovations developed in Connecticut and Massachusetts during Rooftop Solar Challenge I; and more widely implementing best practices across the region, including online permitting and group purchasing programs."
State Strategies to Bring Solar to Low- and Moderate-Income Communities,Clean Energy States Alliance,EE0007667,Soft Costs,node/791371,Funding Opportunity,Solar Energy Evolution and Diffusion Studies 2 - State Energy Strategies ,SEEDS2-SES,Active,2016,"$1,730,000 ",Montpelier,VT,05602-2957,node/2092347,44.280927,-72.619508,Warren Leon,"This project works with the state governments of Connecticut, Minnesota, New Mexico, Oregon, Rhode Island, and the District of Columbia to provide technical assistance necessary to develop and implement strategies for expanding the amount of solar available to low- and moderate-income residents and communities. Each participating state is developing goals and a plan of action that matches its programmatic needs, demographic profile, solar potential, and financial resources."
"Training for State Officials to Make Solar More Inclusive, Affordable, and Consumer Friendly",Clean Energy States Alliance,EE0007321,Soft Costs,node/791371,Funding Opportunity,Solar Training and Education for Professionals,STEP,Active,2016,"$568,000 ",Montpelier,VT,05602-2957,node/1712891,44.26064,-72.5778,Warren Leon,"This project develops resources and training for public officials, mostly at the state level, on how to deal with two issues that have important implications for the future cost and continued public acceptance of solar energy. The first issue is ensuring inclusive participation in the solar economy, especially for those with low and moderate incomes and those without solar-friendly roofs. The second issue is helping consumers find and use reputable, competent vendors and contractors."
Marketplace For Operations and Maintenance Of Pv Systems,Clean Power Finance,EE0005836,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,2012,"$471,197 ",San Francisco,CA,94105-1832,node/791021,37.789018,-122.391506,Micah Myers,"Clean Power Finance is building an online marketplace that will increase certainty for O&M by providing back-up servicing for solar photovoltaic (PV) systems. The marketplace will enable various vendors to bid on repair jobs, ensuring service for homeowners and peace of mind for investors. Investors and analysts have cited the lack of large-scale O&M capabilities as a major factor preventing the securitization of solar, which is vital to growing the solar market with competitive capital investments."
Online Brokerage For Customer Acquisitions For Solar,Clean Power Finance,EE0005837,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,2012,"$977,906 ",San Francisco,CA,94105-1832,node/791021,37.789018,-122.391506,Kirsten Hoefer,Clean Power Finance is creating an online brokerage for customer acquisition for solar companies. The brokerage will enable installers to use independent companies to lower customer acquisition costs through steadier project flows.
"Software, Databases, and Systems to Reduce Costs Associated with Solar ",Clean Power Finance,EE0005349,Soft Costs,node/791078,Funding Opportunity,Solar Projects to Reduce Market Barriers and Non-Hardware Balance of System Costs,Soft Bos,Inactive,2011,"$2,510,842 ",San Francisco,CA,94105-1832,node/791731,37.789018,-122.391506,Adam Marsh,"Develop an open-source, online information technology (IT) platform that will consist of a database of PV permitting requirements by the authorities that have jurisdiction, in addition to complementary turnkey IT solutions for installers and electric utility companies."
PowerClerk ,Clean Power Research,EE0006408,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,2013,"$945,529 ",Napa,CA,94558-0005,node/1068491,38.297538,-122.286865,Scott Tewel,"Clean Power Research is developing the next PowerClerk&reg; platform to significantly reduce soft costs associated with interconnecting distributed solar to the utility grid. By taking the interconnection process online and automating communications, application submission and review will be streamlined, and sophisticated solar retailers will be able to apply for interconnection directly from their proposal tools. Additionally, the platform leverages information collected in PowerClerk in a solar engagement tool that utilities can use to engage their customers early in the solar sales process. This interactive online tool will allow utility customers to see how many of their neighbors have gone solar, explore personalized economics of solar, and connect with installers and financing."
Utility-Scale Pv Cost Reduction: Panelization For Use With Automated Panel Installation System,Clean Power Research,EE0006329,Systems Integration,node/791071,Funding Opportunity,Solar Utility Networks: Replicable Innovations in Solar Energy,SUNRISE,Inactive,2013,"$500,000 ",Napa,CA,94558-0005,node/1068491,38.317054,-122.301921,Tom Hoff,"The goal of this project is to look at the improvement in accuracy of load forecasting in California that can be realized from forecasts of behind-the-meter distributed (rooftop) solar PV generation. The forecasts developed are provided to the California Independent System Operator for incorporation into the Automatic Load Forecasting System whose load forecasts will quantify the influence of the increasing penetration of customer-sited or behind-the-meter photovoltaic (PV) system power production. Also, this project will evaluate distributed solar generation forecast accuracy and apply further improvements in solar forecasting developed by the University of California at San Diego. Forecasting behind-the-meter distributed PV generation power production within a region will enable grid balancing authorities to dispatch generation resources more effectively, significantly lowering the need for additional spinning generation reserves and mitigating the impact on existing reserve capacity. This project is expected to reduce the costs of integrating higher penetrations of PV into the grid by incorporating distributed PV generation forecast into utility planning and operational tools in California, as a replicable and scalable approach that other areas of the country could follow."
Automated Manufacturing of Innovative CPV/PV Supercells,Cogenra Solar,EE0006812,Technology to Market,node/928446,Funding Opportunity,Solar Manufacturing Technology 2,SolarMat 2,Inactive,2014,"$1,993,383 ",Mountain View,CA,94043,node/973806,37.428434,-122.072382,Ratson Morad,"The goal of this project is to automate the manufacturing of its T14 low-concentration c-Si PV receivers, incorporating design changes for manufacturability, and building a production line with a capacity of 100 megawatts per year. Key objectives include achieving a throughput of about 100 kilowatts per shifts while maintaining high reliability, as demonstrated through accelerated life testing."
Catalyzing Photovoltaic Manufacturing in the U.S. with Next-Generation Dense Cell Interconnect Photovoltaic Module Manufacturing Technology,Cogenra Solar,EE0007190,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Sunpath 2,Inactive,2015,"$5,499,551 ",Fremont,CA,94043-4003,node/1382281,37.428434,-122.072382,Ratson Morad,"This project is developing a first-of-its-kind 50 megawatt per year photovoltaic module manufacturing line based on the company's innovative Dense Cell Interconnect technology, which rewires the photovoltaic module. The approach increases module output power by reducing metal shading, eliminating gaps between cells, and decreasing resistance, resulting in a lower module price per watt. Higher efficiency also reduces balance of system and installation costs. This technology eliminates module degradation associated with ribbons and solder joints and significantly increases lifetime power output, which further reduces the levelized cost of energy. This project will broaden the technology to mainstream photovoltaic applications."
Efficiently Leveraging Equilibrium Mechanisms for Engineering New Thermochemical Storage,Colorado School of Mines,EE0006537,Concentrating Solar Power,node/790241,Funding Opportunity,Efficiently Leveraging Equilibrium Mechanisms for Engineering New Thermochemical Storage,ELEMENTS,Inactive,2014,"$1,008,511 ",Golden,CO,80401,node/924571,39.715877,-105.231183,Gregory Jackson,"This project will explore how changing the chemical make-up of sand-like particles called perovskites can reduce the cost of the particles without destroying the usefulness of the perovskite chemical reaction responsible for storing the sun's energy. These newly designed sand-like particles, or perovskites, will be tested at high temperatures using concentrated solar power to prove their usefulness as thermochemical energy storage materials. This project builds upon strategies to efficiently heat sand-like particles that were devised by the National Renewable Energy Laboratory, as well as expertise at both the Colorado School of Mines and Abengoa Solar."
Hot Carrier Collection in Thin Film Silicon With Tailored Nanocrystalline/Amorphous Structure,Colorado School of Mines,EE0005326,Photovoltaics,node/790881,Funding Opportunity,Next Generation Photovoltaic Technologies 2,NextGen 2,Inactive,2011,"$1,412,364 ",Golden,CO,80401,node/790976,39.715877,-105.231183,Reuben Collins,"The goal of this project is to develop a new approach to the synthesis of hydrogenated nanocrystalline silicon (nc-Si:H), which exploits hot-carrier collection as a way of boosting conversion. By using a novel gas-phase plasma process, the research team is creating engineered films that incorporate quantum-confined Si nanocrystals with tailored surface termination. These engineered composites of amorphous and nanocrystalline Si have the potential to dramatically increase the efficiency of single junction and multijunction thin-film Si solar cells by mitigating photo-induced degradation, increasing absorption, and offering the possibility of hot-carrier devices."
New Approaches to Low-Cost Scalable Doping for Interdigitated Back Contact Crystalline Silicon Solar Cells,Colorado School of Mines,EE0007553,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$615,000 ",Golden,CO,80401-1887,node/2040134,39.755543,-105.2211,Sumit Agarwal,"This project lowers the cost and reduces the complexity of manufacturing interdigitated back contact mono-crystalline silicon solar cells, which provide a promising pathway to achieve a levelized cost of energy of $0.02 to 0.03 per kilowatt-hour by 2030. Currently, these types of cells require patterned doping of the back contacts, which adds several additional steps compared to the more traditional front-grid architecture. The research team will develop a photo-assisted, area-selective patterning method that produces high-quality devices and is highly scalable for large-area manufacturing at reduced cost."
"Perovskite Solar Cells: Addressing Low Cost, High Efficiency, and Reliability through Novel Hole Transport Materials",Colorado School of Mines,EE0008174,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$192,529 ",Golden,CO,80401-9380 ,node/2619924,39.715877,-105.231183,Sumit Agarwal,"A very important component of a perovskite solar cell is the hole transport layer, which is generally an expensive and a relatively unstable component of this early-stage technology. Currently, the state-of-the-art hole transport layer is based on a lithium salt doped aromatic amine that is very difficult to prepare and has no paths to becoming cost-effective at high volume. This project is researching new hole transport layer materials for perovskite solar cells to address the current bottlenecks, such as cost, tunable conductivity and energy levels, hydrophobicity, lithium-free dopants, and stability."
Revealing the Mechanism of Light Induced Degradation and Regeneration of P-Type Czochralski Silicon ,Colorado School of Mines,EE0008171,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$225,000 ",Golden,CO,80401-9380 ,node/2619924,39.715877,-105.231183,Alan Sellinger,"This project employs advanced spectroscopic tools to explore boron-oxygen related defects in p-type Czochralski monocrystalline silicon that informs processing strategies to permanently suppress these defects and improve cell efficiency. Early-stage materials research is improving understanding of the hydrogenation and dehydrogenation of boron-oxygen complexes, and light-stimulated electron spin resonance methods is clarifying their bonding configurations and evolution during intense illumination."
DEVELOPING SOLAR FRIENDLY COMMUNITIES,Colorado Solar Energy Industries Association,EE0005690,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$469,180 ",Boulder,CO,80303-2318,node/791726,37.367705,-105.662992,Neal Lurie,"This effort aims to reduce permitting and interconnection costs by 25% through online tools, hands-on support, and quantifiable progress assessments. The team will benchmark its success against established practices and policies."
"Advanced Module Architecture for Reduced Costs, High Durability, and Significantly Improved Manufacturability",Colorado State University,EE0008161,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$1,125,000 ",Fort Collins,CO,80523-1374,node/2619924,40.570291,-105.090163,Jason Kephart,"This project is investigating a new module architecture for thin film photovoltaic modules to reduce manufacturing costs, cap-ex costs, and degradation rates associated with moisture ingress. The proposed method will provide an improved process cycle time compared to standard lamination procedures. Key areas of investigation include obtaining a complete understanding of layer formation during the encapsulation process as well as the evolution of material properties, interfaces, and module performance over time during accelerating testing."
Device Architecture for Next-Generation Cadmium Telluride Photovoltaics,Colorado State University,EE0007543,Photovoltaics,node/790881,Funding Opportunity,Photovoltaics Research and Development,PVRD,Active,2016,"$899,922 ",Fort Collins,CO,80523-1801,node/2040142,40.58526,-105.084423,James Sites,"This project is developing a novel solar cell architecture that will increase the voltage and energy output of thin-film polycrystalline cadmium telluride solar cells and address the short lifetimes of photo-excited electrons in the cells. This new architecture should give the cadmium telluride manufacturing community a novel, but highly realistic, approach for solving the voltage limitations of the technology. The resulting product will be compatible with solar panel manufacturing at or below current cost structures."
High Lifetime and Mobility Cadmium Telluride Alloys by Co-Sublimation ,Colorado State University,EE0008177,Photovoltaics,node/2619924,Funding Opportunity,"Photovoltaic Research and Development 2 

",PVRD2,Active,2017,"$162,702 ",Fort Collins,CO,80523-1320,node/2619924,40.570291,-105.090163,Kurt Barath,Researchers are investigating the composition and grading of cadmium selenium telluride material to understand how it changes the performance and material properties of absorber layers. The effects of novel surface passivation techniques on carrier lifetime and other device properties will also be investigated. Material and device characterization will provide insight to the unique properties of these new materials and architectures. The project aims to produce record carrier lifetimes for cadmium telluride based devices.
"High-Efficiency, Commercial-Ready CdTe Solar Cells",Colorado State University,EE0005399,Photovoltaics,node/790881,Funding Opportunity,Foundational Program to Advance Cell Efficiency,F-PACE,Inactive,2011,"$1,500,000 ",Fort Collins,CO,80523-2002,node/790971,40.570291,-105.090163,James Sites,"Program goals are to increase the efficiency of CdTe photovoltaic cells from 13% to 19% and to transfer the technology advances to commercial manufacturing without increase in costs by: (1) Incorporating a CdMgTe barrier to electrons to circumvent bulk recombination and produce higher voltage and fill factor, and (2) Incorporation of plasma processes for substrate cleaning and modification of CdS window for increased band gap and hence higher current from shot-wavelength photons."
Novel Approach to Front-Contact Passivation for CdTe Photovoltaics,Colorado State University,EE0007365,Photovoltaics,node/790886,Funding Opportunity,Photovoltaic Research and Development: Small Innovative Projects in Solar,PVRD SIPS,Inactive,2016,"$150,000 ",Fort Collins,CO,80523-2002,node/1876001,40.570291,-105.090163,Jason Kephart,This project aims to develop front contact passivation for cadmium telluride (CdTe) photovoltaics (PV) through the use of patterned insulating oxides. The result will create much-needed improvements in open circuit voltage through both contact passivation effects and decreased heterojunction area.
Microgrid-integrated Solar-Plus-Storage Technology ,Commonwealth Edison Company,EE0007166,Systems Integration,node/791071,Funding Opportunity,Sustainable and Holistic Integration of Energy Storage and Solar PV,SHINES,Active,2015,"$4,000,000 ",Chicago,IL,60605-1028,node/1541061,41.870331,-87.623574,Shay Bahramirad,"This project addresses availability and variability issues inherent in solar photovoltaic technologies by utilizing smart inverters for solar-plus-storage with batteries and working synergistically with other components within a microgrid community. This project leverages the microgrid cluster controller, which was funded by the Energy Department, and is connected to the existing 12 megawatt microgrid at the Illinois Institute of Technology."
Mass Solar: Making It EZ,Commonwealth of Massachusetts,EE0005692,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$538,035 ",Boston,MA,02114-2509,node/791726,42.347618,-71.100288,Dwayne Breger,The Massachusetts team will make improvements in five pilot communities to determine replicable best practices. The team will work to improve access to interconnection information and remove financing barriers for homeowners.
"PV Application for Lowering Costs of Array Layout, Design And Installation",concept3D,EE0005839,Technology to Market,node/928446,Funding Opportunity,Incubator 6,Incubator 6,Inactive,2012,"$1,275,791 ",Boulder,CO,80302-5377,node/791021,37.367705,-105.662992,Oliver Davis,"concept3D is building simuwatt, a virtual, visual, data-rich mobile application to rapidly determine solar energy output for high performance buildings and to instantly provide design documentation for permits. simuwatt will also enable 3D visualization of solar projects for utilities, installers, and manufacturers, creating a new pathway to reduce customer acquisition costs."
The Energy Switch,Concurrent Design,EE0007185,Technology to Market,node/928446,Funding Opportunity,"SunShot Technology to Market: Incubator 10, SolarMat 3, SunPath 2",Incubator 10,Inactive,2015,"$1,000,000 ",Austin,TX,94566-6478,node/1382321,37.64362,-121.867646,Tom Ortman,"The Energy Switch is a device that will clear the path for widespread adoption of residential microgrids that feature solar plus storage. Installed as the ""single point of permitting,"" the Energy Switch equips a home for plug-and-play expansion of PV, storage, back-up generation, intelligent load control, and automated islanding. The Energy Switch eliminates redundant components, custom onsite design, and labor costs to simplify the installation of residential microgrids. The Energy Switch works with legacy residential infrastructure and appliances as well as new construction and smart appliances. Concurrent will develop a commercial version of this transformative technology, turning the residential microgrid from a potential problem for the grid operator into a grid-friendly customer endpoint that can integrate seamlessly into any grid operator business model."
Solar to Meter Socket Integrator,ConnectDER (Formerly Infinite Invention),EE0006001,Technology to Market,node/928446,Funding Opportunity,Incubator 7,Incubator 7,Inactive,2012,"$344,152 ",Falls Church,VA,22043,node/791021,38.882334,-77.171091,Whitman Fulton,"The ""Solar Socket"" is a device that adds sockets for plugging in solar PV systems between the electric meter and meter case. It streamlines the installation process by cutting wiring costs, scheduling headaches, and site inspection time while also allowing homeowners to swap in new technologies as they emerge."
Solar to Meter Socket Integrator,ConnectDER (Formerly Infinite Invention),EE0006413,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,2013,"$499,999 ",Falls Church,VA,22043,node/791021,38.882334,-77.171091,Whitman Fulton,"ConnectDER is developing the Solar Socket, a device for plugging in solar PV between the electric meter and meter case. It streamlines the installation process by reducing wiring costs, scheduling requirements, and site inspection time and allows for swapping in new technologies as they emerge. In addition, a version with onboard metering and communications lets power flow directly into the utility grid. 

"
SUNRISE NEW ENGLAND - OPEN FOR BUSINESS,Connecticut Green Bank (Formerly Clean Energy Finance Investment Authority),EE0005688,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$481,473 ",Rocky Hill,CT,6067,node/791726,41.648416,-72.710444,Bob Wall,This project will help accelerate rooftop solar PV system installations in Connecticut - the state with the highest electricity prices in the continental U.S. The team will create a standardized online permitting application that synchronizes with the utility interconnection process.
The Connecticut Permit to Plug-In Team,Connecticut Green Bank (Formerly Clean Energy Finance Investment Authority),,Soft Costs,node/791371,Prize Competition,SunShot Prize,SunShot Prize,Active,2015,"$100,000 ",Rocky Hill,CT,6067,node/1229676,41.662315,-72.650596,Gary Wayne,"The Connecticut Permit to Plug-in Challenge is a collaborative effort between the Connecticut Green Bank, the state's investor-owned utilities, contractors representing nearly 60% of the state's solar market, and a number of municipalities across the state. The team will take a multi-pronged strategic approach to the competition to identify, create, and implement innovative practices that significantly accelerate solar installation times in Connecticut. The team will introduce greater efficiencies into the state's approval and installation processes for solar PV while supporting market growth through ongoing incentive and financing programs. The team will rely on detailed project tracking and evaluation to inform and replicate strategies that positively impact project completion times."
The Diablo Regional Distributed Solar Energy Generation Expedited Permit Process,Contra Costa Economic Partnership,EE0005699,Soft Costs,node/791371,Funding Opportunity,Rooftop Solar Challenge,Rooftop Solar Challenge,Inactive,2012,"$462,233 ",Concord,CA,94520-5755,node/791726,37.977978,-122.031073,Gary Craft,The Contra Costa Economic Partnership will develop an expedited permitting and interconnection process across a three-county region that can be scaled up and rapidly deployed statewide. The effort will also update state guidelines to encourage all new construction to be solar-ready.
Facilitating Deployment of Community Solar PV Systems on Rooftops and Vacant Land in Northeast Illinois ,Cook County,EE0006916,Soft Costs,node/791371,Funding Opportunity,Solar Market Pathways,Solar Market Pathways,Inactive,2014,"$1,238,308 ",Chicago,IL,60602,node/1398586,41.883473,-87.629127,Deborah Stone,"This project identifies and establishes models for community solar and eliminates barriers to implementation through the assessment of the current community solar marketplace in Northeast Illinois and identification of the potential market. The project analyzes the economics of different ownership structures, then identifies the structural, regulatory, and policy barriers to community solar and proposes approaches to eliminate those barriers. Detailed analysis of pilot case studies will create models and lessons learned that can be replicated across the region to help other projects in the region succeed."
A Solar Market Pathway for Independent Colleges in Virginia,Council of Independent Colleges In Virginia,EE0006904,Soft Costs,node/791371,Funding Opportunity,Solar Market Pathways,Solar Market Pathways,Active,2015,"$807,563 ",Bedford,VA,24523,node/1398656,37.300229,-79.515377,Robert Lambeth,"The Council of Independent Colleges is leading a program to boost Virginia's solar market by partnering with 15 of its member colleges and their hometown communities. This collaborative and replicable approach will guide campuses through the process of preparing for installation and purchasing solar panels, reducing operating costs and demonstrating associated economic benefits."
High Throughput Epitaxial Growth Of Silicon Wafers With Deep Built In Junctions For Solar Cells,Crystal Solar,EE0007583,Technology to Market,node/928446,Funding Opportunity,"Technology to Market 2: Incubator 11, SolarMat 4",SolarMat 4,Active,2016,"$3,000,000 ",Santa Clara,CA,95054-3203,node/2039878,37.354108,-121.955236,Ruiying Hao,"Crystal Solar has a unique process of fabricating monocrystalline silicon wafers using an epitaxial deposition process that leads to high-quality kerfless wafers. This process also allows Crystal Solar to deposit built-in junctions and surface fields in the wafers, which reduces downstream cost-in-cell processing. The project focuses on improving the base substrate reuses and process yield to lower the cost of epitaxial wafers through automation of the pilot process line. Additionally, high-efficiency cells will be fabricated to demonstrate the readiness of the epitaxial substrate with traditional solar cell processing."
Technology Development for High-Efficiency Solar Cells and Modules Using Thin (,Crystal Solar,EE0007583,Technology to Market,node/928446,Funding Opportunity,Incubator 4,Incubator 4,Inactive,2010,"$4,000,000 ",Santa Clara,CA,95054,node/791021,37.398604,-121.964375,Ruiying Hao,"Crystal Solar successfully prototyped thin-crystal silicon solar cells on ceramic substrates to reduce the manufacturing cost of silicon by reducing the losses associated with wafer generation and the thickness of the resulting silicon wafer. Using epitaxial deposition of high-quality, single-crystal silicon (50 microns thick) for solar cell fabrication reduces silicon usage by about 83%. The use of ceramic-handling layers enables handling, processing, and packaging of the thin-silicon layers."
Thin Single Crystal Silicon Solar Cells on Ceramic Substrates,Crystal Solar,NREL/SR-5200-51935,Technology to Market,node/928446,Lab Award,NREL ARRA PV Technology Pre-Incubator Awards,Pre-Incubator,Inactive,2009,"$500,000 ",Santa Clara,CA,95054,node/791021,37.398604,-121.964375,Andy Kumar,"Crystal Solar been developing a technology for fabricating thin (< 50 &micro;m) single crystal silicon wafers on foreign substrates. They reverse the conventional approach of depositing or forming silicon on foreign substrates by depositing or forming thick (200 to 400 &micro;m) ceramic materials on high quality single crystal silicon films ~ 50 &micro;m thick. Their key innovation is the fabrication of thin, refractory, and self-adhering 'handling layers or substrates' on thin epitaxial silicon films in-situ, from powder precursors obtained from low cost raw materials. This 'handling layer' has sufficient strength for device and module processing and fabrication. Successful production of full sized (125 mm X 125 mm) silicon on ceramic wafers with 50 &micro;m thick single crystal silicon has been achieved and device process flow developed for solar cell fabrication. Impurity transfer from the ceramic to the silicon during the elevated temperature consolidation process has resulted in very low minority carrier lifetimes and resulting low cell efficiencies. Detailed analysis of minority carrier lifetime, metals analysis and device characterization have been completed. A full sized solar cell efficiency of 8% has been demonstrated."
"Thermodynamically Stable, High Temperature, Long-Term Antioxidation Cermet Solar Selective Absorbers from Low-Cost Solution-Chemical Processing",Dartmouth College,EE0007112,Concentrating Solar Power,node/790241,Funding Opportunity,Concentrating Solar Power: Advanced Projects Offering Low LCOE Opportunities,CSP APOLLO,Active,2015,"$656,831 ",Hanover,NH,03755-1404,node/1332551,43.726034,-72.142917,Jifeng Liu,"This project will develop thermodynamically stable, long-term anti-oxidation cermet solar selective coatings through the use of nanoparticles. The project goal is to achieve over 1000 h operation at 700&deg;C in air with a solar absorbance greater than 95% and thermal emittance less than 10%. The coating will be applied to Norwich Technology's vacuum-free SunTrap CSP receiver systems for prototype demonstration, achieving a thermal efficiency greater than 90% at 700&deg;C."
High-Efficiency Thin-Film Fe2sis4 And Fe2ges4- Based Solar Cells Prepared From Low-Cost Solution Precursors,Delaware State University,EE0006322,Photovoltaics,node/790881,Funding Opportunity,Diversity in Science and Technology Advances National Clean Energy in Solar,DISTANCE,Inactive,2013,"$326,139 ",Dover,DE,19901-1200,node/790961,39.208135,-75.457778,Daniel Radu,"The goal of this project is to introduce a solar course at Delaware State University and initiate a solar research program debuting with the development of a novel thin-film photovoltaic technology using solution nano-precursors to Fe2SiS4 and Fe2GeS4-based absorber layers in solar devices. This technology aims to create low cost solar cells by using solution-processing of sustainable, inexpensive materials, coupled with reduced installation costs by enabling use of lightweight, flexible substrates. The solar cell devices target an efficiency of at least 5%."
Cascaded Micro Inverter PV System for Reduced Costs,Delphi Automotive Systems,EE0005342,Systems Integration,node/791072,Funding Opportunity,Solar Electric Grid Integration &ndash; Advanced Concepts,SEGIS-AC,Inactive,2011,"$423,400 ",Troy,MI,48098-2815,node/1074211,42.592487,-83.175619,Jeffrey Ely,This project will develop and demonstrate a PV inverter with a modular architecture designed to lower manufacturing costs and increase inverter reliability and serviceability
Pace3P Financing Platform: Scalable Third-Party Ownership Commercial Solar Financing,Demeter Power Group,EE0006377,Technology to Market,node/928446,Funding Opportunity,Incubator 8,Incubator 8,Inactive,2013,"$500,000 ",West Palm Beach,FL,33407-5252,node/791021,26.761956,-80.103772,Micheal Wallander,"Demeter is offering solar lease or services agreement financing collected as an assessment on the property tax bill: PACE3P. By securing payments to the property, not the offtaker, PACE3P lowers LCOE by 20%, makes more deals ""bankable"" without a corporate guarantee, and enables the first uniform, scalable financing for commercial solar."
