CID,Project_Title,Awardee,Program_Area,DOE_Funding_Amount,Recipient_Type,Award_Type,State,FOA_Name,FOA_NodeID,Fiscal_Year_Awarded,Subprogram_Node,Project_Description,Status,Contact_email,Contact_url
1.5.1.701,Wind Turbine Blade Durability and Damage Tolerance,Sandia National Laboratories,Next-Generation Technology Development and Manufacturing; Atmosphere to electrons: Plant Optimization and Resource Characterization,"$3,126,562 ",National Laboratory,Annual Operating Plan,NM,,,2015 &ndash; 2018,/node/778391; /node/904576,"The goal of this project is to reduce cost-uncertainty in the manufacturing and operation of wind turbine blades by enabling the transition from a safe-life methodology to a durability-and-damage-tolerance design methodology. This will be accomplished by understanding the effect of manufacturing defects and lightning damage on blade structures, the ability of non-destructive inspection (NDI) technologies to determine the extent of these issues, and the most cost-effective damage repair methods. The impact of this work will be to both lower levelized cost of energy, which directly impacts national energy objectives, as well as to further develop and improve the wind turbine operations and maintenance (O&M) sector. O&M is the fastest growing area of employment in the industry, and the likely source of most future wind jobs. The results of this project will be broadly applicable to the industry, ranging from OEMs and blade manufacturers to owner/operators and service companies. At the conclusion of this project we will: 
<ul>
<li>Improve field inspections by assessing the viability of NDI methods to detect in-service damage in wind blades. This knowledge will be transferred to service companies to make NDI more prevalent and more successful at identifying damage. Specifically, this work will develop safer and more cost-effective robot-deployed NDI concepts to expand the inspection capabilities of third-party service companies. One or more of these methods will be selected and used to perform benchtop inspections of specimens with representative, engineered flaws. Based on these results, one NDI method will be integrated into a deployable, proof-of-concept system by collaborating with a robotic crawler company, NDI equipment manufacturer, and wind turbine service company. This proof-of-concept system will be deployed at a wind farm to perform initial field validation test and provide hands-on inspection experience for wind farm operators and service companies.</li>
<li>Quantify best methods to repair defects and damage in wind blades. Currently, many blades are scrapped due to lack of acceptable repairs of structural elements. The project builds on previous effects of defects experimental and modeling work to both determine the applicability of standard composite repair methods and seek to develop improvements specific to the wind industry.</li>
<li>Integrate blade design, manufacturing, and operation into a lifetime value model. The cost of manufacturing and operating a blade over its lifetime compared to the energy that is captured is vital to understanding potential improvements in both rotor design and operational reliability. As these costs are spread over multiple parties, it has been difficult to fully evaluate the effect that new blade technology has on costs This gap will be addressed through the development of a cradle-to-grave cost vs. revenue model.</li>
<li>Understand the effect of lightning strikes on wind blade carbon laminates and the ability of NDI technology to detect the damage. There is uncertainty in the effect of lightning strikes on carbon fiber spars in wind blades. While lighting strikes are not new to wind, carbon blades are becoming more common. A carbon spar blade may show evidence of the strike entering into the carbon material, but how to find and assess the level of damage is not well known. This task will address that issue by subjecting wind blade carbon fiber samples to lightning level currents and performing NDI and mechanical testing on them to determine inspectability and strength degradation.</li>",Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/materials-reliability-standards/
1.5.2.001,Wind Turbine Drivetrain Reliability: White-Etching Crack (WEC) Root Cause Analysis,Argonne National Laboratory,Next-Generation Technology Development and Manufacturing,"$2,536,566 ",National Laboratory,Annual Operating Plan,IL,,,2014 &ndash; 2018,/node/778391,"The objective of the project is to reduce operations and maintenance (O&M) costs related to wind turbine drivetrains. The operational conditions of wind turbines present unique design challenges. Low rotor speeds, large bearing sizes, and variability in load and speed can all lead to detrimental tribological contact conditions in gears and bearings. These conditions lead to accelerated failures, such as bearing axial cracks, micropitting, fretting, and scuffing, that are predominant and responsible for the higher than anticipated drivetrain O&M costs. These types of failure modes are not accounted for in design standards; are not preventable using currently applied design, material, and tribological technologies; are not attributable to quality control; are complex in nature; and are generally independent of specific component suppliers. Current solution approaches developed with limited understanding have led to an inefficient process of field trial and error that has cost the industry significant resources and time. Through this project, drivetrain reliability will be increased by characterizing the mechanisms of the predominant and unaccounted failure modes, such as gearbox planetary or white-etch cracking bearing failures and surface-initiated main shaft bearing failures; developing and validating mitigation solutions for them; and developing accurate life models for improved component design specifications. Turbine availability and energy capture will be increased by developing more effective fleet management tools for drivetrain inspection, monitoring, and remaining useful life (RUL) prediction. The project includes five specific tasks as described below:
<ul>
<li>Planetary section failures, although relatively infrequent, are expensive because they typically require a full gearbox replacement with a large crane. The objective of the first task is to understand the causes of planetary bearing failures related to unequal load sharing and then develop and demonstrate planetary design solutions that provide robust load sharing in the wind turbine application.</li>
<li>The most common gearbox failure mode is axial cracks in the raceways of intermediate- and high-speed stage bearings, also called “white-etching cracks” (WECs). WECs cause as much as 71% of the failures and can occur under 20% of the design life. Though they have been reported for over a decade in various industries, the reason for their prevalence in wind turbine gearboxes is not known. The objective of the second task is to characterize the causes of WECs through analysis and testing. Once characterized, appropriate mitigation solutions can be examined—ranging from new bearing materials, coatings, and heat treatments; to improved lubricants; to changes in gearbox designs and to changes in turbine operations.</li>
<li>Main-bearing reliability has been identified as a significant O&M cost driver by owners and operators. Unlike the most common gearbox faults, main bearings typically cannot be replaced uptower and require removal of the rotor system with a large, expensive crane. Very little failure mode information exists in the public domain; however, evidence suggests that main-bearing failures are related to progressive wear modes stemming from micropitting, skewing, skidding, or fretting and not from rolling contact fatigue. The objective of the third task is to characterize the causes of main-bearing progressive wear failures through analysis and testing. Once characterized, appropriate mitigation solutions can be examined.</li>
<li>The fourth task objective is to enhance wind plant O&M practices through the mining of turbine and plant performance data and to improve condition monitoring (CM) technology. The wind industry is rich with Supervisory Control and Data Acquisition, high-resolution history, and meteorological tower data, plus event or maintenance reports; however, these collectively are not well explored. </li>
<li>The fifth task objective is to exchange information, including gearbox failure event data, related to drivetrain reliability among industry and national laboratories. The public drivetrain reliability collaborative helps define the technical tasks and propagates outcomes from the tasks to the industry and standards communities.</li>
</ul>
For more information, see <a href="" http://onlinelibrary.wiley.com/doi/10.1002/we.2150/pdf"" target=""_blank"">Investigation of high-speed shaft bearing loads in wind turbine gearboxes through dynamometer testing</a>. In addition, see <a href="" https://www.nrel.gov/docs/fy18osti/70639.pdf"" target=""_blank""> Gearbox Instrumentation for the Investigation of Bearing Axial Cracking</a> and <a href=""https://www.osti.gov/biblio/1488673-comparison-planetary-bearing-load-sharing-characteristics-wind-turbine-gearboxes"" target=""_blank"">Comparison of planetary bearing load-sharing characteristics in wind turbine gearboxes Report</a> for supplemental information.",Active,agreco@anl.gov,https://energy.gov/eere/wind/articles/researchers-achieve-breakthrough-solving-leading-cause-gearbox-failures
1.5.2.401,Wind Turbine Drivetrain Reliability,National Renewable Energy Laboratory,Next-Generation Technology Development and Manufacturing,"$5,222,217 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2018,/node/778391,"The objective of the wind turbine drivetrain reliability project is to reduce wind plant operations and maintenance (O&M) costs related to drivetrain reliability. Wind plant O&M is a $2B to $3B annual market in the United States, and O&M costs are increasing 5% to 10% per year and will continue to grow as the fleet ages and installed capacity grows. The predominant drivetrain component failure modes are gearbox planetary section bearing failures due to unequal load sharing; and gearbox parallel section bearing failures due to white-etching, cracking, and surface-initiated main shaft bearing failures. They occur prematurely, are not accounted for in design standards, typically are not attributable to quality control, and are independent of specific component suppliers. Identifying the mechanisms of failure through testing and analysis; and validating mitigation approaches to improve the inherent reliability of these bearings will reduce drivetrain O&M costs. O&M costs can be further reduced by developing and verifying diagnostic and prognostic tools to increase operational reliability and turbine availability. Owners and operators are the primary beneficiaries of this project. They report that O&M costs are excessive for existing wind plants to the extent that they reduce the anticipated profitability and thus the development of new wind plants. Wind turbine OEMs and component suppliers would also benefit from this work. The wind turbine drivetrain reliability project includes five specific tasks as described below. The most common wind turbine gearbox failure mode is axial cracks in intermediate and high-speed stage bearings, also called ""white-etching cracks"" (WECs). These WECs cause as much as 71% of the failures in some populations and can occur within 10% of the gearbox design life. Though these types of cracks have been reported for more than a decade in various industries, the reason for their prevalence in wind turbine gearboxes is not known. Suspected contributing factors include the bearing material, lubricant chemistry, and degradation; stresses and sliding from transient operational conditions, curtailment, and grid events; and stray electrical currents. The objective of the second task is to characterize the causes of WECs in intermediate and high speed shaft bearings through analysis and testing. Once characterized, appropriate mitigation solutions can be examined-ranging from new bearing coatings, to improved lubricants, to changes in gearbox designs, to changes in turbine operations. For more information, see <a href="" http://onlinelibrary.wiley.com/doi/10.1002/we.2150/pdf"" target=""_blank"">Investigation of high-speed shaft bearing loads in wind turbine gearboxes through dynamometer testing</a>. In addition, see <a href="" https://www.nrel.gov/docs/fy18osti/70639.pdf"" target=""_blank""> Gearbox Instrumentation for the Investigation of Bearing Axial Cracking</a> and <a href=""https://www.osti.gov/biblio/1488673-comparison-planetary-bearing-load-sharing-characteristics-wind-turbine-gearboxes"" target=""_blank"">Comparison of planetary bearing load-sharing characteristics in wind turbine gearboxes Report</a> for supplemental information. ",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.5.3.401,TwistAct Economic Analysis,National Renewable Energy Laboratory,Next-Generation Technology Development and Manufacturing,"$55,000 ",National Laboratory,Annual Operating Plan,CO,,,2016,/node/778391,The Twistact was a novel rotary electrical contact device that was developed at Sandia National Laboratories to eliminate the need for rare earth magnets in multi-MW direct drive wind turbines. This project was intended to evaluate the techno-economic viability of the technology to direct future funding and development.,Completed,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.5.3.701,TwistAct Project,Sandia National Laboratories,Next-Generation Technology Development and Manufacturing,"$60,000 ",National Laboratory,Annual Operating Plan,NM,,,2016,/node/778391,The Twistact was a novel rotary electrical contact device that was developed at Sandia National Laboratories to eliminate the need for rare earth magnets in multi-MW direct drive wind turbines. This project was intended to evaluate the techno-economic viability of the technology to direct future funding and development.,Completed,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/materials-reliability-standards/
1.5.90.401,"U.S.-Sourced, Next Generation Drivetrain for Land-Based and Offshore Wind Turbines","National Renewable Energy Laboratory (operated by Alliance for Sustainable Energy, LLC)",Next-Generation Technology Development and Manufacturing; Offshore Wind,"$1,587,437 ",National Laboratory,Competitive Funding Opportunity Announcement,CO,Next-Generation Drivetrain FOA,/node/801591,2011 &ndash; 2018,/node/778391; /node/778401,"The National Renewable Energy Laboratory <a href=""https://energy.gov/eere/articles/innovative-drivetrain-testing-wind-turbines-nears-completion"" target=""_blank"">next-generation drivetrain project</a> optimized and tested a hybrid design that combines the advantages of geared and direct-drive concepts through an improved single-stage gearbox and a medium speed permanent magnet generator that reduces the need for rare earth materials. The technology is expected to improve drivetrain reliability, increase efficiency, and be scalable to 10 megawatts. Advances in wind turbine drivetrain technologies are necessary to reduce the cost of energy for land-based and offshore wind turbines. The geared, medium-speed drivetrain developed for this project combines multiple incremental but important innovations to meet or exceed the goals of producing a lighter, more reliable, and more efficient drivetrain design that decreases installed capital costs, levelized replacement and operations and maintenance costs, and the levelized cost of energy. The objectives for the second phase are:
<ul>
<li>To complete the detailed design, fabrication, and dynamometer testing of a 750-kW drivetrain that includes key gearbox hardware and power-converter software innovations.</li>
<li>To complete the design, fabrication, and bench-level testing of medium-voltage hybrid Silicon/Silicon Carbide (Si/SiC) modules.</li>
</ul> 
By successfully completing these technology validation tests, the technology readiness level of each innovation developed by the industry partners will be advanced to level 6, increasing their commercialization potential; and their benefit to the levelized cost of energy (estimated in the first phase of the project) will be demonstrated.
",Completed,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.6.1.401,Wind Standards Development,National Renewable Energy Laboratory,Next-Generation Technology Development and Manufacturing; Testing,"$1,803,069 ",National Laboratory,Annual Operating Plan,CO,,,2015 &ndash; 2018,/node/778391; /node/778426,"The main objective of this project is to guide, actively participate in, and—where logical—lead the development of domestic and international standards. These standards benefit the industry and level the playing field in the market by presenting clear international product design and performance validation requirements. These standards also benefit the end users by ensuring that equipment adheres to the standard, achieves an appropriate level of quality, and, therefore, performs to the expectations of the owners and operators. For example, the work on the Wind Turbine Certification Advisory Committee (WT-CAC) and subsequent IECRE conformity assessment system aims to reach a uniform interpretation and application of the International Electrotechnical Commission (IEC) standards for the purpose of certification, which should result in mutual recognition of test reports and turbine certificates. If accomplished with the right level of quality, this would reduce the need to duplicate efforts and thus also reduce the cost of energy. This conformity assessment system has also developed into a forum in which all industry stakeholders can collaborate and ensure that their needs are met in the conformity assessment requirements.
",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.6.1.402,IEA Task on Development and Use of Probabilistic Forecasts for Wind Energy,National Renewable Energy Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$40,000 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2015,/node/778436,"This sub-project of the larger Performance, Risk, and Uncertainty in Finance (PRUF) project focuses on Integrated Planning, Portfolio Analysis, and Technology Transfer through the International Energy Agency's Task on Forecasting and the Development and Use of Probabilistic Forecasts for Wind Energy.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
1.6.1.602,"A2e: Integrated Planning, Financial Risk Analysis, and Technology Transfer",Pacific Northwest National Laboratory,Atmosphere to electrons: Plant Optimization and Resource Characterization,"$102,521 ",National Laboratory,Annual Operating Plan,WA,,,2015,/node/778436,"This sub-project of the larger Wind Forecast Improvement Project will propose, develop, and execute an International Energy Agency (IEA) task that will engage appropriate international leaders to define best practices for the development of forecast uncertainties and for the use of probabilistic forecasts in power system.",Active,will.shaw@pnnl.gov,https://www.esrl.noaa.gov/psd/renewable_energy/wfip/
1.6.1.701,Wind Standards Development,Sandia National Laboratories,Next-Generation Technology Development and Manufacturing,"$250,272 ",National Laboratory,Annual Operating Plan,NM,,,2015 &ndash; 2016,/node/778391,"The main objective of this project is to guide, actively participate in, and—where logical—lead the development of domestic and international standards. These standards benefit the industry and level the playing field in the market by presenting clear international product design and performance validation requirements. These standards also benefit the end users by ensuring that equipment adheres to the standard, achieves an appropriate level of quality, and, therefore, performs to the expectations of the owners and operators. For example, IEC 61400-5 is a wind turbine standard that describes the process for designing, building, and maintaining a wind turbine blade. This standard will impact the entire industry, and will serve as a basis for improving blade reliability for years to come. Sandia will use years of blade design and blade reliability experience to improve the standard and ensure best practices. 
",Active,gklise@sandia.gov,http://energy.sandia.gov/energy/renewable-energy/wind-power/materials-reliability-standards/
3.1.0.001,Grid Systems Operation for Wind: Stochastic Tool Evaluation,Argonne National Laboratory,Grid Integration,"$609,818 ",National Laboratory,Annual Operating Plan,IL,,,2014 &ndash; 2016,/node/778441,"Stochastic programming is frequently mentioned as an important solution to address power grid operations with higher shares of renewable energy, including wind power. However, despite significant research on this topic in recent years, there are still many open questions about what are the most promising application areas as well likely benefits of moving from deterministic to stochastic approaches. 
In this project, Argonne conducted a detailed assessment of how stochastic approaches can be used at different stages in system and market operations, from day-ahead scheduling to real-time dispatch. The Argonne team first conducted a review of existing work and summarized the main results from previous studies while also identifying the main impediments for introducing stochastic methods into operational decisions making. Next, the team developed a systematic set of metrics and a consistent framework to evaluate different scheduling, dispatch, and market operations strategies. They also conducted an initial quantitative evaluation of the potential benefits of stochastic programming approaches compared to traditional deterministic models and other alternatives. 
The case study was conducted on a hypothetical test system, considering a number of realistic constraints and operational procedures. The results of this project provided the electric power industry with better insights into the range of different stochastic methods that can be applied to power system operations, the potential benefits of shifting towards stochastic methods in operations, and also to better appreciate likely challenges, from technical, market, and computational perspectives. 
Overall, the project has expanded the industry’s understanding of potential methods and tools available to address the uncertainty and variability in wind power and other renewable resources, thereby facilitating a more cost effective integration of wind power into the grid. More specifically, the objectives of the project were to: 
<ul>
<li>Classify existing approaches and tools for stochastic grid operations under uncertainty in renewable generation.</li>
<li>Identify the most promising application areas for stochastic approaches in grid operations, considering cost, reliability, market implementation, and computational perspectives.</li>
<li>Identify the main impediments for introducing stochastic methods, considering system operators, utilities, as well as operational software vendors.</li>
<li>Refine existing stochastic modeling algorithms and uncertainty quantification methods and development of a simulation framework for consistent comparison of different approaches for grid operations.</li>
<li> Quantify potential benefits of stochastic programming applied to day-ahead commitment, intra-day scheduling, and real-time dispatch for a medium-sized test system.</li>
<li>Improve the understanding of the potential benefits and challenges of applying stochastic methods in grid operations in the electric power industry.</li>
</ul> 
Ultimately, the project contributed to lower grid integration costs and enabling of a larger penetration of wind power through improved operational strategies with increasing shares of renewable energy.
",Completed,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.003,WindView: An Open Platform for Wind Energy Forecast Visualization,Argonne National Laboratory,Grid Integration,"$695,288 ",National Laboratory,Annual Operating Plan,IL,,,2016 &ndash; 2018,/node/778441,"The overall objective of this project was to create an open-source, free, situational awareness and decision support platform called WindView. The purpose of WindView is to provide grid operators with knowledge on the state and performance of their power system, with an emphasis on wind energy. The focus was on utilizing advanced visualization to display pertinent information of wind farms and wind power forecasts. The finer objectives of WindView were to:
<ul>
<li>Create a more effective way of visually representing wind energy probabilistic forecasts at multiple time horizons, so that operators can make operational decisions with a high degree of confidence about their available wind resource and predicted dynamics on the horizon.</li>
<li>Create a single visualization platform for displaying and representing different wind energy forecast information and pertinent wind farm information with a dynamic and interactive map alongside charts, which are updated dynamically to visualize information as chosen by the user. This will allow operators to assess rapidly changing system states due to wind power and help them formulate corrective actions.</li>
<li>Create user documentation, including help files and installation guide, to help users download, install and use WindView effectively.</li>
<li>Provide ease of use in the WindView interface design. WindView was made with common coding languages in an easy-to-modify structure. Inputting data streams and using WindView is simple and intuitive.</li>
<li>Closely collaborate and engage with industry, in particular the Western Area Power Administration Electric Power Training Center, to elicit feedback during WindView’s development in order to ensure a useful production-level WindView.</li>
</ul>",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.004,Market and Reliability Opportunities for Wind on the Bulk Power System,Argonne National Laboratory,Grid Integration,"$559,804 ",National Laboratory,Annual Operating Plan,IL,,,2016 &ndash; 2018,/node/778441,"The goal of this project is to create modeling tools and conduct analysis to better understand the impacts of wind generation on the power system while considering market design and market participant strategies. Previous studies have shown that the technical capabilities of the grid are sufficient to integrate high penetrations of wind energy; however, existing market structures and incentives may hinder access to the physical flexibility available among existing and new resources on the grid. This project examines the fundamental question: How does reliability of future power systems vary depending on wholesale electric market designs?  
Without the ability to represent realistic markets in future models and studies, system operators and regulators will not be able to integrate wind generation efficiently, creating a more difficult and costly transition to a modern electric power system. Therefore, this project took a modeling approach to provide insights into key drivers of wholesale electricity energy, ancillary service, and capacity prices, including resource adequacy level, operating reserve treatment, and price formation rules. The objective of this project is to characterize institutional constraints that impact the costs and reliability of grid operations at both long-term (decadal) and short-term (from hours to minutes and seconds) timescales. 
To address these challenges, the project team has developed analytical approaches to help analyze potential shortcomings caused by current market structures and identify key drivers to operating a cost-effective and reliable electricity market with high shares of wind power. The project has deployed conventional optimization approaches, as well as behavioral modeling techniques. The project has leveraged relationships with the Electric Power Research Institute (EPRI) and Independent System Operator/Regional Transmission Organizations (ISO/RTOs) to comprehensively analyze the performance of existing markets and reliability requirements as well as potential new rules and standards. 
Overall, the project improves our understanding of the impact of wind and other zero-marginal cost resources on resource adequacy and revenue sufficiency under a wide range of market design options and revenue sources.  For more information, see <a href=""https://www.nrel.gov/docs/fy18osti/69076.pdf"" target=""_blank""> Marginal Cost Pricing in a World without Perfect Competition: Implications for Electricity Markets with High Shares of Low Marginal Cost Resources</a>.",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.005,Multiscale Integration of Control Systems (EMS/DMS/BMS),Argonne National Laboratory,Grid Integration,"$21,300 ",National Laboratory,Annual Operating Plan,IL,,,2016,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. This project intends to create an integrated grid management framework that will be akin to having an autopilot system for the grid’s interconnected components — from central and distributed energy resources at bulk power systems and distribution systems, to local control systems for energy networks, including building management systems.",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.006,Development and Deployment of Multi-Scale Production Cost Models,Argonne National Laboratory,Grid Integration,"$22,500 ",National Laboratory,Annual Operating Plan,IL,,,2016,/node/778441,"This project is part of the <a href=""https://energy.gov/under-secretary-science-and-energy/doe-grid-modernization-laboratory-consortium-gmlc-awards"" target=""_blank"">Grid Modernization Laboratory Consortium</a>. The project will develop the ability to more accurately estimate economic impact of renewables, storage, and other technologies. It will also research scalable methods for deterministic and stochastic production cost modeling, higher resolution grid models, applications of uncertainty quantification, and high performance computing (HPC). New capabilities will be deployed with system planners through workshops. ",Active,agreco@anl.gov,http://www.anl.gov/energy/renewable-energy
3.1.0.101,Grid System Planning For Wind: Concurrent Cooling/Dynamic Line Rating,Idaho National Laboratory,Grid Integration,"$889,593 ",National Laboratory,Annual Operating Plan,ID,,,2014 &ndash; 2016,/node/778441,"One primary goal of rendering today’s transmission grid “smarter” is to optimize and better manage its power transfer capacity in real time. Power transfer capacity is affected by three main elements: stability, voltage limits, and thermal ratings. All three are critical, but thermal ratings represent the greatest opportunity to quickly, reliably, and economically utilize the grid’s true capacity. With the “Smarter Grid,” new solutions have been sought to give operators a better grasp on real-time conditions, allowing them to manage and extend the usefulness of existing transmission infrastructure in a safe and reliable manner. The objective of the Idaho National Laboratory (INL) Wind Program is to:
<ul>
<li>Provide industry a Dynamic Line Rating (DLR) solution that is state of the art as measured by cost, accuracy, and dependability.</li>
<li>To enable human operators to make informed decisions.</li>
<li>To take appropriate actions without human or system overloading and impacting the reliability of the grid.</li>
</ul> 
In addition to mitigating transmission line congestion to better integrate wind, DLR also offers the opportunity to improve the grid with optimized utilization of transmission lines to relieve congestion in general. As wind-generated energy has become a bigger part of the nation’s energy portfolio, researchers have learned that wind not only turns turbine blades to generate electricity, but can cool transmission lines and increase transfer capabilities significantly, sometimes up to 60%. INL’s DLR development supports Office of Energy Efficiency and Renewable Energy (EERE) and The Wind Energy Technology Office’s goals by informing system planners and grid operators of available transmission capacity, beyond typical Static Line Ratings (SLR). SLRs are based on a fixed set of conservative environmental conditions to establish a limit on the amount of current lines that can safely carry without overheating. Using commercially available weather monitors mounted on industry-informed custom brackets developed by INL in combination with Computational Fluid Dynamics (CFD) enhanced weather analysis and DLR software, INL’s project offers the potential of safely providing line ampacities up to 40% or more above existing SLRs, by using real-time information rather than overly conservative SLR.
",Active,jake.gentle@inl.gov ,http://www4vip.inl.gov/research/increasing-the-capacity-of-existing-power-lines/
3.1.0.102,Grid System Planning For Wind: Wind Based Transmission Planning Tool Development,Idaho National Laboratory,Grid Integration,"$175,000 ",National Laboratory,Annual Operating Plan,ID,,,2015 &ndash; 2016,/node/778441,"This project supports the development of improved grid integration for renewables and increasing the penetration of wind power production. Transmission line ampacity ratings are traditionally limited by conductor thermal capacity, and are defined by a static rating using predetermined environmental conditions. Without accurately measuring environmental conditions and their effects, existing transmission lines can be significantly underutilized. Applying this same logic to the planning and design of new transmission lines will enable developers and owners to use the dynamic nature of environmental conditions to maximize the ratings, albeit static or dynamic. Using a dynamic line rating system to accurately monitor these conditions will lead to improved line ampacity ratings, better knowledge of operational/reliability issues and potentially safer operation of the overall system.",Active,jake.gentle@inl.gov ,http://www4vip.inl.gov/research/transmission-line-modeling-tool-suite/
3.1.0.103,Operational and Strategic Implementation of Dynamic Line Rating for Optimized Wind Energy Generation Integration,Idaho National Laboratory,Grid Integration,"$1,641,022 ",National Laboratory,Annual Operating Plan,ID,,,2016 &ndash; 2018,/node/778441,"One primary goal of rendering today's transmission grid ""smarter"" is to optimize and better manage its power transfer capacity in real time. Power transfer capacity is affected by three main elements: stability, voltage limits, and thermal ratings. All three are critical, but thermal ratings represent the greatest opportunity to quickly, reliably, and economically utilize the grid's true capacity. With the ""Smarter Grid,"" new solutions have been sought to give operators a better grasp on real-time conditions, allowing them to manage and extend the usefulness of existing transmission infrastructure in a safe and reliable manner. The objective of the Idaho National Laboratory (INL) Wind Program is to:
<ul>
<li>Provide industry a Dynamic Line Rating (DLR) solution that is state of the art as measured by cost, accuracy, and dependability. </li>
<li>To enable human operators to make informed decisions.</li>
<li>To take appropriate actions without human or system overloading and impacting the reliability of the grid. In addition to mitigating transmission line congestion to better integrate wind, DLR also offers the opportunity to improve the grid with optimized utilization of transmission lines to relieve congestion in general.</li>
</ul
As wind-generated energy has become a bigger part of the nation’s energy portfolio, researchers have learned that wind not only turns turbine blades to generate electricity, but can cool transmission lines and increase transfer capabilities significantly, sometimes up to 60%. INL’s DLR development informs system planners and grid operators of available transmission capacity, beyond typical Static Line Ratings (SLR). SLRs are based on a fixed set of conservative environmental conditions to establish a limit on the amount of current lines that can safely carry without overheating. Using commercially available weather monitors mounted on industry-informed custom brackets developed by INL in combination with Computational Fluid Dynamics (CFD) enhanced weather analysis and DLR software, INL’s project offers the potential of safely providing line ampacities up to 40% or more above existing SLRs, by using real-time information rather than overly conservative SLR. For more information, see <a href=""https://www.youtube.com/watch?feature=youtu.be&v=X8IaVYN6tUw&app=desktop"" target=""_blank"">General Line Ampacity State Solver video</a>.
",Active,jake.gentle@inl.gov ,http://www4vip.inl.gov/research/increasing-the-capacity-of-existing-power-lines/
3.1.0.104,Understanding the Role of Short-Term Energy Storage and Large Motor Loads for Active Power Controls by Wind Power,Idaho National Laboratory,Grid Integration,"$240,000 ",National Laboratory,Annual Operating Plan,ID,,,2016 &ndash; 2018,/node/778441,"The purpose of this project was to develop and validate coordinated active power controls by wind generation, short-term energy storage, and large industrial motor drives for providing various types of ancillary services to the grid. This project used the unique characteristics of NREL’s existing National Wind Technology Center test site, including a combination of multimegawatt utility-scale wind turbine generators, a 1-MW/1-MWh battery energy storage system, industrial variable-frequency motor drives, a 1-MW solar photovoltaic array, and a 7-MVA controllable grid interface. This combination of technologies allows for the optimization, testing, and demonstration of various types of APC by wind power in coordination with other generation sources (including regenerative loads) and energy storage.
This project validates advanced controls for active power from wind generation, short-term energy storage, and large industrial motor drives for various types of reliability grid services, while also evaluating wind turbine loading impacts such as drivetrain loads. NREL, in collaboration with EPRI and the University of Colorado, demonstrated Active Power Controls by Wind Power during a previous research project. This 3-year project (FY16-18) was aimed at full-scale demonstration of advanced coordinated grid controls by utilizing the existing DOE assets at NREL in collaboration with INL, Clemson University and GE. This project demonstrated how wind power can be tied to other technologies (energy storage and responsive regenerative loads in this case) for enhanced services and optimized wind O&M costs.",Active,jake.gentle@inl.gov ,https://renewableenergy.inl.gov/Conventional%20Renewable%20Energy/SitePages/Wind%20Power.aspx
3.1.0.401,Grid System Planning for Wind: Next-Generation Integration Studies,National Renewable Energy Laboratory,Grid Integration,"$922,686 ",National Laboratory,Annual Operating Plan,CO,,,2014 &ndash; 2015,/node/778441,"The third phase of the Western Wind and Solar Integration Studies (WWSIS-3) addresses the questions: What is the impact of high levels of variable generation on power system reliability from the transient, large-scale stability, and frequency response perspectives? Which mitigation means are most effective? How can the improved models, tools, methods, understanding, and recommendations best be disseminated to ensure adoption and action?",Active,brian.smith@nrel.gov,http://www.nrel.gov/grid/wwsis.html
3.1.0.402,Grid System Planning for Wind: Grid Integration Support,National Renewable Energy Laboratory,Grid Integration,"$1,737,449 ",National Laboratory,Annual Operating Plan,CO,,,2011 &ndash; 2015,/node/778441,"The National Renewable Energy Laboratory’s (NREL’s) grid-related engagement activities focus on disseminating key research results from NREL analysis to regulators, policymakers, utilities, and power system industry stakeholders. Success in these activities has resulted in decreased barriers to the integration of wind power. Some examples include work with the Utility Variable-Generation Integration Group (UVIG), Federal Energy Regulatory Commission (FERC) Order No. 764, North American Electric Reliability Corporation (NERC) Integration of Variable Generation Task Force, Institute of Electrical and Electronics Engineers (IEEE), and International Energy Agency (IEA) Task 25.",Active,brian.smith@nrel.gov,https://www.nrel.gov/wind/
