Title,Node_ID,Description,Category,Agency,Location,Type
Variable Speed Fan Retrofits for Computer Room Air Conditioners,/node/757461,"Report documents variable speed fan retrofits to existing constant-speed fans in computer-room air conditioners located in California. These case studies demonstrate that variable speed operation is not only possible, but results in significant energy savings and equal or improved cooling and reliability. The range of cooling system energy use reduction was 22% to 32% when compared to the constant-speed fan case. These systems, including the monitoring and controls needed for proper operation, have simple payback periods of under two years.",Data Centers,DOE,CA,Report
Water Efficiency Improvements at Various U.S. Environmental Protection Agency Sites,/node/757286,Fact sheet highlights several projects to reduce potable water use at U.S. Environmental Protection Agency laboratories as part of its successful water conservation program.,Water Management,EPA,KS; NC; OH; MD,Fact sheet
Wireless Sensors Improve Data Center Efficiency,/node/757456,Fact sheet highlights wireless sensor networks as an energy efficiency solution for data centers and provides detail about the wireless sensor network installed at Lawrence Berkeley National Laboratory. ,Data Centers,DOE,CA,Fact sheet
Ames Research Center Success Story,/node/3434190,Video shares how NASA's Ames Research Center leveraged utility energy service contracts to take advantage of over $1 million in one-time utility incentives and rebates for energy efficiency projects on its campus.,Utility Energy Service Contracts,DOE,CA,Video
Charles McC. Mathias Laboratory Smithsonian Environmental Research Center,/node/1859106,"Video success story highlights the integrated design and operation of the Leadership in Energy and Environmental Design (LEED) Platinum Charles McC. Mathias Laboratory at the Smithsonian Environmental Research Center. The laboratory features sustainable energy, water, and material systems. Technologies used include constructed wetlands, rainwater capture and reuse, natural wastewater treatment facilities, renewable energy systems, passive solar design strategies, daylighting, energy recovery systems, and more.",Facilities; Distributed Energy,Smithsonian,MD,Video
Energy Savings Performance Contracts Success Story—Northern California TRACON,/node/1592551,Video highlights how Federal Energy Management Program training helped Northern California Terminal Radar Approach Control (TRACON) take advantage of an energy savings performance contract to reduce its annual energy use by 61%.,Training; Distributed Energy,DOE,CA,Video
General Services Administration New Carrollton Federal Building,/node/1859111,"Video highlights how the General Services Administration achieved deep energy retrofits at the New Carrollton Federal Building through a $45 million comprehensive energy savings performance contract designed to reduce energy consumption by 60%. Technologies used include a geothermal well field; optimized heating, ventilating, and air-conditioning systems; facility-wide lighting upgrades and controls; intelligent building automation systems; and solar photovoltaics.",Energy Savings Performance Contracts; Distributed Energy,GSA,MD,Video
O&M Best Practices for Small-Scale Photovoltaic Systems Success Story,/node/1592546,Video features federal energy and facility management professional testimonials sharing how DOE FEMP training helped their teams to complete and maintain successful on-site small-scale solar photovoltaics projects.,Training; Distributed Energy,DOE,NC; PA,Video
University of California Irvine Smart Labs Initiative,/node/1859116,"Video highlights how the University of California, Irvine surpassed U.S. Department of Energy Better Buildings Challenge energy savings goals. By participating in the Smart Labs Initiative, the University achieved 60% energy savings through dynamic, intelligent heating, cooling, and air-conditioning technologies. Seven essential components of the Smart Labs Initiative include lowering system pressure drop, demand-based ventilation, dynamic digital controls, fume hood air flow optimization, exhaust fan discharge velocity optimization, demand-based LED lighting with controls, and continuous commissioning with automated cross-platform fault detection.",Laboratories,N/A,CA,Video
Alcatraz Island,/node/3674602,Details project where the National Park Service installed a solar-powered microgrid atop the roof of the main cell house building. The microgrid system integrates the new PV system with diesel generators via digital controllers and inverters to power the island. The surplus of electricity is sent to a special energy storage unit.,Distributed Energy,DOI,CA,Web page
Ameresco Helps Establish Resiliency and Energy Savings for the DEA El Paso Intelligence Center,/node/4323826,Details how DEA signed its first Energy Savings Performance Contract (ESPC) ENABLE project that included an energy sales agreement (ESA) with energy services company Ameresco.,Energy Savings Performance Contracts,DOE,TX,Web page
An Exemplary Earth Day Event: NIST Ribbon-Cutting Event for Solar PV Project under FEMP's ESPC ENABLE Program,/node/4139825,Details how the project represents an economical clean energy solution that reduces government energy costs. ,Energy Savings Performance Contracts,NIST,DC,Web page
Automating NREL's Fleet Vehicle Reporting With Telematics,/node/4378485,"Describes the development of an automated fleet reporting template for the National Renewable Energy Laboratory (NREL) by integrating data streams not only from telematics, but also from existing financial systems, fleet management information systems, and General Services Administration (GSA) databases.",Fleets,DOE,CO,Web page
Biscayne National Park,/node/3674614,"Describes a 15-kW PV system which replaced two 60-kW diesel generators, reducing the need for fuel transport.",Distributed Energy,DOI,FL,Web page
Blue Ridge Parkway,/node/3674617,"Describes a 1,560-kW PV system includes 300 safety lights, which provided lighting for nighttime visitors and improve site visibility throughout the day.",Distributed Energy,DOI,NC; VA,Web page
Boiler Combustion Control and Monitoring System,/node/849626,Details how system operating costs were reduced over the baseline and over existing state-of-the-art combustion control technology.,Energy-Efficient Products and Technologies,DOD,NY,Web page
Channel Islands National Park,/node/3674620,"Details two wind turbines and several PV systems which provided power to facilities on Santa Cruz, Santa Rosa, and San Miguel islands.",Distributed Energy,DOI,CA,Web page
Chickasaw National Recreation Area,/node/3674626,Describes the solar hot water system which provided water to comfort stations at a consistent temperature of 105°F.,Distributed Energy,DOI,OK,Web page
Crater Lake National Park,/node/3674632,"Describes how PV panels provide power to Crater Lake's North Entrance Fee Station, which has no connection to a commercial power source.",Distributed Energy,DOI,OR,Web page
Death Valley National Park,/node/3674635,Details how the remodeled visitor center includes a 60-kW PV shade structure array and a 30-kW field array near the headquarters parking lot.,Distributed Energy,DOI,CA,Web page
"Department of Veterans Affairs Medical Center, San Francisco, California",/node/849246,"Tells how the Veterans Affairs (VA) Medical Center in San Francisco is saving almost 3 million kilowatt-hours of electricity, more than 70,000 therms of natural gas, and more than $500,000 annually.",Energy Savings Performance Contracts,VA,CA,Web page
Doing Time Under the Sun: Rooftop Photovoltaics,/node/849801,Describes a 307-kilowatt photovoltaic system on Alcatraz Island.,Energy-Efficient Products and Technologies; Distributed Energy,DOI,CA,Web page
ESPC ENABLE Program Helps 14 National Forests in the Northwest with Energy Efficiency and Solar Energy,/node/4323881,"Decribes how the U.S. Departments of Energy’s (DOE) Energy Savings Performance Contract (ESPC) ENABLE program utilizing General Services Administration Schedule 84, the Forest Service Region 6 pursued projects to improve energy efficiency and install solar photovoltaic (PV) systems at multiple sites in Oregon and Washington.",Energy Savings Performance Contracts,DOE,OR; WA,Web page
ESPC ENABLE Project at U.S. Department of Energy Headquarters Reduces Lighting Energy Use by 50%,/node/4323551,"Describes how DOE selected ADI Energy, a small-business enterprise energy services company (ESCO) to develop and implement a LED lighting upgrade project using the Energy Savings Performance Contract (ESPC) ENABLE program. The $2.3 million project investment was self-funding in less than 12 years—a requirement of DOE given the projected plans for the building. The project resulted in improved efficiency of the lighting system, standardized equipment and streamlined operations and maintenance for the building. ",Energy Savings Performance Contracts,DOE,DC,Web page
EVSE Upgrades in NREL's Parking Garage Generate Financial Benefits,/node/4378375,"Details how the National Renewable Energy Laboratory expanded the number of electric vehicle (EV) chargers by installing 72 additional EVSE units in its Golden, Colorado, campus parking garage.",Fleets,DOE,CO,Web page
Federal Contractors Have Potential to Drive Compressed Natural Gas Vehicle Adoption,/node/4378452,"Discusses how Matheson Trucking Inc., using federal mail carrying contracts, plans to acquire 25 natural gas vehicles (NGVs) in the first quarter of 2020 and another 25 later in the year to support their sustainability strategy.",Fleets,USPS,N/A,Web page
"Funding Opportunities Enable EVSE Projects at DOD, DOT and State Agencies",/node/4378496,"Details how funding sources, such as UESCs, ESPCs, and those offered through Electrify America and state governments, can be crucial to supporting EVSE projects and ensuring their continued success.",Fleets; Energy Savings Performance Contracts; Utility Energy Service Contracts,DOD; DOT,N/A,Web page
Glacier National Park,/node/3674638,Features the visitor center south of the Canadian border using electricity generated by 3.6 kW of PV and micro-hydroelectric power from an on-site dam.,Distributed Energy,DOI,MT,Web page
Grand Canyon National Park,/node/3674641,Details the 1.44-kW PV system on the remote North Rim of the park providing 50% of the power to the visitor center.,Distributed Energy,DOI,AZ,Web page
Hill Air Force Base,/node/725686,Energy savings performance contracting at Hill Air Force Base generated much interest during a recent training session on energy management that downlinked 12 DOD sites.,Energy Savings Performance Contracts,DOD,UT,Web page
Honeywell Helps Deliver Resiliency and Cost Savings to Food and Drug Administration's White Oak Campus,/node/2730921,Describes the Food and Drug Administration's (FDA) multiphase energy savings performance contract project with Honeywell. ,Energy Savings Performance Contracts; Distributed Energy,DOC,MD,Web page
Isle Royale National Park,/node/3674644,Describes an ESPC-funded sustainability and solar PV project including 91.8-kW and 42.1-kW PV arrays paired with diesel generators to handle seasonal loads.,Distributed Energy,DOI,MI,Web page
Joint Champions for Vehicle Autonomy—Marine Corps and Army Pilot Autonomous Shuttle at Fort Myer-Henderson Hall,/node/4378474,"Describes how Lt. Col. Brandon Newell with the U.S. Marine Corps and Richard Kidd, deputy assistant Secretary of the Army for Strategic Integration, teamed up to bring autonomous vehicle technology to Joint Base Fort Myer-Henderson Hall.",Fleets,DOD,VA,Web page
Lake Mead National Recreation Area,/node/3674647,Details the PV system at the Alan Bible Visitor Center designed to handle 90% of power needs from April through October.,Distributed Energy,DOI,NV,Web page
Magnetic-Bearing Chiller Compressors,/node/1067151,Shows independent analysis by the U.S. Navy that verifies magnetic bearing compressors operate more efficiently than reciprocating and screw compressors.,Energy-Efficient Products and Technologies,DOD,CA; FL; RI,Web page
Mesa Verde National Park,/node/3674650,"Details on-site renewable energy systems providing 95% of building energy requirements, and park staff plan to achieve net zero energy operations.",Distributed Energy,DOI,CO,Web page
Marine Corps Air Station (MCAS) Miramar,/node/4295694,Demonstrates the islanding capability of a 250-kW battery storage and 230-kW PV microgrid system at the installation’s Public Works building.,Distributed Energy,DOD,CA,Web page
Mojave National Preserve,/node/3674656,Details the 42-kW PV system (with 11-kWh batteries) that provided 100% of the power to the visitor center.,Distributed Energy,DOI,CA,Web page
National Aeronautical and Space Administration Johnson Space Flight Center,/node/850221,"Describes how the National Aeronautics and Space Administration (NASA) will save approximately $43 million in facility operations costs over the next 23 years at the Johnson Space Flight Center in Houston, Texas.",Energy Savings Performance Contracts,NASA,TX,Web page
National Archives and Records Administration Archives II Building,/node/4295709,Describes a 500-kW rooftop PV and 225-kW cogeneration system that offsets energy consumption at NARA’s largest and most energy-intensive building.,Distributed Energy,NARA,MD,Web page
National Park Service Statue of Liberty National Monument,/node/850356,"Focuses on infrastructure improvements with the addition of energy-efficient lighting, variable-speed drives, and installation of energy management control systems.",Energy Savings Performance Contracts,DOI,NY,Web page
Natural Bridges National Monument,/node/3674659,"Describes the PV system providing 100% of the site’s power. The site was previously served by diesel generators, and fuel deliveries were very costly.",Distributed Energy,DOI,UT,Web page
Propane-Powered Buses in Fleet School Districts,/node/4378430,"Describes how Ryan Texer, fleet manager at Adams County School District 12 headquartered in Thornton, Colorado, has acquired 50 propane buses for his school, including 12 in October 2019.",Fleets,DOD,CO,Web page
Santa Monica Mountains National Recreation Area,/node/3674284,"Details how a geothermal cooling system providing about 80% of hot water needs, and a back-up system is powered by the solar PV carports.",Distributed Energy,DOI,CA,Web page
Thomas E. Creek Medical Center,/node/4295706,Describes a 2.28-MW PV covered parking project at the Thomas E. Creek VA Medical Center that provides about 30% of the center’s electricity.,Distributed Energy,VA,TX,Web page
U.S. Air Force Pursues Authority to Operate with Telematics,/node/4313325,Monitors 300 fleet vehicle data parameters to help improve driver safety and fleet efficiency—in particular by reducing idling times as a means to reduce petroleum consumption and cut fuel costs.,Fleets,DOD,N/A,Web page
"U.S. Army Presidio of Monterey, U.S. Army Corps of Engineers Construction Engineering Research Laboratory Retro-Commissioning Training Program",/node/4293426,"Details the U.S. Army Retro-Commissioning training program conceived by engineers from U.S. Army Garrison Presidio of Monterey, Brian Clark, and Jay Tulley.",Facilities,DOD,CA,Web page
"U.S. Coast Guard, Kodiak Island, Alaska",/node/725691,"Describes how the Coast Guard is saving more than $220,000 a year in energy costs at its facility at Kodiak Island, Alaska.",Energy Savings Performance Contracts,DHS,AK,Web page
U.S. Department of Energy Fermi National Accelerator Laboratory,/node/1660791,Describes how DOE's Fermilab upgraded the centralized cooling system and separated the system into two segments.,Utility Energy Service Contracts,DOE,IL,Web page
U.S. Department of Energy Pantex Plant,/node/848146,Details the U.S. Department of Energy Pantex Plant's savings of approximately $10.4 million in energy-related costs over 18 years.,Energy Savings Performance Contracts; Distributed Energy,DOE,TX,Web page
U.S. Department of Energy Thomas Jefferson National Accelerator Facility Data Center Optimization,/node/4293432,"Details how the Thomas Jefferson National Accelerator Facility improved the data center through a construction project that included introducing sealed hot aisles to prevent the mixing of hot rack exhaust air and cool supply air. The now-optimized supply-and-return air flow system minimizes mixing cool supply air, hot return air, and hot return air recirculation.",Data Centers,DOE,VA,Web page
U.S. Department of the Interior Bureau of Indian Affairs Sherman Indian School,/node/848326,"Details how DOI's Bureau of Indian Affairs reduced energy costs by replacing inefficient lighting and aging building equipment, and installing renewable energy systems without huge budget increases.",Energy Savings Performance Contracts; Distributed Energy,DOI,CA,Web page
"U.S. Navy Naval Facilities Engineering Command, Navy Installations Command, and Naval Submarine Base New London",/node/4293435,Describes how the Naval Submarine Base New London staff developed a plan to enhance energy security and align U.S. Department of the Navy resources and efforts.,Distributed Energy,DOD,CT,Web page
"U.S. Postal Service General Mail Facility, San Diego, California",/node/848511,Details how the U.S. Postal Service (USPS) was the first Federal agency to award a shared energy savings contract (now known as an energy savings performance contract).,Energy Savings Performance Contracts,USPS,CA,Web page
"U.S. Postal Service Washington, D.C., Network Distribution Center Hydrogen Fuel Cell Pilot",/node/4293438,Details how USPS leadership initiated a Lean Six Sigma review project to find more productive ways to address battery challenges.,Fleets,USPS,DC,Web page
USACE Makes the Most of E85 Fueling Opportunities,/node/4378419,Details how the U.S. Army Corps of Engineers (USACE) began partnering with the U.S. Department of Energy’s (DOE’s) Federal Energy Management Program (FEMP) to increase alternative fuel use in dual-fueled vehicles by tracking fueling behavior in the FEMP Fleet Sustainability Dashboard (FleetDASH).,Fleets,DOD,N/A,Web page
"Veteran's Affairs Health Care System, West Haven, Connecticut",/node/850521,Describes how the West Haven Campus of the VA Connecticut Health Care System was the first veteran's hospital to award a shared energy savings contract (now known as an energy savings performance contract).,Energy Savings Performance Contracts,VA,CT,Web page
Wireless Sensor Networks for Data Centers,/node/849936,Shows how wireless sensor technology provides a cost-effective and facilities-friendly way of helping data center operators visualize and implement system changes that reduce overall energy consumption.,Energy-Efficient Products and Technologies,GSA,MO,Web page
Yellowstone National Park,/node/3674665,Details how a PV and battery storage system provides 100% of Bechler Ranger Station's power. The site was previously served by a propane tank.,Distributed Energy,DOI,WY,Web page
